folderSrc, trialId, jointIdOOM, startSecond, endSecond,
2016-03-22 lite, t001, [18-20], 4.0, 6.6
2016-03-22 lite, t001, [17-18;19-18], 6.6, 7.7
2016-03-22 lite, t001, [15-17;19-16], 8.3, 9.9
2016-03-22 lite, t001, [11-13;14-12], 9.9, 11.9
2016-03-22 lite, t001, [8-10], 11.9, 14.7
2016-03-22 lite, t001, [9-8], 14.7, 17.2
2016-03-22 lite, t001, [7-8], 17.2, 20.0
2016-03-22 lite, t001, [7-8;9-8], 20.0, 22.7
2016-03-22 lite, t001, [8-10], 22.8, 26.4
2016-03-22 lite, t001, [1-3;2-4], 34.7, 37.5
2016-03-22 lite, t002, [18-20], 4.4, 17.4
2016-03-22 lite, t002, [18-20], 21.4, 33.4
2016-03-22 lite, t003, [12-14], 4.5, 17.6
2016-03-22 lite, t003, [12-14], 21.8, 32.0
2016-03-22 lite, t004, [1-3], 4.8, 25.0
2016-03-22 lite, t005, [17-18], 4.4, 8.3
2016-03-22 lite, t005, [8-10], 9.0, 12.5
2016-03-22 lite, t006, [6-9], 11.7, 15.4
2016-03-22 lite, t006, [17-18], 61.7, 64.4
2016-03-22 lite, t007, [18-19], 17.3, 20.7
2016-03-22 lite, t007, [16-19], 20.9, 22.3
2016-03-22 lite, t007, [15-17], 52.5, 56.7
2016-03-22 lite, t008, [16-19], 20.0, 21.5
2016-03-22 lite, t008, [7-8], 31.0, 32.7
2016-03-22 lite, t009, [1-3], 14.8, 16.7
2016-03-22 lite, t009, [3-5], 16.7, 18.0
2016-03-22 lite, t009, [1-3], 49.7, 55.8
2016-03-22 lite, t009, [1-3], 59.3, 61.0
2016-03-22 lite, t010, [1-3], 8.4, 10.6
2016-03-22 lite, t010, [12-14], 10.7, 12.0
2016-03-22 lite, t010, [7-8;9-8;10-8], 21.3, 23.5
2016-03-22 lite, t010, [11-13], 24.7, 25.9
2016-03-22 lite, t010, [1-3], 27.3, 28.2
2016-03-22 lite, t010, [11-13;12-14], 29.9, 31.3
2016-03-22 lite, t010, [2-4], 34.6, 37.3
2016-03-22 lite, t018, [16-19], 11.6, 12.7
2016-03-22 lite, t018, [16-19], 18.2, 19.5
2016-03-22 lite, t018, [16-19], 27.4, 28.0
2016-05-26, t003, [1-3], 21.8, 24.1
2016-05-26, t003, [15-17], 43.4, 44.4
2016-05-26, t006, [11-13], 13.0, 15.1
2016-05-26, t006, [1-3;2-4], 35.1, 37.4
2016-05-26, t009, [2-4], 6.6, 10.6
2016-05-26, t009, [17-18], 16.0, 17.9
2016-05-26, t011, [15-17], 4.8, 6.7
2016-05-26, t013, [15-17], 4.8, 6.7
