folderSrc, trialId, fragId, jointIdOoM, startSecond, endSecond
2016-03-21, t_003, 0, [17-18], 37.0, 40.5, skeleton20ok
2016-03-21, t_003, 1, [18-20], 58.0, 64.0, skeleton20ok
2016-03-21, t_003, 2, [7-8], 73.0, 76.0, skeleton20ok
2016-03-21, t_004, 0, [18-19], 13.0, 16.0, skeleton20ok
2016-03-22, t_002, 0, [18-20], 36.3, 41.5, skeleton20ok
2016-03-22, t_002, 1, [3-5], 44.4, 50.0, skeleton20ok
2016-03-22, t_005, 0, [17-18], 4.0, 9.0, skeleton20ok
2016-03-22, t_005, 1, [5-7], 9.2, 13.4, skeleton20ok
2016-03-22, t_006, 0, [12-14], 15.8, 16.5, skeleton20ok (no val)
2016-03-22, t_007, 0, [18-19], 17.8, 20.7, skeleton20ok
2016-03-22, t_018, 0, [16-19], 11.6, 12.7, skeleton20ok
2016-03-22, t_018, 2, [18-20], 34.0, 36.4, skeleton20ok
2016-05-26, t_003, 1, [15-17], 43.4, 44.4, skeleton20ok
2016-05-26, t_013, 0, [17-18], 35.1, 36.1, skeleton20ok
2016-05-27, t_001, 0, [18-20], 31.6, 34.1, skeleton20ok
2016-05-27, t_001, 3, [15-17], 56.1, 56.8, skeleton20ok 
2016-05-27, t_003, 0, [18-20], 52.4, 59.0, skeleton20ok
2016-05-27, t_007, 1, [16-19], 53.4, 54.0, skeleton20ok
2016-05-26, t_044, 0, [18-20], 1.2, 3.2, skeleton20ok
2016-05-26, t_044, 3, [7-8], 15.8, 16.8, skeleton20ok
2016-05-26, t_044, 4, [8-9], 17.1, 18.5, skeleton20ok
2016-05-26, t_069, 0, [5-7], 7.7, 8.4, skeleton20ok (no val)
2016-05-26, t_069, 1, [6-9], 9.7, 10.5, skeleton20ok (no val)
2016-05-26, t_069, 2, [5-7], 10.6, 11.5, skeleton20ok (no val)
2016-05-26, t_069, 3, [6-9], 12.0, 12.5, skeleton20ok (no val)
2016-05-26, t_069, 4, [5-7], 12.5, 13.1, skeleton20ok (no val)
2016-05-26, t_069, 5, [6-9], 13.6, 14.4, skeleton20ok (no val)
2016-05-26, t_069, 6, [5-7], 14.9, 15.8, skeleton20ok (no val)
2017-12-04, t_010, 1, [15-17], 33.9, 34.5, skeleton20ok
2017-12-04, t_010, 2, [15-17], 34.5, 34.8, skeleton20ok
2017-12-04, t_010, 4, [15-17], 38.4, 39.6, skeleton20ok
2017-12-04, t_010, 5, [15-17], 41.5, 42.7, skeleton20ok
2017-12-04, t_010, 6, [17-18], 43.2, 45.2, skeleton20ok
2017-12-04, t_010, 7, [17-18], 45.2, 49.3, skeleton20ok
2017-12-04, t_012, 0, [6-9], 19.7, 23.5, skeleton20ok
2017-12-04, t_012, 2, [16-19], 53.4, 54.8, skeleton20ok
2017-12-04, t_024, 0, [17-18], 5.3, 8.1, skeleton20ok
2017-12-04, t_025, 0, [18-20], 6.1, 6.7, skeleton20ok
2019-05-15, t_028, 1, [6-9], 29.8, 31.5, skeleton20ok
2020-07-07, t_060, 0, [15-17], 2.6, 5.0, skeleton20ok
2020-07-07, t_064, 0, [13-15], 2.5, 5.5, skeleton20ok
