NO_OF_FRAMES	2852
NO_OF_CAMERAS	13
NO_OF_MARKERS	58
FREQUENCY	95.8
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-03-21, 11:48:57.717	331690.37858269
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LTOE	LMT1	LMT5	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RTOE	RMT1	RMT5	RMID	LFRM	LFSH	RBHD	LBHD	LPLM	RPLM	RFTHI
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Measured	Mixed	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Mixed
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LTOE X	LTOE Y	LTOE Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RTOE X	RTOE Y	RTOE Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RMID X	RMID Y	RMID Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	LPLM X	LPLM Y	LPLM Z	RPLM X	RPLM Y	RPLM Z	RFTHI X	RFTHI Y	RFTHI Z	
3573	37.20833	00:35:14:10	942.964	1626.510	-104.819	882.422	1590.177	-39.524	897.253	1583.184	-165.281	1008.356	1331.603	-86.422	1031.143	1148.210	-97.205	1016.354	1046.153	-101.873	1024.291	952.908	-105.977	762.571	1041.575	-116.710	791.704	1197.884	-99.133	1032.659	1228.122	-12.508	906.396	1296.976	84.415	866.590	1141.372	87.637	997.391	1148.630	95.069	0.000	0.000	0.000	926.102	970.967	148.626	889.493	745.806	138.604	0.000	0.000	0.000	901.383	1319.747	-280.727	1030.256	1249.483	-186.659	847.105	1176.632	-283.403	973.405	1182.131	-308.714	832.186	1246.318	-199.927	939.028	974.260	-277.708	899.785	994.458	-346.385	845.692	940.973	-346.512	874.175	755.629	-370.603	816.691	766.759	-305.666	804.973	930.830	21.304	837.844	951.414	-251.593	982.659	953.391	16.607	997.357	953.855	-233.263	825.382	758.545	69.192	949.218	841.958	56.144	919.864	415.893	45.830	938.473	409.874	-59.779	916.622	315.003	15.339	955.090	77.832	28.930	1030.747	10.924	-13.739	793.745	-13.844	-11.693	831.930	17.470	-14.603	860.308	7.373	44.943	969.608	843.067	-274.411	938.680	421.117	-265.243	940.757	417.520	-167.748	938.317	311.892	-231.264	976.834	84.908	-263.688	1042.346	4.530	-228.735	805.588	-11.354	-216.440	852.645	20.941	-210.528	864.256	-1.599	-278.754	857.519	592.776	-311.812	871.452	921.302	133.094	828.532	1240.358	-6.387	986.462	1465.540	-161.570	985.908	1483.456	-19.492	794.779	668.255	126.586	827.127	649.549	-285.675	859.895	663.732	-279.600
3574	37.21875	00:35:14:10	943.101	1626.459	-104.842	882.558	1590.241	-39.544	897.305	1583.200	-165.310	1008.165	1331.716	-86.712	1030.997	1148.406	-97.544	1016.313	1046.318	-101.993	1024.279	953.069	-105.879	762.630	1041.720	-116.395	791.508	1197.925	-98.474	1032.782	1228.240	-12.794	906.769	1297.146	84.601	866.865	1141.532	88.022	997.793	1148.692	95.139	0.000	0.000	0.000	926.552	971.127	148.924	889.704	746.002	139.019	0.000	0.000	0.000	899.608	1320.157	-280.321	1029.489	1249.654	-187.145	844.682	1177.251	-281.868	970.481	1182.278	-309.693	831.344	1246.269	-199.087	937.390	974.790	-278.037	894.962	994.785	-345.618	840.939	941.390	-344.194	868.844	756.136	-369.404	813.805	766.992	-302.522	804.979	930.816	21.448	837.228	952.053	-251.544	982.593	953.431	16.723	997.253	953.940	-232.890	825.462	758.602	69.397	949.279	841.967	56.284	919.799	415.881	45.614	938.404	409.909	-59.712	916.565	314.990	15.391	955.078	77.831	28.940	1030.749	10.952	-13.729	793.737	-13.818	-11.718	831.933	17.489	-14.611	860.311	7.392	44.933	969.699	843.144	-274.248	938.821	421.103	-265.242	940.801	417.489	-167.747	938.387	311.900	-231.276	976.860	84.901	-263.667	1042.372	4.507	-228.715	805.593	-11.319	-216.566	852.634	20.968	-210.617	864.268	-1.636	-278.856	854.315	593.152	-310.239	872.042	921.478	133.472	828.541	1240.444	-5.933	986.340	1465.422	-161.606	985.854	1483.319	-19.522	794.868	668.581	127.231	824.504	649.819	-283.098	860.011	663.753	-279.543
3575	37.22917	00:35:14:10	943.258	1626.413	-104.887	882.687	1590.304	-39.559	897.380	1583.223	-165.332	1007.965	1331.810	-87.091	1030.830	1148.660	-97.973	1016.264	1046.490	-102.057	1024.354	953.232	-105.777	762.900	1041.769	-115.840	791.342	1197.962	-97.890	1032.947	1228.353	-13.172	907.199	1297.320	84.793	867.230	1141.715	88.465	998.703	1148.550	94.696	0.000	0.000	0.000	927.176	971.269	149.076	889.981	746.185	139.463	0.000	0.000	0.000	897.626	1320.529	-279.789	1028.689	1249.874	-187.699	842.025	1177.822	-280.102	967.423	1182.449	-311.267	830.434	1246.269	-198.246	934.273	975.096	-278.043	889.868	995.102	-344.665	835.912	941.768	-341.576	863.075	756.628	-368.058	811.120	767.121	-298.953	805.006	930.804	21.639	837.821	951.927	-251.539	976.756	953.479	19.880	997.265	954.086	-232.728	825.582	758.674	69.616	949.376	842.015	56.448	919.739	415.890	45.698	938.376	409.948	-59.642	916.497	314.994	15.469	955.031	77.813	28.954	1030.729	10.962	-13.714	793.720	-13.833	-11.690	831.915	17.485	-14.629	860.302	7.389	44.925	969.644	842.738	-271.282	938.967	421.116	-265.257	940.815	417.475	-167.742	938.455	311.872	-231.281	976.928	84.900	-263.642	1042.364	4.467	-228.706	805.599	-11.300	-216.625	852.648	20.957	-210.693	864.256	-1.662	-278.885	849.846	592.760	-309.556	872.532	921.664	133.886	828.623	1240.528	-5.413	986.222	1465.306	-161.647	985.889	1483.231	-19.604	795.013	668.901	127.919	821.701	650.045	-280.376	866.383	663.942	-283.668
3576	37.23958	00:35:14:11	943.409	1626.372	-104.971	882.826	1590.401	-39.567	897.404	1583.224	-165.360	1007.875	1332.215	-87.848	1030.664	1148.960	-98.469	1016.283	1046.719	-102.170	1023.609	952.961	-105.550	763.001	1041.918	-115.352	791.076	1198.075	-96.980	1033.154	1228.462	-13.639	907.719	1297.517	85.019	867.633	1141.850	88.867	998.859	1148.940	95.281	0.000	0.000	0.000	928.497	971.265	148.483	890.353	746.380	139.939	0.000	0.000	0.000	895.175	1320.871	-279.205	1028.489	1247.403	-184.182	839.267	1178.347	-278.176	964.079	1182.606	-312.681	829.387	1246.317	-197.317	930.583	975.318	-278.126	884.457	995.453	-343.470	830.624	942.171	-338.654	856.944	757.147	-366.448	807.290	767.392	-295.569	805.091	930.843	21.841	837.879	952.006	-251.288	976.822	953.527	20.007	997.363	954.188	-232.642	825.764	758.776	69.871	949.553	842.008	56.596	919.711	415.926	45.779	938.350	409.973	-59.546	916.459	314.998	15.514	954.992	77.840	28.957	1030.715	11.000	-13.717	793.710	-13.819	-11.713	831.903	17.506	-14.631	860.293	7.389	44.927	969.784	842.774	-271.047	939.138	421.096	-265.282	940.838	417.442	-167.763	938.549	311.853	-231.314	977.017	84.863	-263.595	1042.358	4.429	-228.686	805.616	-11.267	-216.720	852.682	20.972	-210.740	864.279	-1.693	-278.989	846.494	593.195	-307.940	873.079	921.884	134.362	828.730	1240.601	-4.857	986.056	1465.182	-161.663	985.858	1483.191	-19.633	795.199	669.233	128.715	818.794	650.295	-277.384	865.265	663.882	-282.985
3577	37.25000	00:35:14:11	943.552	1626.360	-105.067	882.973	1590.521	-39.586	897.434	1583.209	-165.383	1007.623	1332.415	-88.281	1030.457	1149.203	-98.929	1016.299	1047.044	-102.194	1023.676	953.089	-105.431	763.103	1042.068	-114.847	790.662	1198.330	-96.156	1033.361	1228.685	-14.225	908.294	1297.690	85.240	868.180	1142.014	89.271	999.528	1148.964	95.177	0.000	0.000	0.000	929.237	971.427	148.777	890.773	746.587	140.481	0.000	0.000	0.000	892.795	1321.342	-278.556	1027.491	1247.844	-185.160	836.349	1178.981	-276.092	960.378	1182.678	-313.600	828.200	1246.411	-196.341	926.684	975.480	-278.128	879.307	995.815	-341.948	825.092	942.593	-335.449	850.511	757.698	-364.522	803.227	767.683	-291.952	805.213	930.869	22.036	837.404	951.783	-250.889	976.963	953.586	20.115	997.421	954.353	-232.510	825.977	758.923	70.198	949.809	842.029	56.768	919.663	415.946	46.182	938.356	410.008	-59.452	916.421	315.020	15.594	954.958	77.846	28.987	1030.701	11.031	-13.731	793.702	-13.820	-11.717	831.890	17.489	-14.639	860.277	7.394	44.910	969.906	842.836	-270.791	939.328	421.099	-265.303	940.867	417.410	-167.807	938.624	311.855	-231.367	977.080	84.868	-263.543	1042.367	4.402	-228.702	805.622	-11.214	-216.853	852.704	20.987	-210.908	864.291	-1.734	-279.103	842.950	593.639	-306.389	873.741	922.106	134.893	828.877	1240.556	-4.188	985.931	1465.054	-161.655	985.803	1483.174	-19.633	795.472	669.575	129.547	815.664	650.472	-274.237	864.784	663.926	-282.669
3578	37.26042	00:35:14:11	943.677	1626.336	-105.156	883.118	1590.639	-39.572	897.469	1583.224	-165.375	1007.332	1332.582	-88.737	1030.231	1149.465	-99.449	1016.357	1047.514	-102.315	1023.762	953.253	-105.315	763.137	1042.154	-114.247	790.244	1198.670	-95.217	1033.589	1228.925	-14.829	908.960	1297.868	85.471	868.999	1142.067	89.533	1000.564	1148.880	94.895	0.000	0.000	0.000	930.118	971.618	149.189	891.287	746.784	141.035	828.649	765.709	87.812	890.367	1321.795	-277.884	1026.474	1248.165	-185.892	833.214	1179.587	-273.647	955.590	1182.838	-314.979	826.951	1246.441	-195.203	923.771	975.887	-277.438	873.351	996.095	-340.136	819.097	943.091	-331.760	842.527	758.717	-363.394	798.952	768.026	-287.923	805.242	931.007	22.197	837.948	952.128	-250.797	977.154	953.662	20.227	997.488	954.503	-232.400	827.219	756.279	62.765	950.182	842.089	56.966	919.634	415.958	46.329	938.382	410.019	-59.315	916.374	315.037	15.645	954.921	77.863	28.993	1030.677	11.077	-13.738	793.687	-13.829	-11.728	831.857	17.502	-14.655	860.255	7.406	44.884	970.202	842.776	-270.819	939.491	421.114	-265.329	940.878	417.360	-167.845	938.678	311.841	-231.449	977.164	84.850	-263.488	1042.401	4.344	-228.672	805.641	-11.153	-217.012	852.721	21.025	-211.021	864.287	-1.777	-279.193	839.107	594.177	-304.620	874.533	922.344	135.441	829.079	1240.622	-3.489	985.771	1464.897	-161.642	985.842	1483.117	-19.682	795.790	669.964	130.391	811.294	649.799	-272.896	864.123	663.516	-285.929
3579	37.27083	00:35:14:11	943.844	1626.296	-105.238	883.281	1590.739	-39.532	897.459	1583.235	-165.386	1007.014	1332.793	-89.255	1029.963	1149.710	-100.007	1016.328	1047.945	-102.584	1023.856	953.449	-105.279	763.136	1042.206	-113.585	790.007	1198.647	-94.246	1033.836	1229.194	-15.499	909.690	1298.017	85.666	870.230	1142.182	89.668	1001.211	1149.125	95.067	0.000	0.000	0.000	931.099	971.791	149.483	891.919	746.965	141.526	828.985	766.144	88.641	887.852	1322.220	-277.182	1025.383	1248.548	-186.818	830.010	1180.284	-271.055	951.250	1182.911	-315.711	825.618	1246.491	-193.822	920.072	976.099	-276.619	866.516	996.443	-338.021	813.066	943.528	-327.719	834.462	759.460	-361.027	794.335	768.370	-283.596	805.465	931.064	22.434	838.383	951.714	-251.137	977.380	953.706	20.279	997.514	954.673	-232.336	827.572	756.305	62.871	950.597	842.163	57.143	919.620	415.996	46.462	938.422	410.065	-59.174	916.343	315.049	15.704	954.899	77.860	28.987	1030.669	11.088	-13.727	793.678	-13.814	-11.732	831.864	17.517	-14.666	860.245	7.393	44.887	970.092	843.183	-272.863	939.653	421.111	-265.337	940.874	417.300	-167.843	938.753	311.824	-231.482	977.238	84.840	-263.461	1042.512	4.343	-228.699	805.627	-11.104	-217.129	852.740	21.052	-211.124	864.306	-1.813	-279.281	834.000	595.348	-302.949	875.452	922.570	136.012	829.261	1240.672	-2.762	985.544	1464.754	-161.677	985.877	1483.042	-19.720	796.580	670.264	131.327	807.787	649.072	-268.968	864.262	664.235	-287.717
3580	37.28125	00:35:14:12	944.006	1626.236	-105.301	883.450	1590.873	-39.508	897.484	1583.225	-165.348	1006.675	1333.041	-89.842	1029.693	1150.055	-100.722	1016.205	1048.371	-103.071	1023.982	953.612	-105.267	763.121	1042.268	-112.855	789.654	1198.590	-93.094	1034.122	1229.501	-15.890	910.589	1298.165	85.872	871.018	1142.354	90.301	1002.005	1149.440	95.195	0.000	0.000	0.000	932.264	971.945	149.802	892.619	747.217	142.091	829.482	766.438	89.496	885.145	1322.778	-276.384	1024.110	1249.091	-187.938	826.644	1181.045	-268.106	946.680	1183.100	-316.382	824.253	1246.575	-192.260	915.927	976.398	-275.477	859.945	996.938	-335.368	806.731	944.286	-323.035	827.289	760.101	-357.730	789.481	768.814	-278.875	805.760	931.062	22.741	837.790	952.220	-250.038	977.686	953.790	20.355	997.434	954.401	-232.052	827.966	756.343	63.050	951.050	842.221	57.314	919.660	416.009	46.555	938.459	410.090	-59.113	916.377	315.068	15.759	954.879	77.872	29.019	1030.641	11.108	-13.718	793.680	-13.812	-11.741	831.837	17.524	-14.660	860.236	7.386	44.896	970.232	843.244	-272.666	939.824	421.095	-265.303	940.905	417.253	-167.836	938.821	311.807	-231.507	977.264	84.840	-263.442	1042.561	4.299	-228.688	805.642	-11.051	-217.265	852.759	21.065	-211.240	864.334	-1.815	-279.351	831.867	596.622	-303.915	876.486	922.794	136.605	829.520	1240.708	-1.892	985.332	1464.576	-161.638	985.855	1482.960	-19.739	797.194	670.578	132.683	805.673	649.852	-265.325	864.872	664.210	-286.543
3581	37.29167	00:35:14:12	944.175	1626.161	-105.307	883.604	1590.992	-39.440	897.498	1583.230	-165.304	1006.135	1333.070	-90.116	1029.445	1150.437	-101.502	1016.177	1049.605	-102.740	1024.110	953.812	-105.298	763.116	1042.314	-112.096	789.427	1198.266	-91.982	1034.409	1229.734	-16.475	911.635	1298.340	86.036	871.762	1142.607	91.133	1003.074	1149.540	94.924	0.000	0.000	0.000	933.543	972.084	150.147	893.484	747.399	142.602	830.141	766.774	90.272	882.329	1323.283	-275.529	1022.787	1249.532	-188.890	823.276	1181.885	-264.920	941.921	1183.269	-316.804	822.704	1246.702	-190.662	911.320	976.828	-274.165	850.128	997.487	-333.333	800.455	944.950	-318.059	820.348	760.773	-353.623	784.213	769.281	-273.694	806.010	931.075	23.098	835.964	952.595	-247.438	978.003	953.849	20.394	997.390	954.544	-231.983	826.358	756.496	61.756	951.628	842.216	57.428	919.783	415.995	46.308	938.509	410.112	-59.045	916.444	315.088	15.873	954.875	77.863	29.048	1030.641	11.124	-13.691	793.659	-13.831	-11.728	831.826	17.517	-14.648	860.231	7.417	44.928	970.362	843.269	-272.484	939.909	421.079	-265.265	940.916	417.196	-167.794	938.862	311.817	-231.457	977.285	84.821	-263.390	1042.564	4.235	-228.657	805.624	-11.032	-217.326	852.753	21.077	-211.302	864.325	-1.849	-279.413	826.774	597.155	-300.890	877.686	923.014	137.173	829.773	1240.702	-1.032	985.060	1464.387	-161.606	985.811	1482.829	-19.719	797.806	671.076	133.799	801.465	649.768	-261.026	864.887	664.207	-286.769
3582	37.30208	00:35:14:12	944.368	1626.081	-105.307	883.754	1591.111	-39.365	897.537	1583.230	-165.241	1005.722	1333.303	-90.789	1029.117	1150.735	-102.229	1016.024	1049.881	-103.247	1024.245	954.011	-105.375	763.071	1042.305	-111.210	789.079	1198.222	-90.551	1034.734	1230.053	-17.005	912.731	1298.480	86.251	872.502	1143.042	92.153	1003.916	1149.881	95.197	0.000	0.000	0.000	935.060	972.249	150.407	894.497	747.588	143.084	830.931	767.091	91.185	879.204	1323.817	-274.536	1021.360	1250.011	-189.937	819.850	1182.737	-261.549	936.897	1183.527	-317.139	820.977	1246.853	-189.023	906.390	977.254	-273.046	843.071	998.048	-329.957	794.379	945.577	-312.822	812.109	761.406	-349.187	778.710	769.915	-267.918	806.323	931.062	23.524	836.636	951.825	-247.180	979.147	953.722	19.329	997.285	954.718	-232.021	826.667	756.531	61.994	952.333	842.228	57.485	919.968	415.989	46.384	938.585	410.180	-58.983	916.542	315.110	15.936	954.912	77.890	29.060	1030.625	11.148	-13.709	793.652	-13.809	-11.762	831.808	17.522	-14.642	860.221	7.415	44.938	970.703	842.927	-270.016	940.034	421.056	-265.172	940.979	417.180	-167.706	938.942	311.825	-231.377	977.284	84.850	-263.306	1042.563	4.232	-228.636	805.601	-11.033	-217.390	852.735	21.067	-211.333	864.328	-1.853	-279.436	820.824	597.895	-296.075	878.859	923.245	137.811	830.208	1240.689	-0.025	984.807	1464.203	-161.535	985.744	1482.675	-19.691	798.556	671.514	134.841	796.865	649.928	-256.365	865.600	665.367	-287.294
