NO_OF_FRAMES	421
NO_OF_CAMERAS	13
NO_OF_MARKERS	62
FREQUENCY	95.8
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-03-21, 11:52:52.295	331924.95677212
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LTOE	LMT1	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RTOE	RMT1	RMT5	RTHMB	RMID	RPNKY	LTHMB	LMID	LPNKY	LFRM	LFSH	RBHD	LBHD	LPLM
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Measured	Mixed	Mixed	Measured	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Mixed
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LTOE X	LTOE Y	LTOE Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RTOE X	RTOE Y	RTOE Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RMID X	RMID Y	RMID Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LMID X	LMID Y	LMID Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	LPLM X	LPLM Y	LPLM Z	
1218	12.67708	00:00:00:00	729.448	1624.355	-180.630	674.010	1588.661	-110.745	682.958	1577.042	-237.137	803.593	1333.913	-209.511	826.692	1149.807	-229.212	816.952	1053.403	-224.662	840.240	963.093	-224.396	582.518	1026.875	-155.104	609.413	1189.736	-131.434	861.586	1232.599	-155.844	791.838	1303.774	-10.321	785.370	1145.658	7.973	883.117	1164.733	-72.141	830.528	955.729	-73.263	893.359	985.669	0.478	888.409	758.370	13.595	804.474	764.913	18.724	635.186	1306.065	-350.547	792.039	1245.239	-302.302	587.362	1163.014	-327.868	698.422	1169.431	-390.428	601.570	1243.386	-241.843	681.485	962.223	-363.487	615.268	983.647	-411.003	566.899	935.471	-380.080	561.248	749.984	-387.915	544.065	774.815	-304.627	661.013	922.569	-45.501	624.686	935.403	-320.784	824.097	957.402	-95.009	781.658	955.428	-341.042	692.274	755.806	-9.646	813.535	844.341	-43.718	773.333	418.276	-10.858	790.769	404.004	-114.477	765.410	318.895	-32.472	796.781	82.424	-0.840	873.271	14.697	-28.892	638.443	-14.551	-58.431	676.894	16.991	-56.859	695.897	7.509	5.309	675.104	656.072	-366.262	761.324	841.702	-374.263	764.155	417.096	-364.075	761.141	409.982	-266.286	764.127	308.858	-336.746	808.351	84.101	-373.125	868.094	4.889	-327.218	634.125	-13.758	-382.360	679.137	17.460	-358.626	711.056	-0.099	-423.186	541.505	658.033	-281.920	546.448	599.730	-310.287	563.820	619.299	-342.880	788.342	646.544	29.742	830.609	585.580	17.081	857.033	612.014	0.023	851.497	928.654	27.489	683.852	1233.710	-58.149	776.284	1463.287	-233.500	782.817	1486.982	-92.318	822.378	666.244	63.836
1219	12.68750	00:00:00:00	729.191	1624.390	-180.722	673.779	1588.661	-110.847	682.767	1577.045	-237.240	803.555	1333.936	-209.496	826.748	1149.824	-229.062	817.000	1053.461	-224.460	840.346	963.121	-224.130	582.616	1026.912	-155.331	609.358	1189.709	-131.579	861.510	1232.641	-155.701	791.632	1303.928	-10.263	785.326	1145.766	7.963	882.989	1165.004	-72.267	830.822	956.150	-73.741	893.370	985.851	0.253	888.076	758.483	13.321	804.056	765.343	18.608	635.296	1305.988	-350.706	792.177	1245.261	-302.294	587.410	1162.951	-327.793	698.427	1169.257	-390.542	601.588	1243.356	-242.017	681.468	962.130	-363.585	615.050	983.514	-410.705	566.796	935.277	-379.769	561.427	749.749	-387.808	544.322	774.434	-304.468	660.883	922.584	-45.563	624.926	935.386	-320.896	823.920	957.435	-94.715	781.926	955.434	-340.900	692.090	755.778	-9.672	813.404	844.318	-43.567	773.305	418.287	-10.788	790.805	404.025	-114.384	765.396	318.899	-32.386	796.783	82.434	-0.763	873.280	14.707	-28.831	638.461	-14.552	-58.420	676.893	16.997	-56.856	695.889	7.498	5.329	675.389	656.107	-366.371	761.678	841.706	-374.088	764.340	417.124	-364.080	761.154	409.965	-266.317	764.236	308.860	-336.772	808.397	84.097	-373.070	868.090	4.883	-327.192	634.122	-13.763	-382.370	679.134	17.477	-358.645	711.075	-0.089	-423.193	541.985	657.623	-281.913	546.991	599.355	-310.424	564.314	618.891	-342.858	788.073	646.966	29.144	829.943	585.849	16.928	856.288	612.250	-0.138	851.475	928.873	27.277	683.679	1233.763	-58.204	776.157	1463.366	-233.602	782.674	1487.026	-92.464	821.523	666.593	63.957
1220	12.69792	00:00:00:00	728.967	1624.419	-180.799	673.552	1588.632	-110.941	682.566	1577.042	-237.337	803.656	1333.703	-209.223	826.778	1149.843	-228.923	817.031	1053.516	-224.281	840.398	963.168	-223.855	582.695	1026.912	-155.523	609.302	1189.700	-131.698	861.463	1232.743	-155.538	791.422	1304.077	-10.219	785.252	1145.895	8.022	882.899	1165.287	-72.361	830.611	956.461	-73.833	893.402	986.057	0.033	887.589	758.659	13.113	803.633	765.754	18.437	635.374	1305.905	-350.842	792.741	1245.573	-302.600	587.478	1162.922	-327.721	698.374	1169.092	-390.662	601.602	1243.338	-242.151	681.277	962.053	-363.407	614.861	983.398	-410.470	566.659	935.101	-379.441	561.585	749.534	-387.737	544.652	774.067	-304.304	660.733	922.595	-45.597	625.079	935.376	-320.904	823.873	957.432	-94.548	782.163	955.444	-340.718	691.904	755.755	-9.679	813.307	844.301	-43.452	773.288	418.266	-10.746	790.836	404.034	-114.283	765.401	318.915	-32.308	796.791	82.442	-0.709	873.264	14.717	-28.821	638.491	-14.550	-58.423	676.902	17.003	-56.839	695.897	7.486	5.329	675.610	656.124	-366.474	762.000	841.714	-373.943	764.467	417.143	-364.077	761.158	409.951	-266.325	764.289	308.848	-336.764	808.453	84.111	-373.047	868.091	4.849	-327.153	634.145	-13.753	-382.381	679.148	17.501	-358.674	711.085	-0.086	-423.205	542.647	657.164	-281.864	547.712	598.895	-310.694	564.870	618.598	-343.059	787.353	647.469	29.091	829.000	586.221	16.852	855.392	612.469	-0.240	851.456	929.083	27.048	683.510	1233.800	-58.223	776.025	1463.400	-233.687	782.485	1487.077	-92.557	820.869	666.965	63.871
1221	12.70833	00:00:00:00	728.750	1624.423	-180.904	673.328	1588.626	-111.042	682.375	1577.021	-237.464	803.611	1333.724	-209.207	826.794	1149.850	-228.803	817.078	1053.582	-224.073	840.488	963.176	-223.594	582.722	1026.902	-155.655	609.268	1189.670	-131.849	861.384	1232.835	-155.398	791.207	1304.226	-10.173	785.203	1146.031	8.069	882.770	1165.582	-72.457	830.557	956.719	-73.997	893.424	986.241	-0.237	887.077	758.849	12.968	803.180	766.138	18.304	635.429	1305.848	-350.961	792.874	1245.602	-302.581	587.497	1162.876	-327.582	698.251	1168.959	-390.795	601.622	1243.311	-242.293	681.094	961.972	-363.278	614.537	983.299	-410.148	566.462	934.863	-378.994	561.715	749.324	-387.689	545.021	773.597	-304.129	660.608	922.572	-45.612	625.249	935.360	-320.961	823.790	957.434	-94.329	782.417	955.456	-340.561	691.743	755.727	-9.712	813.220	844.306	-43.331	773.259	418.249	-10.661	790.862	404.010	-114.167	765.373	318.903	-32.228	796.790	82.449	-0.673	873.265	14.710	-28.770	638.485	-14.544	-58.427	676.915	17.011	-56.833	695.893	7.483	5.321	675.834	656.175	-366.538	762.265	841.774	-373.870	764.556	417.145	-364.115	761.163	409.916	-266.320	764.348	308.836	-336.765	808.476	84.113	-372.997	868.102	4.834	-327.151	634.179	-13.746	-382.391	679.174	17.512	-358.699	711.119	-0.071	-423.192	543.360	656.653	-281.904	548.531	598.508	-310.833	565.641	617.077	-343.628	786.182	648.006	29.599	827.949	586.488	16.782	854.366	612.688	-0.364	851.410	929.321	26.846	683.346	1233.818	-58.221	775.858	1463.430	-233.756	782.328	1487.137	-92.640	820.483	667.361	63.574
1222	12.71875	00:00:00:00	728.511	1624.433	-181.040	673.116	1588.641	-111.161	682.177	1576.983	-237.568	803.544	1333.734	-209.168	826.799	1149.877	-228.680	817.106	1053.655	-223.866	840.561	963.184	-223.373	582.699	1026.898	-155.757	609.230	1189.651	-131.975	861.355	1232.883	-155.262	791.029	1304.386	-10.113	785.170	1146.168	8.105	882.658	1165.878	-72.534	830.365	956.940	-74.085	893.396	986.431	-0.411	886.563	758.997	12.877	802.680	766.507	18.273	635.442	1305.781	-351.070	792.988	1245.728	-302.683	587.497	1162.852	-327.444	698.121	1168.811	-390.908	601.633	1243.301	-242.379	680.863	961.907	-363.154	614.088	983.204	-409.741	566.209	934.685	-378.519	561.825	749.115	-387.658	545.390	773.143	-303.908	660.497	922.585	-45.621	625.405	935.344	-320.996	823.694	957.433	-94.113	782.647	955.450	-340.357	691.602	755.703	-9.703	813.138	844.309	-43.150	773.189	418.244	-10.564	790.888	404.008	-114.139	765.340	318.910	-32.169	796.767	82.412	-0.644	873.270	14.708	-28.757	638.490	-14.554	-58.424	676.924	17.015	-56.850	695.889	7.487	5.327	675.991	656.190	-366.544	762.520	841.784	-373.735	764.595	417.134	-364.099	761.107	409.914	-266.325	764.357	308.840	-336.744	808.518	84.114	-372.986	868.109	4.814	-327.126	634.190	-13.733	-382.406	679.221	17.526	-358.717	711.139	-0.061	-423.212	544.175	656.127	-282.007	549.404	598.124	-311.139	566.143	617.890	-343.763	785.330	648.442	29.535	826.876	586.955	16.658	853.377	612.930	-0.457	851.296	929.576	26.692	683.184	1233.861	-58.238	775.688	1463.422	-233.816	782.195	1487.179	-92.724	819.726	667.711	63.508
1223	12.72917	00:00:00:00	728.298	1624.411	-181.149	672.891	1588.641	-111.261	681.939	1576.942	-237.684	803.468	1333.768	-209.151	826.814	1149.912	-228.558	817.152	1053.692	-223.684	840.609	963.186	-223.173	582.614	1026.870	-155.837	609.223	1189.622	-132.081	861.299	1232.953	-155.137	790.873	1304.532	-10.061	785.090	1146.308	8.171	882.567	1166.150	-72.528	830.319	957.266	-74.296	893.334	986.577	-0.553	886.009	759.091	12.652	802.128	766.865	18.223	635.424	1305.717	-351.131	793.108	1245.783	-302.703	587.489	1162.842	-327.228	697.918	1168.707	-391.051	601.640	1243.271	-242.443	680.605	961.840	-363.060	613.710	983.096	-409.392	565.921	934.514	-377.965	561.869	748.870	-387.631	545.827	772.636	-303.646	660.419	922.573	-45.625	625.511	935.348	-320.968	823.611	957.435	-93.894	782.813	955.456	-340.161	691.496	755.689	-9.650	813.063	844.293	-43.012	773.119	418.228	-10.498	790.892	404.017	-114.026	765.289	318.880	-32.140	796.734	82.389	-0.637	873.271	14.702	-28.740	638.503	-14.543	-58.407	676.926	17.000	-56.870	695.889	7.502	5.315	676.110	656.213	-366.521	762.746	841.729	-373.513	764.596	417.136	-364.100	761.078	409.886	-266.316	764.350	308.811	-336.715	808.536	84.105	-372.972	868.112	4.809	-327.134	634.203	-13.731	-382.413	679.213	17.520	-358.699	711.141	-0.069	-423.207	545.015	655.512	-282.076	550.305	597.583	-311.437	567.366	617.897	-344.808	784.864	648.909	29.008	825.792	587.484	16.534	852.299	613.172	-0.538	851.162	929.795	26.557	683.011	1233.917	-58.235	775.522	1463.394	-233.880	781.980	1487.192	-92.774	818.630	668.031	63.718
1224	12.73958	00:00:00:00	728.096	1624.385	-181.240	672.684	1588.616	-111.343	681.765	1576.879	-237.803	803.417	1333.797	-209.133	826.781	1149.968	-228.426	817.174	1053.739	-223.518	840.662	963.182	-223.004	582.534	1026.850	-155.849	609.211	1189.603	-132.151	861.245	1233.041	-155.009	790.734	1304.659	-10.016	785.002	1146.474	8.201	882.479	1166.363	-72.548	830.099	957.380	-74.258	893.268	986.703	-0.652	885.387	759.289	12.664	801.568	767.193	18.191	635.377	1305.628	-351.178	793.153	1245.832	-302.728	587.446	1162.788	-327.012	697.669	1168.600	-391.145	601.657	1243.228	-242.487	680.318	961.789	-362.954	613.236	983.031	-408.946	565.623	934.313	-377.457	562.895	748.557	-387.667	546.216	772.161	-303.489	660.314	922.578	-45.597	625.631	935.345	-320.946	823.578	957.416	-93.757	782.958	955.440	-340.042	691.394	755.671	-9.593	812.993	844.294	-42.900	773.041	418.204	-10.447	790.911	404.001	-113.959	765.252	318.862	-32.137	796.712	82.373	-0.622	873.266	14.686	-28.728	638.508	-14.541	-58.434	676.933	16.999	-56.888	695.891	7.480	5.313	676.175	656.254	-366.508	762.866	841.742	-373.410	764.546	417.121	-364.083	761.046	409.872	-266.312	764.325	308.784	-336.697	808.518	84.105	-372.969	868.125	4.798	-327.144	634.212	-13.719	-382.420	679.216	17.530	-358.719	711.138	-0.052	-423.212	545.954	654.965	-282.155	551.210	596.999	-311.944	567.969	617.529	-345.204	783.994	649.354	28.932	824.707	587.938	16.460	851.311	613.395	-0.631	851.000	930.006	26.462	682.874	1233.963	-58.212	775.343	1463.354	-233.916	781.777	1487.194	-92.834	817.780	668.379	63.666
1225	12.75000	00:00:00:00	727.901	1624.357	-181.340	672.474	1588.629	-111.440	681.562	1576.842	-237.909	803.336	1333.837	-209.087	826.786	1150.026	-228.305	817.208	1053.749	-223.371	840.677	963.189	-222.857	582.457	1026.840	-155.819	609.215	1189.579	-132.194	861.182	1233.097	-154.919	790.607	1304.794	-9.972	784.927	1146.609	8.231	882.412	1166.542	-72.513	830.043	957.473	-74.346	893.152	986.820	-0.723	884.776	759.344	12.662	800.999	767.542	18.148	635.321	1305.530	-351.181	793.189	1245.848	-302.682	587.370	1162.764	-326.759	697.401	1168.441	-391.228	601.669	1243.166	-242.476	680.028	961.706	-362.824	612.855	982.930	-408.618	565.328	934.087	-376.891	562.954	748.353	-387.657	546.648	771.721	-303.303	660.256	922.542	-45.549	625.723	935.361	-320.899	823.461	957.429	-93.573	783.026	955.446	-339.924	691.325	755.639	-9.537	812.883	844.300	-42.766	772.986	418.178	-10.398	790.935	403.994	-113.889	765.226	318.852	-32.122	796.708	82.349	-0.628	873.279	14.677	-28.701	638.503	-14.550	-58.435	676.939	16.989	-56.895	695.897	7.488	5.328	676.196	656.253	-366.446	762.970	841.751	-373.295	764.512	417.126	-364.047	761.018	409.871	-266.286	764.293	308.796	-336.674	808.496	84.099	-372.969	868.111	4.800	-327.134	634.212	-13.745	-382.423	679.202	17.547	-358.716	711.129	-0.062	-423.218	546.890	654.350	-282.285	552.158	596.561	-312.305	568.584	617.184	-345.711	782.652	649.827	29.475	823.633	588.177	16.489	852.265	615.386	-0.091	850.797	930.194	26.387	682.730	1234.015	-58.178	775.159	1463.330	-233.966	781.548	1487.214	-92.870	817.199	668.633	63.412
1226	12.76042	00:00:00:00	727.697	1624.345	-181.439	672.243	1588.623	-111.548	681.374	1576.786	-237.982	803.223	1333.877	-209.072	826.776	1150.043	-228.202	817.180	1053.750	-223.229	840.669	963.177	-222.734	582.379	1026.827	-155.743	609.200	1189.541	-132.194	861.143	1233.198	-154.845	790.500	1304.964	-9.901	784.827	1146.736	8.288	882.368	1166.668	-72.477	830.165	957.700	-74.566	892.951	986.944	-0.712	884.165	759.461	12.676	800.390	767.842	18.085	635.226	1305.406	-351.182	793.168	1245.865	-302.645	587.263	1162.697	-326.495	697.110	1168.274	-391.274	601.656	1243.090	-242.459	679.701	961.575	-362.675	612.329	982.811	-408.119	565.015	933.814	-376.311	562.020	748.267	-387.599	547.109	771.110	-303.073	660.179	922.539	-45.485	625.787	935.347	-320.842	823.539	957.389	-93.564	783.047	955.437	-339.823	691.266	755.614	-9.437	812.789	844.310	-42.643	772.959	418.153	-10.354	790.970	403.983	-113.838	765.217	318.845	-32.109	796.704	82.348	-0.620	873.267	14.681	-28.696	638.520	-14.567	-58.446	676.932	17.008	-56.907	695.882	7.486	5.319	676.199	656.275	-366.368	762.979	841.789	-373.213	764.489	417.121	-364.002	760.997	409.881	-266.245	764.269	308.786	-336.665	808.500	84.114	-372.955	868.114	4.800	-327.157	634.213	-13.735	-382.423	679.211	17.541	-358.743	711.134	-0.077	-423.234	547.798	653.741	-282.394	553.004	596.037	-312.558	569.190	616.830	-346.290	782.244	650.239	28.896	822.580	588.063	16.674	849.253	613.751	-0.635	850.537	930.363	26.367	682.638	1234.052	-58.131	774.976	1463.280	-234.009	781.344	1487.225	-92.897	815.993	668.952	63.710
1227	12.77083	00:00:00:00	727.495	1624.321	-181.559	672.044	1588.610	-111.648	681.215	1576.734	-238.081	803.142	1333.887	-209.027	826.727	1150.079	-228.083	817.192	1053.766	-223.127	840.634	963.169	-222.641	582.291	1026.785	-155.660	609.204	1189.506	-132.144	861.056	1233.264	-154.780	790.426	1305.133	-9.846	784.688	1146.924	8.349	882.385	1166.808	-72.391	829.842	957.913	-74.353	892.724	987.062	-0.666	883.552	759.617	12.792	799.734	768.206	18.125	635.076	1305.298	-351.130	793.087	1245.845	-302.593	587.188	1162.602	-326.148	696.826	1168.063	-391.282	601.597	1242.996	-242.405	679.368	961.421	-362.528	611.877	982.680	-407.713	564.719	933.555	-375.770	562.032	748.073	-387.577	547.482	770.535	-302.878	660.132	922.520	-45.409	625.748	935.371	-320.662	823.442	957.386	-93.471	783.048	955.461	-339.757	691.204	755.598	-9.368	812.686	844.311	-42.554	772.970	418.159	-10.320	790.970	404.000	-113.799	765.229	318.846	-32.061	796.705	82.350	-0.578	873.266	14.659	-28.697	638.520	-14.578	-58.439	676.937	17.009	-56.907	695.887	7.496	5.320	676.147	656.254	-366.275	762.988	841.807	-373.154	764.453	417.129	-363.980	761.003	409.858	-266.186	764.269	308.789	-336.616	808.492	84.108	-372.963	868.109	4.805	-327.137	634.209	-13.722	-382.431	679.208	17.538	-358.738	711.147	-0.059	-423.249	548.646	653.098	-282.480	553.853	595.515	-313.160	569.327	615.006	-346.433	780.915	650.550	29.322	821.565	588.330	16.678	848.322	613.989	-0.574	850.216	930.527	26.376	682.562	1234.095	-58.090	774.806	1463.232	-234.023	781.143	1487.225	-92.929	815.454	669.241	63.463
