NO_OF_FRAMES	1498
NO_OF_CAMERAS	13
NO_OF_MARKERS	64
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-03-22, 10:59:44.227	7136.14803775
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LTOE	LMT1	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RTOE	RMT1	RMT5	RTHMB	RINDX	RPNKY	LTHMB	LINDX	LPNKY	LFRM	LFSH	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LTOE X	LTOE Y	LTOE Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RTOE X	RTOE Y	RTOE Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
3525	35.24000	01:04:35:12	-36.824	1459.479	8.859	-52.567	1393.879	59.267	-5.516	1394.676	-44.462	259.272	1342.694	134.751	348.680	1153.026	165.086	350.868	1018.971	152.955	389.497	941.160	153.464	143.309	897.433	158.462	127.324	1021.777	151.168	109.969	1170.937	132.595	328.020	1233.852	241.673	176.801	1321.669	333.383	153.823	1183.520	346.542	269.046	1199.968	358.559	277.017	959.206	327.225	225.729	973.970	411.506	206.422	784.523	399.328	167.072	807.747	327.293	224.902	1269.661	-56.328	344.148	1223.011	79.879	210.696	1162.549	-55.859	338.567	1173.883	-14.711	146.510	1221.163	48.177	318.443	911.308	-5.722	336.274	949.786	-88.096	289.932	912.344	-116.932	315.306	736.314	-132.117	232.671	756.410	-110.033	189.198	907.140	260.531	181.539	905.796	41.572	352.135	940.056	263.297	359.868	938.095	29.210	183.238	736.405	300.805	342.173	779.549	319.560	80.365	395.100	229.396	96.303	404.414	123.080	126.527	249.844	185.010	286.408	39.445	210.717	359.203	13.689	172.609	136.860	-16.107	155.022	164.972	13.159	151.192	195.599	6.442	224.184	144.730	693.855	-76.193	319.411	814.690	-31.040	78.405	460.608	-192.175	74.428	408.930	-99.022	105.643	320.858	-252.380	230.342	115.999	-383.762	286.811	93.979	-336.865	117.655	-2.088	-414.624	137.859	16.410	-399.469	169.158	38.699	-444.991	206.044	616.093	-137.595	235.692	573.995	-116.173	265.943	601.095	-105.092	145.810	655.539	302.871	184.143	609.481	308.764	215.507	630.018	339.264	179.124	933.575	376.400	119.895	1242.619	217.377	135.699	1439.774	11.064	82.106	1444.667	142.414	249.221	656.219	-184.733	140.902	680.539	372.328
3526	35.25000	01:04:35:12	-37.650	1460.052	11.371	-52.940	1394.668	61.960	-6.368	1395.435	-42.400	259.366	1344.363	135.839	349.394	1154.727	165.984	352.188	1020.585	153.786	390.728	942.622	154.583	144.324	899.016	158.392	128.335	1023.180	151.117	110.661	1172.038	132.986	328.232	1235.394	242.575	176.803	1322.496	334.352	154.077	1184.313	347.412	269.196	1200.841	359.431	277.480	960.043	328.393	225.327	974.944	412.676	207.115	785.426	400.858	168.518	808.669	327.783	225.153	1271.568	-55.535	344.935	1225.253	80.730	211.583	1164.346	-54.937	339.436	1176.519	-14.125	147.064	1222.657	48.777	320.573	913.532	-4.204	337.847	951.961	-86.923	291.138	914.559	-115.210	314.850	738.394	-130.174	232.724	759.289	-107.244	189.663	908.831	260.820	183.325	907.057	41.716	352.727	941.439	264.314	361.836	939.111	30.187	184.450	737.699	301.864	342.472	781.148	320.526	82.131	396.034	229.260	98.475	405.525	123.096	127.845	250.761	184.622	286.611	39.641	211.245	359.250	13.584	172.649	136.878	-16.095	154.987	165.011	13.124	151.103	195.620	6.505	224.021	144.717	696.344	-74.726	320.656	815.620	-30.339	74.494	462.831	-188.014	68.795	412.224	-94.106	103.015	322.186	-246.174	230.730	116.169	-372.439	285.961	94.264	-324.047	118.566	-2.011	-405.292	138.469	16.451	-389.875	170.836	38.644	-434.511	206.170	620.339	-129.971	233.350	576.825	-112.990	264.118	603.840	-102.258	146.888	656.064	304.625	185.187	610.032	310.826	216.691	630.979	341.230	179.562	934.355	377.618	120.349	1243.391	218.000	134.774	1440.873	12.085	82.287	1445.919	143.912	247.528	658.802	-181.897	141.807	681.177	374.139
3527	35.26000	01:04:35:12	-38.756	1460.924	13.801	-53.378	1395.469	64.603	-7.700	1396.140	-40.117	259.459	1345.969	136.834	350.078	1156.508	166.798	353.317	1022.136	154.476	391.930	943.966	155.611	145.333	900.565	158.193	129.304	1024.493	150.927	111.266	1173.199	133.277	328.645	1237.040	243.423	176.805	1323.220	335.193	154.352	1185.013	348.080	269.442	1201.656	359.951	277.921	960.895	329.403	225.746	975.959	413.680	207.848	786.359	402.361	169.397	809.261	329.009	225.313	1273.470	-54.837	345.683	1227.560	81.441	211.883	1165.867	-53.861	340.197	1179.131	-13.682	147.501	1224.140	49.263	322.690	915.756	-2.889	339.352	954.057	-85.846	292.251	916.776	-113.651	314.411	740.471	-128.340	232.745	762.091	-104.652	188.700	910.131	261.400	185.239	908.550	41.927	353.180	943.071	265.270	363.725	940.250	31.153	183.590	738.976	301.580	342.662	782.747	321.440	84.015	396.872	228.786	100.708	406.634	123.013	128.819	251.665	184.532	286.621	39.715	211.214	359.318	13.458	172.679	136.931	-16.106	154.976	165.057	13.092	150.981	195.638	6.582	223.849	144.767	698.769	-73.131	322.109	816.585	-29.667	70.684	464.939	-183.710	63.323	415.589	-89.035	100.744	323.407	-239.583	231.305	116.043	-360.769	285.211	94.495	-310.894	119.509	-2.016	-395.414	139.193	16.586	-379.848	172.669	38.509	-423.595	211.739	623.744	-122.814	231.230	579.577	-109.827	262.653	606.549	-99.443	147.841	656.580	306.559	186.190	610.708	312.753	217.432	631.615	343.217	179.999	935.176	378.726	120.743	1244.299	218.537	133.833	1441.967	13.120	82.417	1447.177	145.311	247.553	661.024	-177.749	142.818	681.896	375.971
3528	35.27000	01:04:35:13	-39.712	1461.700	16.070	-53.833	1396.332	67.103	-8.963	1396.978	-37.997	259.499	1347.635	137.622	350.782	1158.086	167.472	353.900	1023.488	154.592	392.573	945.425	156.511	146.381	902.262	158.105	130.290	1025.798	150.715	111.847	1174.330	133.507	328.925	1238.549	243.986	176.841	1323.951	335.834	154.604	1185.913	348.800	269.722	1202.624	360.513	278.258	961.794	330.226	226.221	976.931	414.505	208.670	787.321	403.799	170.325	809.873	330.248	225.399	1275.394	-54.238	346.317	1229.705	81.947	212.472	1167.700	-53.204	340.867	1181.695	-13.418	147.937	1225.617	49.710	326.178	917.620	-0.989	340.763	956.200	-84.962	293.299	918.958	-112.248	314.016	742.508	-126.575	232.803	764.828	-102.079	188.852	911.832	261.699	187.012	909.789	42.084	353.569	944.569	266.119	365.632	941.389	31.919	184.155	740.134	302.172	342.806	784.474	322.292	85.861	397.796	228.313	102.956	407.701	122.754	130.033	252.544	184.119	286.666	39.763	211.128	359.352	13.350	172.744	136.957	-16.085	154.953	165.105	13.037	150.865	195.661	6.663	223.639	144.808	701.087	-71.448	323.673	817.454	-28.973	66.934	466.966	-179.219	58.846	418.770	-83.725	98.152	324.468	-232.724	231.933	116.015	-348.754	284.633	94.881	-297.493	119.545	-1.755	-385.015	139.916	16.751	-369.357	174.638	38.218	-412.231	203.294	626.039	-122.855	229.504	582.413	-106.630	261.467	609.175	-96.622	148.860	657.078	308.417	187.327	611.337	314.754	218.714	632.441	345.099	180.479	936.009	379.723	121.056	1245.346	219.052	132.862	1443.123	13.960	82.560	1448.354	146.644	245.959	663.448	-175.096	143.812	682.605	377.855
3529	35.28000	01:04:35:13	-40.694	1462.501	18.340	-54.284	1397.216	69.576	-10.270	1397.737	-35.937	259.551	1349.224	138.288	351.363	1159.688	168.030	355.818	1025.111	155.903	393.008	946.279	157.624	147.390	903.777	157.812	131.272	1027.163	150.485	112.377	1175.515	133.623	329.366	1240.066	244.494	176.962	1324.862	336.439	154.900	1186.655	349.210	269.999	1203.492	360.810	278.700	962.675	330.881	226.788	978.006	415.225	209.544	788.319	405.127	171.110	810.532	331.499	225.493	1277.319	-53.717	346.943	1231.562	82.710	213.302	1169.664	-52.733	341.556	1184.217	-13.260	148.366	1227.081	50.060	330.051	920.992	-0.397	341.979	958.332	-84.257	294.837	921.194	-110.946	313.656	744.543	-124.949	232.865	767.479	-99.639	189.228	913.551	261.799	188.840	910.933	41.869	353.454	946.031	266.648	367.565	942.287	32.468	184.687	741.375	302.617	342.844	786.141	323.029	87.609	398.761	227.707	105.235	408.800	122.431	131.121	253.428	183.732	286.671	39.833	211.023	359.396	13.273	172.775	136.988	-16.114	154.917	165.136	12.998	150.729	195.690	6.752	223.419	144.902	703.341	-69.831	325.367	818.290	-28.351	63.314	468.966	-174.569	54.169	421.928	-78.276	95.915	325.627	-225.770	232.593	116.116	-336.621	284.223	95.492	-283.989	120.180	-2.043	-372.447	141.108	17.019	-358.648	176.791	37.726	-400.369	207.855	628.960	-117.249	227.847	585.051	-103.459	260.526	611.701	-93.924	149.641	657.681	310.424	187.982	611.925	316.610	219.698	633.198	346.787	181.005	936.924	380.662	121.459	1246.282	219.412	131.905	1444.251	14.832	82.692	1449.638	147.878	242.989	666.028	-173.763	144.800	683.424	379.671
3530	35.29000	01:04:35:13	-41.646	1463.343	20.517	-54.613	1398.195	72.100	-12.256	1398.582	-34.147	259.615	1350.902	138.885	351.886	1161.295	168.538	356.264	1026.438	155.889	396.475	948.218	160.217	148.378	905.408	157.410	132.172	1028.546	150.165	112.913	1176.727	133.691	329.604	1241.648	244.873	177.039	1325.652	336.878	155.152	1187.491	349.577	270.204	1204.423	360.983	279.004	963.555	331.351	227.423	979.039	415.810	210.525	789.336	406.309	171.893	811.271	332.717	225.731	1279.352	-53.425	347.546	1233.734	83.031	213.856	1171.544	-52.431	342.089	1186.701	-13.256	148.787	1228.577	50.300	331.829	923.448	0.449	342.998	960.493	-83.716	295.584	923.323	-109.943	313.308	746.545	-123.411	232.972	770.009	-97.344	189.600	915.161	261.663	190.579	912.183	41.756	353.714	947.641	267.395	369.885	945.368	30.365	185.186	742.587	302.915	342.745	787.893	323.720	89.359	399.690	227.069	107.503	409.915	122.020	132.471	254.330	183.038	286.648	39.915	210.925	359.425	13.178	172.834	136.995	-16.100	154.879	165.161	12.953	150.556	195.708	6.808	223.138	145.018	705.484	-68.190	327.697	819.295	-27.596	59.735	470.875	-169.776	49.891	425.134	-72.721	93.846	326.871	-218.932	233.292	116.346	-324.276	284.151	96.420	-270.683	120.921	-2.462	-359.531	142.098	17.220	-346.831	178.529	37.163	-387.789	198.372	629.683	-118.718	226.704	587.676	-100.279	259.697	614.338	-91.327	150.519	658.156	312.710	188.794	612.532	318.369	220.489	634.125	348.496	181.601	937.820	381.522	121.904	1247.212	219.606	130.866	1445.372	15.518	82.794	1450.822	149.005	243.242	667.971	-169.837	145.847	684.329	381.454
3531	35.30000	01:04:35:13	-42.623	1464.259	22.596	-55.065	1399.138	74.340	-13.661	1399.531	-32.213	259.615	1352.545	139.317	352.381	1162.796	169.008	358.046	1028.224	157.117	397.284	950.153	161.151	149.278	906.993	156.897	133.015	1029.869	149.736	113.449	1177.933	133.650	329.804	1243.137	245.134	177.076	1326.409	337.190	155.405	1188.316	349.825	270.457	1205.395	361.101	279.437	964.584	331.702	228.053	980.171	416.306	211.502	790.407	407.457	173.004	812.107	333.114	225.781	1281.329	-53.131	348.067	1235.886	83.290	214.378	1173.402	-52.041	342.527	1189.186	-13.314	149.154	1230.116	50.400	333.098	925.812	1.209	343.916	962.564	-83.319	296.204	925.392	-109.010	312.994	748.553	-122.023	233.015	772.434	-95.168	189.859	916.873	261.441	192.414	913.734	42.152	353.908	949.233	268.063	371.312	944.666	33.978	185.576	743.801	303.121	342.513	789.596	324.478	91.146	400.670	226.359	109.792	410.916	121.510	133.771	255.206	182.336	286.652	39.967	210.813	359.475	13.095	172.853	137.037	-16.101	154.846	165.199	12.900	150.388	195.685	6.884	222.881	145.183	707.528	-66.537	330.156	820.248	-27.136	56.244	472.721	-164.878	45.864	428.336	-67.024	91.660	327.908	-211.496	234.001	116.624	-311.873	283.679	97.393	-258.057	121.433	-2.739	-346.098	142.695	17.642	-333.973	179.835	36.408	-374.529	198.664	633.184	-115.334	225.870	590.272	-97.206	259.179	616.695	-88.722	151.371	658.686	314.651	189.410	613.241	320.074	221.819	635.022	350.133	182.210	938.771	382.368	122.207	1248.204	219.770	129.864	1446.565	16.168	82.924	1452.097	150.004	240.573	670.250	-168.618	146.926	685.128	383.213
3532	35.31000	01:04:35:14	-43.644	1465.162	24.662	-55.537	1400.153	76.519	-15.103	1400.402	-30.397	259.587	1354.229	139.720	352.827	1164.320	169.470	358.117	1029.547	157.045	398.037	951.248	161.603	150.160	908.552	156.234	133.867	1031.373	149.227	113.601	1179.300	133.042	330.075	1244.776	245.408	177.102	1327.369	337.451	155.641	1189.116	349.939	270.708	1206.332	361.002	279.822	965.542	331.946	228.803	981.296	416.772	212.537	791.475	408.464	174.027	812.760	333.853	225.967	1283.362	-53.027	348.571	1238.021	83.577	215.621	1175.455	-52.019	342.918	1191.618	-13.537	149.559	1231.681	50.416	334.470	928.217	1.712	344.580	964.600	-83.075	296.625	927.415	-108.296	312.691	750.500	-120.646	233.081	774.697	-93.150	190.057	918.523	261.057	194.151	915.106	41.838	353.941	950.933	268.858	373.312	946.618	34.688	185.848	744.973	303.145	342.219	791.281	325.153	93.022	401.617	225.624	112.169	411.958	121.007	134.939	256.074	181.699	286.633	40.051	210.663	359.512	13.048	172.939	137.042	-16.102	154.823	165.223	12.850	150.205	195.686	6.974	222.606	145.384	709.553	-64.858	333.623	821.782	-28.309	52.871	474.649	-159.999	42.155	431.546	-61.308	89.669	328.821	-203.806	235.042	116.837	-299.266	285.142	98.699	-244.873	121.285	-2.738	-331.753	142.735	18.236	-320.309	180.644	35.441	-360.634	198.203	635.650	-112.554	225.350	592.707	-94.192	258.684	619.000	-86.242	152.166	659.343	316.253	190.080	613.957	321.624	222.791	635.964	351.500	182.868	939.756	383.101	122.453	1249.298	219.835	128.835	1447.781	16.693	83.007	1453.194	150.911	239.588	672.175	-166.172	147.941	686.093	384.886
3533	35.32000	01:04:35:14	-44.647	1466.108	26.583	-55.990	1401.163	78.644	-16.400	1401.410	-28.715	259.694	1356.403	140.135	353.194	1165.867	169.834	359.815	1031.558	158.189	398.884	953.192	162.516	151.032	910.077	155.446	134.660	1032.867	148.651	114.051	1180.553	132.818	330.846	1246.693	246.603	177.080	1328.206	337.530	155.826	1189.966	350.060	270.978	1207.372	360.954	280.193	966.596	332.082	229.583	982.461	417.109	213.563	792.686	409.411	174.935	813.597	334.554	226.410	1285.567	-52.947	349.013	1240.192	83.777	215.904	1177.316	-51.868	343.253	1193.985	-13.834	149.904	1233.191	50.354	335.628	930.548	2.111	345.138	966.603	-83.002	296.927	929.373	-107.617	312.454	752.336	-119.398	233.179	776.924	-91.287	190.207	920.192	260.636	195.641	916.347	41.443	353.960	952.550	269.518	375.199	947.788	35.318	185.956	746.257	302.908	341.885	793.007	325.662	94.877	402.625	224.800	114.610	413.022	120.311	135.925	257.046	181.258	286.601	40.149	210.508	359.529	12.994	172.992	137.052	-16.098	154.792	165.234	12.790	150.019	195.656	7.081	222.314	145.674	711.562	-63.133	335.436	822.792	-27.752	49.630	476.598	-155.141	38.669	434.788	-55.595	87.864	329.733	-196.036	236.073	117.183	-286.643	285.990	99.853	-232.127	120.592	-2.627	-316.446	142.134	19.345	-306.142	180.976	34.312	-346.163	197.891	637.855	-109.808	224.919	595.133	-91.253	258.458	621.112	-83.775	152.928	660.151	317.644	191.023	614.773	323.072	223.468	636.942	352.862	183.538	940.764	383.741	122.611	1250.376	219.795	127.736	1449.046	16.999	83.324	1454.447	151.480	238.783	674.027	-163.834	149.004	687.199	386.357
3534	35.33000	01:04:35:14	-45.588	1466.992	28.362	-56.432	1402.190	80.642	-17.939	1402.327	-27.039	259.642	1358.108	140.326	353.579	1167.444	170.140	360.530	1033.191	158.587	399.615	954.865	163.243	151.858	911.569	154.689	135.384	1034.356	147.933	114.771	1181.743	132.950	330.912	1248.309	246.658	176.993	1329.030	337.554	156.036	1190.853	350.045	271.258	1208.436	360.726	280.686	967.697	332.218	230.178	983.741	417.393	214.587	793.844	410.236	175.836	814.426	335.228	226.231	1287.550	-52.888	349.416	1242.372	83.876	215.334	1179.084	-51.754	343.399	1196.355	-14.296	150.191	1234.726	50.220	336.817	932.913	2.297	345.443	968.673	-83.112	297.074	931.304	-107.141	312.189	754.184	-118.298	233.241	778.964	-89.499	190.536	921.888	259.890	197.215	917.656	40.957	353.919	954.342	270.147	377.061	949.185	36.054	185.895	747.627	302.485	341.580	794.949	326.008	96.801	403.664	223.899	116.869	414.016	119.820	137.493	258.021	180.327	286.575	40.230	210.351	359.579	12.932	173.089	137.066	-16.093	154.750	165.262	12.780	149.860	195.666	7.198	222.035	146.026	713.594	-61.466	337.145	823.894	-27.349	46.636	478.503	-150.373	35.525	438.173	-50.053	86.193	330.636	-188.251	236.963	117.441	-274.130	286.935	100.942	-219.470	119.457	-2.197	-300.456	141.452	20.279	-290.917	180.913	33.047	-331.162	197.800	639.953	-107.245	225.021	597.485	-88.396	258.714	623.175	-81.290	153.672	661.115	318.956	191.543	615.616	324.396	224.540	637.947	354.112	184.251	941.888	384.312	122.767	1251.470	219.627	126.637	1450.349	17.321	83.459	1455.778	152.138	238.094	675.605	-161.563	150.087	688.184	387.755
