NO_OF_FRAMES	705
NO_OF_CAMERAS	13
NO_OF_MARKERS	64
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-03-22, 11:00:57.308	7209.22880383
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LTOE	LMT1	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RTOE	RMT1	RMT5	RTHMB	RINDX	RPNKY	LTHMB	LINDX	LPNKY	LFRM	LFSH	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LTOE X	LTOE Y	LTOE Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RTOE X	RTOE Y	RTOE Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
250	2.49000	01:05:15:20	184.160	1696.456	68.646	146.540	1641.842	120.876	141.254	1646.536	7.365	346.843	1417.451	76.329	380.166	1207.044	87.146	346.020	1081.811	79.610	362.935	1026.135	80.947	124.875	997.389	89.385	135.465	1140.381	82.122	155.144	1296.160	77.768	391.210	1281.951	163.719	287.448	1385.761	280.544	229.818	1259.420	290.807	346.462	1241.626	274.817	283.567	1013.639	233.964	257.419	1034.170	330.944	251.804	847.728	344.092	193.745	856.484	281.003	264.253	1379.427	-114.118	387.322	1288.755	3.384	221.389	1276.752	-113.125	352.149	1255.424	-103.632	191.212	1347.127	-5.040	291.063	1006.444	-80.576	271.415	1040.724	-166.494	216.769	1002.537	-169.842	248.999	829.024	-197.540	189.907	838.664	-133.151	163.761	1006.075	191.365	158.750	996.674	-28.528	326.910	1028.330	193.597	337.338	1020.664	-46.744	188.348	800.693	251.892	323.778	879.842	241.809	267.334	451.892	229.533	271.776	443.193	124.143	253.559	310.762	206.081	283.572	42.997	237.117	349.577	8.732	200.545	129.481	0.432	171.212	163.331	20.184	163.960	181.467	4.784	238.609	195.366	702.785	-81.470	301.082	891.209	-89.607	272.326	447.511	-62.582	280.761	449.419	41.745	263.679	305.866	-40.009	296.196	40.656	-43.781	353.054	8.619	-6.681	130.563	-14.348	11.271	157.038	15.432	3.734	189.097	5.388	-60.884	174.117	694.163	-143.765	205.134	636.829	-159.880	235.578	667.728	-176.275	178.970	699.499	290.936	223.006	645.976	301.987	253.855	671.400	324.874	204.221	993.218	312.269	190.296	1353.994	169.700	282.704	1577.873	-10.113	296.310	1571.790	131.052	176.296	735.311	-203.246	190.479	738.000	352.727
251	2.50000	01:05:15:21	184.059	1696.415	68.725	146.496	1641.764	120.917	141.211	1646.439	7.419	346.991	1417.496	76.373	380.213	1207.093	87.145	346.140	1081.859	79.633	363.078	1026.177	80.972	124.966	997.381	89.363	135.535	1140.465	82.061	155.272	1296.194	77.740	391.275	1281.958	163.757	287.466	1385.794	280.597	229.824	1259.415	290.804	346.420	1241.614	274.915	283.558	1013.682	233.823	257.303	1034.140	330.799	251.523	847.679	343.824	193.603	856.517	280.624	264.355	1379.551	-114.128	387.181	1288.414	3.935	221.520	1276.839	-113.129	352.208	1255.654	-103.825	191.356	1347.178	-5.051	291.307	1006.560	-80.560	271.537	1040.758	-166.428	216.924	1002.588	-169.681	248.894	829.029	-197.253	189.919	838.805	-132.769	163.873	1006.062	191.337	158.910	996.665	-28.571	327.030	1028.333	193.590	337.533	1020.705	-46.777	188.480	800.743	251.910	323.871	879.883	241.884	267.372	451.923	229.602	271.749	443.214	124.223	253.571	310.771	206.196	283.624	42.988	237.210	349.624	8.660	200.644	129.667	1.126	171.329	163.647	20.446	163.996	181.529	4.824	238.591	198.079	702.667	-82.908	301.306	891.206	-89.589	272.472	447.530	-62.557	280.871	449.411	41.762	263.769	305.900	-40.018	296.206	40.640	-43.801	353.053	8.628	-6.668	130.556	-14.357	11.291	157.009	15.412	3.716	189.067	5.395	-60.892	173.995	694.292	-143.190	204.937	636.988	-159.224	235.340	667.772	-175.755	178.728	699.540	290.432	222.511	645.794	301.155	253.552	671.395	324.441	204.101	993.227	312.015	190.350	1354.037	169.715	282.742	1577.911	-10.051	296.327	1571.850	131.102	176.087	735.382	-202.760	190.148	737.963	352.281
252	2.51000	01:05:15:21	183.966	1696.354	68.796	146.468	1641.659	120.988	141.151	1646.358	7.484	347.096	1417.521	76.429	380.265	1207.109	87.123	346.262	1081.927	79.642	363.201	1026.208	80.996	125.041	997.386	89.320	135.575	1140.543	82.019	155.395	1296.199	77.714	391.321	1281.978	163.799	287.454	1385.808	280.651	229.741	1259.410	290.726	346.379	1241.644	275.002	283.532	1013.706	233.714	257.170	1034.116	330.662	251.300	847.629	343.501	193.438	856.536	280.250	264.428	1379.654	-114.112	387.313	1288.464	3.937	221.639	1276.926	-113.125	352.361	1255.782	-103.895	191.463	1347.243	-5.060	291.612	1006.639	-80.540	271.735	1040.773	-166.380	217.078	1002.628	-169.539	248.769	829.011	-196.988	189.908	838.927	-132.406	163.980	1006.093	191.338	159.066	996.655	-28.597	327.147	1028.357	193.623	337.702	1020.730	-46.764	188.603	800.763	251.928	323.953	879.926	241.947	267.420	451.959	229.684	271.752	443.238	124.292	253.581	310.788	206.300	283.676	43.009	237.300	349.668	8.626	200.736	129.880	1.828	171.477	163.988	20.659	163.981	181.593	4.845	238.584	198.295	702.680	-82.923	301.503	891.215	-89.572	272.599	447.543	-62.518	280.988	449.428	41.748	263.838	305.918	-40.014	296.196	40.660	-43.786	353.060	8.627	-6.677	130.546	-14.345	11.313	156.998	15.426	3.728	189.077	5.376	-60.899	173.878	694.410	-142.606	204.711	637.104	-158.565	235.078	667.833	-175.215	178.477	699.571	289.920	222.210	645.794	300.636	253.222	671.376	323.980	203.985	993.233	311.741	190.416	1354.085	169.656	282.734	1577.955	-9.973	296.346	1571.875	131.174	175.868	735.441	-202.270	189.833	737.983	351.805
253	2.52000	01:05:15:21	183.892	1696.307	68.911	146.440	1641.587	121.050	141.105	1646.276	7.577	347.194	1417.552	76.450	380.303	1207.139	87.126	346.358	1082.033	79.657	363.336	1026.236	81.046	125.155	997.367	89.282	135.646	1140.618	81.924	155.530	1296.212	77.669	391.393	1282.014	163.858	287.404	1385.837	280.686	229.682	1259.442	290.725	346.308	1241.659	275.106	283.505	1013.738	233.605	257.018	1034.104	330.516	251.023	847.575	343.221	193.305	856.578	279.830	264.549	1379.753	-114.137	387.460	1288.524	3.951	221.764	1276.983	-113.151	352.512	1255.862	-103.983	191.573	1347.293	-5.067	291.857	1006.703	-80.524	271.897	1040.827	-166.383	217.234	1002.663	-169.406	248.648	828.978	-196.745	189.885	839.060	-132.084	164.057	1006.092	191.293	159.254	996.650	-28.656	327.266	1028.341	193.620	337.872	1020.730	-46.610	188.708	800.791	251.927	324.057	879.952	242.000	267.453	451.984	229.764	271.747	443.244	124.360	253.595	310.791	206.385	283.731	42.964	237.377	349.719	8.586	200.799	130.079	2.497	171.628	164.333	20.920	164.005	181.647	4.847	238.590	198.475	702.688	-82.932	301.702	891.213	-89.560	272.726	447.539	-62.496	281.078	449.418	41.765	263.900	305.935	-40.011	296.198	40.648	-43.790	353.043	8.653	-6.686	130.547	-14.355	11.306	157.000	15.430	3.734	189.072	5.384	-60.875	173.695	694.556	-142.053	204.473	637.239	-157.951	234.788	667.885	-174.713	178.237	699.610	289.358	221.917	645.831	300.121	252.876	671.377	323.515	203.855	993.232	311.479	190.484	1354.112	169.608	282.761	1578.008	-9.916	296.365	1571.889	131.229	175.608	735.469	-201.747	189.459	737.915	351.324
254	2.53000	01:05:15:21	183.819	1696.271	69.024	146.429	1641.530	121.144	141.067	1646.259	7.677	347.309	1417.600	76.499	380.355	1207.180	87.138	346.393	1082.153	79.678	363.482	1026.263	81.082	125.257	997.360	89.270	135.707	1140.711	81.873	155.641	1296.227	77.618	391.432	1282.038	163.917	287.361	1385.871	280.730	229.600	1259.431	290.660	346.227	1241.717	275.246	283.547	1013.759	233.542	256.846	1034.087	330.390	250.728	847.533	342.969	193.153	856.664	279.404	264.652	1379.841	-114.165	387.602	1288.609	3.966	221.874	1277.010	-113.153	352.691	1255.915	-104.120	191.698	1347.334	-5.105	292.151	1006.762	-80.536	272.073	1040.840	-166.394	217.366	1002.714	-169.310	248.475	828.992	-196.498	189.869	839.167	-131.742	164.142	1006.092	191.261	159.413	996.635	-28.677	327.382	1028.350	193.702	338.053	1020.758	-46.672	188.839	800.823	251.916	324.167	879.970	242.050	267.486	452.013	229.846	271.781	443.229	124.418	253.625	310.813	206.496	283.797	42.966	237.482	349.752	8.540	200.884	130.305	3.037	171.705	164.644	21.129	164.029	181.717	4.868	238.595	198.597	702.698	-82.946	301.892	891.232	-89.539	272.845	447.549	-62.500	281.162	449.427	41.766	263.967	305.940	-40.012	296.209	40.661	-43.787	353.038	8.648	-6.665	130.541	-14.358	11.335	156.987	15.419	3.732	189.089	5.373	-60.885	173.475	694.677	-141.494	204.199	637.336	-157.301	234.481	667.938	-174.215	177.960	699.659	288.759	221.628	645.859	299.543	252.560	671.356	323.035	203.712	993.246	311.209	190.523	1354.129	169.588	282.749	1578.072	-9.858	296.373	1571.901	131.281	175.325	735.549	-201.281	189.103	737.927	350.784
255	2.54000	01:05:15:22	183.746	1696.223	69.151	146.370	1641.389	121.269	141.018	1646.194	7.795	347.398	1417.643	76.550	380.410	1207.222	87.175	346.469	1082.338	79.692	363.628	1026.288	81.093	125.331	997.374	89.206	135.710	1140.805	81.784	155.754	1296.243	77.548	391.501	1282.065	163.970	287.255	1385.894	280.763	229.497	1259.438	290.592	346.183	1241.774	275.383	283.631	1013.797	233.510	256.635	1034.052	330.289	250.441	847.507	342.653	193.020	856.675	279.009	264.494	1379.571	-114.039	387.972	1289.077	3.439	221.998	1277.061	-113.150	352.884	1255.829	-104.089	191.808	1347.365	-5.158	292.323	1006.793	-80.556	272.278	1040.871	-166.417	217.512	1002.743	-169.224	248.310	828.931	-196.239	189.847	839.303	-131.427	164.243	1006.087	191.219	159.580	996.637	-28.748	327.501	1028.373	193.701	338.224	1020.720	-46.534	188.941	800.869	251.898	324.259	879.998	242.117	267.528	452.059	229.946	271.814	443.253	124.526	253.662	310.813	206.597	283.855	42.974	237.583	349.793	8.490	200.977	130.517	3.677	171.824	164.991	21.354	164.052	181.776	4.877	238.616	198.725	702.735	-82.962	302.060	891.237	-89.483	272.924	447.571	-62.502	281.231	449.425	41.770	264.025	305.951	-40.024	296.197	40.660	-43.800	353.032	8.653	-6.653	130.523	-14.354	11.332	156.982	15.413	3.724	189.076	5.382	-60.899	173.206	694.825	-140.979	203.850	637.462	-156.653	234.122	667.981	-173.723	177.703	699.700	288.157	221.316	645.877	298.985	252.192	671.313	322.574	203.536	993.255	310.905	190.547	1354.140	169.535	282.737	1578.128	-9.792	296.399	1571.896	131.332	175.005	735.616	-200.795	188.727	737.886	350.261
256	2.55000	01:05:15:22	183.689	1696.182	69.272	146.338	1641.297	121.377	140.972	1646.175	7.903	347.505	1417.692	76.590	380.448	1207.274	87.219	346.572	1082.497	79.702	363.801	1026.312	81.132	125.432	997.343	89.160	135.745	1140.880	81.709	155.851	1296.256	77.478	391.537	1282.115	164.053	287.186	1385.916	280.795	229.399	1259.454	290.560	346.057	1241.822	275.546	283.627	1013.831	233.463	256.425	1034.019	330.151	250.145	847.458	342.350	192.907	856.668	278.578	264.579	1379.640	-114.063	388.145	1289.175	3.442	222.124	1277.101	-113.172	353.133	1255.808	-104.189	191.931	1347.397	-5.210	292.618	1006.850	-80.567	272.477	1040.861	-166.476	217.690	1002.792	-169.166	248.144	828.910	-196.013	189.793	839.426	-131.104	164.352	1006.089	191.183	159.770	996.627	-28.773	327.618	1028.417	193.741	338.432	1020.740	-46.502	189.084	800.904	251.884	324.352	880.045	242.127	267.565	452.100	230.066	271.816	443.266	124.591	253.689	310.823	206.728	283.927	42.926	237.646	349.818	8.447	201.046	130.785	4.218	171.942	165.307	21.552	164.083	181.856	4.892	238.618	198.871	702.746	-82.972	302.273	891.226	-89.471	273.012	447.566	-62.522	281.293	449.409	41.745	264.065	305.947	-40.030	296.189	40.646	-43.808	353.033	8.652	-6.682	130.526	-14.367	11.334	156.951	15.429	3.710	189.071	5.374	-60.885	172.897	694.994	-140.470	203.492	637.651	-155.971	233.703	668.000	-173.207	177.493	699.749	287.564	221.055	645.908	298.453	251.848	671.293	322.074	203.369	993.253	310.602	190.593	1354.166	169.447	282.713	1578.170	-9.741	296.393	1571.892	131.395	174.662	735.679	-200.327	188.360	737.874	349.734
257	2.56000	01:05:15:22	183.598	1696.157	69.412	146.341	1641.257	121.486	140.923	1646.133	8.019	347.588	1417.728	76.632	380.483	1207.330	87.262	346.638	1082.655	79.712	363.970	1026.312	81.157	125.519	997.349	89.126	135.797	1140.977	81.639	155.952	1296.265	77.399	391.588	1282.162	164.144	287.073	1385.944	280.843	229.291	1259.475	290.479	345.927	1241.856	275.763	283.625	1013.849	233.416	256.140	1034.006	330.030	249.847	847.434	342.145	192.789	856.702	278.164	264.694	1379.684	-114.090	388.306	1289.256	3.462	222.279	1277.115	-113.211	353.311	1255.920	-104.261	192.062	1347.417	-5.259	292.903	1006.865	-80.611	272.674	1040.863	-166.509	217.840	1002.825	-169.122	247.961	828.887	-195.817	189.786	839.571	-130.778	164.450	1006.104	191.183	159.948	996.640	-28.793	327.773	1028.423	193.759	338.617	1020.740	-46.476	189.212	800.976	251.902	324.457	880.078	242.143	267.622	452.136	230.167	271.792	443.294	124.695	253.756	310.856	206.856	283.978	42.939	237.749	349.875	8.413	201.104	131.025	4.965	172.111	165.684	21.741	164.104	181.896	4.941	238.590	198.966	702.762	-82.987	302.434	891.228	-89.441	273.079	447.569	-62.527	281.386	449.426	41.718	264.118	305.951	-40.031	296.187	40.642	-43.821	353.026	8.659	-6.671	130.527	-14.357	11.333	156.951	15.413	3.693	188.864	5.374	-60.852	172.612	695.177	-139.981	203.105	637.808	-155.298	233.238	668.041	-172.718	177.284	699.797	286.994	220.800	645.921	297.938	251.572	671.259	321.715	203.187	993.237	310.296	190.619	1354.196	169.393	282.696	1578.224	-9.666	296.378	1571.899	131.482	174.336	735.752	-199.891	188.008	737.802	349.253
258	2.57000	01:05:15:22	183.534	1696.110	69.535	146.274	1641.164	121.589	140.857	1646.100	8.129	347.673	1417.774	76.692	380.558	1207.385	87.329	346.765	1082.768	79.731	364.158	1026.313	81.164	125.624	997.341	89.032	135.862	1141.068	81.568	156.050	1296.302	77.349	391.647	1282.224	164.243	286.940	1385.987	280.879	229.161	1259.473	290.391	345.794	1241.901	275.946	283.641	1013.898	233.384	255.872	1034.022	329.922	249.536	847.415	341.947	192.679	856.714	277.756	265.055	1380.098	-114.248	388.434	1289.325	3.508	222.418	1277.170	-113.215	353.519	1255.975	-104.335	192.159	1347.441	-5.288	293.223	1006.922	-80.636	272.883	1040.884	-166.540	217.960	1002.888	-169.013	247.803	828.875	-195.627	189.749	839.736	-130.499	164.551	1006.093	191.117	160.125	996.652	-28.875	327.928	1028.445	193.772	338.813	1020.742	-46.525	189.346	801.034	251.905	324.586	880.093	242.173	267.667	452.179	230.280	271.784	443.309	124.763	253.787	310.870	206.951	284.028	42.952	237.780	349.929	8.339	201.170	130.739	5.867	173.757	166.055	21.884	164.069	181.958	4.970	238.565	199.085	702.788	-83.001	302.598	891.232	-89.420	273.158	447.578	-62.545	281.430	449.433	41.748	264.169	305.946	-40.042	296.201	40.661	-43.852	353.023	8.656	-6.678	130.534	-14.369	11.303	156.946	15.442	3.688	188.853	5.362	-60.848	172.298	695.343	-139.507	202.701	637.998	-154.662	232.810	668.093	-172.256	177.137	699.798	286.474	220.617	645.965	297.495	251.307	671.259	321.357	202.999	993.219	309.993	190.631	1354.247	169.325	282.688	1578.299	-9.589	296.393	1571.883	131.520	174.011	735.868	-199.433	187.728	737.781	348.753
259	2.58000	01:05:15:23	183.413	1696.065	69.693	146.183	1641.029	121.710	140.788	1646.037	8.226	347.763	1417.792	76.752	380.593	1207.417	87.367	346.941	1082.838	79.756	364.319	1026.310	81.190	125.704	997.323	89.067	135.966	1141.157	81.502	156.152	1296.307	77.285	391.697	1282.266	164.332	286.796	1386.042	280.922	229.033	1259.510	290.341	345.648	1241.957	276.123	283.593	1013.938	233.354	255.603	1034.018	329.811	249.294	847.388	341.703	192.564	856.714	277.420	265.214	1380.193	-114.240	388.590	1289.399	3.545	222.557	1277.241	-113.240	353.737	1256.100	-104.452	192.287	1347.464	-5.335	293.444	1006.979	-80.684	272.993	1040.919	-166.574	218.077	1002.943	-168.925	247.662	828.861	-195.419	189.706	839.884	-130.191	164.655	1006.108	191.133	160.303	996.666	-28.866	328.083	1028.450	193.791	338.958	1020.746	-46.517	189.480	801.086	251.951	324.675	880.114	242.165	267.749	452.204	230.335	271.790	443.331	124.818	253.816	310.883	207.027	284.075	42.947	237.768	349.973	8.296	201.217	130.949	6.475	174.052	166.388	21.971	164.053	182.044	5.036	238.529	199.208	702.797	-83.013	302.763	891.240	-89.385	273.232	447.575	-62.545	281.492	449.434	41.742	264.221	305.939	-40.038	296.209	40.648	-43.836	353.013	8.637	-6.675	130.529	-14.368	11.307	156.958	15.425	3.704	188.835	5.356	-60.840	172.056	695.524	-139.082	202.379	638.154	-154.087	232.408	668.167	-171.811	177.027	699.788	286.049	220.443	645.960	297.046	251.097	671.262	321.015	202.784	993.231	309.692	190.631	1354.267	169.312	282.663	1578.339	-9.524	296.382	1571.869	131.595	173.731	735.971	-199.074	187.459	737.776	348.356
