NO_OF_FRAMES	1055
NO_OF_CAMERAS	13
NO_OF_MARKERS	64
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-03-22, 11:07:40.476	7612.39659878
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LTOE	LMT1	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RTOE	RMT1	RMT5	RTHMB	RINDX	RPNKY	LTHMB	LINDX	LPNKY	LFRM	LFSH	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LTOE X	LTOE Y	LTOE Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RTOE X	RTOE Y	RTOE Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
332	3.31000	01:11:59:20	174.421	1698.036	88.068	135.248	1647.624	142.416	124.743	1651.694	29.389	327.816	1418.818	97.301	362.412	1208.924	106.539	332.597	1087.610	95.688	350.052	1027.909	96.937	113.263	999.831	106.754	122.750	1142.619	101.084	138.818	1297.793	97.770	370.198	1284.680	184.375	271.027	1389.573	301.813	215.224	1263.786	311.142	331.581	1248.137	292.620	277.966	1019.663	256.215	249.930	1038.837	351.354	232.202	851.958	357.010	176.582	867.808	293.496	247.260	1378.878	-93.131	370.130	1291.223	22.283	207.094	1276.787	-94.719	336.557	1256.423	-82.688	175.375	1347.723	16.027	280.400	1006.443	-67.231	262.542	1041.262	-153.059	206.798	1004.346	-156.938	228.726	829.171	-182.440	170.599	843.184	-117.874	152.454	1005.995	208.901	147.670	998.487	-11.074	315.899	1028.239	209.790	324.705	1021.537	-28.530	178.149	797.341	265.184	313.222	877.525	254.170	248.417	447.277	228.931	253.147	443.564	124.307	232.254	310.298	201.549	257.044	41.921	225.092	322.996	9.185	186.303	104.153	-8.278	152.791	133.818	17.293	155.458	156.936	4.794	231.118	181.557	705.192	-68.493	286.960	893.323	-75.378	250.913	448.027	-47.683	263.503	450.135	55.360	241.993	305.878	-23.872	277.734	42.126	-31.299	337.786	8.277	2.995	113.909	-0.075	20.761	145.792	18.788	14.427	175.053	8.524	-45.445	146.498	698.426	-119.337	177.514	645.646	-136.633	209.815	672.773	-155.061	149.659	713.635	291.176	188.843	665.967	293.589	227.902	698.667	310.938	195.118	1001.054	330.860	172.590	1356.900	190.138	260.376	1572.230	5.789	279.578	1566.365	146.785	152.166	740.564	-185.248	163.020	747.349	359.092
333	3.32000	01:11:59:20	174.766	1697.971	88.039	135.546	1647.613	142.386	125.069	1651.680	29.343	327.955	1418.726	97.156	362.489	1208.809	106.321	332.740	1087.550	95.415	350.184	1027.875	96.747	113.404	999.683	106.683	122.761	1142.583	101.003	138.935	1297.707	97.724	370.342	1284.543	184.152	271.295	1389.318	301.742	215.480	1263.569	310.973	331.808	1248.016	292.462	278.263	1019.573	256.016	250.173	1038.682	351.114	232.422	851.749	356.529	176.851	867.688	292.986	247.233	1378.811	-93.240	370.224	1291.147	22.079	207.001	1276.746	-94.805	336.526	1256.319	-82.930	175.437	1347.644	15.954	280.366	1006.383	-67.326	262.375	1041.133	-153.120	206.544	1004.212	-156.810	228.266	829.021	-182.259	170.403	843.115	-117.508	152.660	1005.857	208.788	147.733	998.372	-11.216	316.147	1028.161	209.574	324.751	1021.499	-28.749	178.496	797.172	265.057	313.522	877.396	253.894	248.916	447.192	228.779	253.764	443.496	124.165	232.618	310.302	201.385	257.008	41.934	224.934	322.954	9.178	186.188	103.977	-9.188	152.626	133.382	17.048	155.491	156.889	4.802	231.059	181.690	705.117	-68.612	287.049	893.314	-75.510	251.179	448.013	-47.881	263.729	450.113	55.185	242.200	305.881	-24.061	277.778	42.132	-31.389	337.771	8.251	2.976	113.870	-0.114	20.711	145.759	18.789	14.356	175.027	8.484	-45.507	146.191	698.387	-118.866	177.123	645.659	-136.176	209.431	672.705	-154.760	149.838	713.542	290.581	188.967	665.874	292.979	228.163	698.530	310.351	195.362	1000.919	330.551	172.744	1356.813	190.048	260.585	1572.064	5.773	279.771	1566.175	146.762	151.682	740.493	-184.787	163.177	747.195	358.549
334	3.33000	01:11:59:20	175.084	1697.897	88.052	135.791	1647.537	142.352	125.372	1651.672	29.322	328.107	1418.631	97.024	362.582	1208.660	106.107	332.882	1087.501	95.171	350.335	1027.818	96.503	113.535	999.517	106.650	122.769	1142.528	100.920	139.075	1297.611	97.654	370.488	1284.435	183.922	271.428	1389.307	301.588	215.857	1263.458	310.920	332.051	1247.902	292.296	278.594	1019.424	255.773	250.442	1038.490	350.846	232.645	851.542	356.042	177.090	867.579	292.529	247.216	1378.738	-93.371	370.302	1291.049	21.815	206.946	1276.663	-94.905	336.445	1256.221	-83.208	175.525	1347.565	15.860	280.348	1006.304	-67.390	262.139	1041.016	-153.196	206.319	1004.115	-156.699	227.879	828.865	-182.084	170.221	843.056	-117.140	152.900	1005.694	208.687	147.797	998.288	-11.284	316.416	1028.051	209.376	324.807	1021.474	-29.007	178.787	797.024	264.946	313.760	877.297	253.645	249.386	447.102	228.621	254.398	443.421	123.992	232.969	310.277	201.201	256.960	42.000	224.769	322.921	9.164	186.025	103.760	-10.216	152.546	132.908	16.755	155.590	156.854	4.822	230.996	181.853	705.060	-68.741	287.089	893.330	-75.700	251.449	447.974	-48.066	263.980	450.075	54.977	242.434	305.894	-24.252	277.822	42.115	-31.454	337.824	8.375	2.842	113.841	-0.211	20.653	145.717	18.784	14.298	174.974	8.401	-45.612	145.987	698.318	-118.428	176.814	645.621	-135.760	208.985	672.605	-154.479	149.987	713.458	290.065	189.141	665.750	292.417	228.633	698.365	309.847	195.634	1000.752	330.238	172.889	1356.741	189.936	260.839	1571.956	5.768	279.947	1565.994	146.770	151.265	740.341	-184.455	163.333	747.022	357.948
335	3.34000	01:11:59:20	175.348	1697.831	88.101	136.018	1647.464	142.348	125.669	1651.665	29.330	328.255	1418.521	96.835	362.694	1208.547	105.869	333.009	1087.442	94.963	349.644	1027.519	95.664	113.661	999.356	106.601	122.799	1142.482	100.839	139.223	1297.503	97.575	370.718	1284.305	183.732	271.676	1389.172	301.436	216.260	1263.316	310.828	332.263	1247.755	292.097	278.845	1019.292	255.491	250.714	1038.352	350.587	232.829	851.387	355.683	177.329	867.443	292.115	247.326	1378.698	-93.553	370.399	1290.968	21.592	206.850	1276.584	-94.997	336.436	1256.101	-83.489	175.609	1347.510	15.801	280.281	1006.204	-67.503	261.959	1040.891	-153.288	206.079	1003.993	-156.592	227.456	828.708	-181.974	170.021	842.999	-116.807	153.125	1005.539	208.604	147.844	998.175	-11.381	316.695	1027.932	209.152	324.839	1021.447	-29.248	179.056	796.879	264.846	313.990	877.190	253.418	249.814	447.011	228.442	255.012	443.317	123.809	233.307	310.278	200.987	256.906	42.041	224.584	322.882	9.172	185.873	103.536	-11.309	152.492	132.372	16.401	155.742	156.780	4.840	230.943	181.978	704.972	-68.861	287.164	893.321	-75.883	251.743	447.954	-48.303	264.284	450.026	54.760	242.663	305.899	-24.465	277.862	42.092	-31.534	337.824	8.396	2.790	113.789	-0.323	20.610	145.648	18.740	14.241	174.913	8.326	-45.729	145.755	698.241	-117.968	176.507	645.550	-135.367	208.584	672.515	-154.243	150.199	713.344	289.539	189.262	665.671	291.924	228.825	698.073	309.428	195.885	1000.572	329.925	173.076	1356.650	189.815	261.110	1571.861	5.775	280.131	1565.830	146.749	150.809	740.263	-184.011	163.473	746.885	357.451
336	3.35000	01:11:59:21	175.583	1697.736	88.164	136.224	1647.321	142.376	125.925	1651.616	29.333	328.434	1418.419	96.631	362.781	1208.410	105.657	333.137	1087.359	94.776	349.812	1027.461	95.437	113.808	999.188	106.542	122.826	1142.449	100.792	139.384	1297.391	97.507	370.906	1284.174	183.482	271.932	1389.046	301.286	216.426	1263.194	310.669	332.465	1247.629	291.973	279.176	1019.239	255.228	250.987	1038.209	350.293	233.019	851.219	355.311	177.575	867.342	291.694	247.189	1378.551	-93.649	370.503	1290.866	21.348	206.795	1276.491	-95.082	336.411	1256.018	-83.757	175.698	1347.419	15.706	280.264	1006.080	-67.644	261.775	1040.768	-153.396	205.850	1003.873	-156.483	227.058	828.553	-181.826	169.842	842.926	-116.472	153.365	1005.398	208.493	147.806	998.153	-11.309	316.935	1027.797	208.960	324.855	1021.386	-29.465	179.300	796.716	264.758	314.231	877.081	253.204	250.241	446.894	228.183	255.658	443.246	123.592	233.663	310.249	200.743	256.826	42.113	224.376	322.630	9.236	185.411	103.944	-12.372	151.926	131.784	16.004	155.880	156.731	4.841	230.870	179.942	704.971	-67.103	287.155	893.288	-76.061	252.053	447.914	-48.522	264.604	449.993	54.581	242.911	305.887	-24.682	277.862	42.075	-31.625	337.762	8.337	2.827	113.699	-0.481	20.593	145.526	18.705	14.154	174.834	8.236	-45.850	145.308	697.705	-117.178	176.255	645.492	-134.960	208.202	672.423	-153.998	150.421	713.209	289.041	189.427	665.524	291.392	228.932	697.661	309.144	196.130	1000.409	329.616	173.253	1356.558	189.723	261.332	1571.825	5.767	280.301	1565.684	146.782	150.360	740.141	-183.587	163.667	746.747	357.016
337	3.36000	01:11:59:21	175.787	1697.626	88.254	136.415	1647.190	142.401	126.144	1651.570	29.354	328.602	1418.303	96.403	362.912	1208.265	105.440	333.250	1087.278	94.600	349.931	1027.353	95.237	113.928	999.052	106.531	122.849	1142.407	100.740	139.552	1297.295	97.424	371.067	1284.071	183.197	272.209	1388.918	301.127	216.828	1263.141	310.649	332.673	1247.478	291.821	279.406	1019.103	255.014	251.213	1038.019	350.051	233.181	851.077	354.972	177.830	867.210	291.265	247.188	1378.441	-93.800	370.598	1290.771	21.088	206.745	1276.376	-95.204	336.411	1255.882	-84.009	175.788	1347.354	15.613	280.435	1005.975	-67.852	261.585	1040.613	-153.517	205.666	1003.762	-156.431	226.721	828.406	-181.679	169.680	842.823	-116.191	153.577	1005.277	208.449	147.847	998.047	-11.360	317.148	1027.671	208.806	324.893	1021.335	-29.628	179.544	796.527	264.637	314.442	876.932	253.008	249.590	447.348	228.820	256.183	443.199	123.384	233.982	310.217	200.489	256.740	42.188	224.147	322.748	9.180	185.468	103.144	-13.529	152.269	131.279	15.773	155.950	156.652	4.883	230.768	180.114	704.891	-67.222	287.179	893.251	-76.215	252.386	447.881	-48.744	264.945	449.969	54.368	243.181	305.878	-24.894	277.870	42.043	-31.693	337.755	8.435	2.704	113.606	-0.687	20.562	145.406	18.659	14.069	174.744	8.142	-45.958	145.155	697.621	-116.745	176.013	645.413	-134.591	207.849	672.323	-153.786	150.688	713.080	288.560	189.673	665.372	290.977	229.108	697.350	308.739	196.347	1000.263	329.304	173.468	1356.493	189.606	261.585	1571.796	5.806	280.479	1565.546	146.807	149.863	740.110	-183.028	163.835	746.623	356.548
338	3.37000	01:11:59:21	175.939	1697.514	88.380	136.536	1647.027	142.453	126.337	1651.507	29.392	328.779	1418.166	96.206	363.006	1208.118	105.218	333.371	1087.205	94.386	350.914	1027.497	95.637	114.021	998.900	106.454	122.893	1142.386	100.686	139.710	1297.215	97.342	371.261	1283.940	182.924	272.469	1388.829	301.002	217.911	1263.167	310.945	332.881	1247.387	291.706	279.699	1019.008	254.816	251.365	1037.869	349.823	233.342	850.924	354.659	178.054	867.118	290.894	247.199	1378.340	-93.954	370.699	1290.662	20.849	206.655	1276.253	-95.329	336.397	1255.777	-84.297	175.875	1347.261	15.516	280.608	1005.883	-68.060	261.450	1040.462	-153.674	205.473	1003.644	-156.370	226.296	828.189	-181.648	169.552	842.743	-115.909	153.756	1005.092	208.344	147.901	997.933	-11.422	317.316	1027.534	208.652	324.913	1021.289	-29.821	179.760	796.365	264.515	314.629	876.776	252.803	249.861	447.310	228.676	256.751	443.120	123.147	234.290	310.192	200.259	256.665	42.239	223.902	322.705	9.178	185.281	103.589	-13.762	151.722	130.948	15.656	155.953	156.607	4.915	230.693	180.259	704.816	-67.327	287.188	893.234	-76.374	252.687	447.841	-48.955	265.295	449.911	54.163	243.426	305.885	-25.142	277.889	42.006	-31.753	337.680	8.328	2.791	113.448	-0.929	20.602	145.276	18.596	13.980	174.627	8.047	-46.086	144.984	697.530	-116.285	175.765	645.365	-134.208	207.523	672.213	-153.571	150.989	712.923	288.070	189.920	665.268	290.494	229.505	697.022	308.492	196.546	1000.129	329.005	173.691	1356.237	189.187	261.794	1571.787	5.817	280.662	1565.397	146.838	149.457	739.970	-182.628	164.007	746.483	356.084
339	3.38000	01:11:59:21	176.061	1697.411	88.536	136.665	1646.807	142.516	126.479	1651.429	29.475	328.960	1418.055	95.987	363.123	1207.995	105.003	333.502	1087.099	94.218	351.058	1027.434	95.428	114.156	998.706	106.169	122.938	1142.353	100.636	139.886	1297.112	97.264	371.492	1283.844	182.747	272.722	1388.719	300.863	218.155	1263.089	310.770	333.074	1247.281	291.617	279.922	1018.844	254.606	251.492	1037.752	349.632	233.532	850.802	354.327	178.338	867.013	290.505	247.186	1378.225	-94.099	370.850	1290.554	20.545	206.645	1276.145	-95.458	336.393	1255.649	-84.550	175.986	1347.193	15.435	280.592	1005.777	-68.201	261.335	1040.316	-153.818	205.319	1003.471	-156.357	225.912	828.024	-181.563	169.410	842.668	-115.641	153.947	1004.933	208.267	147.954	997.823	-11.506	317.520	1027.382	208.513	324.938	1021.224	-30.014	179.947	796.191	264.384	314.856	876.626	252.581	250.282	447.245	228.493	257.262	443.079	122.941	234.616	310.186	200.032	256.689	42.274	223.794	322.685	9.130	185.133	103.508	-14.001	151.741	130.756	15.574	155.985	156.590	4.937	230.625	180.483	704.729	-67.480	287.215	893.215	-76.524	252.966	447.786	-49.168	265.630	449.823	53.954	243.671	305.865	-25.370	277.868	41.988	-31.833	337.711	8.424	2.679	113.345	-1.262	20.610	145.132	18.546	13.920	174.540	7.959	-46.202	144.798	697.447	-115.842	175.490	645.261	-133.797	207.241	672.044	-153.322	151.272	712.802	287.624	190.168	665.134	290.123	229.949	696.734	308.189	196.749	999.999	328.694	173.928	1356.130	189.072	262.003	1571.806	5.841	280.816	1565.266	146.881	149.141	739.761	-182.343	164.156	746.354	355.629
340	3.39000	01:11:59:22	176.142	1697.301	88.678	136.757	1646.597	142.604	126.604	1651.347	29.564	329.155	1417.941	95.768	363.260	1207.883	104.763	333.666	1087.002	94.045	351.187	1027.367	95.283	114.226	998.587	106.107	122.988	1142.343	100.614	140.069	1297.028	97.217	371.731	1283.729	182.540	273.116	1388.450	300.756	218.385	1262.992	310.626	333.294	1247.185	291.504	280.202	1018.768	254.410	251.646	1037.615	349.418	233.697	850.667	353.998	178.610	866.898	290.069	247.197	1378.122	-94.282	370.959	1290.480	20.306	206.586	1276.017	-95.579	336.407	1255.507	-84.846	176.092	1347.100	15.338	280.663	1005.634	-68.353	261.196	1040.163	-153.962	205.157	1003.320	-156.320	225.592	827.846	-181.475	169.266	842.563	-115.399	154.104	1004.807	208.203	148.000	997.717	-11.598	317.683	1027.257	208.362	324.976	1021.182	-30.217	180.095	796.047	264.221	315.068	876.529	252.370	250.716	447.217	228.345	257.712	443.008	122.769	234.931	310.198	199.929	256.745	42.354	223.715	322.701	9.108	185.019	103.454	-14.147	151.726	130.632	15.551	155.989	156.572	4.945	230.578	180.682	704.620	-67.641	287.268	893.187	-76.671	253.207	447.726	-49.330	265.881	449.775	53.819	243.891	305.879	-25.524	277.889	41.957	-31.839	337.730	8.461	2.624	113.225	-1.477	20.630	145.008	18.509	13.850	174.473	7.861	-46.253	144.618	697.329	-115.404	175.229	645.187	-133.418	206.966	671.897	-153.080	151.534	712.689	287.207	190.406	665.024	289.771	230.354	696.624	307.857	196.959	999.907	328.393	174.153	1356.080	188.991	262.242	1571.927	5.871	280.975	1565.180	146.891	148.763	739.620	-181.993	163.930	746.269	354.610
341	3.40000	01:11:59:22	176.150	1697.225	88.829	136.843	1646.389	142.697	126.713	1651.280	29.641	329.341	1417.846	95.555	363.397	1207.799	104.540	333.788	1086.920	93.874	351.293	1027.315	95.099	114.117	998.468	105.750	123.061	1142.345	100.549	140.258	1296.945	97.143	371.953	1283.618	182.283	273.390	1388.330	300.597	218.664	1262.948	310.510	333.555	1247.076	291.386	280.450	1018.673	254.242	251.835	1037.517	349.204	233.847	850.560	353.734	178.831	866.799	289.693	247.211	1378.008	-94.453	371.108	1290.411	20.065	206.565	1275.911	-95.704	336.392	1255.337	-85.104	176.220	1347.061	15.216	280.650	1005.510	-68.494	261.055	1039.985	-154.121	205.018	1003.183	-156.336	225.293	827.675	-181.405	168.683	842.623	-115.731	154.212	1004.712	208.084	148.058	997.636	-11.702	317.803	1027.165	208.207	325.026	1021.174	-30.387	180.282	795.972	264.086	315.222	876.476	252.206	251.145	447.220	228.247	258.141	442.978	122.673	235.298	310.230	199.937	256.781	42.405	223.680	322.696	9.073	184.912	103.423	-14.216	151.741	130.572	15.544	155.975	156.596	4.969	230.581	180.884	704.496	-67.807	287.332	893.169	-76.859	253.475	447.685	-49.488	266.145	449.749	53.701	244.097	305.852	-25.647	277.900	41.962	-31.911	337.642	8.399	2.658	113.104	-1.725	20.636	144.870	18.423	13.873	174.398	7.798	-46.350	144.465	697.247	-115.040	174.971	645.103	-133.027	207.557	671.940	-152.893	151.914	712.855	286.579	190.680	664.920	289.422	225.524	695.738	309.066	197.186	999.822	328.107	174.416	1356.016	188.908	262.421	1572.019	5.892	281.149	1565.129	146.917	148.445	739.480	-181.644	164.077	746.177	354.205
