NO_OF_FRAMES	311
NO_OF_CAMERAS	13
NO_OF_MARKERS	64
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-03-22, 11:12:39.880	7911.80139204
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LTOE	LMT1	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RTOE	RMT1	RMT5	RTHMB	RINDX	RPNKY	LTHMB	LINDX	LPNKY	LFRM	LFSH	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Measured
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LTOE X	LTOE Y	LTOE Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RTOE X	RTOE Y	RTOE Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
1770	17.69000	01:17:13:14	-64.951	1701.656	161.347	-104.132	1651.035	215.478	-112.991	1654.572	101.791	86.128	1420.651	171.800	121.623	1209.640	186.818	95.758	1082.368	172.248	110.739	1025.573	167.027	-131.025	1004.637	172.629	-114.725	1145.573	168.115	-102.030	1299.751	165.706	121.801	1286.450	264.430	8.759	1393.872	371.811	-52.842	1267.661	381.886	63.582	1251.469	377.378	65.758	1008.866	339.595	-25.841	1038.340	425.566	-51.734	849.850	420.550	-87.832	869.338	344.781	7.149	1376.458	-17.779	133.291	1293.175	100.884	-35.564	1275.453	-19.651	93.388	1253.496	-12.282	-61.819	1345.749	87.696	34.783	1003.126	5.509	9.608	1038.106	-78.493	-46.899	1001.653	-77.715	-31.671	825.251	-103.305	-83.761	841.574	-33.649	-94.968	1008.253	275.503	-88.206	1004.241	56.328	8.829	1023.530	319.900	90.330	1019.111	48.735	-79.149	806.403	330.565	58.533	878.095	326.088	-2.104	451.971	296.361	-3.053	447.982	195.000	-13.196	310.042	267.744	19.890	41.079	288.646	84.129	9.113	249.871	-135.365	-15.790	218.227	-108.371	15.827	221.216	-81.948	5.175	296.393	-62.952	718.628	-1.675	50.789	894.434	-2.716	-7.556	451.970	25.601	-2.039	454.814	129.371	-13.986	306.694	48.837	26.123	42.308	38.655	84.703	9.272	74.941	-138.765	-14.971	98.544	-112.642	15.934	87.297	-79.976	5.523	22.968	-111.837	697.924	-28.404	-83.797	643.380	-51.249	-55.630	667.473	-74.798	-115.925	714.178	333.324	-83.104	657.661	351.556	-55.507	679.664	383.010	-76.030	1000.682	391.047	-75.115	1358.607	258.077	24.005	1577.163	80.872	41.307	1572.007	222.210	-110.859	738.640	-98.616	-119.998	747.308	400.449
1771	17.70000	01:17:13:14	-64.993	1701.636	161.397	-104.200	1651.031	215.527	-113.018	1654.569	101.819	86.098	1420.646	171.859	121.568	1209.640	186.858	95.732	1082.365	172.265	110.724	1025.530	167.148	-131.065	1004.638	172.677	-114.772	1145.559	168.120	-102.043	1299.733	165.739	121.737	1286.442	264.471	8.681	1393.859	371.863	-52.932	1267.640	381.920	63.497	1251.473	377.401	64.905	1008.487	339.707	-25.906	1038.328	425.598	-51.750	849.832	420.565	-87.891	869.288	344.842	7.149	1376.437	-17.729	133.269	1293.181	100.947	-35.581	1275.438	-19.597	93.388	1253.509	-12.246	-61.831	1345.724	87.737	34.855	1003.177	5.559	9.622	1038.089	-78.443	-46.863	1001.651	-77.681	-31.631	825.252	-103.269	-83.737	841.571	-33.645	-94.999	1008.222	275.483	-88.210	1004.240	56.344	9.420	1023.567	319.550	90.286	1019.091	48.738	-79.171	806.411	330.591	58.517	878.095	326.129	-2.099	451.970	296.334	-3.050	447.981	195.021	-13.205	310.037	267.735	19.887	41.068	288.634	84.131	9.104	249.881	-135.375	-15.780	218.247	-108.367	15.827	221.194	-81.964	5.165	296.390	-62.922	718.637	-1.686	50.771	894.423	-2.689	-7.567	451.956	25.598	-2.028	454.814	129.382	-13.988	306.695	48.848	26.091	42.281	38.706	84.760	9.385	74.818	-138.760	-14.983	98.531	-112.657	15.933	87.291	-79.964	5.528	22.949	-111.810	697.926	-28.371	-83.763	643.358	-51.187	-55.613	667.456	-74.731	-115.909	714.134	333.368	-83.097	657.613	351.607	-55.521	679.617	383.065	-76.079	1000.653	391.069	-75.134	1358.582	258.144	24.007	1577.180	80.955	41.272	1571.993	222.279	-110.803	738.641	-98.585	-119.998	747.257	400.475
1772	17.71000	01:17:13:15	-65.056	1701.635	161.453	-104.260	1650.991	215.579	-113.067	1654.531	101.844	86.075	1420.647	171.927	121.563	1209.635	186.917	95.692	1082.378	172.290	110.711	1025.554	167.077	-131.094	1004.601	172.682	-114.818	1145.568	168.145	-102.064	1299.734	165.778	121.691	1286.455	264.540	8.611	1393.837	371.905	-53.014	1267.628	381.955	63.420	1251.465	377.427	64.017	1008.172	339.811	-25.943	1038.325	425.612	-51.784	849.810	420.636	-87.882	869.264	344.865	7.142	1376.448	-17.694	133.270	1293.171	101.009	-35.573	1275.432	-19.572	93.362	1253.507	-12.213	-61.838	1345.719	87.748	34.923	1003.231	5.610	9.628	1038.083	-78.405	-46.831	1001.641	-77.655	-31.605	825.236	-103.235	-83.739	841.590	-33.649	-95.031	1008.203	275.464	-88.226	1004.237	56.379	8.931	1023.535	319.857	90.313	1019.087	48.789	-79.160	806.396	330.636	58.489	878.098	326.166	-2.135	451.968	296.382	-3.062	447.985	195.019	-13.210	310.026	267.730	19.876	41.064	288.637	84.147	9.128	249.876	-135.384	-15.778	218.247	-108.364	15.814	221.190	-81.968	5.151	296.364	-62.930	718.645	-1.669	50.784	894.427	-2.685	-7.562	451.970	25.612	-2.019	454.808	129.373	-13.991	306.696	48.862	26.125	42.316	38.671	84.835	9.423	74.813	-138.766	-14.964	98.541	-112.661	15.927	87.280	-79.971	5.524	22.968	-111.789	697.913	-28.327	-83.756	643.353	-51.140	-55.559	667.418	-74.684	-115.911	714.081	333.427	-83.068	657.585	351.654	-55.505	679.597	383.108	-76.123	1000.619	391.089	-75.165	1358.590	258.129	23.930	1577.159	80.981	41.219	1571.989	222.344	-110.766	738.631	-98.560	-119.993	747.198	400.509
1773	17.72000	01:17:13:15	-65.127	1701.609	161.484	-104.322	1650.947	215.613	-113.129	1654.511	101.899	86.032	1420.666	172.010	121.539	1209.629	186.957	95.672	1082.365	172.299	110.636	1025.515	167.206	-131.109	1004.583	172.671	-114.875	1145.576	168.144	-102.066	1299.741	165.774	121.651	1286.452	264.581	8.547	1393.848	371.943	-53.085	1267.620	381.969	63.349	1251.445	377.456	63.098	1007.917	339.907	-25.999	1038.300	425.632	-51.817	849.810	420.664	-87.903	869.225	344.883	7.110	1376.460	-17.665	133.230	1293.191	101.062	-35.581	1275.450	-19.536	93.353	1253.517	-12.161	-61.866	1345.730	87.771	34.986	1003.288	5.661	9.652	1038.089	-78.377	-46.820	1001.621	-77.628	-31.553	825.243	-103.188	-83.687	841.577	-33.588	-95.055	1008.181	275.442	-88.232	1004.237	56.377	8.138	1023.499	320.345	90.284	1019.098	48.803	-79.204	806.385	330.626	58.473	878.104	326.186	-2.142	451.965	296.382	-2.986	447.994	194.964	-13.220	310.031	267.729	19.893	41.069	288.616	84.127	9.119	249.867	-135.383	-15.780	218.258	-108.375	15.819	221.189	-81.958	5.173	296.367	-62.920	718.638	-1.641	50.771	894.433	-2.664	-7.557	451.948	25.614	-2.029	454.818	129.383	-13.983	306.682	48.860	26.115	42.286	38.648	84.737	9.326	74.869	-138.751	-14.970	98.508	-112.637	15.915	87.319	-79.966	5.523	22.961	-111.731	697.899	-28.308	-83.701	643.346	-51.107	-55.523	667.455	-74.653	-115.884	714.049	333.455	-83.036	657.541	351.703	-55.479	679.558	383.170	-76.178	1000.594	391.097	-75.198	1358.593	258.163	23.897	1577.168	81.032	41.163	1571.988	222.397	-110.740	738.620	-98.498	-120.006	747.171	400.547
1774	17.73000	01:17:13:15	-65.191	1701.592	161.509	-104.389	1650.930	215.636	-113.190	1654.460	101.892	86.002	1420.673	172.046	121.502	1209.638	187.019	95.633	1082.385	172.326	110.636	1025.515	167.206	-131.020	1004.595	172.806	-114.976	1145.575	168.159	-102.093	1299.737	165.784	121.604	1286.440	264.668	8.482	1393.838	371.993	-53.155	1267.617	382.013	63.266	1251.428	377.509	62.149	1007.722	339.995	-26.074	1038.302	425.677	-51.841	849.803	420.708	-87.970	869.224	344.952	7.145	1376.469	-17.608	133.221	1293.180	101.101	-35.578	1275.440	-19.516	93.380	1253.501	-12.081	-61.880	1345.724	87.810	35.045	1003.350	5.714	9.669	1038.084	-78.339	-46.804	1001.624	-77.586	-31.523	825.225	-103.167	-82.882	841.278	-32.611	-95.074	1008.167	275.485	-88.264	1004.226	56.416	8.818	1023.543	319.962	90.285	1019.087	48.836	-79.213	806.380	330.645	58.469	878.100	326.191	-2.138	451.954	296.338	-3.067	448.008	195.022	-13.216	310.032	267.706	19.876	41.057	288.605	84.143	9.111	249.855	-135.378	-15.790	218.240	-108.373	15.821	221.187	-81.961	5.155	296.362	-62.884	718.642	-1.664	50.752	894.425	-2.664	-7.559	451.965	25.629	-2.052	454.812	129.405	-13.990	306.685	48.858	26.128	42.289	38.641	84.836	9.459	74.721	-138.756	-14.977	98.510	-112.647	15.924	87.283	-79.975	5.513	22.946	-111.694	697.918	-28.255	-83.641	643.362	-51.055	-55.492	667.438	-74.619	-115.880	714.015	333.492	-83.015	657.517	351.741	-55.465	679.552	383.229	-76.221	1000.579	391.149	-75.213	1358.593	258.169	23.883	1577.180	81.076	41.119	1571.995	222.425	-110.672	738.627	-98.483	-120.008	747.122	400.585
1775	17.74000	01:17:13:15	-65.262	1701.587	161.554	-104.465	1650.908	215.671	-113.251	1654.444	101.938	85.971	1420.686	172.111	121.485	1209.643	187.079	95.608	1082.394	172.361	110.634	1025.556	167.222	-131.041	1004.580	172.822	-115.075	1145.596	168.162	-102.119	1299.750	165.820	121.559	1286.440	264.717	8.417	1393.824	372.038	-53.217	1267.607	382.037	63.220	1251.453	377.532	61.172	1007.586	340.077	-26.110	1038.298	425.705	-51.886	849.800	420.758	-88.016	869.189	345.013	7.125	1376.468	-17.575	133.185	1293.205	101.155	-35.582	1275.458	-19.470	93.387	1253.543	-12.047	-61.878	1345.734	87.850	35.099	1003.415	5.767	9.669	1038.093	-78.287	-46.789	1001.624	-77.552	-31.492	825.217	-103.136	-82.858	841.273	-32.575	-95.110	1008.158	275.466	-88.254	1004.231	56.439	9.490	1023.593	319.579	90.276	1019.093	48.872	-79.215	806.385	330.633	58.451	878.096	326.216	-2.157	451.940	296.338	-3.048	448.003	194.997	-13.208	310.030	267.708	19.891	41.062	288.605	84.128	9.109	249.853	-135.402	-15.753	218.245	-108.379	15.831	221.195	-81.951	5.147	296.375	-62.907	718.649	-1.621	50.755	894.434	-2.646	-7.592	451.964	25.639	-2.044	454.807	129.419	-13.991	306.688	48.877	26.112	42.277	38.662	84.736	9.330	74.867	-138.766	-14.984	98.544	-112.642	15.928	87.285	-79.961	5.524	22.969	-111.644	697.902	-28.238	-83.605	643.340	-51.003	-55.442	667.413	-74.567	-115.847	713.992	333.517	-83.010	657.498	351.822	-55.470	679.547	383.293	-76.277	1000.551	391.173	-75.233	1358.606	258.178	23.834	1577.174	81.104	41.072	1572.020	222.469	-110.646	738.601	-98.442	-120.014	747.101	400.625
1776	17.75000	01:17:13:16	-65.352	1701.564	161.584	-104.533	1650.879	215.709	-113.322	1654.433	101.979	85.938	1420.686	172.165	121.440	1209.644	187.098	95.594	1082.390	172.387	110.615	1025.554	167.305	-131.054	1004.563	172.861	-115.152	1145.617	168.134	-102.131	1299.755	165.826	121.524	1286.460	264.748	8.338	1393.825	372.086	-53.288	1267.609	382.060	63.152	1251.439	377.582	60.169	1007.507	340.152	-26.138	1038.293	425.737	-51.903	849.809	420.793	-88.007	869.165	345.037	7.120	1376.476	-17.553	133.159	1293.186	101.203	-35.574	1275.456	-19.436	93.367	1253.551	-11.987	-61.870	1345.734	87.879	35.148	1003.484	5.820	9.679	1038.103	-78.261	-46.773	1001.631	-77.533	-31.470	825.234	-103.079	-82.848	841.261	-32.566	-95.125	1008.134	275.485	-88.265	1004.240	56.427	9.299	1023.588	319.714	90.247	1019.083	48.834	-79.226	806.395	330.645	58.426	878.094	326.251	-2.152	451.944	296.332	-3.022	447.980	194.984	-13.221	310.026	267.705	19.889	41.057	288.569	84.145	9.128	249.858	-135.397	-15.765	218.226	-108.381	15.821	221.175	-81.945	5.154	296.358	-62.858	718.639	-1.644	50.767	894.444	-2.628	-7.589	451.954	25.662	-2.055	454.801	129.427	-14.009	306.687	48.884	26.103	42.271	38.684	84.778	9.346	74.908	-138.752	-14.979	98.525	-112.640	15.919	87.314	-79.969	5.529	22.962	-111.604	697.897	-28.226	-83.537	643.333	-50.988	-55.380	667.417	-74.539	-115.869	713.985	333.594	-82.992	657.494	351.867	-55.497	679.529	383.346	-76.309	1000.568	391.211	-75.284	1358.615	258.258	23.764	1577.199	81.129	41.028	1572.010	222.488	-110.595	738.594	-98.425	-120.027	747.101	400.678
1777	17.76000	01:17:13:16	-65.410	1701.549	161.600	-104.586	1650.852	215.731	-113.381	1654.401	102.004	85.906	1420.708	172.192	121.407	1209.660	187.151	95.595	1082.397	172.421	110.599	1025.512	167.371	-131.082	1004.534	172.875	-115.252	1145.631	168.171	-102.157	1299.759	165.846	121.457	1286.472	264.824	8.236	1393.837	372.116	-53.357	1267.605	382.088	63.103	1251.449	377.630	59.142	1007.485	340.220	-26.190	1038.295	425.771	-51.961	849.807	420.891	-88.047	869.168	345.074	7.107	1376.483	-17.528	133.145	1293.188	101.236	-35.584	1275.471	-19.400	93.368	1253.540	-11.960	-61.888	1345.729	87.916	35.193	1003.556	5.875	9.674	1038.097	-78.239	-46.768	1001.628	-77.507	-31.435	825.236	-103.052	-82.813	841.250	-32.503	-95.146	1008.141	275.527	-88.269	1004.233	56.430	8.489	1023.526	320.208	90.244	1019.095	48.883	-79.253	806.380	330.652	58.435	878.065	326.254	-2.154	451.945	296.355	-3.031	447.991	194.991	-13.215	310.019	267.682	19.889	41.057	288.589	84.140	9.122	249.857	-135.410	-15.773	218.241	-108.377	15.825	221.184	-81.952	5.179	296.357	-62.912	718.651	-1.607	50.740	894.439	-2.610	-7.600	451.957	25.678	-2.076	454.811	129.451	-14.013	306.696	48.880	26.122	42.293	38.710	84.875	9.512	74.690	-138.758	-14.965	98.539	-112.651	15.944	87.309	-79.963	5.524	22.967	-111.569	697.872	-28.185	-83.520	643.314	-50.949	-55.337	667.431	-74.525	-115.876	713.984	333.636	-83.015	657.478	351.918	-55.480	679.511	383.382	-76.367	1000.561	391.263	-75.324	1358.637	258.221	23.755	1577.222	81.161	40.974	1572.024	222.515	-110.587	738.574	-98.366	-120.067	747.099	400.718
1778	17.77000	01:17:13:16	-65.504	1701.541	161.638	-104.645	1650.840	215.743	-113.442	1654.374	102.023	85.868	1420.714	172.238	121.356	1209.689	187.200	95.583	1082.403	172.452	110.571	1025.493	167.421	-131.118	1004.548	172.869	-115.314	1145.638	168.197	-102.186	1299.767	165.853	121.435	1286.497	264.868	8.155	1393.862	372.137	-53.432	1267.600	382.087	63.029	1251.480	377.641	58.093	1007.517	340.283	-26.236	1038.313	425.828	-51.973	849.812	420.925	-88.039	869.162	345.120	7.105	1376.494	-17.498	133.131	1293.220	101.302	-35.599	1275.476	-19.373	93.336	1253.561	-11.914	-61.912	1345.731	87.939	35.234	1003.632	5.930	9.704	1038.105	-78.202	-46.777	1001.615	-77.461	-31.408	825.247	-103.035	-82.796	841.235	-32.491	-95.168	1008.116	275.515	-88.296	1004.238	56.467	9.273	1023.581	319.778	90.261	1019.113	48.923	-79.251	806.370	330.652	58.426	878.059	326.253	-2.142	451.961	296.352	-3.036	447.999	195.010	-13.204	310.026	267.706	19.878	41.060	288.564	84.137	9.120	249.851	-135.396	-15.787	218.244	-108.383	15.819	221.205	-81.934	5.181	296.373	-62.923	718.634	-1.569	50.729	894.440	-2.601	-7.629	451.954	25.695	-2.077	454.803	129.449	-14.030	306.685	48.898	26.106	42.284	38.686	84.703	9.247	74.982	-138.768	-14.967	98.551	-112.647	15.975	87.343	-79.963	5.557	22.960	-111.530	697.859	-28.181	-83.470	643.315	-50.937	-55.298	667.402	-74.490	-115.885	713.987	333.694	-83.055	657.488	351.989	-55.507	679.509	383.431	-76.376	1000.566	391.281	-75.394	1358.645	258.261	23.687	1577.208	81.189	40.937	1572.031	222.534	-110.541	738.580	-98.388	-120.081	747.106	400.769
1779	17.78000	01:17:13:16	-65.579	1701.526	161.640	-104.731	1650.805	215.762	-113.529	1654.343	102.054	85.817	1420.737	172.263	121.331	1209.714	187.236	95.576	1082.415	172.458	110.599	1025.512	167.371	-131.147	1004.522	172.870	-115.383	1145.638	168.167	-102.210	1299.760	165.877	121.366	1286.508	264.922	8.063	1393.874	372.171	-53.503	1267.611	382.132	62.959	1251.500	377.676	57.024	1007.603	340.341	-26.251	1038.331	425.857	-51.974	849.829	420.969	-88.092	869.176	345.190	7.110	1376.475	-17.479	133.117	1293.199	101.330	-35.605	1275.456	-19.356	93.302	1253.550	-11.882	-61.928	1345.714	87.943	35.271	1003.711	5.985	9.700	1038.093	-78.174	-46.753	1001.603	-77.464	-31.399	825.231	-103.023	-82.805	841.220	-32.497	-95.188	1008.113	275.523	-88.306	1004.230	56.477	8.968	1023.552	319.954	90.235	1019.117	48.918	-79.232	806.367	330.675	58.436	878.065	326.287	-2.112	451.951	296.314	-3.057	448.012	195.005	-13.184	310.016	267.680	19.858	41.088	288.590	84.143	9.121	249.840	-135.398	-15.778	218.242	-108.371	15.822	221.195	-81.942	5.178	296.348	-62.885	718.645	-1.592	50.730	894.433	-2.573	-7.628	451.955	25.681	-2.067	454.807	129.452	-14.046	306.684	48.906	26.100	42.276	38.663	84.738	9.317	74.902	-138.753	-14.978	98.522	-112.650	15.930	87.290	-79.959	5.512	22.978	-111.514	697.842	-28.185	-83.438	643.283	-50.931	-55.263	667.389	-74.475	-115.906	713.995	333.751	-83.040	657.488	352.042	-55.507	679.523	383.480	-76.412	1000.569	391.333	-75.455	1358.682	258.218	23.638	1577.191	81.194	40.892	1572.030	222.562	-110.528	738.550	-98.383	-120.090	747.110	400.810
