NO_OF_FRAMES	2501
NO_OF_CAMERAS	13
NO_OF_MARKERS	64
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-03-22, 11:53:45.085	10377.00540055
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LTOE	LMT1	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RTOE	RMT1	RMT5	RTHMB	RMID	RPNKY	LTHMB	LMID	LPNKY	LFRM	LFSH	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Measured	Mixed	Mixed
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LTOE X	LTOE Y	LTOE Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RTOE X	RTOE Y	RTOE Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RMID X	RMID Y	RMID Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LMID X	LMID Y	LMID Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
1150	11.49000	01:58:12:13	516.386	1605.736	801.992	542.401	1539.601	754.572	530.756	1548.028	867.690	269.592	1418.847	759.987	187.796	1238.581	681.680	191.540	1097.390	685.461	157.824	1005.074	685.703	405.967	974.618	671.165	404.729	1105.416	689.570	425.110	1245.286	741.290	233.529	1342.480	613.536	413.671	1436.355	617.921	519.351	1362.195	614.527	443.720	1334.340	527.216	660.100	1174.204	525.259	689.829	1271.095	494.140	826.679	1173.640	408.427	845.179	1148.489	488.247	328.497	1304.193	920.172	186.105	1288.361	787.101	383.233	1225.362	904.380	261.159	1184.453	909.633	384.973	1277.744	833.349	424.349	968.635	827.678	435.427	994.769	921.759	498.788	980.028	921.148	534.602	800.438	915.933	591.505	848.105	869.790	353.655	971.762	568.000	375.248	991.149	789.924	192.871	997.704	566.664	195.924	1010.027	811.026	349.012	796.180	531.031	204.116	856.670	530.084	391.947	440.338	574.376	389.139	440.647	678.545	387.150	291.137	607.467	286.013	41.328	589.895	224.145	5.433	634.050	437.504	13.435	630.883	411.388	31.839	629.914	379.713	17.251	572.714	390.959	719.963	863.646	251.694	892.620	870.544	379.440	458.603	871.575	337.676	442.850	773.300	398.677	312.463	862.117	388.528	47.842	926.943	319.491	13.650	918.019	496.444	-9.865	815.700	494.606	13.294	827.547	492.139	2.640	900.354	694.906	751.319	887.418	684.503	680.266	968.756	634.773	684.031	872.249	983.195	1109.136	454.461	1007.806	1183.153	338.986	945.377	1078.386	333.460	749.665	1248.471	527.541	427.831	1331.171	690.017	372.604	1530.404	866.695	378.340	1521.531	720.538	631.103	762.672	946.176	931.194	1168.012	390.323
1151	11.50000	01:58:12:13	519.362	1603.767	805.755	545.452	1537.355	758.652	532.888	1545.824	871.562	272.571	1418.785	760.023	190.039	1239.074	680.748	192.087	1097.461	684.810	158.483	1004.980	684.543	406.507	974.026	674.211	405.747	1104.224	692.804	426.623	1243.448	744.859	238.159	1342.510	613.254	419.801	1432.275	620.187	524.270	1355.473	620.411	449.174	1328.057	532.299	658.716	1159.465	538.843	693.187	1253.946	506.428	827.655	1148.090	426.576	843.331	1124.801	507.668	327.007	1303.935	921.826	187.220	1289.063	785.884	380.975	1224.550	906.633	258.390	1184.925	910.062	384.995	1276.721	836.013	420.791	968.339	827.207	430.658	993.097	921.734	493.988	977.782	921.855	528.480	798.034	914.725	586.409	845.748	869.881	356.165	970.914	570.450	374.426	990.392	791.982	195.295	997.491	566.153	194.546	1009.906	811.493	351.882	795.602	533.511	206.928	856.281	529.406	394.601	439.882	577.851	389.630	440.317	681.746	388.589	290.445	610.534	286.875	41.982	589.150	224.054	5.461	633.356	439.081	13.302	633.686	412.196	31.720	632.513	380.629	17.226	574.879	388.886	719.525	865.594	249.166	892.190	870.747	377.280	458.177	872.905	337.444	442.703	774.490	397.592	312.147	863.001	388.111	47.299	926.845	319.241	12.944	917.741	496.495	-9.876	815.743	494.551	13.275	827.648	492.132	2.611	900.467	688.479	747.310	887.381	676.730	675.565	967.475	627.950	681.289	870.711	979.991	1078.638	478.490	1010.707	1147.554	361.336	944.190	1045.857	357.119	751.351	1229.747	541.726	430.936	1328.660	693.668	374.598	1528.883	869.189	381.677	1520.031	723.065	624.399	758.964	945.630	932.235	1137.394	411.128
1152	11.51000	01:58:12:14	522.101	1601.865	809.688	548.385	1535.349	762.821	534.681	1543.779	875.614	275.737	1418.745	760.107	192.339	1239.615	680.065	192.924	1097.403	684.240	159.127	1004.851	683.547	407.167	973.299	677.188	406.476	1102.701	695.948	428.088	1241.553	748.311	242.848	1342.554	613.021	426.287	1428.799	622.739	528.552	1348.366	626.292	454.104	1321.465	537.466	656.452	1145.144	552.998	695.794	1237.091	518.488	828.592	1123.852	444.307	839.850	1101.591	526.608	325.529	1303.616	923.454	188.340	1289.920	784.753	378.953	1223.778	908.978	255.234	1185.288	910.888	384.956	1275.554	838.558	417.221	967.951	826.770	426.194	991.513	921.639	489.330	975.623	922.447	522.437	795.705	913.640	581.328	843.372	869.942	358.547	969.891	572.701	375.146	989.946	792.966	197.767	997.155	565.679	193.222	1009.632	810.938	354.636	795.019	535.988	209.802	855.820	529.052	397.337	439.479	581.035	390.073	439.784	684.801	390.130	289.970	613.613	287.832	42.077	589.736	223.995	5.609	632.672	439.144	12.756	636.949	412.341	31.217	635.551	381.693	17.006	577.248	386.865	718.997	867.305	246.854	891.612	870.891	375.429	457.664	874.183	336.788	442.446	775.480	396.454	311.627	863.942	387.662	46.715	926.762	318.982	12.083	917.470	496.601	-9.872	815.836	494.491	13.257	827.745	492.100	2.594	900.539	681.989	743.316	887.237	668.776	670.831	966.100	620.546	678.716	869.058	972.546	1049.900	507.247	1011.724	1112.237	384.271	940.745	1014.265	380.274	751.858	1211.270	555.426	434.061	1326.068	697.305	376.438	1527.530	871.720	384.956	1518.769	725.634	617.682	755.472	945.042	931.388	1107.596	431.997
1153	11.52000	01:58:12:14	524.790	1599.991	813.763	551.308	1533.546	767.062	536.398	1541.742	879.674	279.000	1418.673	760.258	194.804	1240.092	679.628	194.029	1097.361	683.807	159.877	1004.694	682.403	407.872	972.362	680.139	407.183	1100.918	699.119	429.443	1239.567	751.689	247.652	1342.513	612.836	432.679	1425.230	625.275	532.295	1340.515	632.369	458.606	1314.650	542.712	653.201	1130.823	566.662	696.797	1219.960	530.202	828.049	1100.164	461.706	834.618	1078.588	544.963	324.101	1303.314	924.946	189.565	1290.739	783.649	376.831	1222.784	910.972	253.035	1185.545	908.699	384.844	1274.400	840.983	413.735	967.534	826.352	421.900	990.019	921.539	484.940	973.593	922.795	516.500	793.519	912.706	576.191	840.972	869.846	360.774	968.682	575.054	375.607	988.845	793.542	200.197	996.743	565.349	192.125	1009.291	810.653	357.368	794.496	538.318	212.954	855.272	529.297	400.089	438.961	584.419	390.906	439.294	687.921	391.744	289.397	616.559	288.774	42.100	590.335	223.997	5.768	631.947	438.287	12.297	640.466	412.175	30.587	638.576	382.905	16.606	579.632	385.088	718.364	868.922	244.751	890.945	871.108	373.614	457.016	875.315	335.670	442.016	776.448	395.238	311.146	864.748	387.183	46.059	926.577	318.736	11.007	917.150	496.642	-9.885	815.910	494.428	13.241	827.840	492.075	2.640	900.577	675.445	739.213	886.898	660.989	666.179	964.587	613.592	675.948	867.693	966.932	1018.762	525.511	1010.878	1077.157	407.920	935.304	983.866	402.747	751.211	1193.017	568.926	437.223	1323.382	700.951	378.197	1525.824	874.010	388.212	1517.632	728.058	611.135	751.948	944.363	928.343	1077.846	451.046
1154	11.53000	01:58:12:14	527.327	1598.267	817.838	554.106	1531.812	771.256	537.967	1539.770	883.740	282.264	1418.433	760.350	197.247	1240.530	679.064	195.142	1097.091	683.419	160.624	1004.298	681.593	408.552	971.443	682.938	407.890	1099.126	702.321	430.680	1237.585	755.128	252.330	1342.244	612.796	439.039	1421.411	627.926	535.123	1333.616	637.194	462.714	1307.728	547.783	649.115	1116.904	579.648	696.881	1202.960	541.827	824.585	1076.266	478.856	828.387	1056.465	562.681	322.805	1303.038	926.459	190.858	1291.530	782.627	374.757	1221.960	912.833	251.535	1185.964	907.532	384.729	1273.075	843.292	410.454	966.962	824.591	417.813	988.799	921.443	480.714	971.744	922.990	510.633	791.448	911.873	570.998	838.543	869.643	362.969	967.667	577.700	371.995	988.898	798.482	202.584	996.273	565.172	191.050	1008.709	810.533	360.066	793.743	540.664	215.681	854.564	529.400	402.920	438.441	587.693	391.818	438.853	690.889	393.392	288.874	619.501	289.719	42.057	590.985	224.076	5.919	631.345	438.424	11.569	643.466	412.281	29.975	641.366	383.942	16.361	581.909	383.404	717.609	870.385	242.845	890.251	871.392	371.883	456.288	876.376	334.522	441.408	777.301	393.970	310.544	865.576	386.646	45.336	926.395	318.419	10.027	916.945	496.640	-9.883	815.963	494.361	13.226	827.933	491.989	2.679	900.578	668.784	735.164	886.290	653.465	661.756	962.916	606.484	673.254	866.328	957.542	989.861	547.922	1008.345	1044.070	431.561	928.305	954.693	424.596	749.519	1174.928	582.329	440.321	1320.517	704.732	379.807	1524.540	876.475	391.429	1516.416	730.541	604.787	748.727	943.620	924.628	1050.006	471.805
1155	11.54000	01:58:12:14	529.732	1596.532	821.845	556.812	1530.082	775.375	539.727	1537.725	887.571	285.543	1418.097	760.522	199.648	1240.743	678.648	196.086	1096.806	683.193	161.359	1003.728	680.949	409.364	970.391	685.672	408.657	1097.447	705.438	431.920	1235.551	758.516	256.994	1341.746	612.830	445.203	1417.516	630.381	538.448	1326.277	642.226	466.661	1300.936	552.639	644.243	1103.519	591.881	696.342	1186.542	553.493	815.952	1053.000	494.585	820.544	1034.368	579.845	321.491	1302.878	927.793	192.140	1292.250	781.663	372.634	1221.138	914.259	249.171	1186.182	907.807	384.707	1272.040	845.507	406.705	966.489	824.400	413.939	987.682	921.347	476.675	970.075	923.003	504.842	789.639	911.279	565.782	836.249	869.253	365.095	966.685	579.741	370.877	988.024	800.736	204.936	995.651	565.066	190.070	1008.029	810.435	362.928	793.166	542.732	218.389	853.777	529.556	405.834	437.848	590.795	393.066	438.198	693.813	395.103	288.205	622.442	290.586	42.124	591.661	224.197	6.092	630.957	438.541	10.888	645.943	412.391	29.470	643.654	384.855	16.124	583.745	381.913	716.647	871.678	241.206	889.402	871.676	370.308	455.453	877.234	333.382	440.546	778.198	392.752	309.854	866.195	386.161	44.581	926.339	318.296	8.822	916.818	496.659	-9.897	816.031	494.291	13.212	828.026	491.980	2.724	900.562	662.144	731.064	885.368	646.212	657.585	961.040	599.338	670.901	865.102	946.571	961.839	569.549	1003.703	1012.059	454.563	919.678	926.611	445.712	746.930	1157.024	595.583	443.296	1317.510	708.522	381.441	1522.977	878.870	395.011	1515.210	733.273	598.588	745.610	942.811	918.701	1022.603	492.954
1156	11.55000	01:58:12:15	531.995	1594.798	825.753	559.331	1528.451	779.320	541.265	1535.794	891.373	288.717	1417.584	760.659	202.085	1240.762	678.287	196.916	1096.493	683.143	162.100	1003.026	680.393	410.147	969.367	688.288	409.373	1095.790	708.511	433.082	1233.367	761.812	261.605	1340.929	612.857	451.128	1413.477	632.781	541.688	1318.984	647.171	470.612	1294.603	557.145	639.111	1090.998	603.939	693.584	1170.074	564.013	808.193	1030.965	508.688	811.626	1013.353	596.284	320.294	1302.689	929.058	193.458	1292.837	780.696	370.646	1220.374	915.873	246.898	1186.621	907.874	384.724	1270.827	847.606	402.877	965.996	824.236	410.270	986.666	921.219	472.763	968.598	922.964	499.217	787.884	910.714	560.574	834.013	868.749	367.015	965.542	581.775	369.922	987.091	802.917	207.194	994.838	565.083	189.245	1007.180	810.637	365.798	792.145	545.071	220.933	852.894	530.097	408.802	437.099	593.722	394.474	437.563	696.422	396.710	287.569	625.046	291.081	42.360	591.841	224.334	6.196	630.780	438.728	10.252	647.686	412.629	29.067	645.269	385.522	16.062	585.054	380.496	715.728	872.967	239.803	888.563	872.612	368.803	454.576	878.191	332.117	439.819	778.924	391.601	309.070	866.889	385.819	43.807	926.294	318.048	8.061	917.165	496.565	-9.991	816.043	494.219	13.199	828.118	491.998	2.791	900.525	655.384	727.027	884.257	639.245	653.446	958.710	592.112	668.435	863.759	934.154	935.070	590.360	995.899	981.058	475.245	909.557	899.141	466.178	743.418	1139.418	608.886	446.248	1314.344	712.188	382.317	1521.976	881.403	397.926	1513.940	735.753	592.608	742.654	941.888	911.257	996.151	512.155
1157	11.56000	01:58:12:15	534.086	1593.087	829.517	561.767	1526.650	783.175	542.768	1533.825	895.059	291.935	1417.049	760.712	204.603	1240.635	677.874	197.860	1096.110	683.141	162.808	1002.345	679.893	410.976	968.732	690.892	410.092	1094.101	711.690	434.221	1231.121	765.085	266.215	1340.032	612.844	456.888	1409.302	635.188	544.741	1311.677	652.172	474.391	1288.325	561.659	633.011	1078.934	614.692	693.129	1155.300	575.801	800.897	1009.613	524.285	801.707	993.613	612.099	319.122	1302.531	930.206	194.736	1293.244	779.897	368.635	1219.667	917.483	244.703	1187.075	907.964	384.821	1269.664	849.750	397.527	965.287	824.386	406.585	985.784	921.193	468.988	967.216	922.816	493.730	786.268	910.248	555.425	831.899	868.114	368.985	964.390	583.782	368.897	986.130	805.026	209.340	994.040	565.115	188.404	1006.341	810.678	368.226	791.246	547.342	223.452	851.869	530.037	411.789	436.349	596.251	396.183	436.808	698.686	398.259	286.758	627.548	291.510	42.435	592.440	224.379	6.338	630.856	439.863	9.337	648.233	413.168	28.458	646.183	385.925	16.091	585.822	379.273	714.701	874.084	238.472	887.567	872.840	367.371	453.695	879.072	330.803	438.955	779.802	390.650	308.269	867.506	385.598	43.148	926.332	318.019	7.230	917.502	496.476	-10.057	816.144	494.146	13.186	828.211	491.997	2.861	900.466	648.650	722.852	882.851	632.964	649.368	955.423	584.925	666.204	862.325	920.558	909.866	610.416	987.269	950.747	496.576	897.950	872.876	486.142	739.015	1122.536	621.123	449.145	1311.196	715.636	383.923	1520.345	883.909	400.643	1512.558	738.323	586.876	739.817	940.940	902.372	970.882	530.807
1158	11.57000	01:58:12:15	536.101	1591.345	833.127	564.029	1525.009	786.852	543.921	1531.721	898.576	295.183	1416.445	760.865	207.167	1240.468	677.316	199.020	1095.578	682.930	163.550	1001.638	679.437	410.864	967.294	693.540	410.762	1092.324	714.747	435.350	1228.932	768.292	270.724	1339.211	612.890	462.494	1404.984	637.596	547.416	1304.551	657.193	477.610	1282.122	566.011	626.430	1067.757	625.041	690.531	1140.709	586.089	792.081	989.226	539.024	790.975	974.904	627.270	317.916	1302.421	931.274	196.242	1293.648	778.868	366.665	1218.905	919.085	242.560	1187.626	908.030	384.868	1268.444	851.853	393.770	964.652	824.347	402.896	985.093	921.190	465.236	965.883	922.670	488.426	784.762	909.806	550.366	829.797	867.505	370.920	963.109	585.630	368.156	985.169	807.100	211.479	993.126	565.284	187.737	1005.590	810.947	370.662	790.349	549.517	225.902	850.716	530.251	414.820	435.394	598.462	398.167	436.026	700.796	399.862	286.031	629.628	291.797	42.523	592.951	224.441	6.447	630.931	440.066	8.747	648.366	413.389	28.113	646.531	386.140	16.105	586.072	378.112	713.767	875.165	237.198	886.531	872.874	366.108	452.953	880.002	329.490	438.381	780.799	389.867	307.714	868.309	385.386	42.718	926.483	318.038	6.562	917.821	496.309	-10.087	816.272	494.073	13.173	828.305	491.987	2.891	900.475	641.590	718.603	880.971	626.806	645.465	952.122	577.886	664.088	860.749	905.760	885.977	629.594	976.897	921.376	516.977	884.785	847.426	505.234	734.015	1106.659	632.850	451.946	1307.927	719.105	385.539	1518.492	886.308	403.242	1511.082	740.891	581.294	737.043	939.849	892.007	946.399	548.613
1159	11.58000	01:58:12:15	538.022	1589.626	836.714	566.269	1523.283	790.546	545.400	1529.768	902.076	298.434	1415.897	760.863	209.724	1240.364	676.686	200.416	1095.020	682.479	164.421	1001.061	678.905	411.007	966.418	696.340	411.947	1090.772	718.064	436.306	1226.664	771.601	275.295	1338.337	612.832	467.548	1400.972	639.353	549.666	1297.422	661.929	481.076	1275.633	570.698	619.527	1057.485	635.113	687.050	1126.706	595.752	784.421	969.610	555.584	779.628	957.419	641.688	316.689	1302.338	932.370	197.801	1294.045	777.373	364.817	1218.156	920.685	239.207	1187.695	908.410	384.885	1267.326	853.885	390.112	964.244	824.227	399.424	984.282	921.156	461.611	964.606	922.555	483.284	783.347	909.421	545.493	827.858	866.792	372.171	961.770	587.486	367.351	984.196	809.077	213.636	992.214	565.257	187.184	1005.044	811.039	372.999	789.635	551.501	228.306	849.644	530.460	417.746	434.607	600.307	400.432	435.084	702.509	401.578	285.156	630.990	292.086	42.673	593.430	224.569	6.605	631.136	439.363	8.502	648.144	413.443	27.757	646.457	386.322	16.102	585.987	377.002	713.161	876.352	235.996	886.054	873.239	364.802	452.483	881.214	328.236	437.982	781.933	388.880	307.622	869.309	385.222	42.550	926.740	318.046	6.133	918.098	496.194	-10.082	816.431	494.002	13.160	828.398	491.935	2.904	900.499	633.873	715.259	876.801	620.692	641.615	948.820	570.807	662.112	858.993	889.897	863.177	647.610	965.041	893.210	536.277	870.288	824.225	523.228	728.489	1091.709	643.429	454.625	1304.438	722.574	385.827	1517.366	890.043	405.786	1509.525	743.386	576.029	734.302	938.616	880.641	923.093	565.609
