NO_OF_FRAMES	201
NO_OF_CAMERAS	13
NO_OF_MARKERS	64
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-05-26, 11:33:27.433	1294759.80683440
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LTOE	LMT1	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RTOE	RMT1	RMT5	RTHMB	RINDX	RPNKY	LTHMB	LINDX	LPNKY	LFRM	LFSH	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Measured
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LTOE X	LTOE Y	LTOE Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RTOE X	RTOE Y	RTOE Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
1320	13.19000	02:08:00:08	2420.226	1752.912	713.036	2524.249	1669.674	632.710	2519.154	1643.927	761.363	2231.769	1522.843	584.888	2165.623	1314.267	587.301	2173.726	1140.200	618.923	2204.590	1029.383	604.746	2312.436	1057.458	872.535	2306.302	1209.099	843.674	2322.319	1351.272	792.587	2220.620	1359.520	519.530	2384.609	1440.918	503.494	2419.195	1252.222	537.779	2287.869	1253.872	484.010	2410.358	1080.008	507.594	2282.807	1075.074	518.930	2457.044	895.365	509.312	2490.235	946.350	578.460	2119.476	1583.535	730.372	2116.347	1420.165	596.923	2058.562	1412.182	798.650	1986.455	1417.197	672.299	2236.655	1461.404	801.258	1976.888	1250.350	800.670	1923.593	1255.422	681.695	1901.067	1277.645	770.481	1936.511	1059.651	818.399	2022.788	1085.423	820.214	2401.103	1067.783	798.113	2162.026	1069.718	876.964	2325.789	1013.561	595.802	2075.343	1037.511	660.321	2436.443	891.429	781.873	2404.061	894.723	650.999	2425.215	487.480	783.563	2289.810	462.598	728.259	2431.581	342.392	752.529	2472.471	87.385	667.923	2429.130	29.401	604.322	2454.985	24.690	841.456	2461.549	37.217	814.035	2513.296	24.563	784.855	2126.406	882.203	875.776	2058.218	896.495	739.577	2160.622	472.042	812.544	2253.873	477.356	776.786	2176.953	339.207	794.173	2157.817	69.383	691.124	2189.691	33.267	622.416	2253.378	26.886	846.961	2242.770	42.361	810.381	2164.751	19.647	808.606	2085.090	946.325	856.729	2032.687	860.163	884.514	1971.904	871.517	846.833	2625.610	874.764	568.973	2656.628	806.309	525.561	2606.727	781.530	518.878	2338.249	1087.749	462.485	2386.352	1394.097	683.139	2332.369	1641.630	759.107	2350.300	1672.255	605.238	1973.996	942.777	864.376	2553.319	824.565	494.489
1321	13.20000	02:08:00:08	2420.595	1752.909	713.233	2524.650	1669.563	633.107	2519.446	1643.918	761.765	2232.175	1522.953	585.051	2165.928	1314.386	587.308	2173.974	1140.301	618.894	2204.734	1029.461	604.647	2312.346	1057.409	872.592	2306.261	1209.045	843.822	2322.386	1351.255	792.850	2221.083	1359.634	519.690	2385.201	1440.956	503.929	2419.590	1252.243	538.231	2288.328	1253.885	484.228	2410.715	1079.947	508.023	2283.679	1074.844	519.769	2457.234	895.248	509.788	2490.485	946.229	579.054	2119.782	1583.627	730.412	2116.580	1420.286	596.944	2058.575	1412.358	798.572	1986.756	1417.452	672.111	2236.738	1461.364	801.428	1976.716	1250.657	800.342	1922.993	1255.936	681.151	1901.040	1278.083	770.110	1936.674	1060.123	818.213	2022.699	1086.120	819.625	2401.121	1067.773	798.291	2162.455	1070.021	877.546	2326.014	1013.674	595.864	2075.559	1037.548	660.140	2436.042	891.077	781.745	2404.604	894.913	651.211	2425.233	487.478	783.505	2290.247	462.647	728.457	2431.671	342.423	752.551	2472.528	87.374	667.895	2429.176	29.422	604.325	2455.015	24.638	841.487	2461.545	37.143	814.020	2513.273	24.556	784.808	2126.392	882.240	875.631	2058.321	896.531	739.403	2160.629	472.063	812.428	2253.896	477.387	776.677	2176.940	339.236	794.084	2157.824	69.380	691.130	2189.679	33.298	622.455	2253.418	26.865	846.944	2242.814	42.372	810.408	2164.775	19.645	808.625	2085.051	946.729	856.664	2032.507	860.844	884.728	1971.837	872.214	846.908	2625.712	874.372	569.634	2656.717	805.883	526.344	2606.871	781.174	519.790	2338.882	1088.009	462.750	2386.623	1394.109	683.527	2332.848	1641.652	759.735	2350.817	1672.247	605.437	1974.020	943.470	864.334	2553.372	824.283	494.793
1322	13.21000	02:08:00:08	2421.034	1752.943	713.480	2525.037	1669.404	633.432	2519.758	1643.861	762.111	2232.624	1523.074	585.213	2166.344	1314.486	587.397	2174.237	1140.403	618.878	2204.967	1029.470	604.603	2312.275	1057.342	872.674	2306.245	1209.038	844.000	2322.506	1351.243	793.149	2221.515	1359.750	519.804	2385.718	1441.049	504.325	2419.976	1252.267	538.677	2288.811	1253.957	484.438	2411.121	1079.935	508.445	2284.172	1074.888	520.081	2457.399	895.072	510.334	2490.713	945.960	579.649	2120.103	1583.739	730.472	2116.867	1420.396	596.993	2058.693	1412.491	798.552	1987.123	1417.732	671.895	2236.878	1461.414	801.672	1976.710	1251.090	800.125	1923.044	1256.286	680.725	1901.042	1278.503	769.706	1936.728	1060.667	818.033	2022.773	1086.624	819.476	2401.122	1067.652	798.448	2162.448	1069.979	877.478	2326.220	1013.751	595.940	2075.729	1037.561	660.005	2436.090	891.051	781.869	2404.747	894.938	651.302	2425.292	487.493	783.465	2290.694	462.699	728.660	2431.722	342.466	752.433	2472.601	87.371	667.954	2429.191	29.432	604.323	2455.038	24.619	841.497	2461.563	37.173	814.036	2513.278	24.527	784.848	2126.342	882.210	875.497	2058.253	896.612	739.227	2160.635	472.065	812.314	2253.843	477.383	776.505	2176.944	339.260	793.998	2157.803	69.392	691.108	2189.654	33.297	622.415	2253.444	26.838	846.960	2242.822	42.362	810.384	2164.778	19.657	808.624	2085.047	947.158	856.631	2032.236	861.482	884.995	1971.382	873.050	846.694	2625.745	874.001	570.197	2656.787	805.421	527.164	2606.821	780.776	520.421	2339.515	1088.066	463.084	2386.840	1394.116	683.901	2333.256	1641.727	760.164	2351.206	1672.176	605.745	1974.036	944.258	864.424	2553.421	823.998	495.115
1323	13.22000	02:08:00:08	2421.510	1752.946	713.761	2525.483	1669.288	633.813	2520.104	1643.841	762.482	2233.074	1523.208	585.419	2166.773	1314.576	587.497	2174.492	1140.498	618.904	2205.195	1029.518	604.590	2312.211	1057.271	872.729	2306.263	1208.972	844.172	2322.599	1351.198	793.421	2221.950	1359.867	519.963	2386.245	1441.111	504.707	2420.411	1252.323	539.155	2289.321	1254.071	484.600	2411.542	1079.894	508.859	2284.593	1074.994	520.329	2457.517	894.941	510.813	2490.882	945.794	580.193	2120.436	1583.850	730.567	2117.261	1420.557	597.071	2058.779	1412.636	798.509	1987.533	1418.069	671.605	2237.043	1461.456	801.940	1976.564	1251.472	799.787	1923.250	1256.745	680.285	1901.047	1278.958	769.284	1936.847	1061.214	817.935	2022.813	1087.158	819.272	2401.171	1067.772	798.639	2162.433	1069.949	877.416	2326.406	1013.790	596.006	2075.910	1037.626	659.919	2436.115	891.021	781.962	2404.894	894.975	651.373	2425.335	487.481	783.409	2291.152	462.753	728.868	2431.754	342.460	752.354	2472.617	87.356	667.858	2429.205	29.403	604.246	2455.028	24.610	841.489	2461.568	37.157	814.040	2513.384	24.549	784.888	2126.346	882.199	875.396	2058.185	896.681	739.082	2160.590	472.094	812.171	2253.851	477.373	776.397	2176.893	339.276	793.893	2157.785	69.390	691.083	2189.564	33.374	622.361	2253.478	26.810	846.931	2242.792	42.338	810.361	2164.764	19.645	808.629	2085.013	947.615	856.608	2031.882	862.107	885.299	1971.253	873.899	847.242	2625.807	873.630	570.898	2656.723	804.904	527.808	2606.691	780.344	520.970	2340.004	1088.184	463.384	2387.107	1394.103	684.283	2333.650	1641.812	760.526	2351.570	1672.190	606.031	1973.970	945.074	864.592	2553.418	823.730	495.551
1324	13.23000	02:08:00:09	2422.026	1752.937	714.093	2525.947	1669.196	634.195	2520.498	1643.772	762.824	2233.596	1523.266	585.670	2167.113	1314.730	587.595	2174.761	1140.575	618.930	2205.432	1029.584	604.572	2312.232	1057.209	872.863	2306.319	1208.918	844.344	2322.742	1351.193	793.698	2222.400	1359.993	520.188	2386.728	1441.168	505.105	2420.848	1252.364	539.591	2289.808	1254.131	484.788	2411.973	1079.906	509.280	2285.001	1075.025	520.487	2457.695	894.854	511.256	2491.048	945.617	580.708	2120.766	1583.955	730.676	2117.637	1420.694	597.144	2058.844	1412.806	798.428	1987.974	1418.405	671.258	2237.230	1461.487	802.181	1976.415	1251.942	799.422	1923.410	1257.069	679.841	1900.989	1279.483	768.789	1936.870	1061.777	817.847	2023.001	1087.657	819.460	2401.214	1067.749	798.784	2162.492	1069.976	877.421	2326.590	1013.846	596.082	2076.000	1037.733	659.818	2436.167	890.983	782.028	2405.027	895.004	651.443	2425.375	487.459	783.350	2291.620	462.810	729.080	2431.774	342.421	752.342	2472.683	87.351	667.926	2429.246	29.388	604.222	2454.959	24.617	841.417	2461.545	37.171	813.994	2513.334	24.537	784.816	2126.332	882.203	875.291	2058.211	896.738	738.969	2160.561	472.122	812.021	2253.830	477.402	776.281	2176.817	339.336	793.763	2157.765	69.409	691.066	2189.670	33.264	622.392	2253.502	26.768	846.953	2242.781	42.326	810.365	2164.762	19.627	808.652	2084.983	948.108	856.592	2031.205	862.779	885.483	1970.853	874.661	847.642	2625.964	873.291	571.852	2656.633	804.417	528.394	2606.636	779.993	521.680	2340.526	1088.274	463.655	2387.372	1394.139	684.648	2334.059	1641.895	760.893	2351.941	1672.254	606.356	1973.745	945.922	864.737	2553.512	823.386	496.003
1325	13.24000	02:08:00:09	2422.529	1752.926	714.451	2526.370	1669.171	634.539	2520.888	1643.699	763.155	2234.000	1523.387	585.877	2167.402	1314.830	587.702	2175.051	1140.715	618.986	2205.712	1029.706	604.562	2312.295	1057.166	872.989	2306.425	1208.887	844.548	2322.897	1351.195	793.957	2222.885	1360.124	520.371	2387.183	1441.205	505.471	2421.257	1252.423	539.973	2290.318	1254.213	485.010	2412.406	1079.973	509.720	2285.411	1075.204	520.649	2457.832	894.741	511.660	2491.073	945.509	581.029	2121.087	1584.090	730.797	2118.160	1420.822	597.294	2058.869	1413.063	798.341	1988.456	1418.747	670.883	2237.416	1461.510	802.448	1976.414	1252.563	799.034	1923.406	1257.460	679.292	1900.764	1279.967	768.215	1936.851	1062.416	817.745	2023.017	1088.311	819.390	2401.249	1067.725	798.898	2162.528	1069.936	877.381	2326.760	1013.895	596.149	2076.173	1037.840	659.759	2436.249	890.919	782.119	2405.119	894.991	651.507	2425.360	487.425	783.330	2292.099	462.868	729.298	2431.791	342.413	752.315	2472.740	87.364	667.999	2429.314	29.362	604.177	2454.949	24.638	841.402	2461.537	37.149	813.984	2513.336	24.543	784.811	2126.349	882.196	875.166	2058.281	896.761	738.847	2160.503	472.154	811.877	2253.828	477.449	776.189	2176.794	339.398	793.666	2157.745	69.434	691.030	2189.578	33.273	622.352	2253.507	26.749	846.937	2242.820	42.297	810.385	2164.764	19.593	808.672	2084.733	948.690	856.448	2030.566	863.433	885.657	1970.312	875.431	848.034	2625.953	872.889	572.569	2656.580	803.983	529.181	2606.509	779.557	522.206	2341.058	1088.365	463.894	2387.648	1394.128	685.027	2333.582	1641.458	759.904	2352.304	1672.299	606.702	1973.510	946.788	864.901	2553.553	823.163	498.450
1326	13.25000	02:08:00:09	2422.998	1752.919	714.846	2526.745	1669.122	634.830	2521.359	1643.607	763.534	2234.454	1523.501	586.178	2167.694	1315.028	587.877	2175.419	1140.849	619.096	2205.999	1029.783	604.599	2312.337	1057.054	873.040	2306.562	1208.884	844.773	2323.092	1351.188	794.226	2223.347	1360.277	520.619	2387.572	1441.231	505.826	2421.672	1252.462	540.360	2290.762	1254.329	485.223	2412.767	1079.959	510.081	2285.760	1075.271	520.796	2457.981	894.617	512.052	2491.271	945.348	581.632	2121.453	1584.231	730.951	2118.631	1420.963	597.417	2058.793	1413.315	798.176	1988.843	1419.115	670.508	2237.629	1461.539	802.687	1976.108	1253.081	798.547	1923.328	1257.940	678.795	1900.527	1280.463	767.611	1936.710	1063.158	817.589	2022.741	1089.128	818.865	2401.317	1067.650	798.991	2162.614	1069.916	877.363	2326.967	1013.934	596.197	2076.348	1037.977	659.719	2436.322	890.881	782.142	2405.218	894.966	651.552	2425.384	487.401	783.330	2292.589	462.929	729.520	2431.758	342.374	752.271	2472.719	87.331	667.979	2429.315	29.376	604.184	2454.936	24.630	841.392	2461.493	37.149	813.970	2513.312	24.547	784.792	2126.365	882.192	875.069	2058.177	896.884	738.692	2160.469	472.210	811.715	2253.791	477.460	776.092	2176.720	339.433	793.548	2157.774	69.417	691.046	2189.553	33.335	622.362	2253.522	26.752	846.940	2242.800	42.276	810.363	2164.735	19.624	808.698	2084.606	949.372	856.387	2030.076	864.273	886.039	1969.489	876.542	848.106	2625.952	872.500	573.310	2656.660	803.557	530.044	2606.550	779.151	522.912	2341.471	1088.448	464.103	2387.990	1394.148	685.410	2333.920	1641.436	760.130	2352.661	1672.376	607.082	1973.257	947.724	865.036	2553.736	823.201	507.025
1327	13.26000	02:08:00:09	2423.418	1752.881	715.227	2527.178	1669.101	635.181	2521.807	1643.573	763.855	2234.922	1523.545	586.456	2167.985	1315.150	588.025	2175.690	1141.017	619.204	2206.300	1029.890	604.648	2312.416	1057.022	873.033	2306.710	1208.830	845.005	2323.275	1351.180	794.518	2223.748	1360.386	520.818	2388.068	1441.269	506.206	2422.073	1252.520	540.749	2291.242	1254.413	485.461	2413.166	1079.981	510.481	2286.028	1075.407	520.938	2458.163	894.481	512.479	2491.387	945.196	582.095	2121.829	1584.381	731.098	2119.084	1421.123	597.562	2058.700	1413.592	797.996	1989.239	1419.563	670.185	2237.830	1461.603	802.915	1975.792	1253.771	798.113	1923.243	1258.443	678.309	1900.325	1281.169	767.103	1936.583	1063.846	817.372	2022.742	1089.812	818.995	2401.442	1067.629	799.107	2162.719	1069.926	877.388	2327.175	1013.992	596.259	2076.492	1038.168	659.681	2436.426	890.838	782.224	2405.310	894.938	651.577	2425.402	487.374	783.299	2293.089	462.992	729.747	2431.767	342.396	752.231	2472.689	87.315	667.884	2429.419	29.340	604.248	2454.924	24.631	841.421	2461.482	37.158	813.980	2513.301	24.539	784.803	2126.408	882.174	874.976	2058.703	896.938	738.635	2160.460	472.230	811.575	2253.763	477.465	776.004	2176.676	339.460	793.474	2157.717	69.430	691.013	2189.591	33.286	622.349	2253.515	26.746	846.952	2242.816	42.284	810.359	2164.720	19.615	808.706	2084.552	950.133	856.427	2029.529	865.258	886.496	1968.944	877.703	848.697	2625.874	872.072	573.916	2656.758	803.127	530.922	2606.573	778.868	523.631	2342.088	1088.491	464.340	2388.254	1394.149	685.757	2333.499	1641.199	759.674	2353.064	1672.424	607.481	1969.052	949.845	859.947	2553.769	823.029	508.126
1328	13.27000	02:08:00:10	2423.855	1752.888	715.647	2527.634	1669.097	635.567	2522.215	1643.529	764.168	2235.339	1523.671	586.716	2168.308	1315.346	588.148	2175.902	1141.204	619.280	2206.594	1029.972	604.670	2312.492	1056.959	873.034	2306.838	1208.825	845.221	2323.456	1351.133	794.827	2224.084	1360.490	521.064	2388.592	1441.345	506.615	2422.402	1252.508	541.065	2291.652	1254.486	485.688	2413.489	1079.969	510.811	2286.358	1075.512	521.079	2458.286	894.383	512.837	2491.451	945.084	582.497	2122.216	1584.539	731.245	2119.592	1421.232	597.760	2058.592	1413.853	797.847	1989.670	1419.884	669.898	2238.061	1461.617	803.203	1975.476	1254.438	797.727	1922.995	1259.105	677.749	1900.005	1281.810	766.552	1936.408	1064.751	817.064	2022.535	1090.505	818.683	2401.623	1067.617	799.196	2162.801	1069.893	877.440	2327.418	1014.070	596.313	2076.774	1038.298	659.665	2436.555	890.830	782.282	2405.435	894.960	651.639	2425.450	487.397	783.300	2293.601	463.058	729.979	2431.782	342.379	752.217	2472.711	87.337	667.981	2429.367	29.340	604.244	2454.918	24.610	841.461	2461.485	37.150	814.004	2513.277	24.521	784.756	2126.450	882.163	874.924	2058.965	897.004	738.568	2160.473	472.259	811.451	2253.796	477.454	775.890	2176.637	339.507	793.370	2157.729	69.452	691.010	2189.548	33.297	622.369	2253.557	26.751	846.925	2242.828	42.269	810.354	2164.710	19.614	808.703	2084.361	950.944	856.323	2028.877	866.316	887.013	1968.289	878.672	849.105	2625.097	872.147	573.355	2656.737	802.828	531.594	2606.552	778.590	524.260	2342.581	1088.553	464.595	2388.507	1394.147	686.138	2333.890	1641.132	759.994	2353.509	1672.454	607.871	1968.227	950.951	859.414	2553.889	822.808	509.181
1329	13.28000	02:08:00:10	2424.260	1752.798	716.064	2528.046	1669.047	635.894	2522.697	1643.444	764.527	2235.761	1523.764	587.070	2168.568	1315.501	588.217	2176.129	1141.385	619.413	2206.848	1030.085	604.706	2312.580	1056.857	872.976	2307.003	1208.795	845.451	2323.667	1351.093	795.160	2224.505	1360.656	521.301	2389.065	1441.399	507.062	2422.721	1252.508	541.430	2292.040	1254.577	485.901	2413.822	1079.959	511.134	2286.717	1075.574	521.244	2458.420	894.315	513.212	2491.520	944.872	582.915	2122.656	1584.708	731.406	2120.074	1421.379	597.976	2054.896	1414.295	796.933	1989.956	1420.400	669.601	2238.267	1461.597	803.489	1975.751	1255.954	797.563	1922.846	1259.777	677.228	1899.740	1282.587	766.009	1936.223	1065.519	816.742	2022.059	1091.575	817.862	2401.744	1067.617	799.245	2162.913	1069.898	877.497	2327.667	1014.150	596.370	2076.958	1038.436	659.633	2436.639	890.829	782.286	2405.563	894.927	651.639	2425.547	487.405	783.299	2294.123	463.126	730.216	2431.871	342.461	752.247	2472.479	87.178	667.563	2429.321	29.341	604.207	2454.931	24.604	841.465	2461.445	37.128	813.967	2513.280	24.546	784.758	2126.617	882.204	874.921	2058.868	897.167	738.482	2160.537	472.273	811.389	2253.842	477.501	775.757	2176.691	339.538	793.318	2157.730	69.425	691.041	2189.498	33.346	622.329	2253.590	26.737	846.916	2242.833	42.250	810.336	2164.767	19.612	808.707	2084.197	951.833	856.310	2029.134	867.656	888.428	1967.699	879.773	849.541	2625.889	871.523	575.188	2656.814	802.487	532.340	2606.590	778.428	524.808	2342.980	1088.614	464.780	2388.815	1394.131	686.539	2335.184	1641.274	761.189	2354.044	1672.461	608.275	1967.607	952.248	859.160	2553.485	823.162	501.640
