NO_OF_FRAMES	199
NO_OF_CAMERAS	13
NO_OF_MARKERS	64
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-05-26, 11:48:16.433	1295648.80670847
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LTOE	LMT1	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RTOE	RMT1	RMT5	RTHMB	RINDX	RPNKY	LTHMB	LINDX	LPNKY	LFRM	LFSH	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LTOE X	LTOE Y	LTOE Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RTOE X	RTOE Y	RTOE Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
3449	34.48000	02:23:10:14	-1074.680	1569.864	680.308	-1176.544	1655.237	761.559	-1183.044	1667.023	630.296	-1164.126	1447.061	673.298	-1069.180	1315.177	657.086	-958.472	1169.329	637.484	-855.116	1058.081	656.840	-1131.278	952.369	695.681	-1218.231	1059.284	670.582	-1297.179	1200.784	668.879	-1107.253	1367.895	770.747	-1264.636	1444.802	825.075	-1404.973	1372.622	828.549	-1337.886	1291.488	911.116	-1593.184	1325.424	855.090	-1514.681	1229.333	882.215	-1749.122	1174.790	906.861	-1759.579	1225.159	838.923	-1279.008	1452.365	529.375	-1113.934	1375.310	574.576	-1405.635	1375.093	526.662	-1369.394	1308.418	424.572	-1329.389	1306.192	593.960	-1608.923	1340.245	478.370	-1532.878	1239.726	468.813	-1560.623	1305.875	419.215	-1758.565	1197.561	424.335	-1781.813	1263.361	470.320	-1088.342	999.203	787.245	-1103.748	970.020	543.218	-874.246	1051.059	777.773	-882.252	1058.554	518.650	-1048.156	888.127	849.446	-910.626	893.387	854.914	-1160.271	511.797	882.618	-1136.526	480.290	798.618	-1155.305	365.158	911.263	-1123.086	100.850	986.536	-1063.784	43.429	952.070	-1292.711	43.066	915.947	-1271.132	47.292	935.092	-1258.185	15.099	979.954	-1065.827	858.422	513.644	-914.255	871.942	488.089	-1137.143	475.711	528.510	-1116.179	466.523	627.815	-1169.322	346.711	534.128	-1165.574	58.065	500.323	-1107.347	18.983	536.079	-1293.954	8.554	495.768	-1302.730	26.871	565.128	-1345.136	3.221	572.413	-1936.115	1210.498	459.557	-1969.501	1139.117	417.452	-1918.498	1099.741	430.076	-1920.383	1194.892	857.455	-1954.517	1075.981	893.065	-1901.379	1063.195	879.168	-1542.685	1292.354	918.482	-1330.167	1302.342	736.521	-1173.313	1479.783	610.380	-1158.354	1483.929	764.056	-1872.934	1142.941	431.899	-1857.903	1103.798	890.786
3450	34.49000	02:23:10:14	-1089.257	1577.174	682.127	-1195.310	1657.750	762.624	-1201.745	1668.940	631.405	-1173.786	1449.463	674.285	-1075.496	1316.761	658.604	-962.505	1171.540	639.479	-859.134	1059.677	659.660	-1135.654	954.299	698.481	-1221.444	1058.519	672.027	-1302.122	1199.278	669.920	-1114.632	1369.580	771.878	-1274.256	1444.387	826.098	-1408.360	1365.686	831.013	-1343.691	1287.888	911.910	-1598.682	1313.604	856.416	-1517.984	1220.632	883.035	-1750.558	1158.126	908.421	-1762.565	1208.316	840.269	-1288.642	1450.549	530.170	-1121.300	1376.819	575.817	-1413.108	1369.559	527.801	-1374.729	1302.975	426.195	-1335.912	1304.519	594.757	-1614.827	1327.153	479.480	-1535.486	1229.142	471.355	-1565.396	1293.636	420.486	-1759.477	1178.624	427.133	-1784.987	1244.336	472.353	-1092.934	1000.539	789.425	-1107.070	971.774	544.922	-878.673	1052.700	780.533	-885.731	1060.361	521.407	-1053.597	889.080	850.236	-916.026	895.032	857.829	-1160.594	512.342	883.282	-1137.980	481.016	798.985	-1157.327	365.445	910.832	-1127.990	99.697	983.710	-1068.587	44.116	948.021	-1296.292	39.752	909.679	-1275.334	44.244	928.488	-1262.090	11.956	973.883	-1068.328	859.860	517.054	-916.985	873.795	490.657	-1136.843	475.923	528.691	-1116.964	466.576	628.102	-1169.012	346.859	533.807	-1165.176	58.018	500.005	-1107.230	18.900	535.826	-1294.036	8.450	495.335	-1302.737	26.933	564.557	-1345.061	3.155	572.103	-1937.358	1185.966	462.487	-1968.714	1113.505	421.460	-1917.422	1075.463	436.850	-1922.331	1173.013	858.858	-1953.030	1053.096	894.660	-1899.036	1041.968	880.679	-1549.055	1282.932	918.967	-1337.808	1300.745	736.812	-1185.462	1481.988	611.736	-1169.458	1487.469	765.376	-1873.981	1120.806	435.348	-1856.863	1083.878	892.301
3451	34.50000	02:23:10:15	-1103.868	1583.910	684.132	-1214.083	1659.707	763.703	-1220.315	1670.262	632.500	-1183.519	1451.613	675.157	-1081.742	1318.469	659.411	-966.646	1173.528	641.968	-863.203	1060.981	662.938	-1140.088	955.750	701.644	-1224.774	1057.778	673.367	-1307.535	1197.778	671.021	-1122.074	1370.936	773.151	-1283.826	1443.742	827.097	-1415.515	1360.143	832.408	-1349.103	1284.778	912.696	-1604.536	1302.087	857.532	-1521.240	1212.044	883.978	-1751.564	1141.929	909.851	-1765.221	1191.962	841.635	-1297.839	1448.807	530.865	-1128.422	1378.053	577.216	-1420.770	1364.158	529.509	-1379.614	1297.486	427.942	-1341.735	1302.297	595.695	-1620.298	1314.106	480.519	-1537.498	1218.687	473.874	-1569.447	1281.566	422.040	-1759.858	1160.048	429.288	-1787.370	1225.809	474.178	-1097.814	1001.257	791.423	-1110.376	973.302	545.281	-883.415	1054.009	783.580	-889.009	1061.852	524.414	-1059.176	889.998	850.923	-921.770	896.213	860.767	-1161.049	512.315	883.494	-1139.272	481.336	798.945	-1158.641	364.783	909.911	-1130.487	98.125	980.438	-1070.752	44.371	944.216	-1296.309	34.060	903.210	-1275.480	39.373	921.519	-1263.922	10.880	968.550	-1070.764	860.851	520.015	-919.760	875.405	493.288	-1136.660	475.936	529.294	-1117.828	466.493	628.879	-1168.819	346.907	534.020	-1164.892	58.083	500.073	-1107.147	18.885	536.005	-1294.066	8.360	495.226	-1302.709	26.909	564.377	-1345.004	3.091	571.994	-1937.624	1162.066	465.301	-1967.018	1088.551	425.681	-1915.126	1052.694	442.049	-1923.240	1151.214	860.388	-1950.279	1030.785	895.889	-1896.059	1021.268	882.176	-1554.455	1273.506	919.871	-1343.969	1298.423	737.670	-1188.944	1486.812	613.995	-1180.775	1490.822	766.918	-1872.655	1098.489	439.365	-1853.975	1065.035	893.969
3452	34.51000	02:23:10:15	-1118.838	1590.066	686.358	-1232.784	1660.966	764.859	-1238.614	1670.924	633.661	-1193.130	1453.282	676.130	-1087.652	1319.720	661.323	-971.170	1174.928	644.853	-867.314	1062.089	666.360	-1144.605	956.483	704.998	-1228.573	1057.053	674.691	-1312.867	1195.958	672.075	-1129.282	1371.958	774.739	-1293.029	1442.764	828.308	-1423.403	1355.249	833.525	-1354.597	1281.628	913.609	-1611.309	1291.234	858.705	-1524.744	1204.211	885.137	-1752.161	1126.296	911.234	-1767.520	1176.044	843.050	-1306.803	1446.711	531.506	-1135.466	1378.868	578.591	-1427.436	1358.514	530.745	-1383.953	1291.638	429.968	-1346.901	1298.613	597.001	-1625.145	1301.103	480.668	-1539.407	1208.497	476.624	-1573.029	1269.666	423.673	-1759.475	1142.141	431.857	-1789.165	1207.866	475.757	-1102.745	1001.618	793.244	-1113.291	974.789	545.253	-888.392	1054.920	786.946	-892.258	1063.252	527.829	-1064.853	890.603	851.859	-927.417	896.800	863.657	-1161.796	511.458	883.102	-1140.554	480.956	799.049	-1159.611	363.388	908.332	-1130.823	96.379	977.135	-1070.869	43.255	940.612	-1295.349	27.611	899.427	-1274.840	33.999	917.226	-1264.011	9.347	965.955	-1073.225	861.445	522.442	-922.425	876.536	496.126	-1136.777	475.865	530.473	-1118.490	466.299	630.049	-1168.802	346.886	534.762	-1164.769	58.137	500.470	-1107.036	18.889	536.357	-1294.000	8.311	495.318	-1302.658	26.888	564.458	-1345.003	3.060	572.031	-1937.230	1139.093	467.929	-1965.326	1063.916	431.930	-1910.486	1030.119	445.699	-1924.019	1129.989	861.761	-1946.786	1009.077	897.667	-1892.084	1000.850	883.761	-1555.331	1262.728	922.977	-1350.720	1296.336	738.402	-1199.485	1488.908	615.858	-1191.422	1494.523	768.706	-1870.403	1077.024	443.117	-1851.755	1046.309	895.569
3453	34.52000	02:23:10:15	-1133.810	1595.455	688.455	-1251.231	1661.493	766.051	-1256.670	1671.008	634.819	-1202.607	1454.432	677.240	-1093.696	1320.594	663.145	-975.960	1175.839	648.085	-871.461	1063.100	670.170	-1149.075	956.950	708.206	-1232.405	1056.284	675.980	-1318.184	1193.952	673.054	-1136.498	1372.632	776.459	-1302.226	1441.426	829.448	-1432.316	1350.498	833.922	-1359.977	1278.400	914.687	-1614.726	1279.201	860.471	-1527.537	1195.947	886.174	-1752.337	1111.005	912.433	-1771.605	1162.047	843.933	-1315.324	1444.484	531.908	-1142.369	1379.447	580.274	-1433.746	1352.798	531.857	-1387.919	1285.525	432.093	-1352.379	1295.658	598.164	-1629.353	1288.627	481.482	-1540.661	1198.549	479.200	-1576.094	1257.947	425.261	-1758.753	1124.819	434.307	-1790.500	1190.235	477.394	-1107.748	1001.717	794.681	-1116.661	976.097	548.440	-893.484	1055.450	790.527	-895.338	1064.408	531.395	-1070.195	890.655	853.243	-932.742	896.791	866.222	-1162.955	509.806	881.975	-1140.702	479.778	797.383	-1160.073	361.238	906.234	-1129.468	94.400	974.166	-1069.814	41.614	937.642	-1294.076	22.034	897.901	-1273.131	28.965	915.351	-1262.740	7.840	965.452	-1075.866	861.596	524.287	-924.969	877.367	498.977	-1137.230	475.794	531.902	-1119.020	466.021	631.465	-1168.947	346.839	535.792	-1164.646	58.246	500.907	-1106.945	18.899	536.836	-1293.838	8.238	495.423	-1302.562	26.825	564.582	-1344.945	3.016	572.070	-1936.434	1117.021	470.311	-1962.560	1040.956	436.109	-1906.082	1008.364	449.534	-1924.480	1109.219	862.979	-1942.956	987.666	898.957	-1887.814	981.146	885.292	-1559.514	1253.365	924.346	-1356.970	1293.903	739.247	-1210.231	1490.407	617.601	-1202.871	1497.071	770.427	-1868.189	1057.056	446.218	-1849.087	1028.099	897.230
3454	34.53000	02:23:10:15	-1148.837	1600.066	690.626	-1269.450	1661.381	767.228	-1274.282	1670.332	636.054	-1212.626	1455.530	678.331	-1099.749	1321.255	665.538	-980.763	1176.369	651.675	-875.620	1063.913	674.061	-1153.259	957.173	711.140	-1236.214	1055.258	677.254	-1323.934	1191.824	674.222	-1143.805	1373.027	778.231	-1311.238	1439.622	830.923	-1442.406	1347.144	834.445	-1365.390	1275.063	915.893	-1621.474	1269.926	861.552	-1530.247	1187.728	887.362	-1752.929	1096.628	913.834	-1772.310	1146.575	845.244	-1323.691	1441.977	532.388	-1149.381	1379.642	581.617	-1439.872	1346.967	532.941	-1391.595	1279.362	434.415	-1358.892	1293.362	599.430	-1633.238	1276.042	482.407	-1542.294	1189.051	480.176	-1578.769	1246.327	426.916	-1757.432	1107.822	436.851	-1791.421	1173.218	479.004	-1112.699	1001.565	795.935	-1119.613	976.556	549.929	-898.629	1055.699	794.264	-898.229	1065.433	535.031	-1075.331	889.862	854.815	-937.700	896.279	868.498	-1164.196	507.403	880.388	-1140.403	477.763	796.146	-1160.183	358.847	904.418	-1128.003	92.342	971.896	-1068.547	39.588	935.757	-1293.305	18.343	896.810	-1272.409	26.195	914.617	-1261.545	6.945	965.430	-1078.551	861.442	525.862	-927.329	878.134	501.830	-1138.184	475.860	533.505	-1119.568	465.699	633.024	-1169.386	346.833	537.037	-1164.426	58.295	501.383	-1106.762	19.010	537.369	-1293.677	8.218	495.561	-1302.445	26.758	564.776	-1344.869	2.958	572.120	-1935.285	1095.795	472.600	-1958.576	1019.060	437.759	-1901.862	987.928	453.879	-1925.697	1089.741	863.403	-1938.791	966.719	900.293	-1883.184	961.920	886.885	-1560.447	1242.979	926.969	-1363.451	1291.447	740.196	-1220.875	1491.764	619.429	-1214.385	1499.039	772.130	-1865.032	1037.050	449.627	-1845.530	1010.070	898.690
3455	34.54000	02:23:10:16	-1163.975	1604.062	692.665	-1287.407	1660.580	768.495	-1292.010	1669.156	637.250	-1222.369	1456.161	679.699	-1105.869	1321.617	668.303	-985.397	1177.022	655.400	-879.758	1064.680	678.073	-1157.072	957.023	713.426	-1239.832	1054.183	678.532	-1329.232	1189.274	675.326	-1151.169	1373.175	780.140	-1320.307	1437.541	832.488	-1447.751	1340.363	836.309	-1370.736	1271.441	917.281	-1626.788	1259.581	862.884	-1533.355	1179.857	888.497	-1752.786	1082.393	914.917	-1773.197	1131.269	846.483	-1331.987	1439.049	533.035	-1156.146	1379.433	583.566	-1445.942	1341.070	534.039	-1395.056	1273.140	436.716	-1363.165	1289.584	600.879	-1636.997	1264.007	483.245	-1543.805	1179.231	483.244	-1581.368	1234.888	428.552	-1756.049	1091.479	439.146	-1792.060	1156.401	480.546	-1117.500	1001.077	797.157	-1121.636	977.304	550.280	-903.665	1055.758	798.020	-901.076	1066.491	538.714	-1079.988	887.912	856.435	-942.201	895.358	870.402	-1165.264	504.751	878.780	-1139.598	475.441	795.048	-1160.503	356.542	903.128	-1127.657	90.181	969.954	-1068.443	37.370	934.384	-1294.067	15.735	895.739	-1272.685	24.000	914.516	-1261.526	6.533	965.612	-1081.093	861.275	527.303	-929.683	878.943	504.498	-1139.183	475.775	535.056	-1120.286	465.465	634.528	-1169.979	346.842	538.221	-1164.204	58.416	501.838	-1106.651	18.988	537.785	-1293.589	8.198	495.651	-1302.307	26.647	564.930	-1344.752	2.903	572.135	-1933.586	1075.192	474.715	-1955.052	997.689	440.721	-1897.420	967.955	457.374	-1925.471	1070.003	864.186	-1934.441	946.407	901.642	-1878.058	943.167	888.704	-1564.840	1233.992	928.179	-1369.641	1288.604	741.218	-1231.250	1492.802	621.233	-1225.880	1500.676	773.893	-1862.606	1018.288	452.460	-1842.353	992.997	900.571
3456	34.55000	02:23:10:16	-1179.102	1607.561	694.756	-1305.211	1659.241	769.740	-1309.416	1667.434	638.484	-1232.318	1456.348	681.060	-1112.017	1322.134	675.801	-989.816	1177.591	659.236	-883.744	1065.430	682.046	-1160.725	956.319	714.962	-1243.407	1052.954	679.910	-1334.819	1186.263	676.769	-1160.394	1372.759	780.725	-1329.840	1435.004	833.841	-1455.147	1334.970	837.861	-1376.227	1268.086	918.646	-1631.587	1248.749	864.295	-1536.487	1171.939	889.759	-1752.602	1068.344	915.785	-1774.332	1116.503	847.657	-1340.030	1435.766	533.785	-1162.863	1378.825	585.701	-1451.783	1334.967	535.120	-1397.127	1266.329	439.178	-1368.748	1285.933	602.043	-1641.031	1252.475	484.064	-1545.016	1169.339	486.271	-1583.623	1223.633	430.203	-1754.703	1075.682	441.264	-1792.336	1140.124	482.125	-1122.082	1000.278	798.760	-1124.399	976.680	551.731	-908.425	1055.628	801.802	-904.123	1067.647	542.397	-1084.221	885.152	857.998	-946.203	894.232	872.058	-1165.800	502.093	877.479	-1138.306	472.754	794.478	-1161.216	354.624	902.380	-1129.415	88.626	968.263	-1069.495	35.950	933.523	-1296.481	12.903	895.703	-1274.316	22.206	915.410	-1262.208	6.054	966.622	-1083.476	861.386	528.837	-931.757	879.828	507.204	-1140.337	475.795	536.425	-1121.349	465.304	635.915	-1170.831	347.017	539.274	-1164.008	58.686	502.250	-1106.448	19.081	538.217	-1293.570	8.205	495.783	-1302.179	26.543	565.082	-1344.613	2.848	572.163	-1931.860	1055.391	476.737	-1951.305	977.223	443.379	-1893.072	948.732	460.340	-1924.584	1051.106	864.162	-1930.355	927.117	903.045	-1873.241	925.296	890.756	-1569.802	1225.190	929.276	-1375.695	1285.413	742.522	-1241.563	1493.536	623.056	-1237.320	1501.919	775.656	-1859.488	999.932	455.079	-1839.446	976.868	902.552
3457	34.56000	02:23:10:16	-1194.339	1610.638	696.810	-1322.823	1657.353	770.999	-1326.726	1665.073	639.705	-1241.940	1455.777	682.600	-1118.816	1321.146	674.571	-994.248	1178.311	662.791	-887.600	1066.166	685.795	-1164.391	955.099	715.763	-1246.785	1051.174	681.382	-1339.725	1182.626	678.750	-1167.968	1372.075	782.721	-1338.712	1432.425	835.765	-1462.149	1328.987	839.426	-1381.833	1263.883	920.291	-1636.367	1238.174	865.680	-1539.451	1163.793	891.089	-1749.881	1054.324	915.105	-1775.840	1102.457	848.833	-1347.952	1432.164	534.528	-1169.528	1378.024	587.920	-1457.569	1328.775	536.242	-1402.097	1260.336	441.527	-1373.991	1282.267	603.492	-1643.755	1239.995	485.246	-1546.580	1160.451	488.818	-1585.807	1212.832	432.243	-1753.137	1060.476	443.302	-1792.480	1124.156	483.740	-1126.296	998.815	800.606	-1126.795	976.727	553.619	-912.802	1055.856	805.257	-906.635	1068.974	547.072	-1087.113	882.561	860.020	-950.101	893.160	873.973	-1166.282	499.909	876.705	-1137.186	470.346	794.273	-1162.495	353.112	901.644	-1131.689	87.137	967.583	-1071.232	34.987	932.957	-1299.674	10.934	896.105	-1277.264	21.257	916.386	-1263.400	5.677	967.708	-1085.736	861.763	530.372	-934.063	880.745	509.754	-1141.818	476.078	537.600	-1122.770	465.269	637.141	-1171.713	347.058	540.147	-1163.960	58.889	502.469	-1106.386	19.198	538.487	-1293.702	8.229	495.958	-1301.885	26.358	565.261	-1344.558	2.775	572.259	-1929.975	1036.446	478.663	-1947.583	957.468	445.660	-1888.707	930.324	462.675	-1924.294	1033.519	864.744	-1926.737	908.860	904.407	-1869.090	908.413	892.916	-1574.172	1216.033	930.658	-1381.620	1281.981	743.986	-1251.669	1494.063	624.859	-1248.686	1502.900	777.520	-1856.206	982.306	457.236	-1836.896	961.293	904.538
3458	34.57000	02:23:10:16	-1209.454	1613.244	698.900	-1340.279	1654.850	772.174	-1344.353	1662.161	641.015	-1251.631	1454.888	684.194	-1125.126	1320.643	677.012	-998.554	1178.851	666.140	-891.193	1066.740	689.481	-1167.998	953.471	716.010	-1250.312	1049.153	682.892	-1345.146	1179.156	680.365	-1175.118	1370.872	785.092	-1347.501	1429.339	837.676	-1469.288	1322.816	840.937	-1387.348	1258.724	922.158	-1640.995	1227.614	867.160	-1542.061	1155.606	893.073	-1750.013	1040.927	916.439	-1777.162	1088.693	850.104	-1355.616	1428.294	535.299	-1176.282	1377.040	589.993	-1463.205	1322.374	537.404	-1405.322	1254.880	443.834	-1379.181	1278.191	604.995	-1646.792	1228.231	486.392	-1547.825	1151.683	490.973	-1588.201	1202.235	433.850	-1751.393	1045.644	445.191	-1792.492	1108.695	485.350	-1130.125	997.024	802.642	-1129.313	976.589	554.955	-916.984	1055.718	808.679	-909.464	1070.088	550.670	-1090.940	880.413	861.722	-953.782	892.444	876.107	-1167.034	498.498	875.785	-1137.008	469.008	794.313	-1163.927	351.787	900.693	-1133.562	86.117	966.630	-1072.422	33.844	932.235	-1302.242	9.262	895.841	-1278.858	20.330	916.912	-1264.307	5.435	968.247	-1087.976	862.280	531.822	-936.497	881.760	512.254	-1143.144	476.247	538.615	-1124.637	465.367	638.172	-1172.895	347.272	540.871	-1164.001	59.046	502.669	-1106.370	19.303	538.714	-1293.864	8.223	496.115	-1301.789	26.254	565.408	-1344.511	2.699	572.326	-1927.784	1018.039	480.446	-1943.685	937.930	447.438	-1884.050	912.717	464.299	-1924.067	1016.885	865.629	-1923.796	891.988	905.719	-1865.340	892.145	895.201	-1578.787	1206.884	931.942	-1387.408	1278.159	745.567	-1261.487	1494.456	626.710	-1259.177	1504.117	779.658	-1852.852	965.079	459.112	-1834.815	946.314	906.402
