NO_OF_FRAMES	276
NO_OF_CAMERAS	13
NO_OF_MARKERS	62
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-05-26, 15:45:55.236	1309907.60930455
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LTOE	LMT1	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RTOE	RMT1	RMT5	RINDX	RPNKY	LINDX	LPNKY	LFRM	LFSH	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Measured	Measured	Mixed
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LTOE X	LTOE Y	LTOE Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RTOE X	RTOE Y	RTOE Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
954	9.53000	06:20:24:10	-195.051	1799.738	-37.865	-356.081	1788.609	-42.816	-290.758	1777.968	-152.932	-219.649	1474.634	21.313	-233.000	1268.377	40.818	-281.083	1109.902	36.312	-308.730	1021.915	81.468	-368.037	1001.347	-203.707	-381.551	1157.329	-219.888	-361.278	1313.626	-193.454	-314.044	1335.973	73.056	-404.023	1495.170	48.906	-529.449	1501.315	-41.179	-562.228	1389.948	2.902	-648.318	1529.269	-48.235	-721.400	1485.849	-50.958	-659.078	1682.128	-113.361	-584.169	1640.111	-142.780	-129.722	1501.175	-139.322	-147.904	1341.414	-13.064	-278.178	1473.960	-194.853	-227.830	1384.878	-269.244	-290.453	1433.948	-182.960	-422.731	1500.631	-276.928	-398.654	1463.798	-344.918	-412.975	1381.144	-319.831	-615.215	1514.565	-317.145	-589.624	1510.750	-226.828	-476.333	993.835	-137.391	-225.961	999.808	-172.879	-440.283	1006.250	64.860	-199.895	1026.278	40.778	-493.177	800.279	-133.264	-499.664	905.544	18.447	-483.031	457.697	-83.284	-382.937	458.007	-77.423	-462.668	304.126	-64.550	-468.777	57.251	36.746	-428.727	22.675	86.780	-442.735	5.431	-152.122	-455.088	25.891	-111.894	-503.904	10.012	-77.668	-180.240	740.202	-159.813	-151.794	898.815	-9.755	-189.222	485.019	-115.734	-287.340	482.029	-103.715	-204.600	300.506	-79.483	-183.733	61.314	54.628	-238.578	29.001	93.770	-189.634	5.876	-139.925	-204.989	23.515	-119.040	-147.635	12.220	-67.545	-804.075	1513.132	-289.786	-755.411	1492.513	-322.753	-689.235	1751.565	-242.294	-687.582	1754.636	-190.821	-721.537	1439.561	-112.244	-404.796	1424.321	-116.016	-183.214	1657.920	-91.236	-252.869	1679.482	28.738	-709.531	1534.032	-305.573	-649.929	1751.359	-153.329
955	9.54000	06:20:24:11	-200.072	1799.971	-42.654	-360.674	1786.437	-51.459	-292.816	1774.114	-159.711	-221.870	1474.777	21.186	-233.798	1268.731	42.639	-280.418	1109.526	39.293	-308.379	1020.532	84.972	-366.785	998.606	-200.458	-379.512	1154.383	-218.263	-359.789	1310.780	-193.424	-315.910	1336.446	73.513	-406.474	1494.968	46.285	-530.055	1498.985	-45.819	-563.575	1387.766	0.195	-650.375	1524.416	-55.778	-721.930	1481.734	-58.069	-657.829	1675.400	-128.257	-581.731	1631.290	-152.250	-129.721	1499.279	-138.098	-148.551	1341.521	-10.171	-277.624	1469.602	-197.572	-222.565	1380.141	-268.694	-289.028	1430.367	-184.099	-418.062	1490.676	-283.194	-392.618	1454.693	-351.135	-406.147	1371.480	-326.889	-610.239	1502.562	-325.622	-585.374	1498.850	-235.067	-474.964	992.480	-134.316	-224.721	997.952	-169.185	-439.751	1005.867	67.835	-199.719	1024.378	44.287	-492.545	801.524	-133.173	-501.163	904.987	21.188	-484.077	457.206	-92.968	-383.325	457.456	-85.403	-463.617	302.459	-71.292	-469.063	57.607	35.869	-428.707	23.264	86.459	-442.883	5.493	-152.143	-455.160	25.990	-112.000	-503.916	10.099	-77.757	-181.153	740.487	-160.788	-149.567	896.758	-6.838	-190.449	483.745	-123.717	-288.634	480.973	-111.016	-205.964	298.422	-85.747	-184.015	61.839	52.886	-238.696	29.585	93.034	-190.290	5.865	-140.668	-206.257	23.347	-119.978	-148.676	12.754	-68.723	-799.052	1499.587	-298.912	-749.907	1479.133	-331.885	-678.958	1738.297	-263.838	-681.600	1743.266	-212.251	-721.656	1433.352	-118.101	-404.398	1421.573	-116.641	-184.831	1657.368	-92.422	-257.779	1680.629	25.090	-705.161	1521.245	-314.299	-646.464	1741.655	-172.272
956	9.55000	06:20:24:11	-205.982	1799.733	-48.455	-365.287	1783.064	-62.439	-294.885	1769.244	-167.412	-224.214	1474.462	20.866	-234.701	1268.647	44.725	-279.659	1108.691	42.691	-307.479	1018.496	88.902	-365.542	995.034	-196.730	-377.629	1150.675	-216.327	-358.463	1307.073	-193.179	-317.677	1336.487	74.829	-409.113	1494.146	43.392	-531.098	1495.140	-51.271	-564.861	1385.012	-2.572	-651.133	1519.317	-64.176	-722.644	1477.091	-66.094	-655.238	1666.620	-146.323	-578.820	1621.331	-162.894	-129.891	1496.731	-137.063	-149.335	1341.189	-7.174	-276.027	1463.833	-200.327	-217.214	1374.248	-268.382	-286.378	1426.130	-185.545	-412.830	1479.603	-290.372	-385.589	1443.999	-357.747	-398.557	1360.397	-331.930	-604.112	1489.492	-334.798	-583.380	1485.262	-245.001	-473.288	990.263	-130.371	-223.566	995.488	-165.192	-438.761	1004.485	71.390	-198.937	1022.105	48.036	-491.853	802.373	-132.863	-502.388	903.682	24.389	-484.906	455.420	-103.406	-386.395	456.464	-103.048	-464.615	300.515	-78.371	-469.365	57.997	34.750	-428.702	24.103	85.904	-442.916	5.489	-152.414	-455.272	26.059	-112.301	-503.981	10.196	-77.932	-181.909	740.471	-161.593	-147.889	893.927	-3.818	-191.228	482.298	-131.947	-289.607	479.551	-118.278	-206.816	296.579	-90.924	-183.796	62.542	51.135	-238.706	30.109	92.149	-190.800	5.922	-141.432	-207.228	23.230	-120.923	-149.467	13.235	-69.733	-793.135	1485.410	-308.722	-743.627	1465.143	-341.796	-668.511	1723.127	-284.958	-674.597	1730.457	-233.826	-721.543	1426.246	-124.352	-404.080	1418.107	-117.358	-186.983	1656.247	-94.027	-263.452	1681.377	20.857	-699.533	1506.824	-324.302	-641.761	1730.782	-191.981
957	9.56000	06:20:24:11	-212.346	1798.674	-55.240	-370.807	1778.430	-73.653	-297.097	1763.327	-175.777	-226.948	1473.554	20.469	-235.749	1268.071	46.986	-278.795	1107.199	46.490	-306.309	1015.586	93.255	-364.373	990.563	-192.569	-375.731	1146.027	-214.018	-357.279	1302.447	-192.747	-320.171	1335.910	75.624	-412.502	1492.546	40.233	-532.056	1490.599	-57.141	-566.493	1381.828	-5.393	-652.043	1513.968	-73.393	-720.269	1471.831	-73.329	-651.786	1656.888	-163.312	-575.387	1609.878	-174.413	-130.223	1493.327	-136.199	-150.366	1340.398	-4.067	-270.053	1455.308	-203.640	-211.705	1366.774	-267.816	-287.819	1421.613	-188.902	-406.883	1467.746	-298.261	-377.630	1431.922	-364.779	-390.005	1348.676	-339.051	-597.080	1475.377	-344.629	-577.927	1472.223	-254.238	-471.918	987.367	-126.136	-222.503	992.355	-161.065	-437.655	1002.168	75.361	-197.927	1019.106	52.060	-490.795	802.860	-132.133	-503.392	901.510	27.898	-486.018	453.002	-113.428	-388.102	455.233	-114.007	-465.492	298.184	-85.660	-469.677	58.318	33.454	-428.666	24.850	85.197	-443.157	5.579	-152.512	-455.469	26.193	-112.708	-504.069	10.305	-78.198	-182.342	740.122	-162.126	-146.028	890.471	-0.666	-191.284	480.269	-139.978	-290.033	478.283	-125.842	-207.328	294.491	-96.562	-184.030	63.019	49.616	-238.871	30.625	91.404	-191.183	6.012	-142.061	-207.846	23.140	-121.692	-149.966	13.493	-70.562	-786.485	1470.436	-319.646	-736.673	1450.205	-352.238	-657.748	1706.186	-305.594	-667.249	1716.563	-255.235	-721.129	1418.378	-130.893	-403.910	1413.824	-118.298	-189.479	1654.376	-96.009	-269.947	1681.451	16.024	-695.256	1492.472	-333.126	-636.539	1718.083	-211.632
958	9.57000	06:20:24:11	-219.227	1796.718	-63.136	-376.598	1772.747	-85.913	-299.207	1755.946	-185.160	-229.525	1471.967	19.920	-236.854	1266.763	49.460	-278.075	1105.104	50.682	-305.039	1011.757	97.999	-363.565	985.364	-188.084	-374.188	1140.380	-211.392	-356.411	1296.404	-192.292	-322.324	1334.957	76.493	-415.788	1490.016	36.553	-528.301	1482.388	-63.780	-568.147	1377.991	-8.377	-652.142	1507.812	-82.968	-720.519	1466.166	-82.429	-647.412	1645.459	-180.126	-571.355	1596.790	-186.622	-130.740	1488.961	-135.513	-151.664	1338.895	-0.969	-267.975	1447.174	-208.490	-205.739	1358.225	-266.932	-281.621	1412.574	-186.775	-399.051	1454.638	-305.618	-369.010	1418.237	-371.605	-380.816	1335.244	-345.428	-588.937	1460.142	-354.939	-570.095	1457.214	-264.380	-470.725	983.562	-121.574	-221.423	988.478	-156.578	-436.571	998.821	79.693	-196.558	1015.769	56.400	-489.188	802.700	-130.765	-503.981	898.240	31.702	-487.290	450.710	-123.367	-389.678	453.220	-123.621	-466.358	295.658	-92.930	-469.954	58.584	32.185	-428.129	25.612	84.846	-443.578	5.861	-152.691	-455.672	26.273	-113.183	-504.161	10.410	-78.464	-182.283	739.405	-162.308	-144.396	886.428	2.736	-191.018	478.204	-147.408	-289.939	476.251	-133.324	-207.435	292.067	-101.772	-184.248	63.431	48.531	-239.096	31.204	90.988	-191.275	6.104	-142.358	-208.066	23.097	-122.102	-150.251	13.697	-70.956	-778.678	1454.174	-330.875	-728.836	1434.137	-363.309	-646.359	1688.082	-325.745	-658.422	1700.953	-276.386	-720.795	1409.670	-137.765	-403.957	1408.627	-119.589	-192.573	1651.680	-98.446	-276.999	1680.774	10.130	-687.707	1476.522	-344.172	-629.942	1703.935	-231.556
959	9.58000	06:20:24:12	-226.731	1793.584	-72.109	-382.672	1765.501	-99.190	-302.080	1747.109	-195.799	-232.624	1469.677	18.941	-238.133	1264.688	52.096	-277.465	1102.224	55.183	-303.817	1006.923	103.033	-362.288	979.033	-183.292	-372.916	1133.630	-208.462	-354.607	1290.254	-191.311	-324.834	1333.423	77.216	-418.458	1486.804	32.768	-532.531	1475.253	-70.533	-569.686	1373.759	-11.644	-653.179	1501.710	-93.450	-719.957	1459.380	-92.378	-642.334	1632.911	-199.039	-566.796	1582.216	-200.777	-131.825	1483.859	-136.321	-153.006	1336.600	1.946	-264.898	1438.143	-211.566	-199.408	1348.407	-266.062	-281.794	1406.058	-188.992	-390.858	1440.270	-313.684	-359.227	1403.279	-378.786	-371.200	1320.617	-351.160	-579.922	1443.860	-365.456	-559.613	1442.660	-273.670	-469.339	978.817	-116.789	-220.487	983.741	-151.829	-435.283	994.084	84.371	-195.465	1011.318	61.015	-487.475	801.682	-128.939	-504.057	893.919	35.706	-488.886	448.382	-133.244	-390.780	450.382	-132.492	-467.174	292.877	-100.004	-470.416	58.899	30.859	-428.038	26.311	84.295	-443.766	6.022	-152.992	-455.893	26.357	-113.597	-504.249	10.481	-78.700	-181.763	738.100	-162.034	-142.765	881.828	6.601	-190.328	476.058	-154.575	-289.894	473.886	-141.230	-207.244	289.653	-106.581	-184.309	63.884	47.979	-239.175	31.849	90.932	-191.085	6.128	-142.301	-207.923	23.121	-122.038	-150.334	13.877	-70.922	-770.912	1437.100	-342.722	-719.602	1416.879	-374.846	-635.126	1668.200	-345.441	-648.843	1683.265	-297.305	-720.219	1400.236	-145.071	-404.290	1402.416	-121.360	-196.012	1648.185	-101.412	-284.826	1679.261	3.470	-678.910	1459.396	-355.780	-622.431	1688.042	-251.470
960	9.59000	06:20:24:12	-234.851	1789.369	-82.258	-388.943	1756.717	-113.562	-304.805	1736.637	-206.746	-236.622	1466.169	17.814	-239.675	1261.875	54.964	-277.089	1098.510	60.057	-302.771	1001.127	108.330	-361.038	971.884	-178.287	-372.312	1125.775	-205.045	-354.236	1282.673	-190.309	-327.442	1330.916	77.922	-421.561	1482.946	28.489	-532.616	1467.479	-76.939	-571.874	1369.003	-15.147	-652.015	1492.679	-104.560	-722.345	1451.488	-100.447	-636.331	1618.541	-213.078	-562.209	1565.955	-211.907	-132.909	1477.378	-136.473	-154.810	1333.517	5.121	-261.512	1428.022	-215.649	-193.437	1337.565	-264.882	-279.773	1397.179	-189.593	-381.872	1425.288	-321.715	-349.161	1387.050	-386.042	-360.732	1304.412	-356.953	-569.797	1426.347	-376.006	-551.363	1425.788	-284.377	-467.825	973.182	-111.881	-219.079	978.191	-146.673	-434.131	988.180	89.224	-194.628	1006.218	66.023	-485.762	799.540	-126.897	-503.911	888.269	39.815	-490.428	446.039	-142.790	-392.387	447.688	-142.723	-468.157	289.935	-106.768	-470.818	59.124	29.839	-428.063	26.947	83.832	-443.947	6.166	-153.289	-456.178	26.485	-113.973	-504.398	10.482	-78.899	-180.866	736.186	-161.480	-141.016	876.639	10.862	-189.486	473.515	-162.011	-289.697	471.450	-149.220	-206.849	286.795	-111.262	-184.184	64.144	47.408	-238.924	32.388	91.073	-190.808	6.149	-142.209	-207.533	23.137	-121.864	-150.159	13.792	-70.796	-760.156	1418.216	-355.514	-709.352	1398.700	-386.480	-624.081	1646.740	-364.465	-638.227	1663.803	-318.008	-719.752	1389.818	-152.799	-404.511	1396.133	-123.094	-199.795	1643.774	-104.898	-292.979	1676.731	-4.277	-669.068	1441.355	-367.556	-614.052	1670.309	-271.322
961	9.60000	06:20:24:12	-243.354	1783.845	-93.479	-395.237	1746.154	-128.891	-307.480	1724.518	-218.276	-240.392	1461.894	16.511	-241.573	1258.307	57.855	-277.091	1093.928	64.999	-301.903	994.378	113.864	-359.487	963.667	-173.005	-371.621	1117.008	-201.493	-353.751	1273.806	-189.117	-330.713	1327.855	78.505	-424.906	1478.362	23.857	-533.257	1460.147	-83.000	-574.638	1363.011	-18.778	-649.023	1481.858	-116.140	-722.152	1442.307	-112.470	-630.146	1602.665	-229.434	-557.107	1549.343	-224.817	-133.603	1470.091	-134.554	-156.626	1329.848	8.656	-258.731	1417.673	-220.123	-187.583	1325.860	-263.306	-278.652	1387.706	-190.949	-372.046	1409.082	-329.722	-336.423	1369.977	-393.014	-349.169	1287.312	-362.488	-558.857	1407.728	-386.491	-541.375	1408.029	-294.753	-466.205	966.425	-106.894	-217.726	971.806	-141.427	-433.441	981.096	94.198	-194.384	999.879	71.438	-484.387	796.495	-124.811	-503.516	881.498	43.889	-491.658	443.157	-152.005	-393.752	444.635	-152.775	-468.995	286.802	-113.277	-471.293	59.273	28.917	-428.260	27.463	83.390	-444.134	6.289	-153.520	-456.496	26.587	-114.265	-504.572	10.469	-79.072	-179.301	733.653	-160.701	-139.378	870.601	15.411	-188.473	470.538	-169.543	-289.202	468.516	-157.084	-205.945	283.770	-115.834	-184.267	64.092	46.773	-239.015	32.673	90.930	-190.390	6.194	-142.248	-206.935	23.144	-121.812	-149.753	13.639	-70.571	-749.430	1398.689	-367.538	-698.327	1379.533	-398.010	-609.263	1622.983	-383.318	-626.756	1642.398	-338.661	-718.971	1378.279	-161.097	-405.172	1388.008	-124.992	-203.924	1638.509	-108.899	-301.530	1673.167	-12.937	-655.785	1422.010	-380.486	-604.823	1650.936	-290.884
962	9.61000	06:20:24:12	-252.154	1776.646	-106.034	-401.516	1733.794	-145.074	-309.918	1710.792	-230.283	-244.536	1456.902	14.943	-243.858	1253.920	60.851	-277.312	1088.252	69.839	-300.993	986.894	119.640	-357.720	954.476	-167.505	-371.026	1107.222	-197.800	-353.271	1263.632	-187.993	-334.219	1323.808	78.897	-428.608	1472.345	19.009	-534.768	1450.085	-90.466	-577.257	1355.916	-23.195	-647.856	1469.691	-128.244	-719.479	1431.519	-125.905	-624.104	1585.416	-246.047	-551.858	1531.699	-236.444	-134.918	1461.937	-134.355	-159.133	1325.108	11.736	-254.978	1405.200	-224.448	-181.032	1313.226	-261.589	-277.209	1377.133	-192.075	-361.550	1391.519	-337.302	-324.289	1351.792	-399.548	-336.247	1268.623	-367.661	-546.898	1388.109	-396.639	-530.691	1389.422	-304.768	-464.599	958.571	-101.846	-216.087	964.406	-135.754	-432.643	972.877	99.256	-193.776	992.947	77.289	-483.499	792.526	-122.475	-502.925	873.708	48.049	-492.821	440.009	-160.861	-394.725	441.126	-162.081	-469.847	283.579	-119.374	-471.666	59.269	28.027	-428.468	27.871	83.037	-444.171	6.382	-153.744	-456.700	26.630	-114.533	-504.728	10.451	-79.253	-177.239	730.445	-159.384	-137.860	863.801	20.341	-187.099	467.440	-176.827	-288.712	465.268	-164.887	-205.810	280.388	-121.091	-184.648	63.931	46.062	-239.516	32.771	90.652	-189.820	6.241	-142.350	-206.323	23.075	-121.861	-149.325	13.477	-70.312	-737.627	1378.118	-378.444	-686.325	1359.267	-409.101	-593.685	1597.698	-400.926	-614.383	1619.228	-358.625	-718.048	1365.631	-169.975	-405.873	1378.700	-127.406	-208.436	1632.270	-113.444	-310.053	1668.602	-22.277	-643.287	1401.924	-392.441	-595.287	1629.731	-310.086
963	9.62000	06:20:24:13	-261.074	1768.084	-119.419	-407.432	1719.922	-162.018	-311.618	1695.273	-242.372	-247.850	1451.689	13.155	-246.589	1248.952	63.737	-277.489	1081.176	74.180	-300.502	978.392	125.478	-355.888	944.232	-161.868	-370.370	1096.397	-194.053	-353.032	1252.152	-189.141	-338.214	1318.877	79.098	-432.543	1465.332	13.837	-535.926	1438.854	-98.337	-579.975	1347.544	-28.236	-646.547	1456.615	-139.774	-718.631	1419.494	-138.602	-617.895	1566.757	-262.590	-546.564	1513.345	-247.149	-136.473	1452.899	-134.327	-162.125	1319.896	14.795	-250.795	1392.124	-228.526	-174.234	1299.562	-259.628	-275.755	1365.485	-193.561	-350.412	1372.765	-344.545	-311.395	1332.283	-405.294	-323.120	1249.524	-371.995	-534.023	1367.460	-406.249	-521.083	1369.598	-314.832	-462.990	949.588	-96.789	-214.449	956.139	-129.842	-432.004	963.869	104.425	-193.475	985.178	83.390	-482.954	787.622	-119.675	-502.175	864.854	52.324	-494.895	436.934	-169.532	-395.570	437.730	-172.414	-470.491	280.171	-125.028	-471.812	59.072	27.274	-428.455	28.050	82.814	-444.172	6.403	-153.867	-456.798	26.570	-114.681	-505.351	10.900	-79.114	-174.971	726.487	-157.469	-136.294	856.102	25.566	-185.560	463.954	-184.163	-288.133	462.027	-172.755	-205.369	276.890	-125.775	-185.331	63.679	45.359	-240.481	32.826	90.283	-189.309	6.224	-142.387	-205.844	22.945	-121.924	-148.649	13.515	-69.643	-725.246	1356.965	-389.466	-673.656	1338.238	-419.676	-576.752	1570.600	-417.252	-600.498	1593.451	-377.570	-716.750	1351.316	-179.455	-406.450	1368.616	-129.818	-213.479	1624.854	-118.489	-319.197	1662.512	-32.755	-630.758	1380.671	-403.261	-585.507	1606.863	-328.714
