NO_OF_FRAMES	1592
NO_OF_CAMERAS	13
NO_OF_MARKERS	58
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-05-26, 16:01:39.212	1310851.58625936
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RMT5	RTHMB	RINDX	RPNKY	LTHMB	LINDX	LPNKY	LFRM	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
1	0.00000	06:35:58:21	-149.776	1799.539	-259.562	-198.603	1766.865	-408.436	-76.562	1746.831	-380.714	-145.864	1489.031	-189.484	-143.214	1280.797	-142.398	-144.636	1100.661	-169.210	-156.071	994.895	-148.501	-159.983	987.905	-440.461	-164.043	1136.735	-434.618	-155.675	1295.313	-414.971	-230.216	1350.979	-145.835	-304.432	1494.296	-229.359	-425.237	1486.558	-311.686	-439.395	1375.350	-257.971	-615.283	1526.748	-317.992	-596.538	1453.485	-284.646	-807.269	1438.132	-328.822	-792.944	1517.385	-371.456	-0.891	1507.454	-237.764	-67.415	1365.810	-140.662	113.514	1495.557	-325.341	161.053	1403.109	-255.830	314.267	1559.722	-313.755	303.813	1485.754	-283.260	299.709	1432.770	-351.443	511.995	1492.205	-329.269	487.503	1574.882	-362.085	-280.106	978.917	-390.755	-26.056	997.607	-382.251	-282.995	978.601	-181.481	-40.468	1004.193	-164.347	-303.106	782.275	-382.665	-320.567	887.013	-243.659	-322.202	450.352	-281.212	-224.169	440.562	-273.475	-314.821	307.741	-275.872	-342.621	55.092	-216.856	-311.336	19.666	-168.997	-372.645	7.901	-337.525	22.280	724.537	-342.822	3.847	888.349	-219.852	10.364	480.678	-259.749	-88.616	471.277	-269.452	-2.311	310.754	-246.893	4.550	53.564	-170.055	-50.323	22.625	-144.024	69.958	7.240	-289.005	558.917	1621.664	-409.550	687.221	1543.390	-382.734	640.634	1477.079	-412.446	-882.002	1555.277	-397.251	-979.820	1463.581	-385.707	-921.647	1405.189	-390.475	-592.336	1399.299	-337.052	-100.498	1658.548	-236.598	-235.061	1680.200	-272.454	612.059	1506.865	-367.361	-899.881	1432.078	-370.183
2	0.01000	06:35:58:21	-149.831	1799.524	-259.493	-198.593	1766.876	-408.388	-76.555	1746.841	-380.654	-145.876	1489.028	-189.473	-143.220	1280.789	-142.383	-144.614	1100.635	-169.202	-156.069	994.876	-148.505	-159.966	987.919	-440.435	-163.960	1136.765	-434.511	-155.639	1295.302	-414.887	-230.205	1350.997	-145.836	-304.407	1494.283	-229.356	-425.236	1486.520	-311.718	-439.357	1375.309	-258.003	-615.257	1526.762	-318.010	-596.518	1453.453	-284.687	-807.258	1438.125	-328.929	-792.873	1517.369	-371.552	-0.914	1507.467	-237.729	-67.427	1365.796	-140.640	113.497	1495.588	-325.327	161.044	1403.104	-255.840	314.239	1559.731	-313.773	303.767	1485.785	-283.279	299.709	1432.777	-351.477	511.960	1492.208	-329.358	487.497	1574.903	-362.140	-280.117	978.918	-390.771	-26.010	997.619	-382.225	-282.998	978.594	-181.512	-40.446	1004.181	-164.331	-303.061	782.275	-382.730	-320.529	886.980	-243.713	-322.186	450.337	-281.258	-224.126	440.560	-273.499	-314.781	307.726	-275.896	-342.613	55.108	-216.852	-311.339	19.641	-168.999	-372.640	7.905	-337.530	22.296	724.540	-342.816	3.851	888.329	-219.825	10.392	480.682	-259.746	-88.561	471.297	-269.466	-2.251	310.751	-246.886	4.534	53.518	-170.050	-50.317	22.636	-144.031	69.945	7.236	-289.024	558.915	1621.699	-409.555	687.206	1543.456	-382.737	640.632	1477.130	-412.467	-881.892	1555.297	-397.368	-979.790	1463.625	-385.869	-921.642	1405.208	-390.620	-592.317	1399.279	-337.112	-100.499	1658.542	-236.554	-235.061	1680.180	-272.458	611.207	1506.879	-367.789	-899.859	1432.079	-370.290
3	0.02000	06:35:58:21	-149.856	1799.512	-259.445	-198.605	1766.887	-408.341	-76.569	1746.873	-380.593	-145.878	1489.018	-189.477	-143.215	1280.785	-142.396	-144.613	1100.634	-169.196	-156.062	994.852	-148.516	-159.937	987.934	-440.415	-163.931	1136.759	-434.431	-155.616	1295.282	-414.869	-230.197	1351.001	-145.824	-304.397	1494.285	-229.365	-425.227	1486.494	-311.733	-439.343	1375.272	-258.025	-615.231	1526.733	-318.066	-596.493	1453.433	-284.733	-807.228	1438.108	-329.005	-792.847	1517.211	-371.658	-0.922	1507.487	-237.728	-67.428	1365.797	-140.633	113.479	1495.612	-325.338	161.043	1403.096	-255.847	314.230	1559.738	-313.784	303.753	1485.784	-283.314	299.684	1432.780	-351.533	511.933	1492.198	-329.435	487.476	1574.907	-362.179	-280.081	978.908	-390.792	-25.951	997.592	-382.189	-282.997	978.584	-181.541	-40.441	1004.171	-164.326	-303.018	782.261	-382.774	-320.534	886.981	-243.745	-322.149	450.329	-281.278	-224.121	440.542	-273.499	-314.776	307.724	-275.908	-342.609	55.104	-216.850	-311.337	19.647	-169.006	-372.645	7.900	-337.531	22.342	724.550	-342.807	3.868	888.318	-219.841	10.408	480.693	-259.753	-88.539	471.302	-269.488	-2.253	310.751	-246.879	4.494	53.479	-170.126	-50.314	22.630	-144.037	69.951	7.235	-289.015	558.886	1621.716	-409.597	687.189	1543.471	-382.774	640.644	1477.164	-412.489	-881.845	1555.275	-397.489	-979.730	1463.651	-385.956	-921.604	1405.194	-390.695	-592.290	1399.252	-337.148	-100.496	1658.544	-236.533	-235.078	1680.122	-272.443	611.019	1506.879	-367.922	-899.810	1432.064	-370.386
4	0.03000	06:35:58:22	-149.868	1799.508	-259.403	-199.295	1767.163	-408.186	-76.074	1747.228	-379.025	-145.628	1489.149	-189.359	-143.216	1280.798	-142.407	-144.610	1100.644	-169.168	-156.115	995.184	-148.459	-160.028	987.942	-440.367	-164.352	1136.779	-434.746	-155.609	1295.282	-414.920	-230.041	1350.932	-145.786	-303.774	1494.321	-230.336	-425.567	1486.716	-312.735	-439.151	1375.137	-258.013	-615.311	1526.519	-319.116	-596.431	1453.416	-284.786	-807.068	1438.326	-329.357	-792.795	1517.386	-371.622	-0.788	1507.595	-237.624	-66.880	1364.940	-140.372	113.086	1496.099	-325.630	160.861	1402.311	-256.337	314.185	1559.896	-313.724	303.762	1485.792	-283.343	299.650	1432.773	-351.582	512.101	1491.771	-329.381	487.423	1575.075	-362.134	-279.575	978.536	-390.494	-25.844	997.538	-382.103	-282.855	978.470	-181.519	-40.461	1004.193	-164.313	-302.986	782.240	-382.815	-320.501	887.142	-244.001	-322.090	450.612	-281.593	-224.100	440.544	-273.519	-314.762	307.730	-275.947	-342.588	55.074	-216.856	-311.341	19.643	-169.018	-372.629	7.903	-337.531	22.341	724.543	-342.789	3.855	888.312	-219.846	10.523	480.627	-259.412	-88.925	471.148	-269.963	-2.252	310.757	-246.866	4.516	53.590	-170.019	-49.967	22.617	-143.754	69.942	7.246	-289.019	558.894	1621.714	-409.591	687.182	1543.477	-382.796	640.686	1477.159	-412.444	-881.559	1555.327	-397.808	-979.652	1463.571	-386.054	-921.558	1405.173	-390.699	-592.251	1399.217	-337.214	-100.501	1658.535	-236.511	-235.069	1680.050	-272.417	610.412	1507.100	-368.372	-899.742	1432.031	-370.470
5	0.04000	06:35:58:22	-150.016	1799.489	-259.362	-199.394	1767.252	-408.113	-76.000	1747.281	-378.952	-145.710	1489.057	-189.465	-143.204	1280.795	-142.454	-144.637	1100.641	-169.159	-156.239	995.216	-148.560	-159.961	988.017	-440.327	-164.160	1136.870	-434.807	-155.431	1295.425	-415.019	-230.044	1350.903	-145.720	-303.570	1494.378	-230.504	-425.232	1486.481	-312.584	-438.994	1374.854	-257.989	-615.039	1526.713	-319.420	-596.437	1453.443	-284.837	-807.073	1438.353	-329.493	-792.490	1517.096	-371.939	-0.571	1507.962	-237.552	-66.886	1364.865	-140.305	113.393	1496.256	-325.370	161.580	1401.616	-255.806	314.316	1560.187	-313.616	303.587	1485.814	-283.351	299.702	1433.121	-351.562	512.172	1491.514	-329.364	487.603	1574.831	-361.904	-279.476	978.642	-390.474	-25.851	997.680	-382.035	-282.937	978.509	-181.448	-40.468	1004.231	-164.282	-302.712	782.345	-382.980	-320.357	887.113	-244.108	-321.717	450.519	-281.493	-223.978	440.636	-273.680	-314.705	307.779	-275.971	-342.654	55.106	-216.887	-311.326	19.598	-169.021	-372.623	7.964	-337.554	22.306	724.578	-342.626	4.350	888.429	-219.593	10.461	480.657	-259.496	-88.795	471.235	-270.059	-2.232	310.781	-247.031	4.691	53.421	-170.148	-49.823	22.570	-143.722	69.944	7.256	-288.985	558.810	1621.745	-409.782	687.396	1543.140	-382.652	640.525	1477.231	-412.377	-881.589	1555.271	-397.971	-979.669	1463.533	-386.027	-921.573	1405.157	-390.539	-591.972	1399.547	-337.303	-100.668	1658.489	-236.534	-234.826	1679.977	-272.503	610.235	1507.091	-368.403	-899.735	1432.027	-370.495
6	0.05000	06:35:58:22	-150.023	1799.476	-259.323	-199.357	1767.284	-408.085	-75.959	1747.284	-378.868	-145.681	1489.062	-189.534	-143.190	1280.811	-142.474	-144.646	1100.652	-169.133	-156.287	995.213	-148.587	-159.903	988.028	-440.285	-164.204	1136.884	-434.802	-155.554	1295.382	-414.987	-230.007	1350.917	-145.732	-304.014	1494.860	-228.076	-425.250	1486.546	-312.624	-438.990	1374.936	-257.995	-615.108	1526.677	-319.484	-596.388	1453.462	-284.921	-807.004	1438.324	-329.578	-792.512	1517.081	-371.966	-0.710	1507.902	-237.643	-66.881	1364.860	-140.302	112.630	1496.683	-325.979	161.322	1401.795	-255.925	314.116	1560.158	-313.719	303.545	1485.842	-283.394	299.515	1433.273	-351.529	511.853	1492.016	-329.553	487.373	1575.103	-362.122	-279.405	978.676	-390.482	-25.835	997.717	-381.974	-282.973	978.500	-181.443	-40.482	1004.235	-164.266	-302.769	782.370	-382.990	-320.513	887.153	-244.107	-321.694	450.540	-281.489	-224.114	440.592	-273.568	-314.678	307.767	-276.000	-342.681	55.106	-216.876	-311.355	19.610	-169.017	-372.615	7.961	-337.558	22.242	724.601	-342.619	3.816	888.306	-219.741	10.520	480.735	-259.471	-88.737	471.279	-270.085	-2.226	310.791	-247.055	4.713	53.461	-170.150	-49.789	22.579	-143.715	70.048	7.302	-288.947	558.728	1621.694	-409.889	687.216	1543.301	-382.783	640.559	1477.204	-412.259	-881.567	1555.192	-398.117	-979.607	1463.452	-386.018	-921.533	1405.090	-390.430	-591.973	1399.543	-337.301	-100.679	1658.450	-236.513	-235.157	1679.987	-272.425	610.216	1507.104	-368.407	-899.680	1431.960	-370.524
7	0.06000	06:35:58:22	-150.025	1799.443	-259.279	-199.362	1767.320	-408.043	-75.908	1747.285	-378.848	-145.681	1489.071	-189.628	-143.176	1280.831	-142.517	-144.654	1100.657	-169.117	-156.312	995.199	-148.597	-159.879	988.041	-440.257	-164.195	1136.880	-434.795	-155.529	1295.318	-414.940	-229.948	1350.961	-145.753	-304.116	1494.943	-227.926	-425.147	1486.561	-312.628	-439.003	1375.041	-258.022	-615.059	1526.693	-319.627	-596.312	1453.495	-285.019	-806.912	1438.276	-329.685	-792.461	1517.002	-372.078	-0.746	1507.955	-237.718	-66.863	1364.880	-140.321	112.502	1496.790	-326.138	160.719	1402.243	-256.340	313.943	1560.074	-313.880	303.477	1485.931	-283.426	299.568	1433.043	-351.549	511.326	1492.622	-330.013	487.255	1575.203	-362.238	-279.362	978.666	-390.501	-25.811	997.735	-381.934	-282.991	978.502	-181.442	-40.516	1004.232	-164.225	-302.715	782.376	-383.023	-320.535	887.143	-244.143	-321.667	450.556	-281.490	-224.131	440.570	-273.565	-314.657	307.782	-276.003	-342.684	55.120	-216.873	-311.348	19.609	-169.011	-372.590	7.942	-337.570	22.279	724.623	-342.595	3.753	888.276	-219.709	10.537	480.752	-259.484	-88.725	471.300	-270.080	-2.204	310.769	-247.082	4.559	53.353	-170.276	-49.790	22.590	-143.743	70.097	7.339	-288.905	558.684	1621.679	-409.992	686.982	1543.550	-382.990	640.580	1477.162	-412.132	-881.555	1555.088	-398.240	-979.537	1463.337	-386.041	-921.450	1404.992	-390.400	-591.852	1399.569	-337.369	-100.675	1658.434	-236.504	-235.173	1679.979	-272.427	610.165	1507.130	-368.374	-899.586	1431.869	-370.577
8	0.07000	06:35:58:23	-149.987	1799.432	-259.228	-199.278	1767.356	-408.026	-75.817	1747.307	-378.792	-145.666	1489.108	-189.721	-143.157	1280.869	-142.566	-144.631	1100.668	-169.094	-156.349	995.163	-148.613	-159.821	988.037	-440.237	-164.196	1136.891	-434.760	-155.490	1295.301	-414.904	-229.908	1351.015	-145.770	-304.089	1495.040	-227.968	-425.066	1486.598	-312.701	-438.942	1375.113	-258.059	-615.015	1526.711	-319.777	-596.218	1453.535	-285.124	-806.819	1438.202	-329.791	-792.404	1516.884	-372.252	-0.741	1507.991	-237.810	-66.843	1364.924	-140.359	112.422	1496.874	-326.250	160.617	1402.319	-256.408	313.892	1560.088	-314.015	303.448	1486.000	-283.476	299.559	1433.000	-351.536	511.214	1492.703	-330.101	487.238	1575.213	-362.312	-279.330	978.666	-390.529	-25.773	997.760	-381.860	-282.999	978.478	-181.459	-40.533	1004.209	-164.175	-302.659	782.351	-383.058	-320.542	887.141	-244.189	-321.650	450.575	-281.507	-224.082	440.596	-273.544	-314.634	307.796	-276.006	-342.905	55.171	-216.827	-311.319	19.580	-168.993	-372.601	7.950	-337.569	22.293	724.631	-342.555	3.721	888.259	-219.681	10.537	480.755	-259.493	-88.695	471.303	-270.088	-2.180	310.780	-247.103	4.497	53.348	-170.309	-49.781	22.586	-143.766	70.106	7.334	-288.892	558.647	1621.590	-410.102	686.913	1543.566	-383.061	640.599	1477.174	-412.058	-881.499	1554.975	-398.334	-979.467	1463.189	-386.128	-921.363	1404.861	-390.418	-591.779	1399.616	-337.442	-100.658	1658.408	-236.524	-235.166	1679.970	-272.431	610.132	1507.139	-368.380	-899.519	1431.759	-370.655
9	0.08000	06:35:58:23	-149.928	1799.387	-259.168	-199.274	1767.420	-407.979	-75.740	1747.369	-378.720	-145.618	1489.142	-189.825	-143.148	1280.934	-142.613	-144.649	1100.708	-169.069	-156.388	995.146	-148.584	-159.775	988.020	-440.174	-164.192	1136.877	-434.695	-155.522	1295.269	-414.887	-229.851	1351.078	-145.780	-304.040	1495.127	-228.049	-424.980	1486.691	-312.763	-438.885	1375.203	-258.140	-614.973	1526.738	-319.923	-596.150	1453.592	-285.237	-806.717	1438.118	-329.893	-792.434	1516.629	-372.218	-0.790	1508.039	-237.912	-66.841	1364.958	-140.401	112.367	1496.921	-326.391	160.541	1402.351	-256.446	313.887	1560.128	-314.097	303.419	1486.032	-283.524	299.558	1433.001	-351.561	511.160	1492.756	-330.141	487.226	1575.217	-362.357	-279.301	978.660	-390.541	-25.759	997.804	-381.830	-283.039	978.483	-181.478	-40.565	1004.223	-164.147	-302.609	782.336	-383.088	-320.546	887.113	-244.208	-321.848	450.673	-281.688	-224.081	440.580	-273.471	-314.635	307.802	-276.013	-342.917	55.188	-216.812	-311.329	19.586	-169.015	-372.587	7.949	-337.578	22.314	724.647	-342.495	3.706	888.256	-219.623	10.547	480.766	-259.521	-88.692	471.307	-270.122	-2.190	310.783	-247.123	4.504	53.347	-170.354	-49.780	22.577	-143.778	70.116	7.339	-288.896	558.659	1621.543	-410.144	686.902	1543.547	-383.098	640.629	1477.142	-411.966	-881.478	1554.864	-398.429	-979.382	1463.018	-386.278	-921.270	1404.747	-390.498	-591.664	1399.629	-337.547	-100.615	1658.356	-236.545	-235.119	1679.946	-272.445	610.123	1507.140	-368.385	-899.404	1431.641	-370.784
10	0.09000	06:35:58:23	-149.836	1799.342	-259.105	-199.228	1767.486	-407.930	-75.693	1747.361	-378.718	-145.586	1489.180	-189.929	-143.201	1281.019	-142.661	-144.635	1100.731	-169.030	-156.417	995.148	-148.571	-159.742	988.019	-440.130	-164.183	1136.867	-434.624	-155.517	1295.234	-414.878	-229.878	1351.188	-145.808	-303.993	1495.224	-228.132	-424.902	1486.758	-312.827	-438.814	1375.318	-258.220	-614.930	1526.773	-320.050	-596.077	1453.657	-285.340	-806.615	1438.050	-330.022	-792.313	1516.635	-372.396	-0.822	1508.088	-238.021	-66.838	1365.001	-140.474	112.313	1496.971	-326.480	160.491	1402.428	-256.512	313.871	1560.144	-314.152	303.400	1486.043	-283.574	299.504	1432.998	-351.584	511.048	1492.742	-330.261	487.618	1575.147	-361.848	-279.256	978.646	-390.540	-25.706	997.821	-381.745	-283.055	978.483	-181.465	-40.609	1004.229	-164.089	-302.564	782.316	-383.131	-320.565	887.093	-244.251	-321.848	450.683	-281.713	-224.077	440.598	-273.540	-314.613	307.792	-276.011	-342.928	55.188	-216.812	-311.329	19.583	-169.020	-372.582	7.957	-337.560	22.331	724.666	-342.471	3.689	888.240	-219.585	10.572	480.756	-259.501	-88.671	471.311	-270.114	-2.183	310.769	-247.125	4.507	53.300	-170.381	-49.795	22.578	-143.793	70.143	7.332	-288.879	559.229	1621.724	-409.553	686.878	1543.532	-383.088	640.677	1477.102	-411.869	-881.433	1554.751	-398.530	-979.311	1462.871	-386.507	-921.153	1404.625	-390.663	-591.563	1399.680	-337.633	-100.548	1658.298	-236.611	-235.032	1679.898	-272.470	610.114	1507.100	-368.390	-899.319	1431.538	-370.942
