NO_OF_FRAMES	181
NO_OF_CAMERAS	13
NO_OF_MARKERS	58
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-05-26, 15:56:11.767	1310524.14045288
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RMT5	RINDX	RPNKY	LINDX	LPNKY	LFRM	LFSH	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Measured	Measured	Mixed	Mixed
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RMT5 X	RMT5 Y	RMT5 Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
1510	15.09000	06:30:46:12	1121.027	1794.341	-239.503	1275.637	1784.119	-282.024	1245.565	1758.506	-162.265	1090.683	1472.405	-233.246	1081.781	1267.562	-238.508	1119.527	1091.123	-231.402	1135.919	952.112	-208.646	1399.721	1040.702	-277.308	1383.053	1162.063	-277.217	1348.930	1316.491	-259.705	1089.424	1343.685	-340.531	1169.396	1509.582	-404.217	1305.933	1536.602	-358.455	1325.518	1435.796	-429.896	1469.195	1623.159	-302.672	1486.490	1503.834	-348.087	1680.874	1628.299	-313.864	1650.435	1631.041	-229.754	1193.830	1488.024	-83.023	1082.372	1341.737	-144.750	1321.013	1493.951	-129.496	1352.316	1403.617	-54.433	1315.771	1427.515	-190.548	1511.217	1567.190	-158.451	1516.125	1440.776	-125.831	1507.559	1518.664	-89.732	1713.146	1557.746	-127.580	1690.664	1570.967	-210.165	1338.238	1004.158	-385.012	1356.619	1076.825	-143.454	1144.005	940.140	-339.669	1164.188	987.028	-99.157	1380.654	804.552	-383.904	1220.605	863.649	-369.036	1355.694	453.425	-332.260	1378.643	464.086	-235.086	1347.174	300.055	-287.606	1251.901	53.634	-244.377	1212.283	23.153	-190.692	1350.855	13.888	-302.179	1498.299	1021.311	-98.722	1301.211	945.927	-37.918	1726.008	934.593	-91.438	1728.098	899.577	-182.499	1905.845	888.916	-105.693	2143.838	766.838	-63.903	2173.115	713.531	-110.637	2178.130	885.554	-39.913	1790.784	1708.013	-181.977	1812.630	1651.166	-126.072	1700.878	1766.591	-231.662	1732.474	1727.544	-296.642	1471.481	1570.566	-375.191	1310.859	1438.424	-303.364	1117.277	1649.443	-192.519	1155.704	1677.256	-328.187	1770.638	1624.163	-148.873	1717.981	1696.731	-292.991
1511	15.10000	06:30:46:13	1120.840	1794.415	-239.222	1275.318	1784.161	-282.147	1245.903	1758.712	-161.934	1090.306	1472.353	-233.294	1081.436	1267.380	-238.390	1119.790	1091.040	-231.233	1136.275	951.879	-208.139	1399.070	1041.543	-278.699	1382.819	1162.122	-278.005	1348.415	1316.520	-260.389	1088.829	1343.516	-340.415	1168.634	1509.300	-404.465	1305.117	1536.605	-358.901	1324.716	1435.626	-430.227	1467.856	1623.778	-304.164	1485.682	1504.339	-348.419	1679.729	1629.063	-315.063	1649.279	1632.281	-231.004	1193.600	1487.937	-83.199	1082.106	1341.625	-144.699	1320.818	1493.864	-129.762	1352.232	1403.544	-54.717	1315.270	1427.340	-190.826	1510.741	1567.005	-158.873	1515.909	1440.861	-126.230	1507.426	1518.630	-90.000	1712.884	1557.884	-128.088	1690.376	1571.129	-210.947	1336.824	1004.448	-385.934	1356.569	1078.536	-144.781	1143.295	939.834	-338.995	1164.942	987.186	-99.898	1379.029	805.046	-385.656	1219.852	863.508	-368.523	1352.754	453.946	-334.130	1377.641	464.268	-237.560	1344.630	300.357	-290.002	1250.505	53.832	-245.168	1211.916	23.060	-191.037	1349.370	12.594	-304.154	1495.792	1030.415	-99.856	1302.357	948.821	-38.208	1726.630	953.046	-91.675	1730.001	917.611	-182.724	1908.211	914.673	-105.628	2151.413	803.140	-63.853	2182.800	750.763	-110.018	2180.972	923.205	-39.868	1790.878	1708.796	-181.681	1812.340	1651.110	-126.688	1699.872	1767.917	-233.602	1731.393	1728.896	-297.726	1470.503	1570.850	-375.973	1310.257	1438.483	-303.755	1117.276	1649.624	-192.346	1155.276	1677.373	-328.126	1769.845	1624.682	-149.049	1715.746	1699.013	-282.760
1512	15.11000	06:30:46:13	1120.560	1794.605	-238.962	1274.937	1784.629	-282.661	1245.820	1758.682	-161.987	1089.940	1472.349	-233.434	1081.200	1267.262	-238.224	1120.087	1090.851	-230.991	1136.811	951.710	-207.404	1398.695	1042.500	-279.972	1382.669	1162.227	-278.816	1347.998	1316.529	-260.757	1088.277	1343.371	-340.376	1167.712	1509.018	-404.890	1304.356	1536.557	-359.404	1323.965	1435.419	-430.571	1467.001	1624.575	-304.924	1484.894	1504.692	-348.947	1678.726	1629.802	-316.267	1648.121	1633.566	-232.404	1193.383	1487.995	-83.462	1081.872	1341.592	-144.690	1320.547	1493.906	-130.072	1352.015	1403.630	-54.880	1314.935	1427.049	-192.088	1510.735	1566.922	-159.243	1515.638	1440.937	-126.613	1507.238	1518.740	-90.282	1712.602	1558.000	-128.626	1689.914	1571.518	-210.951	1335.482	1004.784	-386.870	1356.759	1080.120	-145.918	1142.538	939.619	-338.362	1166.134	987.501	-99.842	1377.409	805.553	-387.540	1219.098	863.452	-368.058	1349.839	454.368	-336.057	1376.831	464.514	-240.265	1342.204	300.808	-292.416	1249.379	53.977	-245.937	1211.672	23.042	-191.520	1348.066	11.772	-305.790	1493.422	1039.195	-100.675	1303.659	951.509	-38.362	1726.793	970.631	-91.872	1731.649	935.271	-182.893	1909.784	939.518	-105.667	2157.418	837.730	-63.616	2190.778	786.591	-109.790	2182.455	959.135	-39.794	1789.802	1708.709	-182.553	1811.845	1651.506	-127.134	1698.952	1769.077	-235.710	1730.438	1730.180	-299.594	1469.619	1571.118	-376.822	1309.332	1438.060	-304.514	1117.106	1649.667	-192.338	1154.868	1677.546	-328.144	1769.361	1624.844	-149.356	1714.608	1700.071	-283.963
1513	15.12000	06:30:46:13	1120.312	1794.788	-238.829	1274.651	1784.801	-282.809	1245.856	1758.876	-162.020	1089.560	1472.397	-233.615	1080.993	1267.195	-238.023	1120.355	1090.671	-230.635	1137.474	951.761	-206.521	1398.497	1043.924	-281.429	1382.388	1162.363	-279.542	1347.571	1316.592	-261.192	1087.769	1343.249	-340.342	1167.030	1508.710	-405.234	1303.657	1536.547	-359.934	1323.224	1435.198	-430.934	1465.802	1625.007	-306.839	1484.106	1505.040	-349.589	1677.811	1630.599	-317.550	1647.226	1634.729	-233.726	1192.712	1488.282	-83.866	1081.647	1341.636	-144.738	1320.241	1493.954	-130.303	1351.749	1403.861	-54.952	1314.473	1427.095	-192.405	1510.368	1567.037	-159.585	1515.303	1441.110	-126.973	1506.960	1518.972	-90.609	1712.309	1558.157	-129.134	1689.415	1571.733	-211.225	1334.191	1005.332	-387.771	1356.996	1081.719	-147.186	1141.830	939.612	-337.604	1167.532	988.045	-99.534	1375.831	806.062	-389.376	1218.249	863.581	-367.649	1346.997	454.851	-337.913	1376.151	464.714	-242.878	1340.013	301.336	-294.620	1247.726	54.473	-246.834	1211.442	23.076	-191.905	1346.940	11.084	-307.076	1490.995	1047.438	-101.244	1305.012	954.078	-38.292	1726.624	987.539	-92.093	1732.785	952.355	-183.052	1910.776	963.449	-105.722	2161.868	870.649	-63.639	2197.286	821.110	-109.770	2182.732	993.233	-39.702	1790.030	1709.630	-182.098	1811.685	1651.571	-127.578	1697.824	1770.359	-237.767	1729.341	1731.139	-301.247	1468.686	1571.322	-377.679	1308.984	1438.042	-304.739	1116.875	1649.770	-192.417	1154.527	1677.766	-328.232	1768.961	1624.949	-149.826	1714.670	1699.515	-292.074
1514	15.13000	06:30:46:13	1120.090	1794.953	-238.846	1274.326	1784.968	-282.974	1245.689	1758.903	-162.168	1089.219	1472.442	-233.836	1080.832	1267.214	-237.808	1120.516	1090.590	-230.188	1138.242	951.976	-205.561	1398.179	1044.391	-283.357	1382.052	1162.557	-280.234	1347.163	1316.693	-261.341	1087.324	1343.131	-340.336	1166.345	1508.422	-405.625	1302.899	1536.549	-360.552	1322.613	1435.051	-431.294	1464.882	1625.528	-308.173	1483.375	1505.370	-350.316	1676.974	1631.448	-318.896	1646.530	1635.842	-234.879	1192.251	1488.561	-84.260	1081.388	1341.784	-144.781	1319.904	1494.005	-130.468	1351.420	1404.335	-55.047	1313.964	1427.388	-192.429	1509.985	1567.218	-160.058	1514.854	1441.383	-127.337	1506.540	1519.320	-91.027	1711.913	1558.391	-129.645	1688.949	1571.856	-211.605	1332.868	1005.863	-388.737	1357.379	1083.281	-148.540	1141.174	939.766	-336.673	1168.964	988.749	-99.067	1374.345	806.651	-391.479	1217.261	864.173	-367.171	1344.595	455.406	-339.438	1375.718	465.000	-245.161	1338.307	301.868	-296.411	1246.741	54.751	-247.497	1211.335	23.104	-192.161	1346.078	10.411	-308.102	1488.684	1055.306	-101.591	1306.449	956.715	-38.276	1726.016	1003.809	-92.299	1733.506	968.869	-183.267	1910.964	986.142	-105.648	2165.515	901.761	-62.751	2202.517	853.906	-109.966	2181.928	1025.549	-38.896	1789.202	1709.458	-183.120	1811.331	1651.639	-128.053	1696.877	1771.557	-239.900	1728.399	1732.065	-302.922	1467.835	1571.533	-378.610	1308.577	1438.016	-305.079	1116.416	1649.776	-192.731	1154.190	1678.081	-328.438	1768.530	1625.124	-150.242	1713.799	1700.416	-294.186
1515	15.14000	06:30:46:14	1119.873	1795.159	-239.008	1274.123	1785.107	-283.142	1245.445	1758.957	-162.359	1088.866	1472.494	-234.031	1080.724	1267.272	-237.549	1120.595	1090.713	-229.575	1138.923	952.407	-204.802	1397.803	1045.391	-285.098	1381.626	1162.804	-280.904	1346.830	1316.937	-261.943	1086.880	1343.087	-340.310	1165.741	1508.303	-405.944	1302.235	1536.552	-361.122	1321.982	1434.927	-431.676	1464.023	1625.973	-309.462	1482.729	1505.706	-351.041	1676.075	1632.107	-320.285	1645.823	1636.856	-236.164	1191.811	1488.922	-84.654	1081.167	1341.815	-144.852	1319.539	1494.060	-130.579	1351.067	1404.909	-55.153	1313.493	1427.758	-192.360	1509.549	1567.546	-160.661	1514.379	1441.786	-127.664	1506.093	1519.742	-91.507	1711.461	1558.683	-130.069	1688.571	1572.125	-211.720	1331.646	1006.501	-389.647	1357.815	1084.852	-149.872	1140.965	939.876	-335.761	1170.551	989.442	-98.481	1373.111	807.308	-393.114	1216.259	864.626	-366.649	1342.530	455.782	-340.455	1375.898	465.410	-246.938	1337.055	302.312	-297.700	1245.926	55.169	-248.034	1211.239	23.163	-192.368	1345.397	9.929	-308.912	1486.297	1062.662	-101.949	1307.881	959.333	-38.265	1725.156	1019.327	-92.537	1733.485	984.833	-183.656	1910.712	1007.712	-105.475	2167.877	931.429	-62.988	2206.475	885.081	-110.589	2180.051	1055.672	-38.249	1788.817	1709.525	-183.829	1810.896	1651.852	-128.574	1695.859	1772.659	-241.856	1727.378	1732.930	-304.655	1467.126	1571.771	-379.586	1308.293	1438.010	-305.156	1116.047	1649.938	-193.112	1153.787	1678.397	-328.732	1768.110	1625.378	-150.679	1712.981	1701.299	-296.089
1516	15.15000	06:30:46:14	1119.595	1795.402	-239.331	1273.855	1785.184	-283.433	1245.146	1759.014	-162.647	1088.469	1472.491	-234.252	1080.562	1267.334	-237.252	1120.660	1090.967	-228.794	1139.840	952.694	-203.775	1397.416	1046.738	-286.625	1381.284	1163.111	-281.608	1346.458	1317.183	-262.287	1086.393	1343.022	-340.303	1165.092	1508.020	-406.315	1301.581	1536.543	-361.762	1321.399	1434.856	-432.092	1463.256	1626.418	-310.650	1482.064	1506.046	-351.916	1675.271	1632.814	-321.748	1644.993	1637.880	-237.748	1191.322	1489.282	-85.086	1080.996	1341.943	-144.844	1319.148	1494.117	-130.648	1350.725	1405.634	-55.355	1313.002	1428.130	-192.367	1509.054	1567.964	-161.284	1513.926	1442.360	-128.035	1505.645	1520.385	-92.106	1711.017	1559.065	-130.404	1688.252	1572.323	-212.486	1330.351	1007.215	-390.581	1358.257	1086.379	-151.250	1140.640	940.053	-334.697	1172.231	990.248	-97.828	1372.229	808.017	-394.422	1215.382	865.116	-366.083	1341.489	456.155	-341.223	1376.061	465.769	-248.238	1336.265	302.640	-298.720	1245.431	55.409	-248.415	1211.198	23.327	-192.475	1344.919	9.589	-309.521	1483.812	1069.695	-102.327	1309.332	961.933	-38.218	1723.922	1034.097	-92.968	1733.554	1000.301	-184.135	1909.892	1028.167	-105.425	2169.201	959.317	-63.264	2209.134	915.105	-111.962	2177.525	1083.989	-37.491	1790.280	1710.895	-182.602	1810.536	1652.088	-129.093	1695.008	1773.718	-243.855	1726.454	1733.711	-306.310	1466.345	1572.036	-380.600	1307.820	1438.217	-305.580	1115.638	1650.142	-193.477	1153.468	1678.652	-329.129	1767.701	1625.646	-151.098	1712.115	1702.123	-297.800
1517	15.16000	06:30:46:14	1119.296	1795.562	-239.768	1273.587	1785.196	-283.792	1244.773	1759.029	-163.060	1088.082	1472.486	-234.441	1080.380	1267.369	-237.021	1120.755	1091.323	-227.850	1140.812	952.864	-202.756	1397.114	1047.818	-288.161	1380.937	1163.466	-282.372	1346.106	1317.518	-262.658	1085.900	1342.963	-340.295	1164.525	1507.949	-406.565	1300.813	1536.555	-362.423	1320.927	1435.007	-432.015	1462.483	1626.775	-311.708	1481.466	1506.338	-352.846	1674.515	1633.569	-323.253	1644.174	1638.722	-239.372	1190.886	1489.612	-85.564	1080.902	1342.178	-144.830	1318.735	1494.176	-130.688	1350.428	1406.347	-55.632	1312.572	1428.497	-192.528	1508.594	1568.432	-161.967	1513.469	1443.018	-128.482	1505.166	1521.080	-92.708	1710.596	1559.487	-130.745	1687.996	1572.606	-212.888	1329.144	1007.706	-391.336	1358.832	1087.897	-152.486	1140.400	940.065	-333.584	1173.724	991.053	-97.238	1371.085	808.861	-395.678	1214.741	865.454	-365.355	1341.071	456.419	-341.789	1376.535	466.003	-249.303	1335.937	303.015	-299.469	1245.201	55.644	-248.692	1211.266	23.441	-192.552	1344.650	9.349	-309.877	1481.222	1076.035	-102.914	1310.793	964.404	-38.178	1722.394	1047.819	-93.376	1732.815	1015.104	-185.096	1908.483	1047.450	-105.502	2169.815	985.570	-63.597	2210.913	943.338	-113.288	2174.545	1110.501	-36.759	1789.556	1711.091	-183.641	1810.108	1652.701	-129.464	1694.125	1774.592	-245.636	1725.435	1734.605	-307.966	1465.496	1572.238	-381.564	1307.386	1438.627	-306.053	1115.368	1650.431	-193.879	1153.092	1678.819	-329.599	1767.342	1625.961	-151.416	1711.276	1702.930	-299.536
1518	15.17000	06:30:46:14	1118.948	1795.553	-240.310	1273.260	1785.073	-284.256	1244.384	1758.997	-163.550	1087.769	1472.413	-234.626	1080.211	1267.350	-236.793	1120.911	1091.711	-226.785	1141.712	952.928	-201.716	1397.086	1049.142	-289.424	1380.670	1163.820	-283.131	1345.763	1317.782	-263.118	1085.374	1342.809	-340.284	1163.818	1507.690	-406.851	1300.059	1536.508	-363.027	1320.017	1434.840	-433.086	1461.749	1627.041	-312.595	1480.730	1506.525	-354.126	1673.745	1634.220	-324.746	1643.745	1639.303	-240.605	1190.519	1489.857	-85.993	1080.815	1342.222	-144.828	1318.302	1494.234	-130.710	1350.247	1407.082	-55.982	1312.091	1428.810	-193.028	1508.122	1569.000	-162.482	1513.003	1443.773	-128.975	1504.694	1521.840	-93.273	1710.199	1559.943	-131.008	1687.754	1573.188	-213.293	1328.173	1008.084	-391.973	1359.398	1089.363	-153.445	1140.256	939.896	-332.511	1174.882	991.707	-97.104	1370.229	808.714	-395.540	1214.359	865.510	-364.518	1341.011	456.650	-342.206	1377.101	466.095	-249.959	1335.927	303.279	-299.900	1245.035	55.851	-248.814	1211.338	23.574	-192.491	1344.533	9.221	-310.069	1478.757	1082.195	-103.717	1312.014	966.774	-38.101	1720.574	1060.818	-93.882	1731.717	1028.554	-185.471	1906.771	1065.338	-105.772	2169.768	1010.240	-64.095	2212.126	969.397	-114.002	2171.250	1135.200	-36.180	1788.710	1710.256	-184.767	1810.109	1652.800	-129.476	1693.260	1775.274	-247.171	1724.424	1735.398	-309.584	1464.686	1572.425	-382.539	1306.872	1438.733	-306.462	1114.916	1650.506	-194.314	1152.681	1678.728	-330.074	1767.096	1626.312	-151.667	1710.372	1703.690	-301.136
1519	15.18000	06:30:46:15	1118.492	1795.401	-240.850	1272.797	1784.884	-284.829	1243.960	1758.873	-164.021	1087.469	1472.253	-234.776	1080.042	1267.191	-236.624	1121.197	1092.017	-225.831	1142.585	952.826	-200.785	1396.637	1050.120	-290.602	1380.494	1164.068	-283.984	1345.452	1317.923	-263.689	1084.992	1342.345	-340.293	1162.977	1507.391	-407.061	1299.285	1536.374	-363.595	1319.209	1434.741	-433.734	1461.030	1627.270	-313.243	1480.084	1506.744	-355.206	1672.864	1634.744	-326.326	1643.318	1639.653	-241.900	1190.264	1489.944	-86.387	1080.052	1342.064	-144.939	1317.853	1494.292	-130.726	1350.152	1407.649	-56.414	1311.632	1429.000	-193.408	1507.641	1569.545	-162.923	1512.554	1444.123	-129.633	1503.174	1522.657	-93.414	1709.829	1560.451	-131.257	1687.590	1573.853	-213.871	1327.263	1008.338	-392.465	1359.816	1090.794	-154.300	1140.185	939.423	-331.519	1176.355	992.387	-96.785	1369.897	808.951	-395.828	1214.349	865.197	-363.675	1341.053	456.797	-342.109	1377.957	466.205	-250.367	1336.271	303.322	-300.090	1245.025	56.013	-248.868	1211.442	23.646	-192.433	1344.499	9.118	-310.187	1476.099	1087.868	-104.629	1313.256	968.948	-38.187	1718.247	1073.290	-94.628	1730.481	1041.219	-186.144	1904.799	1082.151	-106.138	2169.039	1033.196	-64.792	2212.706	993.637	-114.103	2167.586	1158.536	-36.540	1789.114	1710.851	-184.191	1810.013	1652.881	-129.556	1692.343	1775.825	-248.688	1723.409	1735.583	-311.619	1463.834	1572.682	-383.490	1306.508	1438.578	-306.793	1114.474	1650.372	-194.754	1152.215	1678.507	-330.478	1766.957	1626.756	-151.789	1709.087	1704.119	-303.821
