NO_OF_FRAMES	911
NO_OF_CAMERAS	13
NO_OF_MARKERS	64
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-05-27, 10:56:41.457	1378957.87672979
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LTOE	LMT1	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RTOE	RMT1	RMT5	RTHMB	RINDX	RPNKY	LTHMB	LINDX	LPNKY	LFRM	LFSH	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Measured	Measured	Mixed	Mixed	Measured	Measured
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LTOE X	LTOE Y	LTOE Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RTOE X	RTOE Y	RTOE Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
5174	51.73000	01:22:16:16	-257.919	1631.057	-355.606	-185.155	1534.222	-434.361	-161.638	1536.178	-302.399	-396.666	1425.132	-244.031	-450.920	1279.198	-149.542	-442.653	1113.790	-92.886	-397.773	998.333	-39.997	-492.032	889.177	-292.537	-486.591	1094.899	-359.271	-427.730	1252.025	-391.032	-522.383	1343.095	-163.327	-550.618	1458.677	-350.499	-705.275	1255.678	-312.139	-682.475	1340.074	-204.068	-844.871	1182.275	-300.545	-765.159	1220.931	-158.532	-912.779	1043.623	-317.635	-870.810	1087.658	-388.065	-251.618	1383.344	-244.194	-366.949	1269.488	-153.977	-75.406	1316.373	-261.811	-103.318	1222.524	-194.805	-295.551	1286.299	-356.600	43.471	1211.081	-189.375	15.838	1173.432	-241.271	142.163	1234.596	-175.313	298.729	1167.970	-233.424	310.740	1259.763	-202.928	-589.226	885.701	-183.612	-308.030	960.229	-296.861	-521.771	936.385	-17.160	-262.942	1006.774	-111.709	-590.110	567.385	-77.877	-497.725	796.447	-4.264	-547.673	373.040	-48.785	-530.250	331.270	-146.767	-452.323	226.642	-46.294	-217.661	59.137	72.985	-148.030	24.224	49.940	-396.424	9.910	33.694	-368.307	24.837	31.661	-339.464	12.463	103.035	-397.642	654.028	-374.622	-211.930	817.930	-217.525	-431.954	491.449	-405.666	-502.113	493.293	-352.278	-429.959	376.025	-403.651	-317.526	49.639	-364.602	-283.168	16.765	-299.447	-513.472	8.279	-356.230	-490.110	32.972	-354.813	-455.015	1.753	-417.302	408.963	1288.104	-164.628	512.157	1222.233	-208.063	463.301	1242.502	-283.400	-874.148	1032.949	-489.599	-856.162	940.786	-484.799	-845.208	964.229	-427.525	-825.264	1228.163	-225.017	-502.605	1322.783	-392.020	-350.438	1523.340	-277.203	-367.506	1514.585	-414.157	402.097	1192.566	-259.713	-925.625	967.620	-406.983
5175	51.74000	01:22:16:17	-257.344	1631.159	-355.472	-184.590	1534.215	-434.206	-161.174	1536.139	-302.223	-396.314	1425.267	-243.997	-450.692	1279.302	-149.615	-442.569	1113.863	-93.063	-397.797	998.404	-40.194	-492.013	889.341	-292.763	-486.454	1095.165	-359.437	-427.489	1252.294	-391.132	-522.106	1343.261	-163.361	-550.272	1459.023	-350.445	-704.966	1256.049	-312.185	-682.230	1340.244	-204.075	-844.629	1182.536	-300.557	-764.853	1221.258	-158.571	-912.484	1043.848	-317.564	-870.509	1087.855	-388.035	-251.263	1383.364	-244.181	-366.729	1269.565	-154.043	-75.129	1316.301	-261.797	-103.108	1222.394	-194.866	-295.325	1286.456	-356.707	43.665	1210.851	-189.386	16.014	1173.259	-241.339	142.404	1234.288	-175.322	298.886	1167.545	-233.349	310.993	1259.266	-202.895	-589.250	885.907	-183.856	-307.967	960.229	-297.038	-521.833	936.513	-17.377	-262.923	1006.784	-111.888	-590.034	567.495	-77.952	-497.806	796.556	-4.474	-547.539	373.170	-48.785	-530.154	331.348	-146.753	-452.258	226.746	-46.269	-217.622	59.146	72.989	-147.916	24.241	50.017	-396.416	9.887	33.717	-368.306	24.854	31.660	-339.468	12.461	103.035	-397.712	654.001	-374.677	-211.996	817.959	-217.710	-431.855	491.452	-405.753	-502.140	493.249	-352.268	-429.982	375.999	-403.642	-317.529	49.615	-364.654	-283.155	16.772	-299.491	-513.440	8.253	-356.227	-490.087	32.982	-354.806	-455.033	1.750	-417.297	409.276	1287.572	-164.711	512.482	1221.873	-208.382	463.267	1242.073	-283.609	-873.895	1033.049	-489.545	-855.936	940.870	-484.705	-844.868	964.305	-427.386	-824.974	1228.472	-225.057	-502.350	1323.052	-392.055	-350.031	1523.534	-277.142	-367.034	1514.800	-414.092	402.273	1192.015	-259.688	-925.349	967.788	-406.867
5176	51.75000	01:22:16:17	-256.814	1631.301	-355.312	-184.099	1534.332	-434.086	-160.678	1536.123	-302.093	-395.926	1425.426	-243.979	-450.444	1279.389	-149.741	-442.480	1113.917	-93.246	-397.803	998.493	-40.387	-492.026	889.509	-292.968	-486.293	1095.390	-359.593	-427.299	1252.557	-391.256	-521.769	1343.423	-163.395	-549.889	1459.332	-350.385	-704.736	1256.393	-312.219	-681.882	1340.653	-204.025	-844.307	1182.790	-300.575	-764.531	1221.559	-158.608	-912.132	1044.060	-317.510	-870.134	1087.999	-388.015	-250.918	1383.395	-244.190	-366.470	1269.611	-154.158	-74.807	1316.217	-261.797	-102.908	1222.319	-194.937	-295.068	1286.565	-356.733	43.941	1210.671	-189.402	16.212	1173.124	-241.398	142.672	1234.017	-175.330	299.085	1167.154	-233.322	311.278	1258.833	-202.875	-589.262	886.118	-184.084	-307.998	960.252	-297.273	-521.879	936.648	-17.584	-262.921	1006.860	-112.088	-589.938	567.588	-78.034	-497.869	796.683	-4.656	-547.399	373.293	-48.835	-530.039	331.451	-146.793	-452.181	226.839	-46.275	-217.615	59.157	72.952	-148.012	24.312	49.859	-396.430	9.945	33.710	-368.316	24.860	31.637	-339.454	12.465	103.022	-397.715	653.919	-374.761	-212.077	818.032	-217.922	-431.869	491.390	-405.774	-502.138	493.190	-352.241	-429.979	375.968	-403.632	-317.524	49.594	-364.718	-283.102	16.754	-299.544	-513.422	8.248	-356.199	-490.073	32.973	-354.795	-455.046	1.755	-417.273	409.598	1287.086	-164.791	512.828	1221.354	-208.766	463.416	1241.668	-283.665	-873.656	1033.150	-489.486	-855.725	940.952	-484.597	-844.641	964.410	-427.276	-824.669	1228.757	-225.085	-502.085	1323.353	-392.090	-349.636	1523.729	-277.075	-366.559	1515.077	-414.032	402.446	1191.475	-259.701	-925.106	967.936	-406.751
5177	51.76000	01:22:16:17	-256.251	1631.439	-355.138	-183.629	1534.410	-433.955	-160.203	1536.087	-301.920	-395.547	1425.564	-243.990	-450.206	1279.500	-149.874	-442.412	1113.982	-93.426	-397.823	998.605	-40.597	-492.066	889.685	-293.157	-486.166	1095.656	-359.773	-427.123	1252.829	-391.373	-521.462	1343.588	-163.443	-549.611	1459.774	-350.346	-704.416	1256.711	-312.251	-681.589	1340.818	-204.030	-843.931	1182.997	-300.588	-764.180	1221.826	-158.633	-911.787	1044.278	-317.429	-869.804	1088.209	-388.001	-250.568	1383.410	-244.197	-366.210	1269.654	-154.238	-74.475	1316.132	-261.859	-102.655	1222.233	-195.028	-294.866	1286.638	-356.827	44.223	1210.502	-189.415	16.444	1173.004	-241.470	142.997	1233.756	-175.338	299.332	1166.781	-233.316	311.591	1258.473	-202.902	-589.314	886.319	-184.274	-308.013	960.309	-297.504	-521.912	936.800	-17.794	-262.962	1006.963	-112.338	-589.861	567.666	-78.136	-497.894	796.810	-4.846	-547.256	373.430	-48.917	-529.885	331.582	-146.850	-452.102	226.961	-46.347	-217.598	59.180	72.932	-148.078	24.191	49.772	-396.384	9.884	33.701	-368.313	24.842	31.619	-339.453	12.459	103.007	-397.724	653.850	-374.871	-212.172	818.109	-218.114	-431.884	491.330	-405.772	-502.108	493.143	-352.231	-429.979	375.952	-403.608	-317.498	49.568	-364.719	-283.108	16.725	-299.580	-513.403	8.236	-356.203	-490.080	32.978	-354.791	-455.042	1.763	-417.268	409.923	1286.662	-164.865	513.269	1220.675	-209.158	463.602	1241.365	-283.679	-873.379	1033.270	-489.430	-855.553	941.087	-484.479	-844.397	964.545	-427.216	-824.322	1229.037	-225.133	-501.771	1323.674	-392.132	-349.248	1523.895	-277.014	-365.675	1515.298	-413.658	402.696	1191.010	-259.758	-924.831	968.129	-406.649
5178	51.77000	01:22:16:17	-255.682	1631.562	-354.937	-183.154	1534.560	-433.852	-159.730	1536.096	-301.784	-395.138	1425.730	-243.995	-449.924	1279.600	-150.020	-442.326	1114.050	-93.610	-397.881	998.875	-40.734	-492.171	889.885	-293.339	-486.018	1095.941	-359.945	-426.910	1253.064	-391.509	-521.144	1343.744	-163.503	-549.178	1460.113	-350.299	-704.037	1257.013	-312.284	-681.163	1341.239	-203.975	-843.543	1183.197	-300.592	-763.794	1222.105	-158.675	-911.464	1044.523	-317.343	-869.500	1088.394	-387.979	-250.188	1383.452	-244.232	-365.940	1269.669	-154.365	-74.097	1316.031	-261.905	-102.360	1222.169	-195.092	-294.611	1286.674	-356.877	44.461	1210.331	-189.486	16.657	1172.869	-241.522	143.292	1233.521	-175.400	299.573	1166.455	-233.391	311.830	1258.185	-202.907	-589.366	886.517	-184.466	-308.079	960.324	-297.679	-521.921	936.989	-17.987	-263.010	1007.092	-112.581	-589.812	567.761	-78.257	-497.884	796.969	-5.023	-547.103	373.554	-48.997	-529.722	331.727	-146.935	-451.998	227.030	-46.399	-217.576	59.182	72.897	-148.026	24.222	49.783	-396.382	9.873	33.699	-368.300	24.838	31.593	-339.443	12.467	102.988	-397.698	653.820	-374.993	-212.213	818.217	-218.283	-431.890	491.330	-405.815	-502.151	493.158	-352.270	-430.006	375.958	-403.603	-317.509	49.569	-364.763	-283.108	16.748	-299.596	-513.412	8.253	-356.192	-490.057	32.970	-354.794	-455.017	1.748	-417.284	410.087	1286.301	-164.812	513.744	1219.869	-210.303	463.836	1241.198	-283.652	-873.087	1033.396	-489.365	-855.329	941.255	-484.365	-844.134	964.691	-427.150	-823.991	1229.268	-225.163	-501.374	1324.015	-392.199	-348.817	1524.029	-276.922	-365.188	1515.572	-413.512	402.955	1190.579	-259.810	-924.556	968.312	-406.549
5179	51.78000	01:22:16:18	-255.108	1631.683	-354.698	-182.699	1534.687	-433.721	-159.244	1536.066	-301.642	-394.748	1425.870	-244.020	-449.651	1279.720	-150.153	-442.241	1114.142	-93.782	-397.871	999.031	-41.001	-492.238	890.078	-293.486	-485.965	1096.249	-360.184	-426.647	1253.302	-391.615	-520.772	1343.894	-163.585	-548.795	1460.401	-350.282	-703.665	1257.326	-312.319	-680.798	1341.573	-203.974	-843.180	1183.389	-300.600	-763.400	1222.370	-158.692	-911.147	1044.741	-317.286	-869.228	1088.603	-387.921	-249.854	1383.495	-244.263	-365.662	1269.735	-154.478	-73.739	1315.903	-261.958	-102.091	1222.041	-195.180	-294.355	1286.749	-356.910	44.684	1210.122	-189.574	16.887	1172.724	-241.642	143.530	1233.246	-175.492	299.798	1166.170	-233.504	312.110	1257.881	-202.958	-589.442	886.713	-184.694	-308.079	960.359	-297.879	-521.942	937.214	-18.195	-263.031	1007.188	-112.803	-589.717	567.868	-78.405	-497.889	797.141	-5.245	-546.900	373.714	-49.073	-529.530	331.863	-146.990	-451.877	227.105	-46.450	-217.544	59.160	72.892	-147.950	24.202	49.853	-396.381	9.906	33.682	-368.287	24.836	31.580	-339.434	12.452	102.981	-397.681	653.839	-375.130	-212.273	818.324	-218.421	-431.879	491.345	-405.858	-502.124	493.154	-352.320	-429.995	375.966	-403.647	-317.513	49.546	-364.754	-283.081	16.745	-299.587	-513.410	8.255	-356.208	-490.069	32.973	-354.830	-455.030	1.738	-417.291	410.386	1285.868	-164.817	514.139	1219.437	-210.469	464.078	1241.064	-283.552	-872.812	1033.543	-489.309	-855.093	941.398	-484.264	-843.875	964.929	-427.150	-823.622	1229.505	-225.186	-500.989	1324.340	-392.281	-348.327	1524.178	-276.820	-364.692	1515.846	-413.417	403.183	1190.251	-259.758	-924.274	968.506	-406.429
5180	51.79000	01:22:16:18	-254.551	1631.810	-354.494	-182.239	1534.816	-433.613	-158.814	1536.059	-301.527	-394.384	1425.990	-244.050	-449.373	1279.840	-150.268	-442.137	1114.239	-93.963	-397.888	999.170	-41.249	-492.309	890.307	-293.668	-485.886	1096.503	-360.408	-426.428	1253.556	-391.747	-520.460	1344.074	-163.676	-548.278	1460.552	-350.270	-703.287	1257.611	-312.371	-680.527	1341.743	-204.012	-842.835	1183.578	-300.584	-762.979	1222.647	-158.739	-910.806	1044.934	-317.222	-868.987	1088.801	-387.862	-249.475	1383.546	-244.285	-365.387	1269.821	-154.571	-73.405	1315.755	-262.034	-101.862	1221.907	-195.283	-294.048	1286.854	-356.986	44.919	1209.907	-189.698	17.082	1172.563	-241.775	143.754	1232.973	-175.586	300.033	1165.852	-233.669	312.365	1257.609	-203.065	-589.501	886.928	-184.940	-308.068	960.380	-298.032	-521.955	937.413	-18.471	-263.040	1007.258	-113.030	-589.627	567.958	-78.560	-497.934	797.336	-5.491	-546.679	373.859	-49.129	-529.198	331.926	-147.038	-451.730	227.182	-46.497	-217.563	59.116	72.928	-147.973	24.160	49.863	-396.327	9.843	33.694	-368.256	24.820	31.573	-339.434	12.469	102.953	-397.706	653.890	-375.259	-212.312	818.383	-218.559	-431.858	491.369	-405.917	-502.152	493.205	-352.411	-429.965	375.976	-403.710	-317.490	49.536	-364.796	-283.077	16.705	-299.630	-513.416	8.275	-356.225	-490.069	32.975	-354.861	-455.034	1.728	-417.304	410.678	1285.487	-164.833	514.528	1219.170	-210.888	464.284	1241.000	-283.498	-872.565	1033.707	-489.233	-854.806	941.591	-484.205	-843.601	965.120	-427.094	-823.234	1229.749	-225.226	-500.644	1324.615	-392.349	-347.840	1524.298	-276.737	-364.581	1516.174	-413.622	403.417	1189.926	-259.844	-923.997	968.700	-406.356
5181	51.80000	01:22:16:18	-254.008	1631.919	-354.294	-181.778	1535.013	-433.527	-158.330	1536.072	-301.394	-393.998	1426.128	-244.090	-449.093	1280.019	-150.357	-442.042	1114.351	-94.149	-397.891	999.278	-41.488	-492.313	890.522	-293.893	-485.744	1096.761	-360.612	-426.103	1253.794	-391.852	-520.150	1344.270	-163.754	-547.878	1460.820	-350.297	-702.914	1257.854	-312.440	-680.200	1342.032	-204.053	-842.484	1183.792	-300.587	-762.571	1222.925	-158.799	-910.449	1045.117	-317.147	-868.704	1088.952	-387.846	-249.080	1383.573	-244.357	-365.119	1269.924	-154.680	-73.102	1315.616	-262.113	-101.626	1221.747	-195.399	-293.707	1286.928	-357.074	45.147	1209.642	-189.861	17.268	1172.367	-241.947	143.985	1232.698	-175.724	300.261	1165.496	-233.849	312.624	1257.306	-203.193	-589.548	887.168	-185.229	-308.024	960.447	-298.221	-522.005	937.616	-18.761	-263.055	1007.309	-113.251	-589.520	568.067	-78.693	-498.018	797.532	-5.727	-546.386	374.019	-49.153	-528.978	332.141	-147.088	-451.548	227.253	-46.541	-217.529	59.050	72.956	-147.900	24.095	49.980	-396.335	9.931	33.725	-368.232	24.811	31.564	-339.423	12.487	102.918	-397.712	653.911	-375.373	-212.360	818.431	-218.679	-431.841	491.357	-405.987	-502.108	493.176	-352.489	-429.891	375.930	-403.790	-317.457	49.528	-364.802	-283.043	16.742	-299.678	-513.394	8.271	-356.270	-490.043	32.973	-354.894	-455.021	1.739	-417.319	410.948	1285.111	-164.921	514.916	1219.173	-211.243	464.381	1240.970	-283.466	-872.351	1033.886	-489.192	-854.511	941.800	-484.153	-843.316	965.320	-427.101	-822.808	1230.024	-225.282	-500.351	1324.878	-392.452	-347.366	1524.413	-276.649	-364.181	1516.428	-413.567	403.648	1189.584	-259.944	-923.630	968.868	-406.273
5182	51.81000	01:22:16:18	-253.485	1632.052	-354.142	-181.236	1535.184	-433.407	-157.823	1536.105	-301.301	-393.635	1426.309	-244.116	-448.867	1280.184	-150.448	-441.959	1114.494	-94.356	-397.929	999.377	-41.716	-492.318	890.762	-294.179	-485.639	1097.077	-360.803	-425.777	1254.026	-391.984	-519.810	1344.482	-163.866	-547.475	1461.155	-350.370	-702.551	1258.139	-312.516	-679.891	1342.354	-204.137	-842.163	1184.061	-300.621	-762.191	1223.230	-158.861	-910.086	1045.312	-317.093	-868.466	1089.181	-387.797	-248.725	1383.601	-244.449	-364.863	1270.026	-154.795	-72.839	1315.495	-262.222	-101.200	1221.532	-195.782	-293.334	1287.049	-357.131	45.370	1209.372	-190.018	17.403	1172.131	-242.128	144.202	1232.428	-175.834	300.490	1165.175	-233.954	312.890	1256.904	-203.397	-589.615	887.406	-185.554	-307.989	960.438	-298.416	-522.089	937.807	-19.068	-263.084	1007.320	-113.440	-589.435	568.161	-78.799	-498.131	797.698	-5.986	-546.093	374.158	-49.191	-528.697	332.228	-147.107	-451.364	227.364	-46.598	-217.516	58.986	73.035	-147.874	24.067	50.036	-396.263	9.919	33.678	-368.205	24.832	31.526	-339.423	12.518	102.899	-397.705	653.877	-375.492	-212.435	818.439	-218.793	-431.839	491.327	-406.060	-502.126	493.157	-352.572	-429.884	375.898	-403.885	-317.404	49.508	-364.868	-282.971	16.761	-299.745	-513.370	8.279	-356.277	-490.036	32.979	-354.925	-455.001	1.726	-417.329	411.419	1284.660	-165.135	515.233	1219.371	-211.687	464.462	1240.943	-283.537	-872.073	1034.057	-489.152	-854.213	942.011	-484.072	-842.927	965.510	-427.066	-822.393	1230.298	-225.362	-500.047	1325.141	-392.555	-346.873	1524.550	-276.563	-363.746	1516.680	-413.497	403.848	1189.233	-260.113	-923.241	969.080	-406.152
5183	51.82000	01:22:16:19	-252.974	1632.211	-353.993	-180.768	1535.342	-433.345	-157.375	1536.147	-301.221	-393.236	1426.491	-244.161	-448.619	1280.366	-150.539	-441.871	1114.618	-94.595	-397.963	999.471	-41.946	-492.326	890.968	-294.481	-485.482	1097.300	-360.996	-425.470	1254.267	-392.098	-519.520	1344.718	-163.959	-547.065	1461.483	-350.421	-702.224	1258.497	-312.619	-679.502	1342.727	-204.209	-841.823	1184.308	-300.675	-761.772	1223.586	-158.940	-909.689	1045.543	-317.038	-868.111	1089.374	-387.783	-248.348	1383.664	-244.544	-364.632	1270.151	-154.910	-72.570	1315.363	-262.364	-101.007	1221.409	-195.894	-293.015	1287.190	-357.236	45.538	1209.144	-190.109	17.694	1172.059	-241.740	144.391	1232.157	-175.945	300.672	1164.833	-234.087	313.125	1256.513	-203.537	-589.664	887.621	-185.862	-307.949	960.430	-298.607	-522.190	937.974	-19.368	-263.085	1007.346	-113.635	-589.354	568.255	-78.933	-498.291	797.878	-6.241	-545.855	374.309	-49.219	-528.434	332.367	-147.149	-451.213	227.444	-46.652	-217.499	58.940	73.079	-147.753	23.997	50.163	-396.203	9.898	33.658	-368.166	24.794	31.508	-339.424	12.546	102.847	-397.730	653.807	-375.617	-212.492	818.442	-218.914	-431.886	491.270	-406.133	-502.156	493.103	-352.629	-429.902	375.863	-403.939	-317.412	49.494	-364.892	-282.963	16.698	-299.758	-513.348	8.270	-356.286	-490.005	32.962	-354.925	-454.998	1.719	-417.325	411.704	1284.400	-165.377	515.543	1219.709	-212.252	464.411	1240.879	-283.677	-871.787	1034.250	-489.138	-853.781	942.182	-484.088	-842.542	965.737	-427.031	-822.008	1230.639	-225.477	-499.748	1325.442	-392.683	-346.380	1524.675	-276.486	-363.363	1516.917	-413.434	404.037	1188.914	-260.292	-922.861	969.267	-406.070
