NO_OF_FRAMES	255
NO_OF_CAMERAS	13
NO_OF_MARKERS	64
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-05-27, 11:17:11.359	1380187.77891841
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LTOE	LMT1	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RTOE	RMT1	RMT5	RTHMB	RINDX	RPNKY	LTHMB	LINDX	LPNKY	LFRM	LFSH	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Mixed	Mixed	Mixed	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LTOE X	LTOE Y	LTOE Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RTOE X	RTOE Y	RTOE Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
5168	51.67000	01:42:46:12	-1182.050	1673.192	-122.993	-1063.325	1609.876	-66.112	-1182.684	1587.181	-7.627	-1110.965	1451.237	-290.806	-1050.886	1278.787	-375.184	-1037.844	1083.027	-378.631	-1018.577	923.307	-367.066	-1255.824	926.601	-208.698	-1194.680	1130.630	-183.576	-1173.549	1288.034	-141.747	-991.460	1321.679	-337.580	-986.829	1448.175	-161.175	-828.233	1267.624	-234.019	-847.508	1387.097	-295.761	-721.234	1318.511	-352.096	-704.947	1256.417	-282.824	-701.599	1036.446	-328.110	-785.237	1045.743	-282.376	-1259.219	1478.202	-306.345	-1138.442	1311.381	-406.487	-1448.834	1419.973	-307.704	-1424.652	1351.491	-406.241	-1272.267	1351.543	-209.905	-1567.467	1305.315	-395.544	-1570.878	1376.597	-421.164	-1575.194	1459.841	-367.120	-1664.947	1560.994	-273.083	-1578.069	1559.763	-224.636	-1141.437	911.036	-127.708	-1288.433	928.956	-410.561	-990.085	887.892	-235.518	-1105.185	926.929	-488.163	-1242.280	618.148	-74.903	-1029.403	761.144	-182.946	-1280.944	435.943	-54.745	-1322.120	392.865	-141.091	-1230.324	275.294	-79.324	-1007.303	67.414	-25.561	-939.909	41.531	-55.674	-1173.086	3.420	-97.321	-1150.743	18.920	-90.684	-1132.926	4.941	-17.656	-1351.257	558.845	-405.925	-1186.197	742.390	-482.274	-1334.928	386.575	-398.496	-1353.920	384.990	-313.261	-1277.619	284.201	-398.424	-1028.925	47.942	-416.688	-967.947	19.402	-359.604	-1207.703	1.483	-411.250	-1181.652	17.403	-401.267	-1140.090	4.384	-466.905	-1550.804	1655.503	-173.704	-1624.645	1715.590	-154.727	-1674.591	1688.086	-163.155	-794.419	931.694	-224.890	-786.801	877.153	-264.778	-772.063	897.286	-319.267	-744.996	1172.377	-267.225	-1076.495	1338.266	-120.501	-1246.799	1533.973	-179.120	-1121.463	1557.821	-233.313	-1669.835	1647.198	-234.858	-703.515	933.901	-288.273
5169	51.68000	01:42:46:12	-1179.489	1670.650	-116.296	-1057.615	1607.856	-65.954	-1173.599	1583.039	-2.289	-1111.688	1450.713	-290.172	-1053.601	1278.841	-377.072	-1040.427	1083.045	-381.267	-1020.118	923.293	-369.838	-1254.629	925.895	-207.498	-1193.113	1129.706	-182.719	-1170.929	1287.125	-140.744	-993.638	1321.427	-340.144	-984.302	1447.175	-163.841	-826.935	1267.298	-241.001	-848.261	1386.910	-302.053	-722.935	1319.054	-361.232	-704.643	1256.829	-292.655	-700.342	1037.176	-339.836	-783.252	1045.472	-291.794	-1259.990	1478.088	-302.199	-1141.651	1311.466	-405.698	-1449.780	1420.361	-302.586	-1426.203	1353.135	-402.348	-1271.334	1351.003	-206.229	-1568.947	1307.280	-391.350	-1572.010	1378.538	-416.335	-1575.999	1461.253	-361.644	-1665.468	1561.915	-266.409	-1578.379	1560.074	-218.374	-1138.863	910.895	-128.592	-1290.821	928.290	-408.723	-989.231	888.017	-238.099	-1108.971	926.679	-489.782	-1240.008	618.618	-74.536	-1027.958	760.984	-185.612	-1279.029	436.565	-53.607	-1321.216	393.438	-139.400	-1229.254	275.721	-78.269	-1006.684	66.904	-26.203	-939.641	40.650	-56.685	-1173.150	3.456	-97.301	-1150.721	18.960	-90.737	-1132.755	4.978	-17.762	-1352.742	557.912	-403.271	-1189.414	741.846	-482.158	-1335.982	385.639	-395.792	-1353.979	384.326	-310.340	-1278.323	283.543	-396.273	-1028.986	47.919	-416.615	-967.864	19.308	-359.641	-1207.745	1.495	-411.015	-1181.734	17.331	-400.909	-1140.227	4.501	-466.532	-1550.732	1655.300	-166.715	-1624.279	1715.204	-146.814	-1673.974	1688.278	-155.394	-790.221	931.040	-234.520	-782.947	875.963	-274.301	-769.947	897.769	-329.909	-743.709	1172.320	-276.782	-1070.103	1336.079	-121.482	-1246.268	1531.529	-170.948	-1122.286	1557.347	-230.460	-1669.123	1647.461	-227.440	-701.940	933.308	-308.306
5170	51.69000	01:42:46:12	-1176.575	1668.135	-109.946	-1052.133	1605.955	-65.852	-1164.577	1579.128	3.246	-1112.314	1450.178	-289.602	-1055.936	1278.807	-379.492	-1042.907	1083.051	-383.744	-1021.773	923.112	-372.639	-1253.433	925.200	-206.312	-1191.590	1128.812	-181.941	-1168.164	1286.085	-139.891	-995.340	1321.445	-343.315	-981.453	1446.135	-166.019	-825.935	1267.060	-247.836	-848.920	1386.604	-307.969	-724.859	1319.536	-370.224	-704.562	1257.194	-302.310	-699.388	1037.854	-350.974	-781.504	1045.101	-301.107	-1260.403	1477.959	-298.666	-1144.730	1311.516	-404.830	-1450.429	1420.833	-297.509	-1427.449	1354.618	-398.099	-1270.244	1350.372	-202.707	-1570.233	1309.047	-387.208	-1573.106	1380.446	-411.506	-1576.782	1462.768	-356.092	-1665.921	1562.881	-259.291	-1578.706	1560.287	-212.006	-1135.792	910.469	-129.951	-1293.179	927.717	-406.861	-988.484	887.889	-241.662	-1113.327	926.909	-491.543	-1237.754	619.095	-74.179	-1026.416	761.101	-187.959	-1276.856	437.194	-52.310	-1320.250	394.037	-137.695	-1228.143	276.116	-77.212	-1006.100	66.411	-26.851	-939.505	39.816	-57.771	-1173.217	3.462	-97.297	-1150.697	18.991	-90.771	-1132.575	5.021	-17.839	-1354.106	557.101	-400.599	-1192.567	741.337	-482.021	-1336.925	384.902	-392.993	-1354.098	383.674	-307.377	-1278.991	282.976	-394.200	-1029.134	47.962	-416.399	-967.788	19.276	-359.656	-1207.767	1.499	-410.826	-1181.826	17.222	-400.509	-1140.366	4.639	-466.165	-1550.700	1655.007	-159.664	-1623.911	1714.764	-138.902	-1673.666	1688.217	-147.471	-786.436	930.228	-244.327	-779.526	875.463	-284.617	-767.368	897.626	-340.117	-742.609	1172.218	-286.154	-1069.458	1335.654	-123.236	-1244.566	1528.992	-163.398	-1122.661	1556.820	-227.762	-1668.939	1647.564	-221.106	-699.304	933.945	-318.857
5171	51.70000	01:42:46:12	-1173.290	1665.656	-103.896	-1046.164	1604.064	-65.692	-1155.943	1575.287	7.601	-1112.975	1449.694	-289.001	-1058.392	1278.965	-381.385	-1045.389	1083.146	-386.094	-1024.730	923.146	-375.858	-1251.091	924.038	-204.879	-1190.175	1127.953	-181.194	-1165.430	1285.061	-139.101	-997.449	1320.963	-345.256	-979.259	1444.727	-169.195	-825.062	1266.841	-254.508	-849.873	1386.319	-313.980	-726.999	1320.008	-378.950	-704.633	1257.576	-311.595	-698.565	1038.495	-361.767	-779.819	1044.660	-309.754	-1260.765	1477.701	-294.644	-1147.799	1310.942	-403.144	-1450.888	1420.668	-292.312	-1428.633	1355.815	-393.787	-1269.071	1349.741	-199.293	-1571.387	1310.788	-383.078	-1574.032	1382.513	-406.706	-1577.414	1464.543	-350.737	-1666.411	1563.565	-252.462	-1578.995	1560.412	-205.556	-1133.145	910.290	-131.089	-1295.274	927.099	-404.946	-987.758	887.820	-245.266	-1117.102	926.806	-492.943	-1235.378	619.550	-73.818	-1024.823	761.023	-190.616	-1274.737	437.898	-51.154	-1319.103	394.592	-135.995	-1226.981	276.561	-76.155	-1005.542	65.923	-27.465	-939.424	38.908	-58.863	-1173.405	3.605	-97.221	-1150.690	19.029	-90.795	-1132.401	5.059	-17.901	-1355.530	556.381	-397.592	-1195.560	740.752	-481.823	-1337.851	384.228	-390.217	-1354.142	383.049	-304.454	-1279.603	282.429	-392.143	-1029.367	48.006	-416.182	-967.688	19.260	-359.753	-1207.807	1.523	-410.634	-1181.978	17.143	-400.106	-1140.525	4.740	-465.770	-1550.680	1654.750	-152.690	-1623.744	1714.232	-131.266	-1673.333	1687.869	-139.491	-783.068	929.469	-254.249	-776.025	874.877	-294.718	-765.075	897.638	-350.499	-741.601	1172.206	-295.423	-1066.390	1334.487	-124.673	-1241.834	1526.502	-156.596	-1122.922	1556.461	-225.150	-1669.227	1647.767	-213.522	-696.866	934.518	-329.692
5172	51.71000	01:42:46:13	-1169.785	1663.230	-98.220	-1040.890	1602.173	-65.525	-1147.602	1571.555	11.384	-1113.561	1449.195	-288.325	-1061.203	1279.315	-383.141	-1047.752	1083.227	-388.321	-1026.399	923.110	-378.823	-1249.560	923.211	-203.754	-1188.820	1127.115	-180.457	-1162.728	1284.079	-138.354	-999.439	1320.412	-347.670	-977.052	1443.750	-171.845	-824.299	1266.594	-261.049	-850.982	1385.988	-319.822	-729.099	1320.488	-387.404	-704.942	1257.982	-320.782	-698.047	1039.169	-372.255	-778.287	1044.233	-318.731	-1261.143	1477.343	-290.576	-1150.777	1311.027	-402.218	-1451.197	1421.302	-287.313	-1429.519	1356.914	-389.388	-1267.852	1349.113	-195.940	-1572.290	1312.448	-378.932	-1574.601	1384.317	-401.872	-1578.194	1465.474	-344.887	-1666.836	1564.019	-245.640	-1579.195	1560.622	-199.175	-1130.603	910.156	-132.283	-1297.391	926.493	-403.110	-986.615	887.877	-248.761	-1120.764	926.701	-494.127	-1232.931	620.050	-73.474	-1023.296	761.035	-193.247	-1272.643	438.617	-50.006	-1318.077	395.258	-134.224	-1225.700	276.964	-75.020	-1004.934	65.395	-28.028	-939.289	37.913	-59.847	-1173.503	3.671	-97.154	-1150.683	19.063	-90.760	-1132.276	5.104	-17.908	-1356.823	555.669	-394.784	-1198.408	740.135	-481.559	-1338.690	383.598	-387.431	-1354.040	382.485	-301.579	-1280.233	281.869	-390.027	-1029.612	48.032	-415.737	-967.288	19.302	-360.076	-1207.785	1.506	-410.447	-1182.066	16.979	-399.646	-1140.654	4.871	-465.331	-1550.678	1654.389	-145.724	-1623.398	1713.547	-123.368	-1673.038	1687.426	-131.383	-779.771	928.762	-263.963	-772.888	874.417	-304.850	-762.901	897.546	-360.602	-740.665	1172.040	-305.081	-1063.056	1333.166	-125.825	-1239.206	1524.200	-150.205	-1123.771	1556.633	-223.252	-1669.509	1647.964	-205.871	-694.636	934.996	-340.621
5173	51.72000	01:42:46:13	-1165.991	1660.898	-93.010	-1035.634	1600.289	-65.340	-1139.546	1568.003	14.680	-1114.155	1448.795	-287.696	-1064.328	1278.910	-383.547	-1050.206	1083.310	-390.489	-1027.668	923.418	-382.237	-1248.169	922.437	-202.728	-1187.471	1126.280	-179.688	-1159.853	1282.941	-137.881	-1001.253	1320.081	-350.033	-974.984	1442.756	-174.505	-823.721	1266.441	-267.451	-852.112	1385.532	-325.302	-731.425	1320.965	-395.553	-705.439	1258.393	-329.553	-697.650	1039.808	-382.551	-777.133	1043.892	-327.742	-1262.087	1476.430	-286.292	-1153.587	1311.163	-401.357	-1450.833	1421.671	-282.983	-1430.127	1358.052	-384.939	-1266.562	1348.447	-192.638	-1572.802	1313.801	-374.936	-1575.222	1386.195	-397.021	-1578.673	1466.907	-339.532	-1667.200	1564.404	-238.812	-1579.305	1561.167	-192.787	-1128.082	910.006	-133.482	-1299.495	925.896	-401.244	-986.009	887.898	-252.213	-1124.617	926.782	-495.160	-1230.409	620.546	-73.057	-1021.806	761.035	-195.918	-1270.476	439.319	-48.811	-1316.881	395.876	-132.437	-1224.522	277.383	-73.840	-1004.362	64.834	-28.503	-939.168	36.913	-60.692	-1173.646	3.756	-97.049	-1150.693	19.095	-90.644	-1132.157	5.130	-17.824	-1358.098	554.889	-391.994	-1201.182	739.455	-481.335	-1339.427	382.938	-384.700	-1353.804	381.936	-298.682	-1280.704	281.196	-387.837	-1029.779	47.903	-415.380	-967.049	19.003	-360.151	-1207.752	1.479	-410.279	-1182.146	16.820	-399.184	-1140.828	5.064	-464.826	-1550.650	1654.243	-138.872	-1623.489	1712.387	-116.808	-1672.673	1686.715	-123.162	-776.301	928.091	-272.955	-769.843	874.097	-314.848	-760.810	897.565	-370.460	-739.750	1172.010	-313.327	-1060.025	1332.037	-127.215	-1236.289	1521.990	-144.208	-1123.382	1556.163	-220.919	-1669.795	1647.925	-198.093	-692.662	935.559	-351.768
5174	51.73000	01:42:46:13	-1162.028	1658.629	-88.243	-1030.608	1598.315	-65.241	-1131.790	1564.652	17.560	-1114.607	1448.312	-286.949	-1066.935	1278.756	-384.613	-1052.688	1083.333	-392.499	-1029.215	923.444	-384.894	-1246.856	921.706	-201.797	-1186.165	1125.534	-178.973	-1157.416	1281.917	-137.609	-1003.317	1319.864	-352.377	-972.945	1441.700	-177.216	-823.444	1266.315	-273.828	-853.413	1385.181	-330.713	-733.733	1321.532	-403.443	-706.089	1258.850	-338.256	-698.079	1040.345	-392.840	-776.099	1043.601	-336.584	-1261.156	1477.026	-283.434	-1156.168	1311.266	-400.431	-1451.158	1422.355	-277.339	-1430.712	1359.309	-380.487	-1265.259	1347.923	-189.713	-1573.340	1315.270	-370.720	-1575.606	1387.889	-392.100	-1578.915	1468.174	-334.437	-1667.495	1564.727	-232.034	-1579.303	1561.439	-186.518	-1125.654	909.800	-134.742	-1301.438	925.309	-399.473	-985.462	887.889	-255.647	-1127.914	926.507	-496.261	-1227.861	621.060	-72.611	-1020.386	761.002	-198.556	-1268.122	439.968	-47.466	-1315.650	396.509	-130.518	-1223.228	277.843	-72.552	-1003.849	64.149	-29.137	-939.236	35.812	-61.664	-1173.798	3.863	-96.975	-1150.717	19.126	-90.520	-1132.070	5.159	-17.693	-1359.188	554.135	-389.332	-1204.039	738.885	-481.168	-1339.886	382.117	-382.023	-1353.898	381.396	-296.167	-1281.040	280.406	-385.577	-1029.915	47.638	-414.937	-966.737	18.594	-360.062	-1207.635	1.411	-410.119	-1182.183	16.646	-398.633	-1140.965	5.263	-464.207	-1550.601	1653.986	-132.049	-1623.328	1711.506	-108.804	-1672.595	1685.500	-114.704	-773.207	927.430	-282.237	-766.956	873.859	-324.585	-759.042	897.573	-380.218	-739.406	1172.111	-321.927	-1057.057	1330.858	-128.776	-1233.194	1519.862	-138.819	-1123.350	1555.391	-218.263	-1671.149	1648.243	-189.902	-690.795	936.377	-361.850
5175	51.74000	01:42:46:13	-1157.796	1656.423	-83.847	-1025.642	1596.463	-65.137	-1124.352	1561.465	20.066	-1114.908	1447.848	-286.220	-1069.503	1278.753	-385.686	-1055.185	1083.379	-394.365	-1031.069	923.421	-387.396	-1245.720	921.061	-200.757	-1184.784	1124.660	-178.347	-1154.507	1280.964	-136.192	-1005.043	1319.550	-354.643	-971.004	1440.677	-179.798	-823.170	1266.201	-280.054	-854.622	1384.908	-335.886	-736.165	1322.051	-411.071	-706.843	1259.352	-346.619	-698.033	1041.087	-402.704	-775.167	1043.547	-345.293	-1261.340	1477.592	-279.483	-1158.756	1311.296	-399.465	-1451.078	1422.629	-272.249	-1431.165	1360.496	-375.980	-1263.793	1347.261	-186.637	-1573.816	1316.660	-366.383	-1576.004	1389.447	-387.109	-1579.550	1469.443	-328.274	-1667.628	1564.998	-225.350	-1579.059	1561.685	-180.271	-1123.435	909.738	-135.938	-1303.490	924.787	-397.729	-985.050	887.892	-258.942	-1131.390	926.388	-497.282	-1225.044	621.471	-71.936	-1019.087	760.973	-201.193	-1265.716	440.618	-46.108	-1314.299	397.162	-128.474	-1221.848	278.212	-71.215	-1003.360	63.457	-29.529	-939.083	34.746	-62.303	-1173.936	3.960	-96.846	-1150.709	19.183	-90.332	-1131.965	5.197	-17.555	-1360.089	553.270	-386.785	-1206.891	738.387	-480.917	-1340.223	381.234	-379.422	-1353.335	380.779	-293.489	-1281.336	279.534	-383.276	-1029.875	47.281	-414.537	-966.424	18.202	-359.902	-1207.498	1.323	-409.991	-1182.209	16.491	-398.094	-1140.973	5.428	-463.784	-1550.485	1653.802	-125.250	-1623.283	1710.556	-100.600	-1672.272	1684.221	-106.223	-770.200	926.974	-291.496	-764.521	873.733	-334.546	-757.757	897.789	-389.873	-739.227	1172.305	-330.194	-1054.216	1329.671	-130.209	-1229.951	1517.982	-133.998	-1122.429	1554.627	-215.832	-1671.425	1648.161	-182.047	-689.389	936.972	-372.514
5176	51.75000	01:42:46:14	-1153.539	1654.322	-79.826	-1020.889	1594.541	-65.018	-1117.223	1558.486	22.291	-1115.166	1447.393	-285.575	-1071.892	1278.692	-386.691	-1057.646	1083.430	-396.138	-1032.846	923.357	-389.850	-1244.544	920.371	-199.970	-1183.430	1123.873	-177.870	-1152.260	1279.838	-136.276	-1006.870	1319.358	-356.800	-969.124	1439.545	-182.342	-822.947	1266.023	-286.044	-855.825	1384.652	-340.923	-738.566	1322.615	-418.514	-707.664	1259.871	-354.721	-698.164	1041.916	-412.196	-774.413	1043.414	-353.706	-1260.747	1477.323	-276.126	-1161.171	1311.316	-398.380	-1450.844	1422.893	-267.323	-1431.707	1361.546	-371.510	-1262.275	1346.601	-183.687	-1574.248	1317.949	-362.234	-1576.413	1390.942	-382.076	-1579.637	1470.390	-322.861	-1667.676	1565.212	-218.734	-1578.687	1561.937	-174.240	-1121.246	909.572	-137.222	-1305.293	924.148	-396.074	-984.740	887.806	-262.266	-1134.808	926.249	-498.305	-1222.453	621.951	-71.369	-1017.840	760.913	-203.780	-1263.110	441.265	-44.674	-1312.897	397.754	-126.335	-1220.262	278.613	-69.816	-1002.797	62.707	-29.895	-938.943	33.504	-62.990	-1174.102	4.057	-96.726	-1150.735	19.248	-90.099	-1131.848	5.227	-17.372	-1361.009	552.440	-384.321	-1209.539	737.808	-480.592	-1340.655	380.423	-376.868	-1352.800	380.200	-290.852	-1281.737	278.772	-381.016	-1029.829	46.980	-413.708	-966.179	17.969	-359.789	-1207.353	1.211	-409.894	-1182.282	16.338	-397.560	-1141.074	5.584	-463.245	-1550.321	1653.425	-118.436	-1623.195	1709.653	-92.380	-1672.048	1682.723	-97.746	-767.348	926.596	-300.527	-761.367	873.396	-342.506	-756.376	897.787	-398.984	-739.050	1172.351	-338.227	-1051.491	1328.645	-131.392	-1226.548	1516.259	-129.449	-1121.266	1553.860	-213.536	-1671.582	1647.785	-174.290	-688.161	937.716	-382.744
5177	51.76000	01:42:46:14	-1149.295	1652.396	-76.309	-1016.068	1592.582	-64.818	-1110.389	1555.626	24.288	-1115.141	1447.248	-284.753	-1074.158	1278.754	-387.634	-1060.020	1083.456	-397.889	-1034.659	923.363	-392.225	-1243.388	919.714	-199.304	-1181.493	1123.173	-177.762	-1149.861	1278.822	-135.870	-1008.523	1319.085	-358.716	-967.328	1438.445	-184.837	-822.769	1265.865	-291.893	-857.141	1384.263	-345.804	-741.056	1323.094	-425.684	-708.534	1260.386	-362.707	-698.343	1042.730	-421.303	-773.697	1043.485	-361.792	-1261.413	1476.213	-271.285	-1163.559	1311.490	-397.454	-1450.630	1423.153	-262.290	-1432.303	1362.616	-367.180	-1260.730	1345.951	-180.822	-1574.569	1319.077	-357.588	-1576.727	1392.211	-376.959	-1579.790	1471.323	-317.438	-1667.606	1565.321	-212.161	-1578.245	1562.210	-168.045	-1119.000	909.499	-138.299	-1306.572	923.380	-394.292	-984.560	887.787	-265.532	-1138.047	926.058	-499.266	-1219.792	622.390	-70.784	-1016.717	760.866	-206.325	-1260.073	441.833	-43.247	-1311.470	398.404	-124.114	-1218.735	278.949	-68.416	-1002.197	62.000	-30.281	-938.844	32.383	-63.712	-1174.286	4.136	-96.551	-1150.748	19.348	-89.962	-1131.741	5.243	-17.232	-1362.098	551.745	-381.890	-1212.023	737.225	-480.216	-1341.318	379.723	-374.396	-1352.391	379.753	-288.328	-1282.192	278.188	-378.948	-1029.927	46.870	-413.381	-966.047	17.857	-359.789	-1207.301	1.183	-409.803	-1182.365	16.209	-397.130	-1141.225	5.693	-462.760	-1549.897	1653.309	-111.776	-1622.741	1709.152	-83.173	-1671.603	1681.657	-89.472	-765.097	926.325	-309.624	-759.263	873.378	-351.587	-755.851	898.143	-408.402	-739.040	1172.573	-346.191	-1051.750	1328.759	-132.424	-1223.049	1514.528	-125.221	-1119.741	1553.005	-211.294	-1671.284	1647.751	-170.559	-687.172	938.415	-392.878
