NO_OF_FRAMES	301
NO_OF_CAMERAS	13
NO_OF_MARKERS	62
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2017-12-04, 15:49:24.603	22842.40590943
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LMT1	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RMT1	RMT5	RTHMB	RINDX	RPNKY	LTHMB	LINDX	LPNKY	LFRM	LFSH	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
520	5.19000	02:05:55:19	-431.525	1701.940	229.758	-495.827	1648.301	122.179	-354.287	1642.674	133.721	-451.975	1397.069	298.376	-462.905	1223.218	316.504	-456.001	1106.898	292.158	-453.961	1026.687	293.390	-461.187	945.140	61.613	-448.080	1144.179	51.968	-448.303	1274.926	80.940	-543.817	1291.144	321.028	-644.150	1389.389	189.512	-654.646	1208.136	168.420	-644.887	1225.059	280.890	-600.339	1045.836	249.427	-694.195	1044.345	227.527	-698.102	822.522	224.213	-638.921	839.241	157.589	-288.901	1392.865	218.970	-375.459	1282.196	326.078	-239.940	1264.575	195.715	-278.852	1242.357	311.921	-373.224	1329.386	123.552	-305.274	1047.320	277.763	-226.207	1056.384	273.532	-215.894	1025.520	198.398	-189.047	819.370	245.588	-228.192	815.035	165.698	-597.141	968.680	128.422	-337.903	972.861	92.649	-586.227	989.333	273.155	-333.570	1036.459	251.015	-610.405	812.057	128.387	-610.269	840.805	284.336	-582.348	452.906	206.187	-474.987	454.222	217.203	-571.050	313.131	217.066	-584.119	81.139	256.285	-542.395	74.575	309.126	-518.176	25.597	136.467	-578.058	12.895	146.420	-303.866	743.198	114.944	-279.551	865.692	272.949	-321.268	457.920	190.207	-421.045	461.635	206.131	-348.519	319.193	206.252	-329.479	74.386	257.331	-369.373	74.900	313.725	-397.050	26.122	133.143	-335.232	11.295	149.382	-237.154	710.757	137.853	-213.859	666.459	167.075	-217.197	671.610	235.051	-621.271	712.418	141.295	-663.453	673.214	156.571	-687.362	684.859	214.862	-697.074	996.193	164.447	-527.911	1333.782	110.795	-368.059	1569.801	259.724	-502.291	1573.391	254.901	-200.435	721.409	247.449	-703.877	742.002	216.918
521	5.20000	02:05:55:19	-431.480	1701.927	229.851	-495.739	1648.358	122.215	-354.202	1642.682	133.829	-452.205	1397.079	298.405	-463.016	1223.232	316.527	-456.080	1106.965	292.195	-454.002	1026.710	293.463	-461.238	945.138	61.646	-447.913	1144.200	51.924	-448.151	1275.004	80.980	-544.019	1291.165	320.898	-644.181	1389.456	189.214	-654.548	1208.158	168.165	-645.030	1225.119	280.590	-600.459	1045.869	249.269	-694.288	1044.406	227.236	-698.319	822.625	223.928	-638.932	839.314	157.476	-288.869	1392.930	219.190	-375.665	1282.172	326.211	-239.959	1264.775	196.294	-279.165	1242.538	312.413	-373.110	1329.481	123.693	-305.369	1047.469	277.994	-226.277	1056.562	273.989	-215.814	1025.783	198.892	-188.943	819.641	245.998	-227.877	815.377	166.002	-597.281	968.697	128.473	-337.837	972.877	92.861	-586.237	989.353	273.245	-333.281	1036.223	251.725	-610.469	812.067	128.481	-610.280	840.810	284.405	-582.346	452.918	206.243	-475.064	454.256	217.205	-571.070	313.140	217.095	-584.124	81.136	256.300	-542.408	74.597	309.124	-518.178	25.590	136.468	-578.046	12.887	146.443	-303.917	743.208	114.990	-279.596	865.676	272.993	-321.254	457.926	190.230	-421.083	461.631	206.164	-348.645	319.270	206.195	-329.494	74.359	257.326	-369.386	74.902	313.716	-397.042	26.138	133.128	-335.234	11.303	149.406	-236.616	711.090	138.066	-213.483	666.836	167.197	-216.880	671.849	235.244	-621.255	712.397	141.308	-663.534	673.277	156.412	-687.623	684.923	214.595	-697.100	996.235	164.123	-527.817	1333.845	110.709	-368.064	1569.777	259.788	-502.290	1573.381	254.875	-200.232	721.695	247.733	-704.101	742.053	216.649
522	5.21000	02:05:55:19	-431.459	1701.931	229.930	-495.658	1648.396	122.229	-354.112	1642.709	133.928	-452.439	1397.102	298.433	-463.163	1223.249	316.554	-456.189	1107.048	292.250	-454.048	1026.733	293.513	-461.308	945.161	61.696	-447.807	1144.260	51.894	-447.976	1275.039	81.011	-544.212	1291.199	320.783	-644.152	1389.496	188.911	-654.503	1208.197	167.895	-645.136	1225.185	280.331	-600.643	1045.913	249.136	-694.420	1044.476	226.920	-698.519	822.712	223.642	-638.907	839.370	157.368	-289.021	1393.134	219.607	-375.842	1282.168	326.319	-239.979	1264.991	196.838	-279.540	1242.723	312.862	-373.006	1329.604	123.833	-305.482	1047.629	278.281	-226.350	1056.749	274.443	-215.708	1026.067	199.351	-188.804	819.981	246.389	-227.676	815.604	166.321	-597.323	968.734	128.531	-337.900	972.891	92.901	-586.315	989.423	273.292	-333.660	1036.492	251.026	-610.535	812.046	128.577	-610.335	840.838	284.511	-582.428	452.923	206.273	-475.074	454.270	217.254	-571.129	313.159	217.116	-584.126	81.142	256.296	-542.371	74.579	309.126	-518.199	25.600	136.455	-578.050	12.904	146.440	-304.007	743.200	115.022	-279.601	865.685	273.045	-321.292	457.926	190.264	-421.123	461.616	206.167	-348.671	319.293	206.221	-329.487	74.400	257.352	-369.398	74.909	313.703	-397.064	26.145	133.150	-335.246	11.302	149.391	-236.191	711.411	138.215	-213.125	667.078	167.323	-216.598	672.107	235.458	-621.240	712.419	141.339	-663.637	673.321	156.287	-687.928	684.974	214.375	-697.088	996.269	163.814	-527.698	1333.904	110.590	-368.074	1569.769	259.844	-502.306	1573.378	254.865	-200.056	721.924	247.983	-704.324	742.126	216.380
523	5.22000	02:05:55:19	-431.433	1701.935	230.000	-495.593	1648.424	122.241	-354.047	1642.714	134.033	-452.674	1397.146	298.440	-463.308	1223.283	316.587	-456.266	1107.110	292.295	-454.059	1026.751	293.571	-461.341	945.134	61.719	-447.697	1144.298	51.853	-447.798	1275.100	81.052	-544.470	1291.263	320.638	-644.133	1389.548	188.591	-654.428	1208.234	167.568	-645.217	1225.238	280.070	-600.814	1045.996	248.979	-694.540	1044.555	226.625	-698.730	822.805	223.343	-638.996	839.402	157.243	-289.155	1393.281	219.985	-376.037	1282.191	326.435	-239.975	1265.204	197.407	-279.801	1242.912	313.307	-372.882	1329.729	123.979	-305.545	1047.783	278.570	-226.466	1057.041	274.955	-215.601	1026.364	199.874	-188.756	820.214	246.785	-227.464	815.819	166.604	-597.291	968.750	128.630	-337.950	972.889	92.958	-586.358	989.430	273.366	-333.302	1036.217	251.931	-610.587	812.076	128.688	-610.340	840.849	284.618	-582.464	452.933	206.297	-475.096	454.277	217.314	-571.117	313.155	217.155	-584.139	81.144	256.310	-542.392	74.582	309.126	-518.171	25.590	136.466	-578.063	12.889	146.438	-304.066	743.195	115.055	-279.658	865.707	273.084	-321.353	457.950	190.264	-421.143	461.628	206.170	-348.719	319.264	206.226	-329.491	74.401	257.331	-369.289	74.915	313.668	-397.063	26.128	133.133	-335.246	11.312	149.379	-235.745	711.713	138.349	-212.717	667.380	167.441	-216.376	672.344	235.595	-621.251	712.454	141.344	-663.696	673.365	156.174	-688.191	685.078	214.206	-697.097	996.324	163.521	-527.583	1333.969	110.461	-368.099	1569.751	259.891	-502.306	1573.401	254.863	-199.900	722.136	248.269	-704.549	742.232	216.103
524	5.23000	02:05:55:20	-431.403	1701.941	230.031	-495.511	1648.439	122.255	-353.959	1642.712	134.089	-452.892	1397.174	298.460	-463.459	1223.304	316.579	-456.375	1107.160	292.356	-454.105	1026.763	293.624	-461.377	945.159	61.733	-447.527	1144.348	51.831	-447.666	1275.149	81.089	-544.733	1291.342	320.493	-644.093	1389.615	188.267	-654.447	1208.296	167.272	-645.340	1225.302	279.784	-600.963	1046.025	248.847	-694.666	1044.635	226.335	-698.879	822.863	223.124	-639.031	839.415	157.144	-289.272	1393.483	220.381	-376.225	1282.183	326.548	-239.938	1265.442	198.060	-280.065	1243.185	313.790	-372.741	1329.835	124.113	-305.593	1047.927	278.916	-226.572	1057.354	275.497	-215.285	1026.671	200.471	-188.713	820.502	247.272	-227.170	816.081	166.890	-597.278	968.761	128.713	-338.045	972.911	92.989	-586.358	989.462	273.400	-333.316	1036.202	252.076	-610.657	812.064	128.774	-610.367	840.866	284.690	-582.477	452.934	206.362	-475.116	454.273	217.336	-571.149	313.146	217.190	-584.127	81.134	256.297	-542.380	74.583	309.144	-518.196	25.599	136.463	-578.072	12.888	146.436	-304.121	743.206	115.096	-279.691	865.689	273.095	-321.376	457.952	190.283	-421.164	461.630	206.208	-348.734	319.295	206.223	-329.493	74.386	257.333	-369.387	74.902	313.723	-397.050	26.129	133.134	-335.255	11.316	149.397	-235.295	711.990	138.537	-212.388	667.655	167.571	-216.169	672.503	235.799	-621.239	712.472	141.384	-663.772	673.408	156.078	-688.464	685.157	214.051	-697.100	996.351	163.231	-527.436	1334.031	110.338	-368.101	1569.752	259.980	-502.348	1573.421	254.843	-199.757	722.448	248.540	-704.652	742.252	215.623
525	5.24000	02:05:55:20	-431.398	1701.952	230.068	-495.431	1648.461	122.240	-353.910	1642.723	134.206	-453.132	1397.224	298.481	-463.655	1223.382	316.610	-456.506	1107.268	292.426	-454.169	1026.777	293.672	-461.444	945.145	61.779	-447.464	1144.417	51.790	-447.536	1275.175	81.120	-545.003	1291.422	320.351	-644.072	1389.639	187.959	-654.445	1208.378	166.984	-645.535	1225.407	279.437	-601.134	1046.067	248.752	-694.829	1044.728	226.017	-699.085	823.002	222.862	-639.152	839.456	156.973	-289.383	1393.644	220.844	-376.441	1282.211	326.689	-239.963	1265.655	198.623	-280.295	1243.367	314.281	-372.651	1329.948	124.252	-305.680	1048.085	279.261	-226.674	1057.523	275.987	-215.383	1026.910	200.952	-188.667	820.757	247.720	-227.568	815.812	167.530	-597.304	968.735	128.837	-338.061	972.888	93.037	-586.366	989.635	273.430	-333.325	1036.202	252.190	-610.716	812.089	128.885	-610.402	840.898	284.764	-582.516	452.930	206.392	-475.153	454.286	217.327	-571.164	313.157	217.217	-584.138	81.137	256.339	-542.409	74.580	309.149	-518.203	25.603	136.459	-578.061	12.894	146.443	-304.217	743.245	115.090	-279.701	865.685	273.154	-321.432	457.955	190.294	-421.240	461.606	206.207	-348.648	319.211	206.295	-329.521	74.383	257.332	-369.416	74.890	313.716	-397.057	26.129	133.133	-335.238	11.321	149.390	-234.854	712.404	138.758	-211.959	668.024	167.810	-216.120	672.723	235.976	-621.315	712.557	141.386	-663.833	673.482	155.996	-688.717	685.253	213.864	-697.128	996.433	162.908	-527.285	1334.086	110.193	-368.107	1569.768	260.062	-502.348	1573.424	254.837	-199.607	722.688	248.874	-704.863	742.347	215.366
526	5.25000	02:05:55:20	-431.400	1701.963	230.099	-495.373	1648.468	122.234	-353.845	1642.743	134.279	-453.367	1397.265	298.500	-463.802	1223.423	316.640	-456.568	1107.302	292.506	-454.241	1026.812	293.705	-461.520	945.127	61.793	-447.334	1144.453	51.768	-447.362	1275.242	81.152	-545.220	1291.502	320.215	-644.019	1389.711	187.643	-654.476	1208.469	166.645	-645.717	1225.502	279.141	-601.321	1046.175	248.654	-695.005	1044.837	225.678	-699.273	823.057	222.575	-639.148	839.516	156.896	-289.514	1393.787	221.351	-376.722	1282.238	326.831	-240.021	1265.938	199.272	-280.630	1243.644	314.828	-372.539	1330.024	124.380	-305.737	1048.269	279.585	-226.767	1057.754	276.540	-215.042	1027.201	201.611	-188.534	820.969	248.131	-227.206	816.219	167.896	-597.329	968.753	128.895	-338.119	972.908	93.098	-586.379	989.640	273.479	-333.374	1036.201	252.259	-610.799	812.108	128.958	-610.448	840.883	284.850	-582.560	452.921	206.454	-475.169	454.285	217.380	-571.216	313.163	217.241	-584.137	81.124	256.341	-542.440	74.603	309.151	-518.201	25.609	136.461	-578.085	12.891	146.442	-304.264	743.270	115.110	-279.566	865.746	273.229	-321.463	457.954	190.287	-421.271	461.630	206.248	-348.780	319.269	206.254	-329.520	74.431	257.331	-369.286	74.912	313.662	-397.056	26.130	133.131	-335.274	11.316	149.378	-234.350	712.783	139.079	-211.587	668.455	168.075	-216.027	673.005	236.221	-621.292	712.589	141.408	-663.844	673.512	155.926	-688.981	685.324	213.661	-697.103	996.462	162.641	-527.130	1334.115	110.079	-368.115	1569.801	260.127	-502.336	1573.452	254.828	-199.508	722.935	249.189	-705.096	742.434	215.096
527	5.26000	02:05:55:20	-431.406	1701.978	230.115	-495.314	1648.450	122.218	-353.771	1642.747	134.342	-453.608	1397.315	298.542	-463.950	1223.466	316.612	-456.655	1107.333	292.517	-454.291	1026.850	293.766	-461.574	945.133	61.816	-447.273	1144.478	51.693	-447.180	1275.264	81.192	-545.501	1291.608	320.096	-643.978	1389.770	187.292	-654.423	1208.517	166.306	-645.913	1225.593	278.815	-601.481	1046.241	248.520	-695.173	1044.917	225.339	-699.477	823.159	222.301	-639.146	839.580	156.794	-289.684	1393.983	221.840	-376.976	1282.253	326.994	-240.103	1266.232	200.014	-280.955	1243.816	315.417	-372.396	1330.119	124.538	-305.887	1048.461	279.969	-226.939	1057.878	276.798	-214.938	1027.541	202.115	-188.426	821.248	248.569	-226.128	817.217	167.996	-597.369	968.764	128.987	-338.175	972.888	93.109	-586.415	989.687	273.528	-333.403	1036.200	252.355	-610.845	812.101	129.048	-610.471	840.874	284.939	-582.586	452.921	206.531	-475.231	454.306	217.382	-571.211	313.152	217.276	-584.144	81.119	256.331	-542.427	74.569	309.159	-518.209	25.626	136.467	-578.073	12.887	146.434	-304.329	743.269	115.139	-279.628	865.737	273.283	-321.500	457.938	190.320	-421.303	461.628	206.283	-348.827	319.293	206.256	-329.516	74.384	257.349	-369.411	74.885	313.726	-397.051	26.114	133.130	-335.259	11.306	149.381	-234.054	713.149	139.321	-211.314	668.796	168.383	-216.030	673.336	236.519	-621.221	712.640	141.464	-663.838	673.570	155.851	-689.255	685.422	213.472	-697.110	996.536	162.324	-526.973	1334.157	109.964	-368.122	1569.816	260.195	-502.335	1573.438	254.829	-199.405	723.209	249.560	-705.357	742.529	214.781
528	5.27000	02:05:55:21	-431.406	1701.978	230.136	-495.224	1648.443	122.190	-353.690	1642.788	134.439	-453.938	1397.378	298.537	-464.090	1223.456	316.626	-456.738	1107.388	292.531	-454.340	1026.841	293.798	-461.657	945.110	61.812	-447.103	1144.526	51.662	-447.028	1275.313	81.229	-545.723	1291.666	319.951	-643.959	1389.846	186.943	-654.352	1208.569	166.040	-646.117	1225.669	278.483	-601.645	1046.309	248.420	-695.348	1045.017	225.013	-699.700	823.223	222.016	-639.126	839.603	156.712	-289.953	1394.394	222.595	-377.244	1282.247	327.172	-240.190	1266.591	200.769	-281.314	1243.935	315.996	-372.297	1330.231	124.693	-306.004	1048.647	280.269	-226.959	1058.283	277.588	-215.080	1027.882	202.533	-188.241	821.521	248.982	-225.797	817.588	168.349	-597.110	968.446	129.407	-338.318	972.867	93.068	-586.493	989.689	273.612	-333.480	1036.214	252.365	-610.921	812.146	129.120	-610.539	840.906	284.987	-582.627	452.938	206.565	-475.262	454.298	217.415	-571.240	313.161	217.312	-584.139	81.113	256.357	-542.421	74.566	309.166	-518.224	25.620	136.469	-578.076	12.877	146.456	-304.397	743.245	115.164	-279.632	865.773	273.295	-321.540	457.971	190.314	-421.343	461.599	206.274	-348.824	319.284	206.292	-329.510	74.416	257.333	-369.413	74.876	313.715	-397.076	26.118	133.128	-335.261	11.312	149.392	-233.679	713.459	139.640	-211.006	669.040	168.730	-215.842	673.705	236.843	-621.195	712.707	141.508	-663.858	673.637	155.767	-689.480	685.516	213.280	-697.130	996.682	161.858	-526.824	1334.182	109.851	-368.143	1569.837	260.245	-502.337	1573.432	254.781	-199.300	723.553	249.953	-705.600	742.618	214.491
529	5.28000	02:05:55:21	-431.419	1701.991	230.134	-495.147	1648.444	122.159	-353.616	1642.781	134.515	-454.138	1397.388	298.605	-464.096	1223.311	316.580	-456.796	1107.375	291.654	-454.389	1026.876	293.841	-461.724	945.092	61.808	-446.985	1144.573	51.627	-446.866	1275.373	81.280	-545.926	1291.708	319.827	-643.907	1389.885	186.608	-654.277	1208.627	165.720	-646.261	1225.758	278.237	-601.868	1046.467	248.329	-695.492	1045.123	224.688	-699.944	823.372	221.682	-639.216	839.676	156.571	-290.084	1394.621	223.216	-377.577	1282.247	327.364	-240.212	1266.875	201.451	-281.668	1244.047	316.667	-372.125	1330.315	124.872	-306.172	1048.852	280.596	-227.081	1058.510	278.160	-215.065	1028.246	203.106	-188.129	821.776	249.479	-226.282	817.236	168.950	-597.153	968.457	129.486	-338.408	972.867	93.091	-586.531	989.695	273.660	-333.525	1036.217	252.398	-610.997	812.144	129.204	-610.608	840.921	285.051	-582.664	452.928	206.609	-475.285	454.304	217.448	-571.302	313.173	217.348	-584.125	81.110	256.367	-542.386	74.539	309.178	-518.220	25.615	136.466	-578.076	12.883	146.423	-304.492	743.314	115.150	-279.665	865.775	273.317	-321.593	457.965	190.327	-421.348	461.599	206.332	-348.885	319.296	206.266	-329.538	74.408	257.312	-369.394	74.882	313.723	-397.068	26.130	133.137	-335.274	11.318	149.386	-233.200	713.901	139.911	-210.628	669.421	169.103	-215.402	674.001	237.229	-621.174	712.755	141.516	-663.907	673.708	155.667	-689.717	685.619	213.088	-697.069	996.653	161.648	-526.681	1334.226	109.746	-368.125	1569.838	260.326	-502.394	1573.444	254.752	-199.196	723.839	250.311	-705.816	742.712	214.223
