NO_OF_FRAMES	81
NO_OF_CAMERAS	13
NO_OF_MARKERS	62
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2017-12-04, 15:54:15.318	23133.11994101
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LMT1	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RMT1	RMT5	RTHMB	RINDX	RPNKY	LTHMB	LINDX	LPNKY	LFRM	LFSH	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
600	5.99000	02:10:47:07	-255.983	1703.943	-31.353	-333.876	1649.170	-128.951	-192.366	1634.926	-129.914	-281.541	1403.358	49.004	-297.267	1231.080	73.666	-293.839	1109.808	54.933	-292.923	1025.488	57.029	-294.569	944.169	-177.923	-291.087	1144.415	-186.298	-294.099	1273.559	-164.484	-377.351	1298.159	80.912	-479.482	1394.842	-46.467	-498.174	1214.141	-66.442	-482.229	1232.341	45.996	-446.631	1050.094	10.965	-540.760	1050.405	-6.421	-543.272	826.060	-25.562	-486.211	848.838	-93.037	-127.434	1396.823	-46.155	-203.573	1292.785	77.380	-84.101	1266.989	-74.151	-103.043	1250.227	45.501	-217.551	1329.943	-129.397	-118.387	1051.688	27.134	-42.829	1063.692	1.836	-55.899	1031.852	-73.751	-17.910	824.266	-44.917	-79.938	823.948	-109.844	-431.505	967.359	-111.421	-171.553	971.499	-141.568	-424.333	988.759	33.586	-168.467	1034.311	25.143	-445.262	812.678	-114.953	-445.895	839.551	39.763	-421.137	452.402	-49.254	-313.662	452.744	-37.771	-411.185	312.919	-40.924	-427.100	80.150	-5.633	-385.713	72.144	48.613	-358.706	26.020	-123.664	-419.333	13.171	-116.597	-135.164	740.097	-118.235	-121.898	861.669	38.881	-157.149	456.080	-48.070	-256.027	458.672	-28.052	-182.915	317.765	-34.637	-163.279	73.301	11.157	-204.548	73.615	67.959	-229.940	23.806	-114.026	-167.242	11.221	-97.875	-98.348	721.791	-135.874	-77.259	672.732	-108.823	-65.192	680.520	-45.639	-468.457	723.621	-115.758	-505.286	681.784	-99.514	-523.063	690.349	-42.395	-545.839	1003.542	-71.323	-372.254	1332.927	-130.104	-197.808	1569.898	0.239	-331.428	1581.783	7.787	-33.150	726.332	-40.797	-548.854	745.568	-38.093
601	6.00000	02:10:47:07	-255.983	1703.908	-31.210	-333.814	1649.174	-128.883	-192.331	1634.901	-129.753	-281.626	1403.314	49.074	-297.366	1231.043	73.662	-293.925	1109.765	54.925	-293.002	1025.487	56.985	-294.634	944.177	-177.928	-291.139	1144.402	-186.275	-294.117	1273.560	-164.406	-377.407	1298.117	80.931	-479.548	1394.797	-46.471	-498.087	1214.045	-66.493	-482.232	1232.242	45.980	-446.417	1049.987	10.958	-540.567	1050.263	-6.542	-542.845	825.910	-25.700	-485.672	848.722	-93.085	-127.463	1396.797	-46.040	-203.637	1292.766	77.463	-84.162	1266.939	-74.092	-103.090	1250.143	45.572	-217.574	1329.926	-129.294	-118.494	1051.656	27.179	-42.943	1063.571	1.746	-56.163	1031.775	-73.833	-18.218	824.138	-45.121	-80.447	823.900	-109.849	-431.569	967.365	-111.452	-171.600	971.528	-141.576	-424.449	988.747	33.563	-168.565	1034.341	25.135	-445.336	812.692	-115.004	-445.977	839.551	39.710	-421.170	452.395	-49.272	-313.681	452.693	-37.763	-411.194	312.898	-40.928	-427.121	80.149	-5.627	-385.759	72.136	48.612	-358.696	26.019	-123.665	-419.365	13.179	-116.600	-135.197	740.098	-118.244	-122.002	861.717	38.926	-157.202	456.085	-48.095	-256.035	458.657	-28.000	-182.934	317.764	-34.609	-163.301	73.317	11.180	-204.564	73.596	67.956	-229.968	23.819	-114.019	-167.244	11.220	-97.880	-99.052	721.609	-135.633	-77.867	672.666	-108.750	-65.443	680.478	-45.640	-467.858	723.503	-115.817	-504.760	681.683	-99.583	-522.595	690.230	-42.468	-545.434	1003.337	-71.500	-372.264	1332.890	-130.057	-197.873	1569.807	0.375	-331.471	1581.787	7.885	-33.450	726.318	-40.876	-548.456	745.440	-38.239
602	6.01000	02:10:47:07	-256.010	1703.881	-31.072	-333.759	1649.152	-128.756	-192.291	1634.894	-129.616	-281.680	1403.274	49.145	-297.441	1230.984	73.692	-293.991	1109.704	54.945	-293.088	1025.484	56.979	-294.720	944.177	-177.957	-291.174	1144.416	-186.243	-294.122	1273.556	-164.344	-377.263	1298.085	80.952	-479.626	1394.733	-46.472	-497.933	1213.906	-66.563	-482.306	1232.165	45.944	-446.209	1049.909	11.025	-540.380	1050.125	-6.672	-542.395	825.782	-25.858	-485.158	848.633	-93.116	-127.498	1396.758	-45.975	-203.692	1292.656	77.510	-84.268	1266.891	-74.049	-103.092	1250.085	45.589	-217.603	1329.910	-129.203	-118.591	1051.616	27.191	-43.086	1063.500	1.626	-56.465	1031.719	-73.888	-18.513	824.094	-45.337	-80.995	823.825	-109.908	-431.601	967.336	-111.478	-171.684	971.483	-141.581	-424.545	988.736	33.521	-168.650	1034.356	25.140	-445.382	812.671	-115.035	-446.066	839.557	39.672	-421.209	452.399	-49.286	-313.708	452.702	-37.762	-411.201	312.879	-40.919	-427.140	80.153	-5.625	-385.711	72.127	48.601	-358.687	26.013	-123.661	-419.339	13.187	-116.608	-135.262	740.073	-118.290	-122.088	861.705	38.902	-157.241	456.112	-48.100	-256.109	458.683	-28.040	-182.955	317.767	-34.635	-163.317	73.317	11.170	-204.558	73.569	67.952	-229.968	23.790	-114.031	-167.248	11.231	-97.884	-99.796	721.486	-135.485	-78.521	672.594	-108.687	-65.680	680.431	-45.665	-467.325	723.401	-115.888	-504.130	681.609	-99.659	-522.058	690.141	-42.572	-545.105	1003.176	-71.610	-372.343	1332.876	-130.004	-197.926	1569.730	0.501	-331.532	1581.773	7.931	-33.611	726.320	-41.064	-548.039	745.401	-38.409
603	6.02000	02:10:47:07	-256.015	1703.872	-30.942	-333.733	1649.166	-128.690	-192.280	1634.883	-129.466	-281.757	1403.243	49.218	-297.483	1230.939	73.685	-294.064	1109.654	54.937	-293.164	1025.488	56.942	-294.773	944.173	-177.983	-291.239	1144.404	-186.231	-294.197	1273.559	-164.304	-377.313	1298.054	80.970	-479.706	1394.583	-46.591	-497.856	1213.833	-66.603	-482.332	1232.098	45.960	-446.066	1049.885	11.085	-540.202	1050.015	-6.800	-541.961	825.677	-26.023	-484.626	848.559	-93.184	-127.546	1396.764	-45.916	-203.751	1292.641	77.507	-84.368	1266.865	-74.052	-103.129	1250.052	45.592	-217.646	1329.886	-129.134	-118.642	1051.593	27.240	-43.274	1063.377	1.552	-56.731	1031.665	-73.969	-18.852	824.045	-45.658	-81.580	823.766	-109.947	-431.713	967.353	-111.522	-171.731	971.481	-141.592	-424.599	988.722	33.491	-168.726	1034.332	25.120	-445.434	812.628	-115.053	-446.124	839.545	39.647	-421.256	452.398	-49.278	-313.770	452.764	-37.741	-411.250	312.894	-40.915	-427.123	80.140	-5.621	-385.727	72.096	48.619	-358.698	26.018	-123.673	-419.342	13.161	-116.599	-135.357	740.091	-118.275	-122.166	861.703	38.899	-157.313	456.096	-48.099	-256.156	458.658	-28.052	-182.990	317.752	-34.622	-163.326	73.326	11.147	-204.619	73.628	67.960	-229.951	23.798	-114.026	-167.242	11.231	-97.879	-100.624	721.367	-135.304	-79.205	672.584	-108.620	-65.881	680.432	-45.672	-466.751	723.326	-115.981	-503.521	681.539	-99.748	-521.463	690.052	-42.706	-544.785	1003.050	-71.748	-372.390	1332.837	-129.969	-197.989	1569.721	0.599	-331.590	1581.750	8.034	-33.829	726.274	-41.277	-547.640	745.314	-38.618
604	6.03000	02:10:47:08	-256.009	1703.836	-30.777	-333.695	1649.157	-128.581	-192.274	1634.870	-129.310	-281.817	1403.199	49.267	-297.566	1230.881	73.700	-294.137	1109.618	54.955	-293.234	1025.478	56.935	-294.818	944.172	-177.990	-291.242	1144.378	-186.209	-294.239	1273.564	-164.248	-377.379	1297.997	81.009	-479.758	1394.539	-46.590	-497.787	1213.766	-66.623	-482.401	1232.029	45.936	-445.901	1049.840	11.157	-540.012	1049.900	-6.890	-541.530	825.555	-26.187	-483.732	848.560	-92.730	-127.593	1396.737	-45.865	-203.823	1292.591	77.558	-84.464	1266.838	-74.070	-103.155	1250.038	45.600	-217.645	1329.823	-129.042	-118.714	1051.553	27.269	-43.362	1063.327	1.469	-57.013	1031.598	-74.040	-19.142	824.008	-45.935	-82.132	823.728	-109.974	-431.754	967.322	-111.535	-171.758	971.469	-141.606	-424.648	988.691	33.440	-168.824	1034.334	25.123	-445.482	812.611	-115.074	-446.211	839.545	39.608	-421.249	452.375	-49.256	-313.799	452.763	-37.743	-411.238	312.879	-40.905	-427.133	80.131	-5.624	-385.763	72.150	48.618	-358.686	26.026	-123.661	-419.361	13.187	-116.604	-135.385	740.098	-118.306	-122.244	861.678	38.921	-157.315	456.119	-48.093	-256.195	458.651	-28.032	-182.996	317.768	-34.615	-163.346	73.322	11.144	-204.601	73.600	67.950	-229.967	23.807	-114.032	-167.244	11.227	-97.892	-101.475	721.251	-135.099	-79.821	672.584	-108.574	-66.134	680.425	-45.721	-466.132	723.264	-116.074	-502.867	681.525	-99.864	-520.874	689.964	-42.834	-544.438	1002.942	-71.849	-372.426	1332.831	-129.902	-198.065	1569.667	0.758	-331.649	1581.733	8.111	-34.077	726.284	-41.559	-547.159	745.156	-38.830
605	6.04000	02:10:47:08	-256.060	1703.852	-30.635	-333.697	1649.179	-128.484	-192.261	1634.848	-129.156	-281.858	1403.164	49.327	-297.632	1230.837	73.728	-294.199	1109.566	54.931	-293.309	1025.452	56.908	-294.885	944.177	-177.975	-291.292	1144.358	-186.192	-294.264	1273.557	-164.212	-377.629	1297.934	81.023	-479.814	1394.603	-46.444	-497.747	1213.714	-66.634	-482.448	1231.980	45.930	-445.766	1049.830	11.239	-539.884	1049.800	-6.976	-541.104	825.446	-26.369	-483.169	848.538	-92.708	-127.645	1396.717	-45.813	-203.894	1292.507	77.544	-84.595	1266.793	-74.081	-103.149	1249.999	45.598	-217.693	1329.810	-128.991	-118.745	1051.523	27.326	-43.435	1063.271	1.380	-57.269	1031.557	-74.115	-19.449	823.924	-46.152	-82.655	823.707	-110.008	-431.817	967.294	-111.559	-171.836	971.466	-141.601	-424.739	988.708	33.454	-168.868	1034.356	25.098	-445.523	812.594	-115.088	-446.258	839.537	39.589	-421.293	452.374	-49.242	-313.834	452.727	-37.710	-411.351	312.945	-40.910	-427.150	80.121	-5.610	-385.739	72.088	48.606	-358.694	26.025	-123.645	-419.365	13.161	-116.594	-135.475	740.098	-118.329	-122.293	861.699	38.889	-157.378	456.095	-48.092	-256.243	458.623	-28.049	-183.060	317.749	-34.641	-163.361	73.295	11.145	-204.654	73.625	67.957	-229.969	23.800	-114.023	-167.249	11.226	-97.868	-102.251	721.165	-134.998	-80.514	672.569	-108.532	-66.521	680.463	-45.777	-465.098	723.115	-115.547	-502.204	681.464	-100.145	-520.218	689.914	-43.010	-544.132	1003.023	-72.075	-372.475	1332.827	-129.836	-198.122	1569.659	0.917	-331.699	1581.711	8.203	-34.313	726.261	-41.825	-546.703	745.063	-39.093
606	6.05000	02:10:47:08	-256.066	1703.816	-30.509	-333.702	1649.185	-128.377	-192.277	1634.867	-129.018	-281.910	1403.140	49.388	-297.679	1230.802	73.720	-294.253	1109.545	54.932	-293.360	1025.473	56.883	-294.930	944.201	-178.000	-291.344	1144.346	-186.165	-294.316	1273.548	-164.164	-377.672	1297.900	81.070	-479.883	1394.577	-46.417	-497.715	1213.667	-66.636	-482.484	1231.947	45.965	-445.636	1049.828	11.299	-539.731	1049.660	-7.038	-540.729	825.398	-26.544	-482.659	848.561	-92.786	-127.706	1396.673	-45.804	-203.921	1292.485	77.560	-84.676	1266.772	-74.094	-103.159	1249.964	45.585	-217.748	1329.806	-128.934	-118.788	1051.434	27.357	-43.521	1063.209	1.309	-57.514	1031.530	-74.182	-19.758	823.900	-46.384	-83.127	823.668	-110.083	-431.878	967.306	-111.574	-171.890	971.468	-141.628	-424.799	988.690	33.445	-168.954	1034.338	25.086	-445.596	812.581	-115.112	-446.303	839.529	39.570	-421.342	452.389	-49.224	-313.864	452.748	-37.686	-411.323	312.892	-40.885	-427.172	80.127	-5.611	-385.762	72.095	48.618	-358.708	26.023	-123.652	-419.356	13.168	-116.611	-135.525	740.112	-118.401	-122.356	861.679	38.878	-157.413	456.112	-48.100	-256.251	458.647	-28.037	-183.089	317.757	-34.633	-163.372	73.332	11.152	-204.649	73.606	67.943	-229.971	23.818	-114.033	-167.248	11.226	-97.882	-103.181	721.155	-134.913	-81.171	672.612	-108.530	-67.037	680.510	-45.852	-464.394	723.108	-115.633	-501.445	681.493	-100.254	-519.574	689.888	-43.155	-543.831	1002.943	-72.126	-372.555	1332.812	-129.774	-198.159	1569.634	1.002	-331.752	1581.698	8.294	-34.643	726.200	-42.021	-546.062	744.983	-39.522
607	6.06000	02:10:47:08	-256.088	1703.802	-30.382	-333.690	1649.199	-128.294	-192.263	1634.844	-128.868	-281.978	1403.115	49.434	-297.746	1230.780	73.744	-294.299	1109.505	54.929	-293.404	1025.452	56.878	-294.992	944.192	-177.991	-291.433	1144.352	-186.106	-294.418	1273.548	-164.098	-377.719	1297.865	81.102	-479.945	1394.579	-46.365	-497.652	1213.635	-66.630	-482.556	1231.919	46.008	-445.549	1049.841	11.369	-539.611	1049.568	-7.061	-540.356	825.326	-26.711	-482.151	848.569	-92.791	-127.779	1396.661	-45.807	-204.030	1292.427	77.588	-84.724	1266.735	-74.068	-103.186	1249.968	45.584	-217.794	1329.799	-128.879	-118.846	1051.436	27.433	-43.617	1063.147	1.239	-57.736	1031.469	-74.242	-20.080	823.822	-46.602	-83.572	823.662	-110.174	-432.010	967.312	-111.595	-171.916	971.476	-141.607	-424.843	988.664	33.411	-168.999	1034.349	25.098	-445.630	812.557	-115.117	-446.357	839.515	39.584	-421.388	452.387	-49.214	-313.916	452.728	-37.702	-411.357	312.885	-40.869	-427.194	80.121	-5.612	-385.759	72.085	48.635	-358.722	26.025	-123.666	-419.364	13.161	-116.614	-135.598	740.118	-118.416	-122.386	861.701	38.874	-157.443	456.113	-48.090	-256.278	458.643	-28.060	-183.120	317.751	-34.644	-163.376	73.322	11.162	-204.658	73.608	67.954	-229.973	23.789	-114.023	-167.246	11.231	-97.851	-103.874	721.166	-134.912	-81.881	672.600	-108.553	-67.500	680.547	-45.904	-463.728	723.150	-115.747	-500.718	681.497	-100.351	-518.948	689.833	-43.351	-543.557	1002.871	-72.206	-372.556	1332.802	-129.688	-198.227	1569.591	1.163	-331.821	1581.686	8.422	-35.028	726.166	-42.230	-545.576	744.933	-39.759
608	6.07000	02:10:47:09	-256.108	1703.792	-30.244	-333.695	1649.209	-128.167	-192.272	1634.827	-128.682	-282.006	1403.091	49.488	-297.804	1230.754	73.764	-294.368	1109.478	54.955	-293.457	1025.463	56.874	-295.041	944.196	-178.008	-291.487	1144.347	-186.087	-294.474	1273.531	-164.058	-377.810	1297.818	81.146	-480.023	1394.583	-46.299	-497.667	1213.632	-66.591	-482.636	1231.856	46.037	-445.471	1049.845	11.425	-539.515	1049.502	-7.132	-539.991	825.271	-26.902	-481.722	848.586	-92.851	-127.818	1396.665	-45.787	-204.035	1292.406	77.612	-84.854	1266.694	-74.118	-103.208	1249.964	45.602	-217.886	1329.833	-128.856	-118.919	1051.405	27.452	-43.714	1063.075	1.207	-57.927	1031.449	-74.258	-20.393	823.803	-46.799	-83.918	823.471	-110.064	-432.035	967.296	-111.615	-171.996	971.443	-141.637	-424.915	988.661	33.410	-169.038	1034.344	25.086	-445.690	812.569	-115.110	-446.392	839.529	39.584	-421.430	452.369	-49.196	-313.963	452.726	-37.682	-411.407	312.892	-40.841	-427.175	80.140	-5.589	-385.818	72.112	48.618	-358.715	26.018	-123.670	-419.360	13.154	-116.605	-135.634	740.132	-118.481	-122.450	861.703	38.854	-157.507	456.086	-48.097	-256.327	458.648	-28.035	-183.126	317.776	-34.618	-163.363	73.320	11.125	-204.664	73.602	67.944	-229.964	23.799	-114.029	-167.272	11.229	-97.871	-104.562	721.147	-134.885	-82.486	672.597	-108.511	-68.044	680.578	-45.956	-463.012	723.191	-115.800	-499.472	681.504	-100.517	-517.723	689.787	-43.492	-543.353	1002.837	-72.305	-372.666	1332.758	-129.636	-198.302	1569.532	1.302	-331.879	1581.671	8.479	-35.410	726.125	-42.358	-545.093	744.864	-40.008
609	6.08000	02:10:47:09	-256.140	1703.766	-30.118	-333.725	1649.258	-128.068	-192.262	1634.854	-128.519	-282.036	1403.075	49.551	-297.809	1230.713	73.778	-294.403	1109.447	54.957	-293.497	1025.441	56.867	-295.085	944.204	-177.993	-291.543	1144.330	-186.025	-294.562	1273.552	-164.001	-377.825	1297.786	81.193	-480.089	1394.586	-46.208	-497.656	1213.639	-66.525	-482.718	1231.865	46.092	-445.393	1049.864	11.486	-539.440	1049.461	-7.180	-539.618	825.206	-27.051	-481.282	848.610	-92.888	-127.854	1396.652	-45.766	-204.116	1292.367	77.655	-84.941	1266.654	-74.113	-103.253	1249.908	45.612	-217.948	1329.801	-128.784	-119.014	1051.383	27.444	-43.861	1062.989	1.176	-58.086	1031.385	-74.286	-20.711	823.724	-46.884	-84.246	823.422	-110.124	-432.100	967.310	-111.618	-172.064	971.480	-141.639	-424.941	988.640	33.419	-169.083	1034.340	25.038	-445.723	812.559	-115.094	-446.419	839.514	39.584	-421.463	452.371	-49.173	-313.981	452.744	-37.663	-411.415	312.867	-40.846	-427.198	80.121	-5.588	-385.819	72.110	48.629	-358.719	26.024	-123.647	-419.362	13.151	-116.602	-135.677	740.135	-118.562	-122.461	861.704	38.853	-157.513	456.107	-48.108	-256.342	458.634	-28.041	-183.144	317.764	-34.637	-163.391	73.331	11.141	-204.656	73.625	67.962	-229.970	23.809	-114.029	-167.258	11.247	-97.859	-105.236	721.150	-134.834	-83.102	672.574	-108.501	-68.484	680.644	-46.002	-462.267	723.277	-115.871	-498.599	681.524	-100.643	-517.047	689.810	-43.627	-543.093	1002.810	-72.390	-372.705	1332.744	-129.529	-198.340	1569.517	1.400	-331.919	1581.624	8.616	-35.775	726.068	-42.480	-544.605	744.797	-40.212
