NO_OF_FRAMES	351
NO_OF_CAMERAS	13
NO_OF_MARKERS	62
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2017-12-04, 15:56:10.395	23248.19755621
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LMT1	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RMT1	RMT5	RTHMB	RINDX	RPNKY	LTHMB	LINDX	LPNKY	LFRM	LFSH	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
2000	19.99000	02:12:56:08	287.692	1686.599	64.843	323.799	1633.408	-55.604	407.779	1624.551	58.554	267.598	1390.152	128.284	237.758	1221.731	138.563	243.967	1101.794	112.347	230.596	1005.312	93.217	423.865	939.139	-45.673	401.178	1132.357	-73.755	362.696	1257.907	-68.748	173.053	1272.974	106.355	124.452	1372.994	-44.644	75.855	1203.154	-67.300	88.695	1215.390	42.227	76.454	1029.960	-4.755	-14.535	1060.512	-3.189	-87.866	850.840	0.463	-47.674	853.516	-80.877	444.665	1381.329	83.062	331.600	1283.072	184.583	500.744	1267.278	44.726	475.509	1227.478	157.351	397.883	1310.022	-15.596	470.779	1035.062	74.597	545.674	1057.116	57.388	540.141	1047.084	-25.132	597.748	844.375	-45.357	535.943	847.623	-111.137	294.041	962.014	-125.875	460.190	958.252	76.325	179.914	966.819	-35.706	328.629	1011.905	173.689	329.314	821.337	-145.434	187.246	814.298	-76.976	404.966	460.441	-147.530	429.753	456.062	-43.969	407.487	309.972	-141.410	347.071	80.006	-158.281	300.337	72.914	-108.358	467.969	26.917	-102.196	457.617	9.273	-160.483	457.312	715.118	111.386	340.694	832.886	221.984	379.568	419.831	107.948	308.728	430.492	37.486	302.477	285.195	132.480	199.338	97.816	266.263	139.975	128.767	283.650	175.721	24.776	142.858	222.884	7.327	186.056	532.303	743.907	-156.209	584.402	707.799	-149.479	591.878	700.526	-78.198	-85.795	734.442	-104.556	-140.991	715.058	-82.586	-129.410	717.036	-19.029	-46.658	1020.696	-62.519	262.168	1311.332	-77.865	306.328	1554.015	132.644	219.046	1559.661	26.982	605.528	751.032	-64.460	-126.932	775.703	-7.264
2001	20.00000	02:12:56:09	290.035	1686.438	62.244	326.160	1633.251	-58.189	410.129	1624.511	56.101	269.152	1389.739	125.212	239.423	1221.203	134.778	246.011	1101.336	108.381	232.318	1004.579	87.336	427.044	939.064	-48.618	404.682	1132.369	-76.167	366.557	1258.313	-71.334	175.128	1272.431	101.903	127.824	1372.911	-49.200	79.530	1203.174	-73.805	91.150	1214.620	36.007	79.147	1029.822	-12.625	-11.705	1060.142	-12.098	-85.242	850.483	-11.684	-43.867	853.917	-92.375	446.877	1380.953	82.019	332.433	1282.540	182.034	503.488	1266.561	44.880	476.338	1227.063	157.108	400.924	1310.051	-17.320	472.992	1034.271	75.912	548.225	1056.252	59.635	544.751	1045.870	-22.655	602.142	842.861	-40.801	541.533	846.073	-107.759	298.119	962.355	-129.801	462.431	957.584	73.787	183.024	967.136	-40.345	329.906	1011.244	170.350	332.876	821.674	-149.869	190.318	814.909	-81.747	408.029	460.442	-149.171	432.191	456.307	-46.082	409.247	309.552	-142.968	347.452	79.810	-158.492	300.700	73.293	-108.428	468.350	26.696	-102.334	457.741	9.178	-160.602	459.775	714.700	108.481	341.103	831.693	217.821	383.984	418.642	104.382	314.268	428.884	32.788	305.704	284.539	129.509	199.569	99.556	264.499	140.220	131.283	280.633	176.403	24.958	141.854	222.662	7.084	185.567	538.695	742.204	-152.522	590.372	706.006	-144.650	596.428	698.855	-73.253	-82.037	735.072	-117.649	-137.649	715.686	-96.622	-126.818	717.149	-32.976	-43.110	1020.904	-72.335	265.825	1311.332	-81.064	308.547	1553.868	130.053	221.403	1559.537	24.361	609.978	749.521	-59.312	-124.383	775.716	-20.697
2002	20.01000	02:12:56:09	292.264	1686.298	59.562	328.518	1633.056	-60.772	412.434	1624.353	53.565	270.539	1389.322	122.087	240.918	1220.670	130.875	248.072	1100.730	104.662	234.530	1004.229	83.183	430.367	939.079	-52.181	408.153	1132.312	-78.371	370.335	1258.345	-73.608	177.045	1271.854	97.398	131.313	1372.812	-53.679	83.330	1203.457	-80.319	93.608	1213.864	29.630	82.019	1029.808	-19.829	-8.749	1059.803	-21.290	-82.425	850.203	-24.130	-39.771	854.479	-104.118	449.037	1380.569	81.004	333.212	1282.011	179.560	506.039	1265.591	45.271	476.933	1226.647	157.050	404.018	1309.920	-18.879	475.232	1033.512	77.299	550.690	1055.333	62.481	548.042	1044.114	-19.600	606.588	841.584	-36.078	547.143	844.499	-104.182	301.841	962.634	-133.518	464.531	957.021	71.303	186.629	967.676	-44.787	331.242	1010.454	167.000	336.458	821.883	-153.537	193.312	815.353	-86.472	411.129	460.227	-151.111	434.843	456.296	-48.197	411.076	309.000	-144.459	347.811	79.662	-158.663	301.076	73.619	-108.628	468.778	26.402	-102.477	457.837	9.075	-160.767	462.375	714.096	105.819	342.095	830.596	214.079	388.407	417.523	101.239	319.482	427.453	28.342	309.056	283.970	126.780	199.815	101.551	262.761	140.420	133.822	277.561	176.979	25.009	140.869	222.735	7.129	185.185	544.948	740.636	-148.719	596.496	704.328	-139.686	600.877	697.519	-68.159	-78.031	735.695	-131.053	-134.058	716.599	-110.777	-124.494	717.479	-47.244	-39.347	1021.185	-82.315	269.733	1311.369	-84.181	311.007	1553.646	127.568	223.706	1559.318	21.789	614.373	748.046	-54.082	-121.630	775.836	-34.344
2003	20.02000	02:12:56:09	294.538	1686.146	56.947	330.891	1632.742	-63.305	414.674	1624.308	51.083	271.988	1388.756	119.097	242.519	1220.016	127.263	250.016	1100.200	100.934	236.598	1003.654	79.194	433.200	938.856	-54.238	411.667	1132.218	-80.136	373.795	1258.368	-75.764	178.849	1271.384	93.109	134.740	1372.715	-58.309	87.223	1203.693	-86.903	96.648	1212.939	22.988	84.932	1029.501	-27.779	-5.704	1059.471	-30.483	-79.378	850.023	-36.731	-35.140	855.104	-116.318	450.955	1380.164	80.335	333.844	1281.472	177.025	508.551	1264.904	45.815	477.366	1226.194	157.100	406.985	1309.915	-20.334	477.387	1032.874	78.948	553.031	1054.637	65.407	552.567	1043.099	-16.320	610.905	840.297	-31.210	552.647	843.135	-100.394	305.554	962.878	-137.177	466.617	956.286	68.936	189.211	967.718	-49.375	332.428	1009.776	163.824	339.964	821.977	-156.994	196.383	815.684	-91.117	413.557	459.753	-153.742	437.050	456.263	-50.304	413.038	308.531	-145.805	348.341	79.520	-158.838	301.419	73.959	-108.819	469.167	26.195	-102.604	457.966	9.010	-160.892	464.984	713.675	103.413	342.978	829.396	210.383	392.827	416.403	98.254	325.553	425.715	24.124	312.369	283.231	123.924	200.241	103.377	261.053	140.914	136.235	274.540	178.058	25.155	140.018	223.195	7.212	185.041	551.289	739.127	-144.680	602.757	702.690	-134.530	605.727	696.144	-62.897	-73.635	736.486	-144.633	-129.771	717.267	-125.351	-121.669	717.794	-61.700	-35.414	1021.549	-92.347	273.689	1310.978	-86.365	313.175	1553.686	125.018	226.117	1559.049	19.195	618.618	746.572	-48.725	-118.517	775.913	-48.334
2004	20.03000	02:12:56:09	296.801	1685.951	54.301	333.407	1632.390	-65.833	417.029	1624.097	48.694	273.272	1388.155	116.025	244.176	1219.243	123.206	251.952	1099.678	97.307	239.099	1003.147	74.107	436.171	938.479	-56.575	415.271	1132.127	-82.141	377.461	1258.280	-77.729	180.574	1270.813	88.680	138.297	1372.686	-63.064	91.243	1203.894	-93.543	99.149	1212.105	16.508	88.021	1029.217	-36.101	-2.427	1059.127	-39.721	-75.925	849.841	-49.689	-30.479	855.708	-128.463	452.764	1379.763	79.664	334.302	1280.951	174.630	510.896	1264.015	46.382	477.508	1226.022	157.228	410.037	1309.805	-21.771	479.408	1032.213	80.773	555.197	1053.827	68.563	556.478	1042.036	-12.984	615.445	839.119	-26.296	558.108	841.726	-96.488	309.266	963.091	-140.697	468.570	955.627	66.680	192.250	967.866	-53.793	333.749	1009.004	160.622	343.310	821.888	-160.613	199.488	815.856	-95.643	416.444	459.352	-156.093	439.537	456.460	-52.358	415.190	308.040	-146.971	349.007	79.317	-158.899	301.884	74.283	-108.977	469.516	25.893	-102.761	458.076	8.930	-160.973	467.605	713.247	101.182	344.071	828.348	206.751	397.433	415.344	95.446	331.068	424.203	20.085	315.916	282.663	121.437	200.920	105.327	259.520	141.145	138.713	271.303	178.574	24.932	139.060	223.275	7.147	184.498	557.626	737.763	-140.539	608.706	701.291	-129.273	610.241	694.706	-57.555	-68.798	737.321	-158.452	-125.580	718.110	-140.305	-118.257	718.088	-76.425	-31.329	1021.908	-102.554	277.647	1310.960	-89.510	315.500	1553.540	122.623	228.502	1558.785	16.644	622.963	745.342	-43.115	-115.129	776.057	-62.605
2005	20.04000	02:12:56:10	299.074	1685.775	51.709	335.701	1632.137	-68.285	419.240	1623.963	46.275	273.958	1387.917	113.184	245.653	1218.573	119.574	253.802	1099.089	93.685	241.314	1002.720	69.445	439.175	938.137	-59.163	418.727	1132.053	-84.127	380.958	1258.076	-79.645	181.965	1270.501	84.309	141.877	1372.572	-67.804	95.195	1204.090	-100.264	101.828	1211.328	9.863	91.268	1028.834	-44.485	0.950	1058.874	-49.359	-72.273	849.657	-62.927	-25.540	856.377	-140.818	454.384	1379.364	79.117	334.818	1280.302	172.416	513.304	1263.366	47.064	477.691	1225.789	157.476	413.278	1309.876	-23.272	481.432	1031.511	82.706	557.524	1052.962	72.381	560.756	1040.797	-9.091	617.658	837.546	-20.289	563.830	840.488	-92.322	312.867	963.478	-145.059	470.674	954.699	65.106	195.292	967.957	-58.033	334.996	1008.308	157.530	346.962	821.671	-163.066	202.596	816.020	-100.181	419.576	458.874	-158.172	441.909	456.367	-54.298	417.491	307.466	-147.888	349.634	79.170	-158.905	302.411	74.624	-109.193	469.957	25.628	-102.751	458.211	8.840	-161.030	470.140	712.779	99.195	345.144	827.286	203.189	402.051	414.290	92.796	337.277	422.633	16.056	319.553	282.057	119.062	201.477	107.393	257.753	140.989	141.816	268.452	178.611	24.844	138.277	223.229	7.103	184.082	563.943	736.532	-136.278	614.791	700.034	-123.810	614.651	693.488	-52.169	-63.643	738.159	-172.519	-120.643	719.064	-155.428	-114.498	718.474	-91.438	-27.104	1022.402	-112.704	281.388	1310.856	-92.567	317.832	1553.446	120.250	230.850	1558.530	14.153	627.166	744.129	-37.429	-111.360	776.300	-77.132
2006	20.05000	02:12:56:10	301.381	1685.541	49.237	338.188	1631.692	-70.730	421.648	1623.677	43.975	275.094	1387.426	110.127	247.010	1217.872	115.878	255.688	1098.411	89.972	243.400	1002.262	65.679	442.017	937.796	-61.427	422.328	1131.776	-85.929	384.463	1257.925	-81.449	183.535	1270.024	79.918	145.536	1372.494	-72.734	99.470	1204.337	-107.000	104.375	1210.561	3.244	94.881	1028.549	-53.021	4.503	1058.553	-59.112	-68.421	849.490	-76.434	-20.232	857.106	-153.444	455.976	1378.799	78.732	335.057	1279.790	170.137	515.945	1262.954	47.320	477.755	1225.526	157.774	416.188	1309.707	-24.593	483.662	1030.769	84.930	559.178	1052.249	75.822	566.588	1039.575	-3.583	621.414	836.402	-14.736	569.211	839.318	-87.970	316.669	963.380	-147.024	472.159	953.984	64.381	198.261	967.979	-62.236	336.321	1007.535	154.461	350.384	821.360	-166.013	205.570	815.560	-103.645	422.727	458.242	-160.221	444.639	456.386	-56.253	419.644	306.806	-148.832	350.285	79.071	-158.792	302.950	75.006	-109.140	470.321	25.487	-102.784	458.322	8.820	-161.054	472.656	712.254	97.320	346.009	826.165	199.801	406.695	413.205	90.295	343.445	420.897	12.150	323.266	281.431	116.826	202.068	109.215	256.175	141.611	144.239	265.376	179.227	24.821	137.550	223.371	7.229	183.855	570.181	735.373	-131.870	620.780	698.828	-118.222	618.736	692.249	-46.593	-57.761	739.001	-186.529	-115.804	720.063	-171.071	-110.527	718.942	-106.871	-22.493	1022.838	-123.311	285.351	1310.802	-95.623	319.887	1553.554	117.840	233.166	1558.295	11.717	631.287	742.862	-31.564	-107.317	776.616	-91.988
2007	20.06000	02:12:56:10	303.642	1685.266	46.719	340.551	1631.269	-73.091	423.877	1623.447	41.730	276.162	1386.907	107.015	247.807	1217.359	112.590	257.985	1097.404	85.951	245.370	1001.569	62.061	444.319	937.571	-62.770	425.779	1131.552	-87.613	388.253	1257.608	-83.223	185.200	1269.526	75.431	149.321	1372.274	-77.744	103.990	1204.481	-113.942	106.755	1209.999	-3.534	98.677	1028.262	-61.759	8.354	1058.242	-68.876	-64.074	849.403	-90.213	-14.353	857.619	-165.474	457.488	1378.291	78.444	335.302	1279.393	167.590	517.347	1261.805	48.747	477.516	1225.069	159.045	419.029	1309.379	-25.728	487.295	1029.552	86.802	561.022	1051.573	79.558	567.060	1038.524	-2.313	625.145	835.263	-8.933	574.741	838.111	-83.419	320.592	963.555	-150.740	473.081	953.673	60.648	201.391	967.907	-66.597	337.118	1006.686	151.562	353.754	821.052	-168.919	208.393	815.867	-108.989	425.723	457.564	-162.191	447.230	456.314	-58.042	421.847	306.020	-149.304	350.878	78.997	-158.660	303.442	75.278	-108.866	470.806	25.201	-102.757	458.503	8.815	-161.053	475.038	711.811	95.554	346.694	825.116	196.526	411.503	412.038	87.835	349.492	419.351	8.399	326.977	280.935	114.589	202.840	111.197	254.298	142.395	146.682	262.178	179.458	24.594	136.815	223.419	7.208	183.358	576.863	734.384	-127.373	626.806	697.653	-112.341	623.285	691.276	-40.797	-51.775	739.961	-201.335	-109.528	720.876	-186.608	-106.118	719.454	-122.409	-17.511	1023.414	-134.099	289.182	1310.488	-98.648	322.164	1553.300	115.609	235.444	1557.957	9.337	635.135	741.806	-25.442	-102.853	776.954	-107.189
2008	20.07000	02:12:56:10	305.970	1684.948	44.357	343.026	1630.815	-75.381	426.145	1622.996	39.483	277.266	1386.283	103.771	248.933	1216.653	109.024	259.552	1096.839	82.560	247.219	1000.941	58.352	447.235	937.197	-64.875	429.318	1131.080	-89.611	391.744	1257.254	-84.785	186.749	1269.016	70.921	153.185	1372.025	-82.779	108.771	1204.570	-121.009	109.456	1209.054	-10.477	102.426	1027.724	-69.374	12.293	1057.835	-79.381	-59.130	849.156	-104.146	-8.124	858.316	-178.380	458.780	1377.784	78.320	335.380	1278.800	165.394	519.250	1260.874	50.053	477.258	1224.688	159.605	421.818	1308.823	-26.461	486.761	1029.477	89.347	562.580	1050.852	83.749	570.252	1037.447	1.840	628.642	834.234	-2.890	580.098	836.941	-78.639	324.098	963.459	-153.988	474.797	952.880	59.215	204.169	967.842	-70.327	337.080	1005.686	149.269	357.182	820.825	-171.982	211.194	815.821	-113.307	428.763	456.870	-163.976	450.219	456.099	-59.778	424.001	305.430	-150.213	351.497	78.958	-158.525	304.024	75.604	-108.690	471.299	25.015	-102.684	458.668	8.788	-161.003	477.437	711.197	93.955	347.178	823.805	193.354	416.376	410.869	85.418	355.921	417.598	4.821	330.829	280.291	112.413	203.693	113.028	252.484	143.434	148.967	259.089	179.813	24.472	136.089	223.526	7.232	182.943	583.458	733.351	-122.674	632.985	696.599	-106.243	627.330	690.164	-34.756	-44.842	740.825	-215.802	-103.571	722.018	-202.956	-101.337	720.043	-138.540	-12.095	1023.784	-145.310	293.566	1310.378	-101.545	324.297	1552.824	113.323	237.689	1557.679	6.982	638.955	740.626	-19.129	-97.995	777.278	-122.805
2009	20.08000	02:12:56:11	308.251	1684.567	42.041	345.409	1630.374	-77.638	428.410	1622.584	37.363	278.267	1385.646	100.528	249.964	1216.004	105.351	261.460	1095.926	79.248	248.688	1000.397	54.841	450.109	936.460	-66.846	432.863	1130.561	-90.800	395.360	1256.916	-86.170	188.068	1268.666	66.329	157.286	1371.652	-87.972	113.857	1204.486	-128.149	111.267	1208.600	-17.276	106.640	1027.193	-77.869	16.706	1057.464	-89.333	-53.911	849.143	-118.750	-1.331	858.917	-191.450	460.231	1377.027	78.300	335.221	1278.206	163.281	521.229	1259.977	51.566	476.708	1224.274	160.119	424.727	1308.447	-27.299	487.628	1028.775	90.734	563.737	1049.968	88.002	573.771	1036.440	6.342	631.968	833.108	3.321	585.947	836.365	-73.719	327.697	963.349	-156.716	475.766	951.660	56.512	207.012	967.673	-74.320	337.978	1004.758	146.709	360.707	820.579	-174.844	214.035	815.716	-117.432	431.724	456.252	-165.543	453.115	455.957	-61.363	426.252	304.675	-151.138	352.120	78.847	-158.365	304.558	75.853	-108.502	471.703	24.819	-102.634	458.850	8.755	-160.921	479.618	710.746	92.437	347.289	822.409	190.260	421.261	409.708	83.001	359.428	416.330	2.007	336.117	279.504	111.014	204.601	114.816	250.690	144.528	151.307	255.954	180.215	24.358	135.400	223.738	7.183	182.530	590.056	732.367	-117.560	639.124	695.675	-99.902	631.327	688.968	-28.724	-37.537	741.718	-230.666	-96.575	723.030	-219.362	-95.926	720.490	-154.938	-6.330	1024.213	-156.551	297.734	1309.938	-104.487	326.430	1552.479	111.119	240.040	1557.210	4.644	642.690	739.640	-12.621	-92.849	777.645	-138.731
