NO_OF_FRAMES	287
NO_OF_CAMERAS	16
NO_OF_MARKERS	41
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-07-07, 11:43:37.424	11577.76636880
DATA_INCLUDED	3D
MARKER_NAMES	Federico_HeadFront	Federico_HeadL	Federico_HeadR	Federico_Chest	Federico_WaistLFront	Federico_WaistRFront	Federico_LShoulderTop	Federico_RShoulderTop	Federico_SpineThoracic2	Federico_SpineThoracic12	Federico_WaistBack	Federico_WaistL	Federico_WaistR	Federico_LThighFrontLow	Federico_RThighFrontLow	Federico_LKneeOut	Federico_LKneeIn	Federico_RKneeOut	Federico_RKneeIn	Federico_LShinFrontHigh	Federico_RShinFrontHigh	Federico_LHeelBack	Federico_RHeelBack	Federico_LAnkleOut	Federico_RAnkleOut	Federico_LForefoot2	Federico_RForefoot2	Federico_LForefoot5	Federico_RForefoot5	Federico_LHand2	Federico_RHand2	Federico_LWristIn	Federico_RWristIn	Federico_LWristOut	Federico_RWristOut	Federico_LArm	Federico_RArm	Federico_LElbowIn	Federico_RElbowIn	Federico_LElbowOut	Federico_RElbowOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Mixed	Measured	Measured
Frame	Time	SMPTE	Federico_HeadFront X	Federico_HeadFront Y	Federico_HeadFront Z	Federico_HeadL X	Federico_HeadL Y	Federico_HeadL Z	Federico_HeadR X	Federico_HeadR Y	Federico_HeadR Z	Federico_Chest X	Federico_Chest Y	Federico_Chest Z	Federico_WaistLFront X	Federico_WaistLFront Y	Federico_WaistLFront Z	Federico_WaistRFront X	Federico_WaistRFront Y	Federico_WaistRFront Z	Federico_LShoulderTop X	Federico_LShoulderTop Y	Federico_LShoulderTop Z	Federico_RShoulderTop X	Federico_RShoulderTop Y	Federico_RShoulderTop Z	Federico_SpineThoracic2 X	Federico_SpineThoracic2 Y	Federico_SpineThoracic2 Z	Federico_SpineThoracic12 X	Federico_SpineThoracic12 Y	Federico_SpineThoracic12 Z	Federico_WaistBack X	Federico_WaistBack Y	Federico_WaistBack Z	Federico_WaistL X	Federico_WaistL Y	Federico_WaistL Z	Federico_WaistR X	Federico_WaistR Y	Federico_WaistR Z	Federico_LThighFrontLow X	Federico_LThighFrontLow Y	Federico_LThighFrontLow Z	Federico_RThighFrontLow X	Federico_RThighFrontLow Y	Federico_RThighFrontLow Z	Federico_LKneeOut X	Federico_LKneeOut Y	Federico_LKneeOut Z	Federico_LKneeIn X	Federico_LKneeIn Y	Federico_LKneeIn Z	Federico_RKneeOut X	Federico_RKneeOut Y	Federico_RKneeOut Z	Federico_RKneeIn X	Federico_RKneeIn Y	Federico_RKneeIn Z	Federico_LShinFrontHigh X	Federico_LShinFrontHigh Y	Federico_LShinFrontHigh Z	Federico_RShinFrontHigh X	Federico_RShinFrontHigh Y	Federico_RShinFrontHigh Z	Federico_LHeelBack X	Federico_LHeelBack Y	Federico_LHeelBack Z	Federico_RHeelBack X	Federico_RHeelBack Y	Federico_RHeelBack Z	Federico_LAnkleOut X	Federico_LAnkleOut Y	Federico_LAnkleOut Z	Federico_RAnkleOut X	Federico_RAnkleOut Y	Federico_RAnkleOut Z	Federico_LForefoot2 X	Federico_LForefoot2 Y	Federico_LForefoot2 Z	Federico_RForefoot2 X	Federico_RForefoot2 Y	Federico_RForefoot2 Z	Federico_LForefoot5 X	Federico_LForefoot5 Y	Federico_LForefoot5 Z	Federico_RForefoot5 X	Federico_RForefoot5 Y	Federico_RForefoot5 Z	Federico_LHand2 X	Federico_LHand2 Y	Federico_LHand2 Z	Federico_RHand2 X	Federico_RHand2 Y	Federico_RHand2 Z	Federico_LWristIn X	Federico_LWristIn Y	Federico_LWristIn Z	Federico_RWristIn X	Federico_RWristIn Y	Federico_RWristIn Z	Federico_LWristOut X	Federico_LWristOut Y	Federico_LWristOut Z	Federico_RWristOut X	Federico_RWristOut Y	Federico_RWristOut Z	Federico_LArm X	Federico_LArm Y	Federico_LArm Z	Federico_RArm X	Federico_RArm Y	Federico_RArm Z	Federico_LElbowIn X	Federico_LElbowIn Y	Federico_LElbowIn Z	Federico_RElbowIn X	Federico_RElbowIn Y	Federico_RElbowIn Z	Federico_LElbowOut X	Federico_LElbowOut Y	Federico_LElbowOut Z	Federico_RElbowOut X	Federico_RElbowOut Y	Federico_RElbowOut Z	
1651	16.50000	00:58:22:20	1735.708	955.901	1115.384	1906.492	901.338	1119.035	1851.518	1081.610	1143.757	2010.949	1020.117	853.640	2296.759	957.308	756.131	2226.450	1187.956	738.220	2010.604	902.156	1029.159	1934.980	1149.724	995.665	2048.830	1057.903	1095.620	2267.961	1102.137	995.885	2393.605	1142.424	861.480	2372.615	946.146	810.144	2273.221	1262.857	793.786	2130.736	848.482	571.160	2012.413	1138.759	586.604	2164.985	823.289	411.695	2071.848	939.123	437.198	2006.962	1192.643	435.928	2025.954	1043.750	449.475	2077.783	833.337	325.824	1935.609	1128.580	377.732	2302.013	1053.130	34.136	2243.308	1116.954	22.633	2288.875	959.707	61.443	2181.503	1188.170	55.765	2140.591	891.622	34.769	2011.386	1131.963	33.245	2187.094	871.966	26.371	2021.696	1184.250	25.732	1899.980	766.675	428.322	1807.138	1195.836	407.317	1918.335	824.026	501.879	1868.586	1150.620	462.188	2004.467	787.467	465.687	1871.460	1238.305	428.380	2131.875	826.183	847.145	1982.466	1302.734	805.368	2104.066	876.846	695.997	2006.894	1228.301	666.050	2059.733	776.721	728.658	1900.390	1288.765	667.883
1652	16.51000	00:58:22:21	1734.108	956.590	1100.348	1904.883	901.917	1103.314	1850.154	1082.275	1128.037	2010.410	1020.891	837.757	2296.367	955.372	742.512	2227.382	1186.652	725.720	2006.841	902.900	1013.188	1934.053	1149.742	980.334	2046.841	1057.148	1080.418	2267.107	1099.761	982.834	2394.038	1140.056	848.914	2371.460	944.080	797.513	2274.424	1261.431	781.196	2129.160	843.906	564.073	2010.482	1138.570	581.999	2160.231	820.099	405.454	2067.516	935.585	431.357	2002.282	1191.328	431.662	2020.237	1042.269	445.581	2073.312	830.986	319.356	1930.850	1127.900	374.580	2300.962	1054.149	31.576	2243.198	1116.971	22.691	2287.942	961.745	60.102	2181.245	1188.040	55.806	2139.973	891.550	34.285	2011.389	1132.036	33.237	2186.481	872.038	26.168	2021.714	1184.339	25.609	1886.404	769.920	413.005	1801.419	1191.888	393.391	1905.057	827.176	486.729	1862.520	1146.268	448.178	1990.879	790.381	449.827	1866.234	1233.555	413.513	2122.869	825.886	830.119	1980.550	1301.001	789.295	2093.022	877.604	679.617	2003.543	1225.302	650.213	2048.166	778.157	712.501	1897.282	1286.118	652.746
1653	16.52000	00:58:22:21	1732.696	957.279	1085.602	1903.388	902.476	1087.746	1848.899	1082.903	1112.460	2008.447	1021.125	822.533	2295.685	953.421	729.069	2228.150	1185.320	713.428	2003.120	903.460	997.233	1933.148	1149.576	965.163	2044.791	1056.293	1065.239	2266.197	1097.362	969.880	2394.273	1137.578	836.409	2370.559	941.821	784.302	2275.463	1259.997	768.991	2127.199	839.759	557.033	2008.444	1138.053	577.799	2155.529	816.371	398.528	2060.723	931.836	426.615	1998.003	1189.802	427.677	2014.781	1040.721	441.900	2068.898	829.246	312.498	1925.832	1126.620	371.989	2300.456	1055.877	30.427	2243.088	1116.880	22.785	2287.726	963.441	58.654	2181.079	1187.867	55.932	2139.806	892.519	34.028	2011.332	1132.091	33.224	2186.088	873.155	26.111	2021.702	1184.396	25.496	1873.423	773.356	397.700	1795.792	1187.887	379.754	1892.429	830.606	471.472	1856.433	1142.044	434.631	1978.201	793.653	433.934	1861.133	1228.724	398.794	2114.278	825.743	813.132	1978.633	1299.199	773.369	2081.386	878.701	663.326	2000.223	1222.211	634.609	2037.263	779.886	696.407	1894.136	1283.547	637.406
1654	16.53000	00:58:22:21	1730.576	958.234	1071.436	1902.070	902.834	1072.318	1847.966	1083.539	1097.058	2007.180	1021.399	807.036	2294.968	951.216	716.309	2228.769	1183.970	701.483	1999.287	903.981	981.415	1932.140	1149.315	950.077	2042.663	1055.446	1050.195	2265.212	1094.914	956.998	2394.543	1134.969	824.116	2369.535	939.510	771.117	2276.397	1258.149	756.993	2125.061	835.815	550.203	2006.854	1137.212	573.803	2150.972	812.140	391.453	2056.365	927.921	420.881	1993.604	1189.527	424.031	2009.949	1039.294	438.360	2065.339	825.441	305.819	1921.825	1125.944	368.737	2300.334	1056.813	30.143	2242.998	1116.726	22.886	2288.124	964.817	59.109	2180.911	1187.607	56.124	2139.431	893.574	33.844	2011.363	1131.902	33.178	2185.787	874.237	26.143	2021.704	1184.436	25.447	1861.407	776.961	382.695	1790.333	1184.350	366.293	1880.547	834.119	456.481	1850.750	1137.884	421.180	1966.228	797.666	418.226	1856.168	1224.009	384.445	2106.985	825.222	796.395	1976.811	1297.391	757.581	2071.944	880.187	647.939	1996.996	1219.009	619.361	2026.959	781.806	680.347	1891.421	1281.229	622.145
1655	16.54000	00:58:22:21	1729.362	958.939	1057.163	1900.928	903.347	1056.908	1847.150	1084.161	1081.840	2005.962	1021.647	791.605	2294.026	949.166	703.094	2229.642	1182.173	689.475	1995.365	904.582	965.695	1931.213	1149.011	935.085	2040.579	1054.466	1035.220	2264.638	1092.376	944.739	2394.712	1132.252	811.642	2368.497	937.002	757.979	2277.336	1256.346	745.318	2122.659	832.985	544.064	2005.732	1136.169	569.981	2146.266	807.623	384.612	2053.132	923.886	414.890	1989.495	1188.303	421.030	2005.544	1037.894	434.911	2060.335	824.392	300.189	1917.751	1125.132	366.195	2300.102	1056.432	30.728	2242.869	1116.477	22.982	2287.709	964.316	59.587	2180.717	1187.350	56.322	2139.063	892.440	33.268	2011.051	1131.987	32.884	2186.261	874.257	25.522	2021.717	1184.475	25.410	1850.332	780.621	367.896	1785.047	1180.395	353.103	1869.593	837.582	441.510	1845.223	1133.664	408.238	1955.015	802.300	402.689	1851.273	1219.281	370.438	2099.327	825.064	780.256	1975.071	1295.603	742.116	2062.167	882.028	632.564	1993.588	1215.702	604.458	2017.114	783.914	664.644	1888.480	1278.808	607.238
1656	16.55000	00:58:22:22	1728.450	959.528	1043.203	1899.995	903.917	1041.739	1846.503	1084.778	1066.738	2004.883	1021.800	776.164	2293.080	947.364	689.725	2230.106	1180.555	677.636	1991.470	905.176	950.108	1930.303	1148.664	920.421	2038.628	1053.498	1020.338	2263.740	1089.779	931.975	2394.904	1129.356	799.382	2367.163	934.354	744.441	2278.230	1254.250	733.834	2119.765	828.712	538.594	2004.976	1134.996	566.389	2141.285	803.234	378.695	2047.633	920.378	410.606	1985.643	1187.390	418.472	2001.751	1036.729	431.462	2055.815	820.813	296.204	1913.584	1124.240	363.385	2300.041	1055.508	31.703	2242.815	1116.206	23.131	2286.867	963.009	59.599	2180.563	1187.096	56.459	2138.949	892.490	33.493	2011.188	1132.227	33.164	2184.838	873.535	26.420	2021.710	1184.498	25.342	1839.953	784.607	353.448	1779.997	1176.536	340.442	1858.979	841.599	426.982	1840.167	1129.422	395.235	1944.459	807.341	387.314	1846.578	1214.597	356.777	2091.374	826.048	763.980	1973.459	1293.766	727.054	2052.822	883.728	617.384	1990.153	1212.454	589.992	2007.768	786.137	649.180	1885.728	1276.400	592.976
1657	16.56000	00:58:22:22	1727.669	960.179	1029.624	1899.133	904.451	1026.729	1846.043	1085.421	1051.870	2003.628	1021.937	761.027	2292.366	945.344	676.862	2230.164	1179.194	666.206	1987.642	905.855	935.124	1929.508	1148.242	905.950	2036.733	1052.434	1005.796	2262.592	1087.333	919.112	2395.020	1126.443	787.218	2365.991	931.728	732.085	2279.185	1252.360	722.513	2116.960	827.934	533.827	2004.472	1133.852	562.905	2135.880	799.231	374.460	2042.363	917.010	406.534	1981.835	1186.578	416.117	1997.752	1035.563	428.246	2051.254	817.134	293.223	1909.709	1123.648	361.074	2300.007	1054.744	32.727	2243.245	1115.688	24.240	2286.368	962.064	60.331	2181.263	1186.436	55.774	2138.540	892.189	33.259	2011.148	1132.180	33.162	2184.457	873.470	26.320	2021.703	1184.474	25.340	1830.044	789.060	339.321	1775.174	1172.472	328.479	1848.841	846.039	412.725	1835.312	1125.146	382.738	1934.370	812.551	372.201	1841.891	1210.111	343.315	2084.278	826.230	748.184	1971.957	1291.949	712.533	2044.312	885.560	602.612	1987.525	1209.419	575.692	1999.114	788.325	634.038	1883.016	1273.870	579.075
1658	16.57000	00:58:22:22	1727.021	960.842	1016.361	1898.320	904.949	1012.005	1845.650	1086.123	1037.299	2003.003	1021.945	745.909	2291.629	943.501	663.734	2230.253	1177.798	654.731	1983.865	906.523	920.207	1928.757	1147.769	891.894	2034.821	1051.259	991.316	2261.554	1084.817	906.650	2395.083	1123.581	775.161	2364.494	929.097	719.445	2280.111	1250.399	711.245	2114.509	826.546	529.765	2004.429	1132.732	559.048	2130.660	795.619	372.314	2037.927	914.000	402.596	1978.325	1185.945	413.532	1993.624	1034.512	425.137	2046.703	814.270	290.348	1904.982	1122.378	359.726	2299.950	1054.341	33.893	2243.103	1115.231	24.284	2285.873	961.445	61.094	2181.899	1185.768	54.829	2138.415	891.902	33.043	2011.040	1132.103	33.137	2184.364	873.184	26.215	2021.679	1184.438	25.337	1820.707	793.353	325.346	1770.423	1168.197	316.875	1839.419	850.259	398.808	1830.244	1121.089	371.185	1924.756	817.778	357.378	1837.300	1205.763	330.480	2077.414	826.408	732.713	1970.431	1290.133	698.513	2036.552	887.318	587.955	1982.245	1205.071	562.415	1990.732	790.528	618.875	1880.295	1271.342	565.723
1659	16.58000	00:58:22:22	1726.524	961.545	1003.874	1897.610	905.442	997.627	1845.520	1086.759	1023.014	2002.827	1022.313	730.991	2290.869	941.751	650.906	2229.962	1176.241	643.546	1980.209	907.147	905.621	1928.044	1147.186	878.189	2032.772	1049.737	976.747	2260.352	1082.563	894.614	2395.144	1120.868	763.382	2363.117	926.612	707.486	2280.734	1248.495	699.719	2112.281	825.234	525.720	2004.198	1131.687	555.435	2125.763	792.399	371.255	2033.554	911.822	399.169	1975.180	1185.502	410.771	1989.635	1033.451	422.040	2042.659	811.710	287.268	1901.435	1122.052	357.482	2299.678	1054.265	35.152	2243.165	1114.768	24.562	2285.280	961.112	61.892	2179.869	1186.440	56.832	2138.594	890.706	33.250	2010.957	1132.050	33.091	2184.144	873.310	25.892	2021.662	1184.363	25.318	1811.758	797.768	311.532	1765.788	1164.289	305.691	1830.376	854.578	385.075	1826.097	1117.149	359.314	1915.513	822.904	342.856	1832.775	1201.520	318.218	2070.713	826.492	717.497	1968.856	1288.337	684.639	2029.590	888.460	573.333	1979.237	1202.283	549.197	1982.852	792.651	603.960	1877.401	1268.828	552.582
1660	16.59000	00:58:22:23	1726.103	962.323	991.947	1896.933	905.933	983.531	1845.565	1087.414	1009.023	2001.777	1022.417	716.849	2290.021	939.991	638.621	2229.862	1174.596	632.379	1976.744	907.792	891.310	1927.316	1146.457	864.619	2031.015	1048.473	962.993	2259.535	1079.992	882.801	2395.181	1118.291	751.920	2361.842	924.183	695.983	2281.363	1246.632	688.327	2110.488	823.735	521.905	2003.903	1130.658	551.736	2121.112	789.399	368.992	2030.071	908.799	395.753	1971.924	1184.147	408.955	1985.942	1032.419	418.479	2038.880	809.024	284.036	1898.268	1121.542	355.134	2299.087	1054.385	36.436	2243.288	1114.461	24.730	2284.515	961.066	62.840	2179.917	1185.998	57.038	2137.846	891.829	32.771	2010.987	1132.039	33.041	2183.843	873.769	25.893	2021.707	1184.370	25.277	1803.222	802.371	298.033	1761.321	1160.350	295.013	1821.830	858.764	371.942	1822.222	1113.111	347.815	1906.806	827.952	328.680	1828.197	1197.573	306.060	2064.073	826.563	702.551	1967.189	1286.570	671.289	2023.321	888.955	559.134	1976.648	1199.912	535.724	1975.123	794.785	589.140	1874.598	1266.291	539.958
