NO_OF_FRAMES	323
NO_OF_CAMERAS	16
NO_OF_MARKERS	41
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-07-07, 11:45:25.704	11686.04658590
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	WaistLFront	WaistRFront	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistL	WaistR	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeOut	RKneeIn	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot2	RForefoot2	LForefoot5	RForefoot5	LHand2	RHand2	LWristIn	RWristIn	LWristOut	RWristOut	LArm	RArm	LElbowIn	RElbowIn	LElbowOut	RElbowOut
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Mixed	Measured	Mixed	Mixed
Frame	Time	SMPTE	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	RKneeIn X	RKneeIn Y	RKneeIn Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LHand2 X	LHand2 Y	LHand2 Z	RHand2 X	RHand2 Y	RHand2 Z	LWristIn X	LWristIn Y	LWristIn Z	RWristIn X	RWristIn Y	RWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	RWristOut X	RWristOut Y	RWristOut Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LElbowOut X	LElbowOut Y	LElbowOut Z	RElbowOut X	RElbowOut Y	RElbowOut Z	
1871	18.70000	01:00:13:08	1598.568	1009.857	1205.693	1753.158	948.228	1274.644	1695.307	1154.902	1282.493	1884.320	1064.202	1035.908	2159.572	1004.999	928.878	2072.115	1234.284	898.973	1877.074	940.717	1206.684	1804.026	1211.870	1175.112	1936.955	1121.092	1310.938	2153.825	1175.862	1205.325	2288.540	1203.114	1053.922	2264.029	1001.445	1028.862	2125.660	1324.620	968.517	2063.383	960.063	615.193	1980.456	1211.278	608.398	2139.365	910.039	496.887	2053.307	1018.705	479.260	2035.337	1273.000	479.412	2042.186	1124.855	473.229	2070.593	932.344	389.461	1968.351	1199.851	386.795	2218.635	1009.126	61.040	2134.386	1206.332	39.797	2188.301	931.392	92.623	2075.074	1260.533	60.413	2011.929	918.292	63.545	1892.539	1201.333	36.221	2056.470	859.455	56.635	1906.853	1243.953	33.788	1912.309	895.945	629.328	1815.361	1253.784	590.223	1941.303	937.930	673.579	1852.490	1248.962	636.941	1964.142	841.263	662.333	1886.782	1345.494	644.276	2038.534	845.793	1071.975	1883.253	1367.124	1015.734	2009.555	932.606	899.046	1920.909	1265.934	870.483	1960.282	823.833	884.469	1829.914	1345.016	882.930
1872	18.71000	01:00:13:08	1593.173	1010.549	1190.014	1746.806	948.182	1260.479	1689.544	1155.050	1268.279	1883.411	1064.525	1023.878	2161.442	1006.095	923.681	2075.537	1234.207	894.006	1869.652	940.862	1194.411	1799.221	1211.204	1163.803	1929.737	1119.181	1300.830	2149.503	1172.918	1201.259	2288.097	1200.721	1052.774	2262.160	999.448	1026.482	2127.597	1323.947	965.570	2062.081	962.731	614.029	1979.231	1211.585	608.578	2135.288	910.413	495.096	2052.920	1021.520	477.948	2032.931	1273.023	479.258	2039.364	1124.976	473.135	2065.390	933.816	389.215	1966.081	1200.084	386.362	2208.935	999.765	56.814	2134.169	1206.162	39.897	2177.019	923.596	89.801	2074.997	1260.488	60.429	1999.628	915.784	65.228	1892.428	1201.379	36.172	2042.084	855.309	57.244	1906.794	1244.033	33.707	1902.503	898.537	618.838	1810.566	1251.060	580.361	1931.742	940.280	663.034	1847.946	1246.634	626.863	1955.219	843.905	651.068	1881.653	1343.483	633.842	2030.151	844.951	1060.636	1879.391	1366.155	1005.432	2001.305	933.350	888.379	1917.444	1264.706	860.112	1951.917	824.647	873.136	1825.818	1343.104	872.806
1873	18.72000	01:00:13:08	1588.149	1011.370	1174.049	1740.739	948.149	1245.843	1684.308	1155.237	1253.687	1881.612	1064.896	1011.451	2161.357	1006.185	918.849	2079.168	1234.101	888.771	1862.447	940.980	1181.679	1795.465	1210.610	1152.703	1922.830	1117.166	1290.361	2145.878	1170.053	1197.601	2287.633	1198.108	1051.339	2260.366	997.240	1023.698	2129.545	1323.043	962.266	2060.747	964.563	612.442	1976.195	1212.518	609.173	2131.329	910.792	493.917	2052.671	1023.464	476.089	2030.542	1273.062	479.069	2035.986	1125.086	473.308	2060.656	934.579	388.700	1963.596	1200.545	385.851	2200.245	992.303	53.408	2134.107	1205.939	40.069	2166.990	917.095	87.004	2074.984	1260.422	60.490	1989.008	913.728	65.679	1892.394	1201.475	36.126	2029.593	852.051	56.941	1906.786	1244.080	33.601	1892.979	901.172	608.000	1805.734	1248.569	570.460	1922.346	942.924	652.123	1843.308	1244.429	616.682	1946.504	846.760	639.223	1876.535	1341.380	623.210	2021.899	844.095	1049.047	1875.888	1365.193	994.922	1993.476	934.182	877.456	1914.172	1263.536	849.776	1943.831	825.598	861.242	1821.912	1341.354	862.406
1874	18.73000	01:00:13:08	1583.475	1012.332	1157.687	1734.999	948.178	1230.775	1679.569	1155.528	1238.841	1879.936	1065.568	999.032	2160.799	1006.242	912.846	2083.554	1233.519	883.148	1855.607	941.188	1168.502	1791.723	1209.606	1141.045	1916.128	1115.025	1279.668	2141.714	1167.112	1192.779	2287.096	1195.297	1049.521	2258.502	994.917	1020.642	2131.549	1322.209	959.272	2059.461	965.852	611.296	1974.890	1213.266	609.038	2127.543	910.850	492.321	2051.666	1024.515	474.451	2028.596	1272.707	478.719	2032.637	1125.284	472.879	2056.060	934.282	387.480	1961.066	1200.753	385.213	2192.856	986.061	50.573	2134.041	1205.757	40.241	2158.515	911.801	84.704	2075.027	1260.371	60.485	1979.960	912.227	65.008	1892.402	1201.596	36.091	2019.005	849.353	55.518	1906.829	1244.160	33.501	1883.668	903.896	596.761	1800.484	1246.068	560.582	1913.085	945.576	641.062	1839.067	1242.067	605.861	1938.098	849.808	627.064	1871.551	1339.324	612.416	2013.938	843.034	1036.958	1872.696	1364.232	984.173	1985.893	935.080	865.920	1910.756	1262.321	839.048	1936.028	826.539	848.975	1818.231	1339.937	851.853
1875	18.74000	01:00:13:09	1579.084	1013.571	1140.707	1729.587	948.336	1215.252	1675.169	1155.664	1223.355	1879.133	1067.427	987.344	2162.316	1003.529	908.385	2086.852	1232.466	876.982	1849.091	941.465	1154.839	1788.896	1208.334	1128.908	1909.648	1112.850	1268.462	2137.763	1163.735	1187.428	2286.529	1192.050	1047.129	2256.596	992.351	1016.999	2133.794	1321.077	955.601	2057.937	966.494	610.224	1973.146	1213.965	609.062	2124.024	910.249	490.980	2049.971	1024.260	472.706	2026.586	1272.336	478.036	2030.617	1125.825	471.764	2052.611	933.059	386.644	1958.170	1201.458	384.491	2186.479	981.365	47.805	2133.994	1205.651	40.528	2151.314	907.672	82.436	2075.056	1260.464	60.450	1972.715	911.104	63.055	1892.445	1201.790	36.053	2010.210	847.453	52.435	1906.847	1244.369	33.412	1874.568	906.639	585.057	1795.161	1243.706	550.295	1903.953	948.308	629.390	1834.906	1240.083	595.040	1929.924	853.013	614.364	1866.467	1337.420	601.238	2006.014	841.843	1024.232	1869.703	1363.233	973.284	1978.534	935.928	854.093	1907.206	1261.131	827.882	1928.198	827.669	836.045	1814.678	1338.701	840.976
1876	18.75000	01:00:13:09	1575.158	1014.669	1123.850	1724.633	948.631	1199.645	1670.898	1156.121	1208.008	1878.213	1068.421	974.549	2162.515	1002.317	902.635	2089.315	1234.223	873.844	1842.948	941.794	1140.988	1785.132	1208.313	1116.640	1903.634	1110.783	1257.178	2134.011	1160.198	1181.825	2285.972	1188.477	1044.391	2254.661	989.467	1012.772	2135.977	1320.569	952.078	2055.771	966.040	609.096	1971.155	1214.811	609.159	2120.951	909.597	489.004	2045.574	1023.532	471.821	2024.607	1271.902	477.317	2026.772	1126.275	471.198	2049.353	931.598	384.928	1954.308	1201.731	383.952	2181.551	978.246	45.366	2133.906	1205.645	40.773	2145.797	904.933	80.033	2075.091	1260.692	60.345	1967.600	910.788	59.328	1892.458	1201.983	36.003	2003.410	846.466	47.939	1906.862	1244.613	33.289	1865.894	909.479	573.056	1789.986	1241.482	539.951	1895.180	950.926	617.397	1830.281	1238.130	584.337	1922.122	856.159	601.392	1861.701	1335.375	589.735	1998.428	840.689	1011.393	1867.086	1362.340	962.225	1971.529	936.700	841.727	1903.772	1259.831	816.718	1920.692	828.798	822.890	1811.355	1337.637	830.014
1877	18.76000	01:00:13:09	1571.661	1015.639	1106.897	1720.063	949.109	1184.151	1666.759	1156.652	1192.609	1877.631	1069.270	962.017	2162.061	1000.706	896.342	2091.617	1234.430	868.752	1837.020	942.126	1126.936	1782.275	1207.844	1103.974	1898.085	1108.746	1245.559	2130.458	1156.488	1175.630	2285.314	1184.717	1041.049	2252.737	986.291	1007.858	2138.225	1320.041	948.744	2052.696	964.913	607.992	1968.838	1215.567	609.203	2118.295	908.715	486.748	2042.022	1022.031	470.284	2021.642	1271.674	476.737	2021.404	1126.625	471.239	2046.493	929.971	382.759	1950.619	1202.842	382.771	2178.568	977.081	43.924	2133.694	1205.806	41.022	2141.891	903.867	77.635	2075.002	1261.054	60.204	1963.246	911.142	53.578	1892.433	1202.250	35.907	1998.799	846.800	42.888	1906.879	1244.832	33.138	1857.503	912.312	560.601	1784.526	1238.844	529.258	1886.730	953.818	605.285	1825.339	1236.361	573.441	1914.328	859.409	588.076	1857.016	1333.427	578.296	1990.965	839.539	997.946	1864.690	1361.407	951.293	1964.876	937.451	828.880	1900.382	1258.580	805.329	1913.100	830.039	809.359	1808.245	1336.690	818.944
1878	18.77000	01:00:13:09	1568.374	1016.780	1089.941	1715.704	949.639	1168.539	1663.102	1158.069	1177.793	1877.062	1070.046	949.348	2161.996	998.916	889.550	2094.379	1234.050	863.012	1831.264	942.462	1112.775	1779.687	1207.331	1091.544	1892.779	1106.799	1233.585	2126.962	1152.599	1169.050	2284.612	1180.694	1037.237	2250.755	982.833	1002.047	2139.205	1319.196	944.745	2049.501	961.981	606.299	1966.288	1216.271	609.142	2115.736	907.055	483.843	2038.834	1020.270	468.139	2017.633	1271.803	476.237	2016.311	1127.066	470.494	2043.640	928.679	379.663	1946.383	1203.385	381.982	2178.126	977.806	42.979	2133.482	1205.920	41.367	2139.819	905.272	75.749	2074.848	1261.395	60.079	1960.381	911.744	46.407	1892.388	1202.488	35.802	1996.547	848.500	38.848	1906.859	1245.049	32.910	1849.474	915.328	547.977	1779.184	1237.658	518.981	1878.727	957.067	592.904	1820.403	1234.475	562.338	1906.594	862.614	574.577	1852.482	1331.581	566.793	1983.630	838.464	984.322	1862.326	1360.452	939.757	1958.419	938.206	815.929	1896.965	1257.266	793.622	1905.614	831.474	795.571	1805.258	1335.828	807.630
1879	18.78000	01:00:13:10	1565.285	1018.109	1073.048	1711.444	950.155	1153.062	1659.468	1158.819	1162.365	1876.644	1070.664	936.566	2161.816	997.147	882.040	2096.980	1233.239	856.761	1825.658	942.772	1098.551	1776.336	1207.566	1078.329	1887.736	1104.879	1221.607	2123.519	1148.744	1162.095	2284.087	1177.044	1033.469	2249.253	978.158	996.597	2141.553	1317.065	939.637	2045.356	958.800	604.125	1963.465	1216.978	608.787	2112.924	905.493	480.509	2035.593	1018.518	465.486	2012.938	1272.051	475.639	2010.365	1127.343	470.017	2040.886	927.471	375.978	1942.370	1204.560	381.051	2178.112	980.972	39.239	2133.236	1205.921	41.615	2140.350	908.559	73.456	2074.736	1261.678	60.025	1960.345	912.887	40.697	1892.335	1202.735	35.715	1996.806	850.590	36.758	1906.854	1245.173	32.653	1841.784	918.910	535.058	1773.687	1235.962	508.292	1871.048	960.254	580.214	1815.389	1232.830	551.313	1898.914	865.956	560.906	1847.918	1329.642	554.914	1976.360	837.436	970.390	1860.095	1359.529	928.089	1952.309	939.040	802.587	1893.663	1256.043	781.882	1898.016	833.128	781.607	1802.355	1335.028	796.215
1880	18.79000	01:00:13:10	1562.342	1019.611	1056.180	1707.227	950.666	1137.629	1656.298	1159.601	1147.083	1875.686	1071.420	924.080	2161.442	995.557	873.627	2098.441	1232.815	851.694	1820.201	943.087	1084.256	1777.633	1207.107	1065.870	1883.050	1102.910	1209.480	2120.080	1144.918	1154.797	2283.358	1172.900	1028.983	2246.807	975.044	989.221	2143.624	1314.790	933.968	2041.715	956.184	600.787	1960.823	1217.963	607.829	2109.436	903.615	476.515	2032.522	1016.983	462.195	2008.197	1272.382	474.778	2004.438	1127.448	469.153	2037.625	926.929	371.660	1937.993	1205.373	379.699	2178.254	983.460	36.187	2132.977	1205.922	41.839	2141.393	911.572	71.903	2074.621	1261.903	59.896	1960.773	915.661	38.826	1892.263	1202.974	35.562	1996.615	853.092	37.236	1906.830	1245.367	32.334	1834.391	922.571	522.003	1768.242	1234.586	497.117	1863.861	963.245	567.128	1810.427	1231.306	539.990	1891.337	869.511	547.092	1843.460	1327.877	542.988	1969.154	836.536	956.186	1857.990	1358.627	916.268	1946.399	939.965	789.158	1890.393	1254.807	769.829	1890.479	834.923	767.536	1799.575	1334.256	784.682
