NO_OF_FRAMES	270
NO_OF_CAMERAS	16
NO_OF_MARKERS	41
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-07-07, 12:06:54.024	12974.36740810
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	WaistLFront	WaistRFront	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistL	WaistR	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeOut	RKneeIn	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot2	RForefoot2	LForefoot5	RForefoot5	LHand2	RHand2	LWristIn	RWristIn	LWristOut	RWristOut	LArm	RArm	LElbowIn	RElbowIn	LElbowOut	RElbowOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured
Frame	Time	SMPTE	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	RKneeIn X	RKneeIn Y	RKneeIn Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LHand2 X	LHand2 Y	LHand2 Z	RHand2 X	RHand2 Y	RHand2 Z	LWristIn X	LWristIn Y	LWristIn Z	RWristIn X	RWristIn Y	RWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	RWristOut X	RWristOut Y	RWristOut Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LElbowOut X	LElbowOut Y	LElbowOut Z	RElbowOut X	RElbowOut Y	RElbowOut Z	
242	2.41000	01:21:25:08	262.472	1297.819	1639.444	395.046	1407.417	1589.081	214.025	1464.095	1616.562	304.535	1394.011	1309.352	440.802	1419.964	1004.135	191.928	1415.308	999.938	457.062	1498.238	1435.424	155.346	1507.055	1426.727	308.051	1599.277	1437.535	315.325	1645.269	1197.057	299.397	1627.027	1020.777	477.964	1508.106	1019.904	136.748	1506.953	1005.285	421.823	1427.014	604.351	215.865	1430.048	603.281	479.024	1552.672	472.449	319.738	1531.385	484.683	133.600	1541.437	490.943	297.478	1546.921	487.125	424.132	1481.551	383.370	193.792	1482.142	411.511	401.780	1653.139	29.030	236.835	1635.058	31.048	463.643	1590.277	60.786	148.614	1583.799	52.502	413.933	1427.465	41.773	208.933	1412.341	39.808	460.552	1447.155	32.473	156.735	1418.885	26.188	737.761	1512.019	835.295	-172.064	1488.125	880.776	661.101	1498.653	888.289	-86.684	1498.614	893.852	664.823	1596.483	864.012	-147.327	1573.189	897.715	503.069	1632.429	1211.814	69.499	1640.678	1205.789	489.154	1610.117	1058.738	78.545	1586.421	1059.930	591.293	1628.817	1111.469	-35.641	1622.549	1103.414
243	2.42000	01:21:25:08	262.552	1297.379	1638.952	395.128	1407.071	1588.828	214.124	1463.746	1616.480	304.359	1393.801	1309.131	440.712	1419.484	1003.933	191.825	1415.290	999.897	457.868	1497.403	1434.637	155.146	1507.345	1425.877	308.479	1599.148	1437.011	315.843	1645.089	1196.677	299.630	1626.840	1020.523	478.015	1507.519	1019.828	136.722	1506.802	1005.108	421.677	1427.302	604.211	216.248	1429.397	603.932	479.076	1553.074	472.503	319.838	1532.035	484.750	133.577	1541.327	490.926	297.471	1546.851	487.135	424.216	1482.008	383.485	194.080	1481.879	411.651	401.780	1653.123	28.983	236.845	1635.052	31.052	463.676	1590.322	60.777	148.630	1583.808	52.497	413.942	1427.468	41.781	208.914	1412.354	39.873	460.470	1446.933	32.722	156.731	1418.885	26.184	724.168	1513.779	824.100	-159.287	1491.281	868.036	649.679	1499.281	879.906	-74.272	1501.895	883.842	651.870	1597.474	856.767	-135.526	1576.317	887.719	501.720	1631.053	1209.899	72.605	1640.063	1203.031	483.203	1607.981	1057.389	85.548	1585.563	1057.503	586.924	1626.183	1107.257	-29.746	1621.198	1097.869
244	2.43000	01:21:25:09	262.655	1296.966	1638.429	395.220	1406.796	1588.563	214.239	1463.422	1616.381	304.215	1393.632	1308.948	440.515	1419.174	1003.746	191.718	1415.284	999.859	458.629	1496.569	1433.830	154.945	1507.642	1425.037	308.873	1599.081	1436.624	316.462	1644.529	1196.243	299.893	1626.644	1020.275	477.968	1507.162	1019.855	136.724	1506.829	1005.101	421.542	1427.645	604.088	215.704	1430.040	603.356	479.158	1553.593	472.626	319.943	1532.675	484.778	133.550	1541.195	490.907	297.440	1546.644	487.126	424.303	1482.511	383.622	194.328	1481.796	411.808	401.765	1653.144	28.985	236.839	1635.053	31.066	463.690	1590.364	60.771	148.621	1583.787	52.511	413.953	1427.473	41.772	208.908	1412.341	39.799	460.463	1446.923	32.727	156.720	1418.872	26.182	710.744	1515.649	813.703	-146.253	1494.645	855.655	638.472	1499.855	872.111	-61.882	1505.308	874.334	639.131	1598.457	850.255	-123.451	1580.377	877.981	500.606	1629.251	1208.059	75.709	1639.338	1200.326	477.451	1605.878	1056.358	92.331	1584.449	1055.149	582.540	1623.298	1103.435	-23.845	1619.659	1092.512
245	2.44000	01:21:25:09	262.766	1296.588	1637.924	395.327	1406.570	1588.328	214.358	1463.075	1616.283	304.068	1393.538	1308.795	440.413	1418.665	1003.553	191.616	1415.251	999.834	459.365	1495.697	1433.119	154.779	1507.903	1424.174	309.453	1598.987	1436.263	316.972	1644.315	1195.907	300.110	1626.481	1020.058	477.598	1506.741	1019.558	136.736	1506.868	1005.160	421.373	1428.005	603.968	216.252	1429.030	604.114	479.249	1554.112	472.727	320.035	1533.582	484.786	133.505	1541.016	490.882	297.430	1546.405	487.143	424.358	1483.067	383.743	194.404	1481.691	411.941	401.778	1653.137	28.969	236.853	1635.047	31.065	463.731	1590.416	60.771	148.638	1583.766	52.485	413.958	1427.491	41.801	208.907	1412.331	39.801	460.489	1446.944	32.720	156.701	1418.872	26.180	697.442	1517.556	804.036	-133.156	1498.198	843.845	627.662	1500.161	864.906	-49.297	1508.523	865.492	626.512	1599.332	844.345	-111.526	1583.393	868.958	499.703	1627.809	1206.275	78.913	1638.777	1197.659	471.950	1603.620	1055.475	98.872	1583.200	1052.952	578.625	1619.851	1099.825	-18.121	1617.988	1087.543
246	2.45000	01:21:25:09	262.933	1296.231	1637.419	395.419	1406.421	1588.039	214.433	1462.696	1616.152	303.964	1393.430	1308.610	440.295	1418.198	1003.313	191.492	1415.222	999.834	460.143	1494.793	1432.485	154.607	1508.184	1423.289	310.024	1598.920	1435.976	317.530	1644.097	1195.647	300.364	1626.313	1019.922	476.956	1506.395	1019.179	136.742	1506.904	1005.202	421.144	1428.407	603.798	216.075	1428.512	603.979	479.367	1554.649	472.814	319.997	1533.860	484.452	133.567	1540.337	490.790	297.298	1545.841	486.987	424.427	1483.604	383.904	194.354	1481.505	411.969	401.812	1653.150	28.940	236.880	1635.024	31.083	463.736	1590.460	60.708	148.645	1583.775	52.526	413.956	1427.513	41.801	208.895	1412.331	39.791	460.491	1446.945	32.726	156.702	1418.855	26.184	684.295	1519.429	795.053	-120.037	1501.817	832.541	616.837	1500.598	858.313	-37.033	1511.939	856.937	614.172	1600.126	839.088	-99.693	1586.403	860.460	498.982	1626.374	1204.521	81.940	1638.366	1195.097	466.682	1601.282	1054.850	105.160	1581.731	1050.841	574.588	1617.057	1096.438	-12.612	1616.464	1082.608
247	2.46000	01:21:25:09	263.129	1295.884	1636.960	395.509	1406.325	1587.768	214.440	1462.384	1616.088	303.900	1393.344	1308.415	440.194	1417.668	1003.098	191.385	1415.188	999.819	460.827	1493.879	1431.924	154.476	1508.493	1422.394	310.545	1598.872	1435.727	318.127	1643.876	1195.364	300.634	1626.113	1019.738	476.442	1505.972	1018.868	136.761	1506.918	1005.242	420.904	1428.827	603.679	216.340	1428.834	604.427	479.526	1555.138	472.873	320.099	1534.656	484.463	133.571	1540.538	490.909	297.274	1545.480	486.972	424.528	1484.147	384.050	194.331	1481.293	411.959	401.855	1653.170	28.907	236.892	1635.035	31.084	463.770	1590.534	60.596	148.657	1583.751	52.542	413.987	1427.549	41.832	208.891	1412.333	39.797	460.503	1446.963	32.729	156.711	1418.863	26.184	671.349	1521.302	786.946	-106.933	1505.595	821.913	605.947	1501.308	852.208	-24.561	1515.163	849.139	601.956	1600.731	834.266	-88.054	1589.622	852.752	498.378	1624.973	1202.879	84.921	1637.430	1192.478	461.725	1598.947	1054.300	111.120	1582.127	1049.176	570.737	1614.087	1093.249	-7.583	1614.877	1077.857
248	2.47000	01:21:25:10	263.847	1296.038	1635.806	395.592	1406.294	1587.499	214.491	1462.078	1615.985	303.840	1393.262	1308.217	440.245	1416.922	1002.811	191.410	1415.465	999.850	461.423	1492.958	1431.367	154.378	1508.812	1421.526	311.081	1598.866	1435.425	318.653	1643.661	1195.163	300.941	1626.883	1020.201	477.721	1505.042	1019.172	136.793	1506.948	1005.246	420.662	1429.182	603.540	216.241	1428.613	604.436	479.672	1555.553	472.919	320.229	1535.432	484.436	133.571	1540.793	491.082	297.274	1545.210	487.043	424.619	1484.653	384.193	194.324	1481.084	411.948	401.918	1653.205	28.892	236.925	1635.016	31.098	463.797	1590.534	60.523	148.679	1583.764	52.541	414.011	1427.586	41.831	208.880	1412.330	39.809	460.527	1446.991	32.712	156.698	1418.876	26.181	658.630	1523.047	779.658	-94.009	1509.009	812.120	595.827	1501.672	846.873	-13.026	1518.499	841.793	590.332	1601.172	830.195	-76.295	1593.002	845.403	498.031	1623.424	1201.348	87.610	1636.401	1189.978	456.636	1597.264	1053.864	117.129	1581.203	1047.381	566.967	1611.350	1090.470	-2.488	1613.442	1073.371
249	2.48000	01:21:25:10	264.117	1295.718	1635.231	395.666	1406.296	1587.192	214.529	1461.741	1615.864	303.750	1393.179	1308.051	440.142	1416.496	1002.589	190.948	1415.130	1000.050	461.986	1492.030	1430.936	154.364	1509.140	1420.780	311.632	1598.902	1435.060	319.312	1643.410	1194.830	301.135	1626.591	1019.886	477.579	1504.539	1018.875	136.877	1507.107	1005.385	420.378	1429.447	603.383	216.022	1428.393	604.446	479.844	1555.936	472.959	320.380	1536.199	484.410	133.463	1540.362	490.846	297.284	1544.979	487.079	424.754	1485.113	384.286	194.268	1480.864	411.943	401.978	1653.216	28.858	236.943	1635.008	31.085	463.896	1590.597	60.489	148.729	1583.767	52.540	414.034	1427.628	41.825	208.871	1412.329	39.820	460.549	1447.005	32.706	156.683	1418.863	26.179	646.227	1524.598	773.009	-81.104	1512.982	802.798	587.045	1502.187	842.985	-0.952	1521.826	834.980	579.112	1601.548	826.777	-64.559	1595.837	838.664	497.708	1622.288	1200.287	90.129	1635.362	1187.682	452.706	1594.785	1053.968	123.066	1577.916	1045.514	563.620	1608.306	1087.812	2.453	1611.805	1069.179
250	2.49000	01:21:25:10	264.391	1295.435	1634.698	395.774	1406.290	1586.930	214.576	1461.414	1615.749	303.656	1393.101	1307.885	440.062	1416.068	1002.374	190.956	1415.087	999.975	462.487	1491.060	1430.612	154.316	1509.516	1420.178	312.251	1598.963	1434.638	320.129	1643.116	1194.381	301.876	1627.385	1020.226	477.196	1504.165	1018.384	136.931	1507.102	1005.327	419.741	1428.963	603.661	215.364	1428.616	604.350	480.001	1556.270	472.986	320.545	1536.759	484.382	133.079	1539.976	490.433	297.343	1544.604	487.066	424.889	1485.528	384.328	194.309	1480.648	411.928	402.066	1653.242	28.816	237.001	1635.026	31.099	463.945	1590.629	60.398	148.750	1583.748	52.565	414.040	1427.662	41.837	208.870	1412.330	39.868	460.578	1447.027	32.707	156.693	1418.859	26.170	634.257	1525.683	767.178	-68.051	1517.468	793.762	576.246	1500.809	837.442	10.912	1525.116	828.896	568.436	1601.834	824.033	-52.827	1599.030	832.515	497.656	1620.883	1199.212	92.422	1634.427	1185.607	448.882	1593.066	1054.042	128.401	1576.618	1044.242	560.539	1605.272	1085.536	7.298	1610.150	1065.268
251	2.50000	01:21:25:10	264.604	1295.131	1634.194	395.863	1406.289	1586.690	214.588	1461.154	1615.674	303.554	1393.036	1307.733	440.016	1415.647	1002.228	191.014	1414.879	999.800	462.890	1490.110	1430.371	154.303	1509.864	1419.610	312.807	1598.940	1434.237	320.857	1642.830	1193.945	301.990	1626.957	1019.748	477.309	1503.746	1018.183	136.635	1506.493	1005.386	419.209	1429.086	603.732	215.432	1428.307	604.436	480.175	1556.531	473.009	320.680	1537.286	484.353	133.472	1539.761	490.679	297.380	1544.246	487.105	425.002	1485.851	384.377	194.278	1480.442	411.974	402.158	1653.257	28.797	237.060	1634.993	31.098	464.042	1590.630	60.341	148.790	1583.743	52.592	414.065	1427.691	41.830	208.869	1412.327	39.814	460.596	1447.024	32.706	156.700	1418.859	26.174	622.367	1526.760	761.844	-55.382	1521.503	785.791	566.018	1501.835	833.707	22.181	1527.805	823.624	558.377	1601.956	821.576	-41.380	1602.164	826.989	497.731	1619.526	1198.301	94.522	1633.448	1183.779	444.786	1593.289	1054.768	132.253	1573.992	1043.780	557.682	1602.190	1083.459	12.125	1608.695	1061.698
