NO_OF_FRAMES	426
NO_OF_CAMERAS	16
NO_OF_MARKERS	41
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-07-07, 12:11:59.585	13279.92769180
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	WaistLFront	WaistRFront	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistL	WaistR	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeOut	RKneeIn	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot2	RForefoot2	LForefoot5	RForefoot5	LHand2	RHand2	LWristIn	RWristIn	LWristOut	RWristOut	LArm	RArm	LElbowIn	RElbowIn	LElbowOut	RElbowOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	SMPTE	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	RKneeIn X	RKneeIn Y	RKneeIn Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LHand2 X	LHand2 Y	LHand2 Z	RHand2 X	RHand2 Y	RHand2 Z	LWristIn X	LWristIn Y	LWristIn Z	RWristIn X	RWristIn Y	RWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	RWristOut X	RWristOut Y	RWristOut Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LElbowOut X	LElbowOut Y	LElbowOut Z	RElbowOut X	RElbowOut Y	RElbowOut Z	
2467	24.66000	01:26:53:03	342.216	940.531	1389.044	408.744	1101.427	1436.774	199.372	1056.067	1439.842	296.050	1185.916	1170.202	373.939	1360.713	947.789	128.274	1345.377	965.620	450.831	1214.746	1325.474	136.321	1155.552	1312.698	250.543	1308.664	1411.221	243.875	1484.014	1239.353	247.830	1568.856	1070.081	426.996	1479.447	1017.927	67.835	1444.943	1023.299	310.949	1304.993	590.002	123.336	1420.644	577.950	381.663	1368.684	475.565	242.351	1348.059	463.607	70.031	1534.065	488.718	226.041	1507.329	463.622	321.038	1320.024	369.927	124.771	1480.550	381.594	349.597	1479.616	46.945	114.445	1671.402	44.309	390.979	1413.649	82.067	52.273	1619.469	62.145	306.559	1251.288	31.521	85.437	1432.767	35.013	376.594	1259.506	37.511	44.196	1451.204	29.082	539.231	1441.004	794.356	-20.788	911.339	882.515	487.997	1436.034	839.075	11.549	954.268	874.217	561.577	1506.749	837.898	-50.558	1024.486	827.879	517.191	1447.465	1237.033	0.039	1230.255	1127.836	464.990	1463.915	1066.584	78.643	1151.804	989.225	581.745	1458.661	1054.174	-33.219	1142.983	1038.880
2468	24.67000	01:26:53:04	345.080	941.441	1390.035	410.509	1102.788	1437.511	201.371	1056.157	1440.419	296.908	1186.076	1170.616	373.561	1360.720	947.707	128.004	1344.842	965.850	451.987	1215.875	1325.386	136.626	1155.647	1314.172	251.530	1309.169	1411.496	243.923	1484.149	1239.290	247.297	1568.732	1070.069	426.755	1479.207	1017.492	67.400	1444.370	1023.423	310.608	1305.061	589.920	122.948	1420.564	577.818	381.325	1368.814	475.530	241.987	1348.196	463.502	69.861	1534.122	488.826	225.321	1507.343	463.726	320.780	1320.148	369.899	124.463	1480.630	381.605	349.621	1479.631	46.909	114.451	1671.412	44.293	390.980	1413.671	82.035	52.251	1619.493	62.094	306.554	1251.297	31.537	85.426	1432.779	35.017	376.590	1259.527	37.524	44.107	1451.249	28.961	539.104	1443.482	794.397	-15.419	912.210	883.676	487.897	1438.273	839.121	15.607	955.472	875.492	561.252	1509.176	838.103	-47.648	1024.901	828.928	517.123	1448.971	1237.009	0.969	1230.788	1128.731	464.943	1465.527	1066.648	80.165	1153.733	989.880	581.713	1460.773	1054.162	-31.531	1143.894	1039.289
2469	24.68000	01:26:53:04	347.957	942.412	1391.003	412.239	1104.230	1438.257	203.328	1056.113	1441.121	297.655	1186.285	1171.023	373.212	1360.656	947.690	127.675	1344.376	966.173	453.168	1217.017	1325.261	137.694	1155.742	1315.089	252.501	1309.721	1411.800	243.968	1484.304	1239.230	246.952	1568.663	1070.044	427.259	1474.412	1016.538	66.981	1443.897	1023.562	310.234	1305.133	589.788	122.482	1420.523	577.744	380.787	1368.823	475.630	241.634	1348.339	463.370	69.521	1534.245	488.706	225.065	1507.267	463.704	320.490	1320.285	369.848	124.195	1480.700	381.638	349.594	1479.652	46.833	114.451	1671.418	44.277	390.984	1413.711	82.031	52.244	1619.520	62.046	306.550	1251.328	31.544	85.371	1432.791	35.006	376.591	1259.526	37.532	44.112	1451.214	29.062	538.919	1446.062	794.337	-10.337	912.969	884.929	487.751	1440.525	839.111	20.121	956.654	876.737	560.861	1511.719	838.225	-43.948	1025.120	829.817	517.039	1450.532	1236.910	1.896	1231.313	1129.667	464.865	1467.125	1066.691	81.661	1155.711	990.608	581.650	1462.891	1054.117	-29.841	1144.693	1039.765
2470	24.69000	01:26:53:04	350.753	943.450	1391.918	413.978	1105.709	1439.031	205.367	1056.334	1441.826	298.303	1186.547	1171.455	373.681	1359.825	947.916	127.378	1343.896	966.487	454.290	1218.142	1325.172	138.696	1155.850	1315.936	253.521	1310.333	1412.159	244.027	1484.488	1239.155	246.433	1568.417	1069.968	426.864	1476.722	1016.578	66.608	1443.467	1023.705	309.775	1305.219	589.633	122.075	1420.478	577.699	380.413	1368.877	475.482	241.268	1348.499	463.310	69.328	1534.374	488.712	224.809	1507.208	463.731	320.211	1320.387	369.800	123.944	1480.786	381.630	349.604	1479.662	46.781	114.465	1671.431	44.233	390.954	1413.740	82.025	52.226	1619.554	62.008	306.559	1251.333	31.548	85.320	1432.828	35.022	376.580	1259.533	37.554	44.094	1451.227	29.040	538.664	1448.716	794.249	-4.932	913.657	886.197	487.569	1442.863	839.050	24.950	957.774	877.962	560.301	1514.427	838.312	-39.888	1025.160	830.648	516.923	1452.027	1236.855	2.907	1231.805	1130.527	464.706	1468.707	1066.701	83.210	1157.616	991.389	581.505	1464.972	1054.069	-28.075	1145.374	1040.284
2471	24.70000	01:26:53:04	353.553	944.540	1392.889	415.664	1107.271	1439.834	207.579	1056.734	1442.386	298.943	1186.789	1171.885	373.290	1359.710	947.946	127.078	1343.445	966.808	455.333	1219.283	1325.054	139.743	1156.095	1316.967	254.520	1310.992	1412.517	244.118	1484.722	1239.094	245.981	1567.809	1069.557	426.486	1476.734	1016.285	66.231	1443.060	1023.877	309.300	1305.310	589.513	121.713	1420.407	577.645	380.086	1368.951	475.472	240.928	1348.636	463.221	69.158	1534.467	488.728	224.590	1507.178	463.762	319.975	1320.485	369.776	123.712	1480.872	381.666	349.575	1479.657	46.740	114.474	1671.435	44.227	390.948	1413.741	81.992	52.239	1619.596	62.005	306.549	1251.355	31.569	85.290	1432.843	35.025	376.595	1259.535	37.555	44.080	1451.239	29.049	538.521	1451.241	794.122	0.544	914.284	887.537	487.586	1445.184	838.902	30.174	958.902	879.205	559.663	1516.956	838.418	-35.552	1025.178	831.568	516.837	1453.457	1236.734	3.911	1232.174	1131.524	464.540	1470.240	1066.622	84.775	1159.424	992.269	581.348	1466.961	1053.950	-26.086	1145.795	1040.946
2472	24.71000	01:26:53:05	356.336	945.669	1393.922	417.361	1108.858	1440.675	209.487	1056.836	1443.149	299.498	1187.047	1172.356	372.854	1359.534	948.041	126.769	1343.045	967.098	456.352	1220.435	1324.916	140.765	1156.312	1317.986	255.471	1311.736	1412.828	244.178	1484.958	1238.979	245.471	1567.601	1069.445	426.120	1476.856	1016.048	65.811	1442.711	1023.969	308.841	1305.339	589.450	121.360	1420.337	577.578	379.785	1368.973	475.498	240.617	1348.706	463.118	68.977	1534.527	488.767	224.324	1507.091	463.814	319.747	1320.543	369.762	123.469	1480.924	381.660	349.591	1479.670	46.705	114.480	1671.435	44.215	390.955	1413.742	81.955	52.261	1619.614	61.950	306.563	1251.366	31.573	85.269	1432.869	35.056	376.609	1259.542	37.560	44.052	1451.243	29.050	538.252	1453.974	793.912	6.386	914.834	888.867	488.342	1447.525	839.027	35.654	959.940	880.581	559.199	1519.707	838.398	-30.878	1025.084	832.433	516.692	1454.895	1236.565	4.179	1232.318	1132.874	464.319	1471.774	1066.559	86.602	1161.145	993.521	581.146	1468.974	1053.849	-24.087	1146.079	1041.579
2473	24.72000	01:26:53:05	359.106	946.898	1394.867	419.024	1110.508	1441.496	211.499	1057.183	1443.829	300.057	1187.333	1172.910	372.406	1359.344	948.114	126.426	1342.642	967.428	457.317	1221.584	1324.810	141.766	1156.603	1319.111	256.387	1312.490	1413.179	244.213	1485.248	1238.893	245.057	1567.445	1069.378	425.765	1476.856	1015.860	65.423	1442.410	1024.172	308.461	1305.291	589.436	121.068	1420.219	577.567	379.485	1368.963	475.497	240.349	1348.705	463.060	68.935	1534.561	488.856	224.098	1507.014	463.869	319.587	1320.575	369.713	123.213	1480.956	381.666	349.610	1479.664	46.665	114.513	1671.432	44.171	390.982	1413.775	81.957	52.279	1619.644	61.923	306.572	1251.359	31.573	85.235	1432.884	35.057	376.609	1259.561	37.569	43.970	1451.268	28.911	537.918	1456.753	793.680	12.860	915.312	890.037	488.037	1449.945	838.816	41.399	960.837	881.738	558.705	1522.363	838.392	-26.001	1024.936	833.307	516.558	1456.292	1236.409	5.183	1232.415	1133.804	464.095	1473.172	1066.453	88.375	1162.836	994.439	580.907	1470.907	1053.618	-21.985	1146.183	1042.109
2474	24.73000	01:26:53:05	361.799	948.151	1395.840	420.666	1112.248	1442.236	213.646	1057.731	1444.532	300.553	1187.641	1173.460	371.985	1359.169	948.230	126.056	1342.281	967.910	458.253	1222.787	1324.757	142.893	1156.897	1320.140	257.335	1313.333	1413.520	244.258	1485.553	1238.783	244.656	1567.315	1069.299	425.409	1476.863	1015.615	65.014	1442.135	1024.376	308.057	1305.232	589.411	120.742	1420.065	577.419	379.203	1368.951	475.501	240.095	1348.667	462.973	68.599	1534.621	488.780	223.829	1506.847	463.889	319.402	1320.567	369.686	122.938	1480.948	381.654	349.648	1479.659	46.650	114.533	1671.425	44.158	391.021	1413.769	81.931	52.268	1619.671	61.891	306.597	1251.375	31.595	85.188	1432.894	35.086	376.605	1259.565	37.559	43.999	1451.246	29.025	537.541	1459.441	793.348	19.584	915.717	891.221	487.751	1452.267	838.489	47.339	961.715	882.947	558.053	1524.980	838.297	-20.840	1024.691	834.115	516.419	1457.708	1236.187	6.245	1232.375	1134.878	463.833	1474.609	1066.311	90.692	1164.172	995.621	580.598	1472.808	1053.424	-19.637	1145.934	1042.725
2475	24.74000	01:26:53:05	364.493	949.474	1396.874	422.280	1113.955	1443.070	215.631	1058.269	1445.290	301.030	1188.006	1174.049	371.514	1358.980	948.323	125.706	1341.928	968.275	459.159	1224.011	1324.724	144.026	1157.228	1321.306	258.250	1314.198	1413.859	244.235	1485.905	1238.698	244.335	1567.229	1069.255	425.024	1476.853	1015.361	64.596	1441.924	1024.610	307.711	1305.155	589.391	120.408	1419.952	577.429	378.928	1368.915	475.506	239.826	1348.583	462.901	68.447	1534.638	488.891	223.565	1506.673	463.935	319.216	1320.534	369.680	122.677	1480.928	381.649	349.686	1479.638	46.650	114.571	1671.416	44.109	391.044	1413.743	81.929	52.284	1619.695	61.860	306.601	1251.401	31.608	85.150	1432.907	35.092	376.627	1259.568	37.583	43.929	1451.287	28.863	537.124	1462.195	792.962	26.476	915.989	892.386	487.533	1454.225	838.058	53.820	962.474	883.954	557.573	1527.586	838.273	-15.651	1024.364	834.881	516.265	1459.093	1235.914	7.188	1232.185	1135.816	463.537	1476.037	1066.098	94.160	1164.936	997.339	580.258	1474.635	1053.196	-17.243	1145.639	1043.205
2476	24.75000	01:26:53:06	367.183	950.879	1397.901	423.907	1115.769	1443.931	217.453	1058.587	1446.105	301.530	1188.374	1174.618	371.055	1358.795	948.428	125.383	1341.631	968.626	460.094	1225.290	1324.718	145.140	1157.532	1322.292	259.098	1315.102	1414.195	244.163	1486.272	1238.593	243.946	1567.132	1069.136	424.660	1476.908	1015.057	64.207	1441.798	1024.780	307.323	1305.054	589.353	120.025	1419.852	577.446	378.613	1368.825	475.534	239.530	1348.477	462.800	68.035	1534.664	488.768	223.295	1506.478	463.947	318.981	1320.499	369.631	122.396	1480.918	381.600	349.717	1479.626	46.646	114.580	1671.434	44.068	391.070	1413.730	81.923	52.284	1619.715	61.803	306.612	1251.417	31.611	85.099	1432.925	35.111	376.621	1259.572	37.593	43.960	1451.259	28.985	536.626	1464.850	792.581	33.614	916.162	893.419	487.144	1456.557	837.665	60.179	963.044	884.987	556.931	1530.111	838.131	-10.229	1023.798	835.639	516.054	1460.505	1235.620	8.342	1231.777	1136.720	463.137	1477.406	1065.907	95.806	1166.430	997.718	579.919	1476.444	1052.876	-14.666	1145.250	1043.778
