NO_OF_FRAMES	721
NO_OF_CAMERAS	16
NO_OF_MARKERS	70
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-07-08, 11:37:28.534	9977.11328250
DATA_INCLUDED	3D
MARKER_NAMES	RKneeIn_A	RKneeIn_B	RKneeOut_A	RKneeOut_B	LKneeIn_B	HeadFront_B	HeadFront_A	LKneeIn_A	HeadL_A	HeadL_B	HeadR_A	HeadR_B	Chest_A	Chest_B	WaistLFront_A	WaistLFront_B	WaistRFront_A	WaistRFront_B	LShoulderTop_A	LShoulderTop_B	RShoulderTop_A	RShoulderTop_B	SpineThoracic2_A	SpineThoracic2_B	SpineThoracic12_A	SpineThoracic12_B	WaistL_A	WaistL_B	WaistR_A	WaistR_B	WaistBack_A	WaistBack_B	LHeelBack_A	LHeelBack_B	RHeelBack_A	RHeelBack_B	LAnkleOut_A	LAnkleOut_B	RAnkleOut_A	RAnkleOut_B	LForefoot2_A	RForefoot2_A	LForefoot2_B	RForefoot2_B	LForefoot5_A	RForefoot5_A	LForefoot5_B	RForefoot5_B	LHand2_A	LHand2_B	RHand2_A	RHand2_B	LWristIn_A	LWristIn_B	RWristIn_A	RWristIn_B	LWristOut_A	RWristOut_A	LWristOut_B	RWristOut_B	LElbowIn_A	LElbowIn_B	RElbowIn_A	RElbowIn_B	LElbowOut_A	LElbowOut_B	RElbowOut_A	RElbowOut_B	LKneeOut_A	LKneeOut_B
TRAJECTORY_TYPES	Mixed	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Measured	Measured	Mixed	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	SMPTE	RKneeIn_A X	RKneeIn_A Y	RKneeIn_A Z	RKneeIn_B X	RKneeIn_B Y	RKneeIn_B Z	RKneeOut_A X	RKneeOut_A Y	RKneeOut_A Z	RKneeOut_B X	RKneeOut_B Y	RKneeOut_B Z	LKneeIn_B X	LKneeIn_B Y	LKneeIn_B Z	HeadFront_B X	HeadFront_B Y	HeadFront_B Z	HeadFront_A X	HeadFront_A Y	HeadFront_A Z	LKneeIn_A X	LKneeIn_A Y	LKneeIn_A Z	HeadL_A X	HeadL_A Y	HeadL_A Z	HeadL_B X	HeadL_B Y	HeadL_B Z	HeadR_A X	HeadR_A Y	HeadR_A Z	HeadR_B X	HeadR_B Y	HeadR_B Z	Chest_A X	Chest_A Y	Chest_A Z	Chest_B X	Chest_B Y	Chest_B Z	WaistLFront_A X	WaistLFront_A Y	WaistLFront_A Z	WaistLFront_B X	WaistLFront_B Y	WaistLFront_B Z	WaistRFront_A X	WaistRFront_A Y	WaistRFront_A Z	WaistRFront_B X	WaistRFront_B Y	WaistRFront_B Z	LShoulderTop_A X	LShoulderTop_A Y	LShoulderTop_A Z	LShoulderTop_B X	LShoulderTop_B Y	LShoulderTop_B Z	RShoulderTop_A X	RShoulderTop_A Y	RShoulderTop_A Z	RShoulderTop_B X	RShoulderTop_B Y	RShoulderTop_B Z	SpineThoracic2_A X	SpineThoracic2_A Y	SpineThoracic2_A Z	SpineThoracic2_B X	SpineThoracic2_B Y	SpineThoracic2_B Z	SpineThoracic12_A X	SpineThoracic12_A Y	SpineThoracic12_A Z	SpineThoracic12_B X	SpineThoracic12_B Y	SpineThoracic12_B Z	WaistL_A X	WaistL_A Y	WaistL_A Z	WaistL_B X	WaistL_B Y	WaistL_B Z	WaistR_A X	WaistR_A Y	WaistR_A Z	WaistR_B X	WaistR_B Y	WaistR_B Z	WaistBack_A X	WaistBack_A Y	WaistBack_A Z	WaistBack_B X	WaistBack_B Y	WaistBack_B Z	LHeelBack_A X	LHeelBack_A Y	LHeelBack_A Z	LHeelBack_B X	LHeelBack_B Y	LHeelBack_B Z	RHeelBack_A X	RHeelBack_A Y	RHeelBack_A Z	RHeelBack_B X	RHeelBack_B Y	RHeelBack_B Z	LAnkleOut_A X	LAnkleOut_A Y	LAnkleOut_A Z	LAnkleOut_B X	LAnkleOut_B Y	LAnkleOut_B Z	RAnkleOut_A X	RAnkleOut_A Y	RAnkleOut_A Z	RAnkleOut_B X	RAnkleOut_B Y	RAnkleOut_B Z	LForefoot2_A X	LForefoot2_A Y	LForefoot2_A Z	RForefoot2_A X	RForefoot2_A Y	RForefoot2_A Z	LForefoot2_B X	LForefoot2_B Y	LForefoot2_B Z	RForefoot2_B X	RForefoot2_B Y	RForefoot2_B Z	LForefoot5_A X	LForefoot5_A Y	LForefoot5_A Z	RForefoot5_A X	RForefoot5_A Y	RForefoot5_A Z	LForefoot5_B X	LForefoot5_B Y	LForefoot5_B Z	RForefoot5_B X	RForefoot5_B Y	RForefoot5_B Z	LHand2_A X	LHand2_A Y	LHand2_A Z	LHand2_B X	LHand2_B Y	LHand2_B Z	RHand2_A X	RHand2_A Y	RHand2_A Z	RHand2_B X	RHand2_B Y	RHand2_B Z	LWristIn_A X	LWristIn_A Y	LWristIn_A Z	LWristIn_B X	LWristIn_B Y	LWristIn_B Z	RWristIn_A X	RWristIn_A Y	RWristIn_A Z	RWristIn_B X	RWristIn_B Y	RWristIn_B Z	LWristOut_A X	LWristOut_A Y	LWristOut_A Z	RWristOut_A X	RWristOut_A Y	RWristOut_A Z	LWristOut_B X	LWristOut_B Y	LWristOut_B Z	RWristOut_B X	RWristOut_B Y	RWristOut_B Z	LElbowIn_A X	LElbowIn_A Y	LElbowIn_A Z	LElbowIn_B X	LElbowIn_B Y	LElbowIn_B Z	RElbowIn_A X	RElbowIn_A Y	RElbowIn_A Z	RElbowIn_B X	RElbowIn_B Y	RElbowIn_B Z	LElbowOut_A X	LElbowOut_A Y	LElbowOut_A Z	LElbowOut_B X	LElbowOut_B Y	LElbowOut_B Z	RElbowOut_A X	RElbowOut_A Y	RElbowOut_A Z	RElbowOut_B X	RElbowOut_B Y	RElbowOut_B Z	LKneeOut_A X	LKneeOut_A Y	LKneeOut_A Z	LKneeOut_B X	LKneeOut_B Y	LKneeOut_B Z	
830	8.29000	00:54:32:07	-1673.651	963.197	407.819	2048.209	861.935	402.985	-1730.089	832.851	417.105	2044.336	996.530	404.948	2044.547	853.287	431.581	1805.992	856.054	1423.031	-1579.140	1011.037	1583.971	-1667.155	1005.435	435.968	-1669.114	1101.848	1516.437	1921.495	753.836	1383.357	-1646.539	892.728	1507.202	1930.852	953.365	1381.492	-1543.917	979.210	1208.197	1917.667	861.127	1097.788	-1581.370	1079.900	854.472	2095.296	732.901	881.631	-1618.492	848.524	869.201	2116.619	1009.827	883.595	-1619.419	1126.587	1288.264	1934.856	723.873	1187.500	-1630.318	818.628	1286.372	1938.914	992.647	1185.874	-1765.897	986.430	1315.780	2070.265	842.268	1259.159	-1802.983	986.312	1198.789	2151.145	850.949	1171.275	-1740.679	1139.704	939.047	2152.019	706.560	945.286	-1757.768	840.847	945.463	2142.689	1015.002	954.272	-1800.591	984.335	1051.680	2216.674	857.716	1057.863	-1828.783	1110.404	30.028	2206.252	757.609	34.569	-1841.292	947.198	27.721	2226.406	914.070	23.284	-1753.313	1143.921	72.937	2137.276	713.758	107.195	-1780.615	879.516	58.077	2154.168	971.829	92.053	-1598.513	1066.021	29.138	-1631.363	867.811	31.482	1936.422	771.381	37.622	1956.640	946.263	47.067	-1621.179	1114.195	25.994	-1672.054	821.278	20.718	1975.811	702.496	21.416	1997.156	999.289	25.167	-1612.509	1219.614	747.075	1806.935	702.007	850.937	-1617.169	753.654	725.569	1811.741	996.131	812.263	-1616.936	1167.256	807.516	1875.747	760.364	902.792	-1618.687	817.664	780.479	1843.128	986.821	875.240	-1685.818	1223.504	770.408	-1687.925	745.089	762.208	1881.860	724.589	813.784	1900.457	972.746	798.687	-1677.698	1139.782	973.015	2054.654	697.585	938.838	-1685.379	824.796	972.688	2029.206	996.094	939.982	-1730.830	1235.347	980.377	2038.960	593.805	931.699	-1739.300	734.401	991.214	2062.924	1096.356	921.177	-1652.642	1137.316	438.813	2042.820	711.856	412.678
831	8.30000	00:54:32:08	-1673.886	962.429	408.036	2049.215	862.051	403.387	-1730.359	831.931	416.872	2045.427	996.637	405.159	2045.182	853.572	431.508	1811.099	856.653	1428.837	-1579.041	1009.267	1583.873	-1664.778	1004.318	435.566	-1669.038	1099.999	1516.315	1926.338	754.418	1388.285	-1646.281	890.908	1507.038	1935.543	954.001	1386.107	-1543.854	977.257	1207.971	1919.743	861.633	1102.807	-1581.426	1078.025	854.361	2094.117	733.451	883.614	-1618.639	846.660	869.039	2115.577	1011.901	887.118	-1619.114	1124.741	1288.103	1938.890	723.971	1192.027	-1630.291	816.791	1286.238	1942.302	993.761	1190.369	-1765.745	984.713	1315.720	2074.482	843.155	1261.975	-1802.857	984.630	1198.746	2154.090	852.074	1172.697	-1740.654	1138.005	938.803	2151.823	707.597	946.926	-1757.913	839.135	945.389	2141.521	1016.144	956.054	-1800.599	982.638	1051.606	2217.725	858.968	1058.228	-1828.698	1110.109	30.594	2206.306	757.636	34.498	-1841.353	947.099	27.634	2226.467	914.079	23.197	-1753.085	1143.836	73.332	2137.585	713.774	107.231	-1780.595	879.438	57.996	2154.380	971.901	91.971	-1598.518	1066.054	29.209	-1631.372	867.804	31.424	1936.493	771.197	37.899	1956.740	946.339	47.238	-1621.115	1114.232	26.022	-1672.075	821.247	20.715	1975.941	702.368	21.527	1997.216	999.349	25.241	-1612.072	1217.846	747.124	1807.728	702.532	857.277	-1617.325	752.068	725.391	1812.162	996.629	817.746	-1616.481	1165.481	807.500	1876.980	761.261	908.175	-1618.823	815.980	780.365	1844.067	987.420	880.390	-1685.252	1221.424	769.842	-1688.050	743.431	762.131	1882.120	725.272	819.030	1900.841	972.826	803.446	-1677.446	1137.939	972.935	2056.426	699.012	942.085	-1685.422	823.024	972.569	2030.685	996.521	943.684	-1730.615	1233.514	980.296	2041.259	595.191	934.818	-1739.384	732.644	991.115	2064.530	1096.553	924.334	-1650.491	1136.101	438.681	2043.927	712.066	413.110
832	8.31000	00:54:32:08	-1673.730	961.543	408.647	2050.223	862.154	403.958	-1730.601	830.990	416.679	2048.730	997.110	403.997	2045.897	853.849	431.340	1816.164	857.192	1434.325	-1578.918	1007.520	1583.731	-1661.537	1003.139	435.882	-1669.021	1098.181	1516.165	1931.114	755.073	1392.887	-1646.090	889.125	1506.904	1940.160	954.644	1390.523	-1543.741	975.351	1207.761	1921.856	862.184	1107.757	-1581.436	1076.266	854.231	2093.063	734.266	885.612	-1618.785	844.852	868.835	2114.953	1014.087	891.682	-1618.858	1122.876	1287.947	1942.832	724.132	1196.319	-1630.294	814.982	1286.089	1945.616	994.821	1194.822	-1765.559	983.011	1315.603	2078.686	844.038	1264.654	-1802.789	982.936	1198.680	2156.873	853.200	1174.059	-1740.615	1136.309	938.340	2151.457	708.574	948.378	-1758.022	837.424	945.261	2140.316	1016.621	957.019	-1800.634	980.946	1051.518	2218.743	860.289	1058.529	-1828.538	1110.000	31.203	2206.349	757.719	34.362	-1841.370	947.075	27.595	2226.500	914.205	23.027	-1752.709	1143.651	73.878	2137.929	713.828	107.326	-1780.636	879.349	57.929	2154.542	971.997	91.867	-1598.422	1066.117	29.291	-1631.339	867.746	31.358	1936.548	770.986	38.155	1956.845	946.359	47.395	-1621.089	1114.262	26.054	-1672.051	821.169	20.699	1976.096	702.175	21.611	1997.262	999.389	25.297	-1611.647	1216.118	747.162	1808.333	703.374	863.187	-1617.435	750.524	725.192	1812.637	997.087	823.019	-1616.094	1163.691	807.503	1878.246	762.214	913.099	-1618.878	814.317	780.229	1844.974	987.917	885.575	-1684.897	1219.511	769.756	-1688.072	741.766	762.063	1882.318	726.000	824.094	1901.078	973.059	808.068	-1677.397	1136.106	973.022	2058.120	700.589	945.209	-1685.558	821.242	972.492	2032.051	996.874	947.271	-1730.367	1231.719	980.108	2043.429	596.746	937.770	-1739.348	730.826	990.909	2065.999	1096.807	927.365	-1648.053	1134.955	438.657	2045.124	712.410	413.440
833	8.32000	00:54:32:08	-1673.931	960.643	408.877	2051.358	862.271	404.220	-1730.957	830.012	416.378	2049.588	997.243	404.289	2046.303	854.162	431.416	1821.097	857.775	1439.549	-1578.777	1005.798	1583.555	-1658.845	1002.115	435.392	-1668.993	1096.403	1516.042	1935.822	755.717	1397.318	-1645.849	887.356	1506.724	1944.698	955.300	1394.838	-1543.653	973.615	1207.545	1923.904	862.621	1112.500	-1581.438	1074.533	854.246	2092.029	735.006	887.591	-1618.889	843.123	868.729	2108.965	1009.545	885.979	-1618.637	1121.076	1287.787	1946.782	724.312	1200.427	-1630.284	813.213	1285.899	1948.699	995.913	1199.145	-1765.428	981.337	1315.515	2082.898	844.918	1267.212	-1802.753	981.261	1198.603	2159.808	853.997	1175.295	-1740.791	1134.637	938.463	2151.214	709.482	949.940	-1758.136	835.761	945.168	2139.119	1017.742	958.686	-1800.681	979.272	1051.450	2219.603	861.573	1058.744	-1828.393	1109.883	32.133	2206.410	757.874	34.306	-1841.394	946.991	27.574	2226.540	914.257	22.916	-1752.361	1143.586	74.458	2138.294	713.898	107.351	-1780.687	879.255	57.819	2154.664	972.104	91.740	-1598.376	1066.203	29.295	-1631.300	867.697	31.341	1936.611	770.539	38.502	1956.910	946.417	47.524	-1621.071	1114.289	26.062	-1672.057	821.105	20.644	1976.300	701.834	21.764	1997.301	999.420	25.346	-1611.192	1214.334	747.204	1808.979	704.147	868.719	-1617.434	749.019	725.035	1813.000	997.465	828.126	-1615.815	1161.885	807.417	1879.283	763.179	917.934	-1618.973	812.725	780.119	1845.768	988.356	890.443	-1684.516	1217.634	769.614	-1688.097	740.123	761.921	1882.512	727.055	828.919	1901.288	973.239	812.645	-1677.169	1134.367	972.772	2059.575	702.250	948.012	-1685.663	819.549	972.397	2032.964	997.392	950.737	-1730.131	1230.054	979.916	2044.951	598.162	940.775	-1739.403	729.083	990.796	2067.422	1097.061	930.243	-1645.604	1133.850	438.622	2046.924	712.421	413.485
834	8.33000	00:54:32:08	-1674.148	959.777	409.036	2053.068	862.517	404.661	-1731.181	829.043	416.162	2050.326	997.293	404.637	2047.075	854.753	432.128	1825.894	858.344	1444.515	-1578.692	1004.119	1583.372	-1655.908	1001.119	435.043	-1668.920	1094.666	1515.907	1940.430	756.337	1401.471	-1645.607	885.641	1506.553	1949.128	955.938	1398.952	-1543.617	971.722	1207.280	1926.008	863.078	1117.060	-1581.608	1072.859	854.141	2090.989	735.725	889.448	-1618.953	841.484	868.591	2107.569	1010.804	888.607	-1618.462	1119.326	1287.591	1950.656	724.562	1204.348	-1630.291	811.470	1285.720	1951.603	996.926	1203.364	-1765.329	979.645	1315.448	2086.880	845.809	1269.575	-1802.700	979.614	1198.518	2162.498	855.082	1176.418	-1740.755	1132.996	937.954	2151.020	710.380	951.365	-1758.195	834.099	945.066	2137.559	1020.235	960.201	-1800.715	977.635	1051.367	2220.716	862.907	1058.832	-1828.203	1109.715	33.009	2206.454	758.151	34.097	-1841.478	946.901	27.543	2226.544	914.275	22.864	-1752.015	1143.498	75.119	2138.599	713.877	107.233	-1780.732	879.131	57.719	2154.738	972.174	91.716	-1598.265	1066.281	29.367	-1631.319	867.622	31.262	1936.711	769.888	38.964	1956.964	946.454	47.654	-1620.912	1114.395	26.222	-1672.093	821.068	20.590	1976.577	701.377	21.980	1997.329	999.429	25.400	-1610.702	1212.621	747.336	1809.548	705.005	873.953	-1617.436	747.547	724.876	1813.332	997.892	833.113	-1615.314	1160.177	807.523	1880.090	764.169	922.641	-1619.089	811.197	779.963	1846.490	988.767	895.129	-1684.154	1215.813	769.424	-1688.089	738.531	761.772	1882.644	728.415	833.502	1901.337	973.374	817.141	-1677.000	1132.603	972.685	2060.725	703.908	950.766	-1685.778	817.825	972.217	2034.026	997.686	954.196	-1729.996	1228.347	979.755	2046.656	599.797	943.363	-1739.449	727.331	990.582	2068.623	1097.272	933.191	-1642.804	1132.815	438.590	2048.922	712.305	413.393
835	8.34000	00:54:32:09	-1674.425	958.932	409.136	2054.187	862.495	405.015	-1731.252	828.026	415.928	2050.970	997.302	404.916	2047.440	854.938	432.089	1830.612	858.904	1449.127	-1578.508	1002.481	1583.227	-1652.724	1000.205	434.824	-1668.834	1092.974	1515.757	1944.832	756.960	1405.478	-1645.375	883.980	1506.429	1953.397	956.579	1402.868	-1543.596	970.097	1207.104	1928.111	863.629	1121.399	-1581.722	1071.296	854.067	2089.979	736.583	891.329	-1619.034	839.929	868.415	2106.190	1012.244	890.166	-1618.364	1117.613	1287.407	1954.475	724.887	1208.059	-1630.267	809.790	1285.539	1954.330	997.603	1207.178	-1765.200	978.019	1315.298	2090.791	846.766	1271.761	-1802.702	978.012	1198.476	2164.956	856.324	1177.388	-1741.004	1131.429	937.950	2150.761	711.260	952.740	-1758.243	832.501	944.981	2136.520	1021.384	961.649	-1800.768	976.020	1051.285	2221.437	864.229	1058.876	-1827.954	1109.620	34.131	2206.516	758.542	33.959	-1841.511	946.829	27.510	2226.573	914.330	22.760	-1751.589	1143.528	75.975	2139.112	713.998	107.248	-1780.712	879.038	57.639	2154.861	972.197	91.597	-1598.176	1066.301	29.408	-1631.285	867.583	31.203	1936.790	769.005	39.516	1957.037	946.473	47.827	-1620.786	1114.470	26.231	-1672.059	820.984	20.586	1976.883	700.809	22.225	1997.369	999.449	25.485	-1610.284	1210.974	747.399	1809.985	705.808	878.730	-1617.422	746.128	724.632	1813.537	998.272	837.848	-1614.930	1158.468	807.527	1880.675	765.116	927.091	-1619.121	809.688	779.871	1847.087	989.169	899.704	-1683.817	1214.000	769.268	-1688.028	737.003	761.553	1882.715	729.924	837.849	1901.415	973.400	821.437	-1676.838	1130.954	972.437	2061.871	705.647	953.257	-1685.810	816.154	972.011	2035.139	997.992	957.409	-1729.847	1226.716	979.542	2047.189	602.353	945.525	-1739.483	725.662	990.443	2069.725	1097.421	935.951	-1639.997	1131.841	438.596	2049.858	712.526	413.829
836	8.35000	00:54:32:09	-1674.674	958.079	409.247	2055.132	862.470	405.311	-1731.319	827.136	415.710	2051.656	997.297	405.275	2047.770	855.042	432.122	1835.114	859.475	1453.531	-1578.363	1000.905	1583.068	-1649.502	999.356	434.518	-1668.753	1091.329	1515.650	1949.188	757.576	1409.369	-1645.115	882.344	1506.237	1957.583	957.220	1406.713	-1543.569	968.459	1206.889	1930.175	864.259	1125.533	-1581.866	1069.809	854.081	2089.024	737.387	893.153	-1619.226	838.421	868.185	2103.492	1014.612	890.261	-1618.260	1116.009	1287.170	1958.201	725.307	1211.639	-1630.209	808.154	1285.348	1957.017	998.255	1210.832	-1765.131	976.418	1315.251	2094.649	847.705	1273.793	-1802.703	976.407	1198.404	2167.422	857.458	1178.299	-1741.211	1129.903	937.881	2150.596	712.172	954.081	-1758.298	830.926	944.890	2135.685	1022.347	963.130	-1800.836	974.425	1051.220	2222.147	865.563	1058.971	-1827.622	1109.510	35.444	2206.543	759.037	33.776	-1841.500	946.754	27.557	2226.584	914.348	22.681	-1750.933	1143.532	76.884	2139.676	714.154	107.248	-1780.702	878.979	57.582	2154.974	972.215	91.550	-1598.019	1066.389	29.491	-1631.251	867.537	31.155	1936.863	767.851	40.084	1957.126	946.497	47.973	-1620.708	1114.532	26.308	-1672.052	820.937	20.558	1977.272	700.046	22.498	1997.399	999.469	25.557	-1609.880	1209.394	747.493	1810.469	706.485	883.189	-1617.370	744.734	724.444	1813.674	998.666	842.490	-1614.574	1156.820	807.595	1880.680	765.007	931.383	-1619.171	808.216	779.751	1847.541	989.624	904.219	-1683.485	1212.242	769.082	-1688.003	735.500	761.407	1882.700	731.481	842.082	1901.419	973.332	825.526	-1676.806	1129.295	972.405	2062.887	707.448	955.638	-1685.869	814.527	971.894	2036.245	998.032	960.567	-1729.876	1225.042	979.420	2048.609	604.156	947.684	-1739.446	723.965	990.268	2070.603	1097.619	938.583	-1637.044	1130.915	438.633	2050.899	712.674	414.204
837	8.36000	00:54:32:09	-1674.930	957.335	409.248	2055.997	862.300	405.874	-1731.252	826.260	415.514	2052.483	997.277	405.580	2047.654	855.240	432.402	1839.484	860.058	1457.705	-1578.185	999.362	1582.918	-1646.116	998.566	434.363	-1668.696	1089.730	1515.557	1953.457	758.215	1413.061	-1644.903	880.782	1506.083	1961.737	957.892	1410.434	-1543.553	966.865	1206.689	1932.111	864.822	1129.487	-1582.087	1068.399	854.058	2088.030	738.204	894.946	-1619.281	836.943	868.054	2102.637	1015.806	893.353	-1618.184	1114.408	1287.070	1961.703	725.711	1214.981	-1630.159	806.587	1285.162	1959.156	998.448	1214.235	-1765.082	974.841	1315.204	2098.347	848.649	1275.675	-1802.688	974.836	1198.334	2169.843	858.631	1179.088	-1740.875	1128.471	936.799	2150.370	713.085	955.349	-1758.357	829.412	944.778	2134.830	1023.280	964.481	-1800.885	972.866	1051.151	2222.424	866.852	1059.044	-1827.249	1109.679	36.792	2206.567	759.609	33.600	-1841.495	946.695	27.579	2226.621	914.343	22.634	-1750.269	1143.623	77.722	2140.270	714.356	107.245	-1780.657	878.916	57.549	2155.107	972.220	91.490	-1597.870	1066.439	29.574	-1631.162	867.457	31.154	1936.903	766.518	40.596	1957.192	946.518	48.139	-1620.560	1114.674	26.350	-1672.120	820.897	20.491	1977.649	699.205	22.836	1997.461	999.476	25.662	-1609.511	1207.892	747.616	1810.737	707.155	887.347	-1617.357	743.353	724.301	1813.658	999.080	847.039	-1614.365	1155.213	807.552	1880.653	765.298	935.605	-1619.212	806.775	779.632	1847.874	990.059	908.463	-1683.206	1210.536	768.920	-1687.935	734.013	761.268	1882.603	733.139	846.089	1901.159	973.441	829.447	-1677.206	1129.002	973.651	2063.952	709.511	957.864	-1686.028	812.934	971.804	2036.597	998.706	963.884	-1729.862	1223.417	979.192	2049.947	606.051	949.603	-1739.454	722.331	990.091	2071.362	1097.758	940.957	-1633.881	1130.114	438.903	2051.905	712.790	414.551
838	8.37000	00:54:32:09	-1675.072	956.607	409.298	2057.346	862.176	406.145	-1731.165	825.409	415.265	2053.378	997.282	405.952	2048.812	854.830	431.987	1843.743	860.586	1461.648	-1578.002	997.873	1582.750	-1642.570	997.843	434.374	-1668.646	1088.183	1515.466	1957.639	758.878	1416.582	-1644.659	879.252	1505.934	1965.742	958.553	1413.935	-1543.501	965.242	1206.414	1934.128	865.457	1133.279	-1582.395	1067.029	854.065	2087.014	739.076	896.417	-1619.325	835.551	867.824	2100.893	1016.611	894.903	-1618.133	1112.859	1286.911	1965.121	726.163	1218.183	-1630.061	805.079	1284.984	1961.759	999.287	1217.823	-1764.971	973.295	1315.076	2101.948	849.576	1277.459	-1802.663	973.323	1198.295	2172.120	859.868	1179.871	-1741.586	1126.926	937.651	2150.253	714.031	956.650	-1758.385	827.936	944.654	2134.013	1024.276	965.768	-1800.979	971.348	1051.109	2222.990	868.154	1059.034	-1826.849	1109.981	38.320	2206.582	760.209	33.438	-1841.472	946.710	27.591	2226.621	914.392	22.532	-1749.389	1143.769	78.886	2140.894	714.540	107.287	-1780.598	878.900	57.509	2155.249	972.207	91.378	-1597.703	1066.544	29.659	-1631.169	867.483	31.072	1936.908	765.101	41.131	1957.258	946.538	48.250	-1620.405	1114.818	26.355	-1672.081	820.882	20.531	1978.039	698.253	23.165	1997.508	999.518	25.779	-1609.551	1207.350	747.692	1810.920	707.725	891.276	-1617.303	742.057	724.136	1813.484	999.468	851.338	-1614.068	1153.738	807.628	1880.683	766.217	939.619	-1619.297	805.422	779.522	1848.003	990.473	912.642	-1682.915	1208.900	768.788	-1687.855	732.609	761.111	1882.359	734.734	849.963	1900.843	973.647	833.290	-1676.809	1126.158	972.430	2064.656	711.480	959.893	-1686.229	811.439	971.776	2037.062	999.032	966.922	-1730.082	1221.734	979.015	2051.138	607.996	951.356	-1739.457	720.741	989.988	2072.004	1097.993	943.385	-1630.631	1129.407	439.167	2053.115	712.861	414.922
839	8.38000	00:54:32:10	-1675.106	955.954	409.368	2058.807	862.012	406.357	-1731.046	824.577	414.999	2054.390	997.240	406.217	2048.981	854.800	431.975	1847.903	861.168	1465.381	-1577.839	996.445	1582.623	-1638.681	997.273	434.429	-1668.552	1086.688	1515.384	1961.713	759.524	1419.977	-1644.427	877.780	1505.784	1969.630	959.217	1417.275	-1543.489	963.818	1206.165	1935.904	865.977	1137.059	-1582.612	1065.763	854.098	2085.984	739.959	897.926	-1619.343	834.238	867.633	2099.031	1017.210	896.085	-1618.143	1111.457	1286.737	1968.358	726.644	1221.204	-1629.923	803.636	1284.807	1964.286	1000.038	1221.228	-1764.876	971.803	1315.018	2105.466	850.485	1279.085	-1802.661	971.809	1198.233	2174.314	861.008	1180.564	-1741.881	1125.536	937.626	2149.978	714.958	957.760	-1758.444	826.496	944.479	2133.146	1025.275	966.919	-1801.090	969.845	1051.084	2223.501	869.438	1058.979	-1826.307	1110.447	40.175	2206.625	760.744	33.261	-1841.439	946.657	27.647	2226.679	914.342	22.527	-1748.584	1144.198	79.933	2141.551	714.689	107.256	-1780.508	878.872	57.481	2155.387	972.196	91.419	-1597.496	1066.637	29.798	-1631.092	867.459	31.007	1936.964	763.550	41.715	1957.351	946.553	48.430	-1620.162	1115.011	26.434	-1672.071	820.882	20.500	1978.572	697.043	23.633	1997.576	999.532	25.898	-1609.295	1206.163	747.863	1811.006	708.135	895.004	-1617.280	740.769	724.011	1813.135	999.829	855.585	-1613.738	1152.338	807.730	1880.649	767.275	943.262	-1619.260	803.990	779.480	1848.061	990.855	916.658	-1682.686	1207.321	768.688	-1687.792	731.276	760.970	1881.880	736.467	853.590	1900.385	973.705	837.069	-1676.683	1124.697	972.182	2065.120	713.445	961.974	-1686.232	809.966	971.631	2037.101	999.363	969.519	-1730.140	1220.178	978.899	2052.087	609.944	953.009	-1739.399	719.207	989.864	2072.485	1098.173	945.624	-1627.289	1128.713	439.429	2054.469	712.886	415.223
