NO_OF_FRAMES	740
NO_OF_CAMERAS	16
NO_OF_MARKERS	70
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-07-08, 11:39:23.814	10092.39355540
DATA_INCLUDED	3D
MARKER_NAMES	RKneeIn_A	RKneeIn_B	RKneeOut_A	RKneeOut_B	LKneeIn_B	HeadFront_B	HeadFront_A	LKneeIn_A	HeadL_A	HeadL_B	HeadR_A	HeadR_B	Chest_A	Chest_B	WaistLFront_A	WaistLFront_B	WaistRFront_A	WaistRFront_B	LShoulderTop_A	LShoulderTop_B	RShoulderTop_A	RShoulderTop_B	SpineThoracic2_A	SpineThoracic2_B	SpineThoracic12_A	SpineThoracic12_B	WaistL_A	WaistL_B	WaistR_A	WaistR_B	WaistBack_A	WaistBack_B	LHeelBack_A	LHeelBack_B	RHeelBack_A	RHeelBack_B	LAnkleOut_A	LAnkleOut_B	RAnkleOut_A	RAnkleOut_B	LForefoot2_A	RForefoot2_A	LForefoot2_B	RForefoot2_B	LForefoot5_A	RForefoot5_A	LForefoot5_B	RForefoot5_B	LHand2_A	LHand2_B	RHand2_A	RHand2_B	LWristIn_A	LWristIn_B	RWristIn_A	RWristIn_B	LWristOut_A	RWristOut_A	LWristOut_B	RWristOut_B	LElbowIn_A	LElbowIn_B	RElbowIn_A	RElbowIn_B	LElbowOut_A	LElbowOut_B	RElbowOut_A	RElbowOut_B	LKneeOut_A	LKneeOut_B
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured
Frame	Time	SMPTE	RKneeIn_A X	RKneeIn_A Y	RKneeIn_A Z	RKneeIn_B X	RKneeIn_B Y	RKneeIn_B Z	RKneeOut_A X	RKneeOut_A Y	RKneeOut_A Z	RKneeOut_B X	RKneeOut_B Y	RKneeOut_B Z	LKneeIn_B X	LKneeIn_B Y	LKneeIn_B Z	HeadFront_B X	HeadFront_B Y	HeadFront_B Z	HeadFront_A X	HeadFront_A Y	HeadFront_A Z	LKneeIn_A X	LKneeIn_A Y	LKneeIn_A Z	HeadL_A X	HeadL_A Y	HeadL_A Z	HeadL_B X	HeadL_B Y	HeadL_B Z	HeadR_A X	HeadR_A Y	HeadR_A Z	HeadR_B X	HeadR_B Y	HeadR_B Z	Chest_A X	Chest_A Y	Chest_A Z	Chest_B X	Chest_B Y	Chest_B Z	WaistLFront_A X	WaistLFront_A Y	WaistLFront_A Z	WaistLFront_B X	WaistLFront_B Y	WaistLFront_B Z	WaistRFront_A X	WaistRFront_A Y	WaistRFront_A Z	WaistRFront_B X	WaistRFront_B Y	WaistRFront_B Z	LShoulderTop_A X	LShoulderTop_A Y	LShoulderTop_A Z	LShoulderTop_B X	LShoulderTop_B Y	LShoulderTop_B Z	RShoulderTop_A X	RShoulderTop_A Y	RShoulderTop_A Z	RShoulderTop_B X	RShoulderTop_B Y	RShoulderTop_B Z	SpineThoracic2_A X	SpineThoracic2_A Y	SpineThoracic2_A Z	SpineThoracic2_B X	SpineThoracic2_B Y	SpineThoracic2_B Z	SpineThoracic12_A X	SpineThoracic12_A Y	SpineThoracic12_A Z	SpineThoracic12_B X	SpineThoracic12_B Y	SpineThoracic12_B Z	WaistL_A X	WaistL_A Y	WaistL_A Z	WaistL_B X	WaistL_B Y	WaistL_B Z	WaistR_A X	WaistR_A Y	WaistR_A Z	WaistR_B X	WaistR_B Y	WaistR_B Z	WaistBack_A X	WaistBack_A Y	WaistBack_A Z	WaistBack_B X	WaistBack_B Y	WaistBack_B Z	LHeelBack_A X	LHeelBack_A Y	LHeelBack_A Z	LHeelBack_B X	LHeelBack_B Y	LHeelBack_B Z	RHeelBack_A X	RHeelBack_A Y	RHeelBack_A Z	RHeelBack_B X	RHeelBack_B Y	RHeelBack_B Z	LAnkleOut_A X	LAnkleOut_A Y	LAnkleOut_A Z	LAnkleOut_B X	LAnkleOut_B Y	LAnkleOut_B Z	RAnkleOut_A X	RAnkleOut_A Y	RAnkleOut_A Z	RAnkleOut_B X	RAnkleOut_B Y	RAnkleOut_B Z	LForefoot2_A X	LForefoot2_A Y	LForefoot2_A Z	RForefoot2_A X	RForefoot2_A Y	RForefoot2_A Z	LForefoot2_B X	LForefoot2_B Y	LForefoot2_B Z	RForefoot2_B X	RForefoot2_B Y	RForefoot2_B Z	LForefoot5_A X	LForefoot5_A Y	LForefoot5_A Z	RForefoot5_A X	RForefoot5_A Y	RForefoot5_A Z	LForefoot5_B X	LForefoot5_B Y	LForefoot5_B Z	RForefoot5_B X	RForefoot5_B Y	RForefoot5_B Z	LHand2_A X	LHand2_A Y	LHand2_A Z	LHand2_B X	LHand2_B Y	LHand2_B Z	RHand2_A X	RHand2_A Y	RHand2_A Z	RHand2_B X	RHand2_B Y	RHand2_B Z	LWristIn_A X	LWristIn_A Y	LWristIn_A Z	LWristIn_B X	LWristIn_B Y	LWristIn_B Z	RWristIn_A X	RWristIn_A Y	RWristIn_A Z	RWristIn_B X	RWristIn_B Y	RWristIn_B Z	LWristOut_A X	LWristOut_A Y	LWristOut_A Z	RWristOut_A X	RWristOut_A Y	RWristOut_A Z	LWristOut_B X	LWristOut_B Y	LWristOut_B Z	RWristOut_B X	RWristOut_B Y	RWristOut_B Z	LElbowIn_A X	LElbowIn_A Y	LElbowIn_A Z	LElbowIn_B X	LElbowIn_B Y	LElbowIn_B Z	RElbowIn_A X	RElbowIn_A Y	RElbowIn_A Z	RElbowIn_B X	RElbowIn_B Y	RElbowIn_B Z	LElbowOut_A X	LElbowOut_A Y	LElbowOut_A Z	LElbowOut_B X	LElbowOut_B Y	LElbowOut_B Z	RElbowOut_A X	RElbowOut_A Y	RElbowOut_A Z	RElbowOut_B X	RElbowOut_B Y	RElbowOut_B Z	LKneeOut_A X	LKneeOut_A Y	LKneeOut_A Z	LKneeOut_B X	LKneeOut_B Y	LKneeOut_B Z	
2011	20.10000	00:56:39:09	-1813.710	1214.549	237.849	2090.251	1027.774	382.882	-1842.165	1082.609	289.449	2102.256	1157.348	421.366	2111.204	803.868	380.888	2061.282	926.945	1411.794	-1341.019	1258.471	1334.299	-1465.644	1238.358	428.147	-1443.232	1348.567	1283.862	2148.023	795.983	1384.433	-1416.356	1140.975	1262.256	2209.275	985.631	1371.770	-1412.916	1279.713	934.442	2103.523	896.010	1102.256	-1595.206	1376.358	710.885	2205.172	759.907	839.862	-1631.358	1149.237	670.376	2241.162	1039.005	843.674	-1474.064	1365.195	1077.032	2131.348	769.603	1182.069	-1396.164	1134.981	1039.098	2156.156	1012.712	1184.844	-1555.490	1200.670	1136.863	2296.664	859.546	1212.814	-1635.714	1195.416	1050.892	2347.918	867.122	1104.125	-1740.495	1408.126	822.671	2273.947	724.127	892.180	-1735.054	1112.403	780.260	2283.715	1046.697	909.954	-1714.786	1214.127	926.668	2367.246	877.676	975.643	-1595.123	1365.927	30.875	2417.110	713.671	70.789	-2234.190	1161.678	227.693	2292.780	1162.343	40.222	-1512.621	1381.818	71.345	2343.029	653.963	137.231	-2183.988	1110.675	169.990	2210.623	1212.265	108.760	-1371.863	1279.371	26.925	-2162.010	1150.531	34.688	2170.927	613.294	24.043	2020.397	1190.676	42.655	-1384.300	1331.146	26.415	-2202.814	1099.984	40.611	2238.449	567.909	18.494	2061.042	1243.841	21.777	-1406.150	1622.006	685.931	1820.510	774.921	804.298	-1179.375	1358.618	821.763	1899.343	1237.986	810.551	-1444.231	1554.075	698.820	1876.974	829.914	872.142	-1257.092	1375.225	799.834	1915.707	1194.444	864.765	-1482.108	1640.777	698.357	-1181.977	1319.843	752.583	1896.446	817.342	779.870	1962.848	1166.520	782.141	-1536.607	1483.911	835.530	2088.263	810.335	919.970	-1360.611	1212.482	812.897	2086.977	1065.512	927.856	-1600.533	1565.938	861.325	2066.842	710.379	905.288	-1316.841	1120.165	770.783	2153.892	1143.501	915.782	-1421.139	1364.446	431.791	2148.660	663.277	387.928
2012	20.11000	00:56:39:10	-1811.704	1213.116	237.619	2085.493	1033.256	384.305	-1840.465	1081.381	289.735	2097.337	1162.494	423.149	2103.762	807.958	381.576	2056.933	937.902	1402.058	-1336.901	1258.564	1332.392	-1465.088	1238.354	428.036	-1439.662	1348.073	1281.992	2141.231	804.957	1376.244	-1411.674	1140.642	1260.242	2206.470	992.765	1362.829	-1410.646	1279.437	932.129	2099.978	901.564	1091.596	-1594.007	1375.833	710.768	2208.519	761.089	835.390	-1630.950	1148.904	669.999	2246.228	1039.601	837.950	-1471.155	1365.629	1074.924	2125.449	778.247	1174.801	-1393.102	1134.150	1036.161	2151.242	1017.037	1173.636	-1551.687	1200.369	1135.604	2291.267	865.590	1207.973	-1632.378	1194.772	1050.389	2345.635	870.284	1101.093	-1738.752	1407.749	823.284	2275.810	725.220	887.502	-1734.132	1112.081	780.335	2288.331	1046.844	903.591	-1712.587	1213.536	926.964	2368.074	877.710	973.476	-1594.973	1366.291	30.961	2414.001	712.230	77.995	-2232.575	1162.259	228.305	2291.357	1161.318	43.769	-1512.380	1381.998	71.276	2337.080	653.221	141.634	-2182.404	1110.413	171.179	2208.834	1212.107	110.730	-1371.853	1279.368	26.912	-2158.946	1148.358	35.088	2168.851	613.060	22.544	2019.243	1191.107	42.359	-1384.230	1331.194	26.368	-2200.624	1098.584	42.166	2236.483	567.990	19.070	2060.783	1244.522	21.578	-1419.419	1621.363	679.754	1820.140	794.358	785.094	-1184.820	1361.183	817.749	1901.258	1251.301	782.605	-1455.082	1552.681	694.254	1872.557	846.867	858.165	-1263.451	1376.953	797.744	1912.153	1210.241	841.133	-1495.316	1638.112	693.404	-1188.233	1323.859	748.284	1897.062	834.396	766.949	1960.536	1173.927	763.098	-1543.339	1481.613	832.901	2081.755	821.948	916.583	-1363.957	1212.812	809.868	2072.475	1072.221	920.479	-1608.770	1562.384	859.417	2059.459	722.435	899.687	-1319.935	1121.448	765.555	2144.713	1146.609	907.079	-1420.588	1364.389	431.709	2136.750	665.944	387.947
2013	20.12000	00:56:39:10	-1809.515	1211.138	237.356	2078.290	1038.203	387.507	-1839.016	1079.967	290.342	2093.679	1167.572	425.027	2097.528	812.101	381.847	2052.892	948.915	1391.997	-1333.464	1258.525	1330.734	-1464.734	1238.388	427.999	-1436.658	1347.537	1280.468	2134.693	814.140	1367.122	-1407.429	1140.304	1258.519	2203.717	1000.575	1353.295	-1408.663	1278.976	930.319	2096.233	907.276	1080.063	-1592.819	1375.110	711.013	2211.646	761.804	830.469	-1630.868	1148.483	669.827	2251.444	1039.808	831.868	-1468.757	1365.870	1073.185	2120.436	787.669	1166.343	-1390.718	1133.287	1033.705	2145.416	1021.543	1161.752	-1548.343	1199.834	1134.661	2286.109	871.978	1202.630	-1629.699	1194.153	1050.087	2343.482	873.520	1098.207	-1737.102	1407.468	824.117	2278.258	726.106	882.470	-1733.647	1111.876	780.632	2292.902	1047.160	896.683	-1710.740	1213.157	927.573	2369.047	877.667	970.536	-1594.836	1366.553	31.050	2411.078	710.246	83.336	-2231.309	1163.616	228.424	2288.959	1158.834	47.213	-1512.219	1382.164	71.235	2331.347	651.772	144.657	-2180.865	1110.441	172.535	2207.108	1211.673	112.649	-1371.826	1279.407	26.903	-2154.617	1145.535	35.339	2166.345	613.087	20.870	2017.807	1193.319	42.113	-1384.169	1331.238	26.300	-2197.198	1096.456	43.867	2234.037	567.827	19.501	2060.551	1245.749	21.182	-1431.993	1620.522	674.833	1819.360	814.703	766.890	-1190.032	1362.582	814.476	1906.061	1262.780	755.107	-1465.729	1551.095	690.376	1869.117	865.705	842.920	-1269.558	1377.900	796.409	1911.121	1226.053	817.751	-1508.115	1635.367	689.112	-1195.186	1326.492	744.158	1898.220	850.694	753.528	1957.637	1179.429	743.121	-1547.986	1478.967	831.957	2075.189	834.348	912.632	-1367.661	1212.568	807.218	2059.811	1079.751	910.673	-1616.746	1558.920	858.354	2051.164	735.632	894.468	-1323.144	1122.161	761.120	2134.665	1149.836	896.971	-1420.107	1364.350	431.666	2125.891	668.479	387.469
2014	20.13000	00:56:39:10	-1807.253	1208.796	237.273	2071.890	1042.731	390.594	-1837.729	1078.497	291.233	2091.523	1172.145	426.984	2093.361	815.714	381.149	2049.223	960.016	1381.584	-1330.575	1258.418	1329.602	-1464.518	1238.434	427.980	-1434.156	1346.949	1279.286	2128.337	823.480	1357.406	-1404.191	1139.868	1257.428	2201.019	1008.578	1342.955	-1407.012	1278.258	929.005	2092.918	913.230	1067.454	-1591.957	1374.521	711.243	2214.064	761.798	824.916	-1631.032	1147.992	670.020	2256.088	1039.945	825.342	-1466.803	1366.101	1071.823	2115.452	797.522	1157.462	-1388.905	1132.333	1031.868	2139.327	1026.256	1148.499	-1545.718	1199.309	1134.136	2281.307	878.657	1196.830	-1627.638	1193.552	1050.050	2341.093	877.033	1094.183	-1735.641	1407.321	824.936	2280.355	727.652	876.616	-1733.469	1111.830	781.197	2297.692	1046.600	889.534	-1709.417	1212.838	928.142	2370.092	877.978	966.654	-1594.858	1367.069	31.368	2409.502	707.869	86.246	-2230.052	1165.615	227.850	2284.929	1155.218	48.103	-1512.011	1382.408	71.205	2327.148	650.562	146.511	-2179.109	1110.637	173.585	2205.596	1210.862	113.334	-1371.817	1279.400	26.886	-2149.810	1142.251	35.640	2164.601	613.342	19.683	2015.410	1198.118	41.920	-1384.111	1331.241	26.274	-2192.994	1093.335	45.390	2232.053	567.484	19.728	2059.472	1248.594	21.235	-1444.055	1619.411	670.612	1819.028	836.215	749.447	-1195.013	1363.093	811.893	1909.874	1271.888	730.866	-1475.982	1549.418	687.065	1867.252	885.281	827.286	-1275.236	1378.229	795.867	1910.743	1240.015	797.522	-1521.264	1633.331	685.723	-1201.124	1328.715	741.549	1900.071	866.647	739.743	1954.680	1184.674	726.409	-1554.183	1476.587	830.568	2069.441	847.744	907.633	-1371.513	1211.859	805.233	2047.344	1087.365	899.208	-1623.592	1555.211	857.656	2041.760	749.903	888.845	-1326.479	1122.313	757.607	2125.755	1152.860	884.372	-1419.767	1364.310	431.750	2115.853	670.527	386.874
2015	20.14000	00:56:39:10	-1804.820	1206.068	237.502	2065.856	1046.561	393.377	-1836.594	1076.631	292.486	2090.387	1175.835	428.871	2091.207	818.364	379.313	2046.038	971.390	1371.051	-1328.256	1258.223	1328.880	-1464.490	1238.494	427.991	-1432.292	1346.306	1278.556	2122.206	833.100	1347.635	-1401.457	1139.340	1256.758	2198.565	1016.515	1332.087	-1405.835	1277.251	928.133	2089.600	919.235	1054.133	-1591.295	1373.992	711.574	2215.332	761.035	818.399	-1631.485	1147.525	670.446	2259.983	1040.394	818.414	-1465.367	1366.265	1070.894	2111.014	807.182	1148.287	-1387.782	1131.199	1030.756	2133.891	1031.626	1134.405	-1543.814	1198.790	1133.897	2277.087	884.936	1189.931	-1626.220	1192.990	1050.253	2338.253	881.646	1089.275	-1734.394	1407.361	825.835	2281.678	729.683	870.511	-1733.710	1111.898	781.982	2301.564	1046.821	881.310	-1708.507	1212.679	928.973	2370.811	879.077	962.075	-1594.757	1367.207	31.596	2409.909	705.192	86.932	-2228.588	1167.622	226.692	2279.350	1151.420	44.532	-1511.919	1382.497	71.301	2325.496	649.000	146.870	-2177.160	1110.833	174.179	2203.096	1209.807	111.380	-1371.789	1279.418	26.872	-2144.895	1138.396	35.979	2164.249	613.488	19.406	2011.431	1204.016	42.454	-1384.072	1331.288	26.262	-2188.579	1090.141	46.825	2231.220	566.771	19.479	2056.995	1253.111	21.560	-1455.557	1618.243	667.112	1819.454	858.349	732.774	-1199.786	1362.883	810.201	1910.542	1278.979	713.417	-1485.451	1548.064	684.867	1866.944	905.148	812.022	-1280.783	1377.823	795.905	1910.733	1250.418	781.195	-1532.446	1630.462	683.130	-1207.058	1330.426	739.691	1902.487	883.668	726.419	1951.378	1189.386	712.134	-1561.621	1472.933	827.930	2064.872	861.923	901.527	-1375.558	1210.724	803.695	2035.925	1095.492	886.510	-1630.457	1551.614	857.522	2032.420	764.631	882.987	-1329.964	1121.856	754.940	2119.368	1157.003	868.877	-1419.521	1364.283	431.856	2109.556	672.091	384.793
2016	20.15000	00:56:39:11	-1802.854	1203.429	237.624	2059.698	1049.278	395.341	-1835.610	1074.492	294.039	2091.738	1178.598	429.318	2091.603	819.542	375.299	2042.801	982.883	1361.067	-1326.551	1257.902	1328.517	-1464.378	1238.280	428.125	-1430.940	1345.557	1278.202	2115.273	842.683	1338.347	-1399.361	1138.704	1256.531	2196.080	1024.575	1321.111	-1404.970	1275.991	927.890	2087.514	924.944	1040.213	-1590.728	1373.388	712.050	2215.060	762.969	811.461	-1632.188	1147.004	671.128	2263.156	1041.145	810.892	-1464.537	1366.258	1070.189	2107.100	816.391	1138.503	-1387.297	1129.856	1030.187	2130.414	1038.033	1120.988	-1542.514	1198.215	1134.075	2272.445	891.514	1182.293	-1625.336	1192.508	1050.739	2335.214	886.379	1083.216	-1733.379	1407.502	826.686	2281.320	731.741	864.118	-1734.300	1112.107	782.869	2304.076	1047.892	872.521	-1708.034	1212.694	929.921	2370.582	881.137	956.607	-1594.666	1367.321	31.707	2411.951	702.215	85.027	-2226.993	1169.492	224.934	2272.756	1148.221	37.301	-1511.785	1382.502	71.414	2326.462	647.027	145.515	-2175.184	1111.054	174.132	2199.932	1208.957	107.346	-1371.781	1279.385	26.898	-2139.871	1134.502	36.184	2164.840	613.428	19.951	2006.219	1211.030	43.550	-1384.016	1331.276	26.270	-2184.254	1086.973	47.899	2231.477	565.803	18.714	2053.280	1258.808	22.326	-1466.494	1617.210	664.365	1821.410	880.439	717.043	-1205.615	1363.093	809.150	1905.000	1283.636	702.207	-1494.880	1546.540	682.851	1868.360	925.125	797.347	-1286.230	1376.793	796.508	1906.930	1256.076	770.168	-1543.226	1627.872	681.163	-1214.320	1331.157	737.612	1904.996	901.894	713.162	1947.890	1194.766	699.989	-1566.883	1470.741	827.349	2065.399	875.686	892.085	-1379.732	1209.015	802.867	2031.502	1100.599	871.923	-1636.668	1548.221	857.790	2024.564	779.612	876.019	-1333.669	1120.899	752.958	2115.405	1161.364	852.314	-1419.432	1364.232	432.061	2106.752	673.143	380.873
2017	20.16000	00:56:39:11	-1800.489	1200.127	238.218	2058.452	1052.115	393.694	-1834.895	1072.184	295.588	2094.524	1180.372	427.510	2093.267	819.706	368.875	2039.316	995.377	1352.269	-1325.382	1257.509	1328.602	-1464.586	1238.248	428.284	-1430.192	1344.710	1278.278	2108.812	852.721	1329.532	-1397.861	1137.965	1256.731	2193.954	1032.220	1311.112	-1404.634	1274.481	928.068	2083.880	930.627	1028.016	-1590.273	1372.785	712.674	2213.474	765.423	803.992	-1633.114	1146.534	672.076	2265.668	1042.099	802.755	-1464.068	1366.148	1070.010	2101.751	825.075	1129.648	-1387.394	1128.311	1030.169	2129.399	1044.814	1108.952	-1541.871	1197.706	1134.620	2267.991	896.490	1174.467	-1625.328	1192.065	1051.751	2332.386	890.238	1076.141	-1732.574	1407.723	827.510	2278.804	733.761	857.815	-1735.236	1112.386	784.052	2305.451	1049.313	863.975	-1707.936	1212.850	930.981	2369.268	883.521	950.531	-1594.627	1367.455	31.884	2415.139	699.040	80.929	-2225.390	1171.038	222.638	2267.454	1145.555	31.886	-1511.769	1382.579	71.553	2328.855	644.735	142.692	-2173.277	1111.450	173.805	2196.903	1208.685	102.610	-1371.779	1279.395	26.887	-2134.984	1130.971	36.162	2165.689	613.624	20.627	2001.489	1218.509	44.413	-1384.008	1331.309	26.268	-2179.615	1083.998	48.779	2231.674	564.683	17.775	2050.870	1264.390	22.668	-1476.912	1616.346	662.346	1824.511	902.312	702.013	-1210.561	1361.732	808.775	1904.932	1289.568	697.548	-1503.694	1545.201	681.518	1870.978	945.481	783.567	-1291.294	1375.218	797.717	1893.302	1253.955	754.591	-1553.375	1625.575	679.917	-1220.115	1330.851	737.037	1908.779	918.416	700.170	1948.883	1200.533	687.209	-1571.735	1468.588	827.333	2064.589	888.281	883.126	-1383.800	1206.962	802.832	2031.017	1103.853	858.012	-1642.644	1544.598	858.411	2017.518	794.429	868.777	-1337.739	1119.351	751.584	2114.854	1166.970	838.733	-1419.530	1364.135	432.278	2106.603	673.744	374.844
2018	20.17000	00:56:39:11	-1798.146	1196.674	238.939	2058.772	1054.800	389.540	-1834.171	1069.705	297.279	2098.115	1181.832	421.684	2096.057	820.017	360.872	2036.434	1007.040	1342.563	-1324.805	1256.936	1328.999	-1465.029	1238.174	428.461	-1430.016	1343.751	1278.815	2102.404	863.132	1320.924	-1396.962	1137.123	1257.303	2192.071	1039.592	1301.855	-1404.684	1272.824	928.717	2081.182	937.306	1017.619	-1590.037	1372.169	713.383	2211.128	768.699	796.252	-1634.222	1145.978	673.396	2268.200	1043.401	794.175	-1463.866	1365.842	1070.274	2094.982	833.959	1120.868	-1388.067	1126.608	1030.666	2130.497	1051.300	1099.147	-1541.820	1197.244	1135.490	2263.619	899.843	1166.815	-1625.696	1191.768	1052.947	2329.613	891.947	1069.269	-1731.983	1408.027	828.508	2274.563	735.583	851.545	-1736.226	1112.514	785.260	2306.448	1050.948	855.905	-1708.339	1213.119	932.364	2366.981	884.778	943.780	-1594.509	1367.570	31.976	2419.230	694.752	75.970	-2223.782	1172.355	219.954	2266.878	1144.299	30.367	-1511.634	1382.603	71.660	2331.980	641.891	139.370	-2171.046	1111.238	172.995	2196.786	1208.694	101.116	-1371.779	1279.393	26.900	-2129.892	1127.491	36.088	2166.798	614.346	21.657	2002.694	1222.562	45.159	-1383.968	1331.293	26.270	-2174.904	1081.157	49.494	2231.595	563.802	17.253	2053.270	1267.465	22.909	-1486.812	1615.819	660.985	1828.210	924.435	687.890	-1215.385	1359.656	808.991	1908.154	1288.649	675.771	-1511.882	1544.147	680.729	1873.767	966.443	770.843	-1296.379	1372.844	799.319	1893.360	1242.913	733.181	-1563.328	1623.454	679.365	-1225.890	1329.699	737.041	1912.969	936.447	688.188	1964.335	1208.303	670.430	-1576.218	1466.532	827.524	2064.494	899.057	873.179	-1388.073	1204.480	803.127	2033.386	1106.268	846.335	-1648.442	1540.825	859.355	2011.400	809.168	861.213	-1341.930	1117.390	750.936	2114.966	1174.426	832.015	-1419.713	1363.961	432.583	2107.707	674.406	367.909
2019	20.18000	00:56:39:11	-1795.901	1193.023	239.792	2060.237	1057.679	384.576	-1833.628	1067.098	299.192	2099.651	1183.270	415.717	2096.128	820.851	353.788	2033.749	1018.499	1332.468	-1324.808	1256.228	1329.656	-1465.623	1238.045	428.676	-1430.407	1342.687	1279.768	2096.132	872.829	1312.382	-1396.674	1136.188	1258.140	2190.817	1046.524	1293.515	-1405.198	1270.998	929.768	2079.962	945.150	1008.762	-1589.950	1371.488	714.370	2208.409	772.012	788.744	-1635.561	1145.461	674.710	2271.229	1045.098	785.689	-1464.323	1365.243	1070.810	2087.788	843.313	1112.453	-1389.323	1124.728	1031.618	2132.918	1058.536	1091.205	-1542.411	1196.740	1136.646	2258.717	903.423	1160.177	-1626.584	1191.629	1054.299	2325.843	892.156	1063.327	-1731.646	1408.362	829.370	2269.028	736.980	845.872	-1738.048	1113.048	786.719	2307.804	1052.404	848.597	-1709.127	1213.463	933.654	2364.288	884.409	937.134	-1594.460	1367.638	32.144	2423.423	690.024	70.834	-2220.857	1173.591	217.311	2267.299	1144.596	29.301	-1511.591	1382.588	71.758	2335.399	639.182	135.819	-2169.033	1110.898	171.794	2199.348	1208.136	100.561	-1371.771	1279.358	26.904	-2124.594	1124.236	36.015	2167.828	615.214	22.667	2006.207	1219.705	46.511	-1383.910	1331.309	26.282	-2170.401	1078.513	49.624	2231.343	563.077	16.839	2053.604	1266.332	24.066	-1496.175	1615.576	660.590	1832.050	947.194	674.946	-1220.269	1356.861	809.949	1914.818	1286.226	653.098	-1519.407	1543.328	680.588	1880.862	987.399	756.841	-1301.210	1369.952	801.259	1902.724	1242.416	716.417	-1572.671	1621.511	679.484	-1231.539	1327.995	737.513	1917.757	953.804	676.750	1974.668	1213.527	656.293	-1580.361	1464.604	828.155	2063.358	910.449	863.837	-1392.496	1201.576	803.988	2041.197	1105.901	834.858	-1653.773	1537.455	860.877	2005.100	823.759	852.736	-1346.520	1114.796	750.806	2117.844	1178.465	824.786	-1420.114	1363.742	432.840	2109.312	675.441	360.845
2020	20.19000	00:56:39:12	-1793.777	1189.216	240.783	2061.064	1060.263	380.988	-1833.272	1064.388	301.161	2098.610	1185.564	413.249	2099.667	822.351	344.282	2031.063	1029.894	1322.744	-1325.324	1255.447	1330.730	-1466.423	1237.856	428.914	-1431.289	1341.638	1281.135	2089.599	882.457	1303.385	-1397.037	1135.153	1259.391	2189.510	1053.383	1285.523	-1406.052	1269.083	931.204	2080.515	953.586	999.800	-1590.012	1370.816	715.503	2206.225	775.960	781.357	-1637.129	1144.888	676.346	2274.740	1046.938	777.875	-1464.758	1364.656	1071.936	2081.038	853.630	1104.616	-1391.204	1122.767	1032.928	2132.804	1066.490	1083.265	-1543.618	1196.264	1138.066	2252.785	908.222	1154.385	-1627.929	1191.617	1055.844	2321.159	892.647	1058.491	-1731.560	1408.729	830.441	2263.564	738.200	839.996	-1739.664	1113.259	788.145	2310.401	1053.535	841.909	-1710.369	1213.857	935.142	2361.716	882.992	932.029	-1594.369	1367.747	32.158	2427.079	685.324	65.981	-2219.305	1174.019	214.440	2267.252	1144.296	28.929	-1511.601	1382.611	71.916	2338.641	636.527	132.475	-2167.005	1110.322	170.506	2200.869	1207.199	99.265	-1371.772	1279.367	26.934	-2119.691	1121.505	35.855	2168.922	616.525	23.623	2005.663	1221.372	47.257	-1383.889	1331.308	26.273	-2166.134	1076.200	49.446	2230.898	562.528	16.605	2053.396	1266.353	24.197	-1504.882	1615.485	660.859	1836.102	969.726	663.297	-1224.893	1353.336	811.190	1919.230	1282.030	640.357	-1526.724	1542.849	680.685	1887.012	1007.723	744.578	-1305.995	1366.465	803.531	1912.747	1246.602	702.087	-1581.148	1619.646	680.161	-1237.372	1325.817	738.212	1923.189	969.678	665.601	1980.429	1211.331	642.356	-1584.392	1462.730	829.048	2061.396	922.822	856.177	-1397.190	1198.379	804.963	2049.396	1106.422	822.787	-1658.715	1534.269	862.563	1999.220	837.896	843.538	-1351.438	1111.762	751.210	2124.851	1180.211	814.049	-1420.678	1363.434	433.146	2111.037	676.985	353.649
