NO_OF_FRAMES	344
NO_OF_CAMERAS	16
NO_OF_MARKERS	35
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-07-08, 12:03:12.336	11520.91516330
DATA_INCLUDED	3D
MARKER_NAMES	RKneeIn	RKneeOut	HeadFront	LKneeIn	HeadL	HeadR	Chest	WaistLFront	WaistRFront	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistL	WaistR	WaistBack	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot2	RForefoot2	LForefoot5	RForefoot5	LHand2	RHand2	LWristIn	RWristIn	LWristOut	RWristOut	LElbowIn	RElbowIn	LElbowOut	RElbowOut	LKneeOut
TRAJECTORY_TYPES	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	SMPTE	RKneeIn X	RKneeIn Y	RKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	HeadFront X	HeadFront Y	HeadFront Z	LKneeIn X	LKneeIn Y	LKneeIn Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	WaistBack X	WaistBack Y	WaistBack Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LHand2 X	LHand2 Y	LHand2 Z	RHand2 X	RHand2 Y	RHand2 Z	LWristIn X	LWristIn Y	LWristIn Z	RWristIn X	RWristIn Y	RWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	RWristOut X	RWristOut Y	RWristOut Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LElbowOut X	LElbowOut Y	LElbowOut Z	RElbowOut X	RElbowOut Y	RElbowOut Z	LKneeOut X	LKneeOut Y	LKneeOut Z	
2878	28.77000	01:20:36:14	340.631	1405.011	397.726	204.993	1442.607	421.302	493.336	1331.508	1544.313	392.890	1468.944	447.428	531.789	1463.803	1500.041	344.864	1365.632	1503.702	487.333	1369.759	1199.728	534.694	1449.284	858.576	329.772	1334.306	863.752	524.684	1525.487	1287.959	333.979	1300.544	1266.130	318.410	1510.213	1314.698	295.631	1541.956	1198.862	477.559	1613.021	940.438	240.215	1432.167	946.834	308.209	1554.679	1049.987	428.871	1603.514	28.094	274.529	1592.405	23.977	486.536	1541.816	69.885	212.570	1526.636	63.828	451.446	1368.112	27.793	193.448	1385.503	31.915	490.973	1404.195	24.590	148.925	1427.986	24.084	613.113	1574.953	761.594	393.524	989.499	890.612	563.875	1540.806	815.277	457.615	1035.708	906.987	568.091	1626.324	773.898	385.059	1034.162	836.420	506.631	1577.997	979.868	388.229	1202.482	993.831	537.348	1680.527	982.914	282.464	1197.077	982.737	524.033	1503.490	443.348
2879	28.78000	01:20:36:14	340.713	1404.938	397.710	205.091	1442.555	421.321	493.322	1331.302	1544.352	392.977	1468.855	447.456	531.899	1463.532	1500.058	344.891	1365.538	1503.744	487.391	1369.508	1199.758	534.860	1448.947	858.549	329.841	1334.158	863.771	524.858	1525.204	1287.948	333.899	1300.489	1266.233	318.581	1510.180	1314.671	295.858	1541.902	1198.809	477.878	1612.730	940.423	240.379	1432.083	946.841	308.445	1554.533	1049.936	428.881	1603.515	28.089	274.540	1592.387	24.009	486.532	1541.804	69.919	212.609	1526.614	63.838	451.462	1368.096	27.770	193.455	1385.472	31.902	490.959	1404.194	24.583	148.915	1427.954	24.103	613.392	1574.511	761.604	393.587	989.527	890.543	564.044	1540.409	815.239	457.731	1035.654	906.893	568.416	1625.933	773.882	385.126	1034.240	836.365	506.884	1577.699	979.836	388.558	1202.446	993.950	537.701	1680.185	982.930	282.816	1197.118	982.808	524.134	1503.306	443.311
2880	28.79000	01:20:36:15	340.810	1404.883	397.693	205.171	1442.495	421.307	493.294	1331.100	1544.374	393.099	1468.714	447.387	531.978	1463.306	1500.074	344.900	1365.469	1503.755	487.412	1369.268	1199.797	535.007	1448.616	858.550	329.926	1334.043	863.767	525.033	1524.945	1287.979	333.775	1300.447	1266.396	318.769	1510.189	1314.649	296.084	1541.867	1198.752	478.189	1612.464	940.423	240.494	1432.043	946.872	308.668	1554.436	1049.901	428.857	1603.519	28.076	274.527	1592.385	24.043	486.521	1541.783	69.889	212.622	1526.586	63.858	451.407	1368.097	27.761	193.471	1385.474	31.901	490.937	1404.189	24.586	148.929	1427.961	24.110	613.617	1574.058	761.605	393.676	989.636	890.488	564.287	1540.057	815.252	457.883	1035.691	906.769	568.780	1625.559	773.921	385.238	1034.364	836.297	507.142	1577.342	979.834	388.888	1202.455	994.076	538.062	1679.845	982.912	283.155	1197.200	982.866	524.223	1503.129	443.269
2881	28.80000	01:20:36:15	340.894	1404.826	397.692	205.258	1442.461	421.327	493.261	1330.915	1544.409	393.159	1468.573	447.370	532.057	1463.092	1500.099	344.867	1365.411	1503.784	487.432	1369.025	1199.837	535.167	1448.259	858.540	329.986	1333.920	863.789	525.228	1524.665	1288.001	333.638	1300.414	1266.542	318.914	1510.209	1314.600	296.336	1541.840	1198.680	478.505	1612.178	940.375	240.634	1432.007	946.897	308.927	1554.310	1049.827	428.849	1603.524	28.095	274.553	1592.352	24.057	486.499	1541.755	69.884	212.622	1526.570	63.892	451.423	1368.096	27.762	193.470	1385.456	31.917	490.930	1404.196	24.591	148.959	1427.945	24.089	613.856	1573.617	761.611	393.737	989.795	890.390	564.459	1539.674	815.231	458.045	1035.720	906.690	569.099	1625.203	773.929	385.359	1034.581	836.225	507.425	1577.041	979.866	389.186	1202.514	994.158	538.469	1679.490	982.926	283.469	1197.334	982.957	524.317	1502.956	443.215
2882	28.81000	01:20:36:15	340.986	1404.769	397.679	205.333	1442.416	421.336	493.183	1330.740	1544.469	393.222	1468.455	447.355	532.110	1462.834	1500.149	344.848	1365.357	1503.807	487.441	1368.794	1199.886	535.302	1447.906	858.521	330.025	1333.781	863.805	525.390	1524.374	1288.021	333.466	1300.400	1266.706	319.074	1510.239	1314.556	296.569	1541.817	1198.612	478.793	1611.902	940.368	240.739	1431.947	946.901	309.149	1554.202	1049.766	428.849	1603.522	28.090	274.546	1592.341	24.100	486.482	1541.724	69.897	212.641	1526.534	63.906	451.412	1368.077	27.773	193.466	1385.444	31.921	490.902	1404.186	24.598	148.934	1427.934	24.091	614.079	1573.170	761.593	393.826	989.998	890.263	564.611	1539.283	815.186	458.180	1035.802	906.631	569.401	1624.806	773.957	385.515	1034.846	836.149	507.672	1576.711	979.842	389.490	1202.626	994.311	538.855	1679.129	982.943	283.794	1197.539	982.988	524.422	1502.751	443.179
2883	28.82000	01:20:36:15	341.056	1404.723	397.678	205.414	1442.379	421.368	493.086	1330.562	1544.510	393.327	1468.296	447.340	532.169	1462.619	1500.221	344.794	1365.316	1503.826	487.443	1368.565	1199.945	535.431	1447.552	858.509	330.095	1333.678	863.801	525.572	1524.103	1288.049	333.282	1300.408	1266.844	319.251	1510.299	1314.529	296.807	1541.828	1198.543	479.101	1611.602	940.355	240.836	1431.929	946.942	309.400	1554.155	1049.746	428.826	1603.532	28.096	274.548	1592.332	24.147	486.462	1541.714	69.887	212.649	1526.514	63.935	451.394	1368.092	27.744	193.462	1385.404	31.914	490.905	1404.192	24.603	148.947	1427.918	24.108	614.311	1572.678	761.583	393.898	990.295	890.156	564.801	1538.894	815.192	458.351	1035.994	906.568	569.698	1624.394	773.933	385.701	1035.185	836.081	507.861	1576.427	979.844	389.767	1202.796	994.420	539.283	1678.765	982.922	284.098	1197.750	983.044	524.519	1502.545	443.141
2884	28.83000	01:20:36:16	341.106	1404.688	397.657	205.485	1442.351	421.388	492.957	1330.376	1544.545	393.387	1468.119	447.318	532.187	1462.379	1500.298	344.709	1365.304	1503.827	487.419	1368.306	1200.014	535.546	1447.210	858.503	330.066	1333.566	863.836	525.751	1523.835	1288.041	333.087	1300.428	1267.024	319.410	1510.368	1314.488	297.055	1541.864	1198.457	479.420	1611.258	940.320	240.937	1431.903	946.967	309.643	1554.042	1049.705	428.829	1603.536	28.086	274.558	1592.307	24.181	486.435	1541.662	69.877	212.648	1526.485	63.943	451.409	1368.075	27.787	193.475	1385.417	31.902	490.891	1404.181	24.611	148.960	1427.906	24.120	614.508	1572.228	761.556	394.037	990.639	890.028	564.963	1538.502	815.136	458.536	1036.205	906.479	570.004	1623.945	773.889	385.891	1035.595	835.983	508.172	1576.068	979.834	390.056	1203.032	994.556	539.694	1678.423	982.912	284.447	1198.008	983.080	524.621	1502.286	443.085
2885	28.84000	01:20:36:16	341.187	1404.650	397.654	205.563	1442.324	421.386	492.800	1330.182	1544.623	393.461	1468.030	447.307	532.221	1462.156	1500.377	344.601	1365.321	1503.834	487.401	1368.047	1200.068	535.679	1446.824	858.502	330.058	1333.447	863.861	525.937	1523.539	1288.012	332.825	1300.519	1267.200	319.590	1510.485	1314.452	297.319	1541.925	1198.385	479.767	1610.998	940.277	241.026	1431.921	947.000	309.896	1553.991	1049.669	428.805	1603.538	28.103	274.548	1592.298	24.222	486.396	1541.647	69.877	212.652	1526.465	63.996	451.385	1368.078	27.825	193.459	1385.383	31.909	490.880	1404.179	24.622	148.954	1427.901	24.122	614.734	1571.715	761.513	394.134	990.993	889.826	565.189	1538.061	815.142	458.722	1036.473	906.415	570.345	1623.510	773.836	386.133	1036.083	835.858	508.503	1575.760	979.812	390.356	1203.312	994.687	540.183	1678.033	982.878	284.789	1198.254	983.186	524.713	1502.033	443.042
2886	28.85000	01:20:36:16	341.259	1404.572	397.651	205.633	1442.314	421.411	492.608	1330.008	1544.681	393.521	1467.822	447.263	532.227	1461.929	1500.485	344.487	1365.345	1503.814	487.356	1367.782	1200.138	535.782	1446.416	858.477	329.988	1333.351	863.877	526.146	1523.265	1287.969	332.575	1300.625	1267.351	319.757	1510.634	1314.408	297.557	1542.032	1198.317	480.082	1610.696	940.220	241.110	1431.950	947.029	310.131	1553.962	1049.639	428.805	1603.538	28.116	274.579	1592.268	24.260	486.389	1541.588	69.873	212.689	1526.435	64.026	451.397	1368.087	27.773	193.469	1385.374	31.910	490.863	1404.194	24.615	148.950	1427.882	24.120	614.949	1571.172	761.398	394.287	991.379	889.665	565.389	1537.652	815.127	458.920	1036.769	906.318	570.657	1623.070	773.771	386.338	1036.523	835.744	508.684	1575.454	979.801	390.679	1203.596	994.840	540.625	1677.661	982.811	285.109	1198.521	983.335	524.798	1501.772	443.004
2887	28.86000	01:20:36:16	341.337	1404.526	397.652	205.706	1442.310	421.426	492.382	1329.844	1544.740	393.540	1467.684	447.266	532.226	1461.721	1500.601	344.339	1365.404	1503.809	487.319	1367.535	1200.205	535.865	1445.960	858.466	329.911	1333.267	863.906	526.349	1523.024	1287.918	332.263	1300.811	1267.563	319.966	1510.813	1314.364	297.810	1542.162	1198.222	480.421	1610.381	940.196	241.175	1432.015	947.039	310.473	1553.564	1049.598	428.829	1603.563	28.144	274.587	1592.262	24.286	486.367	1541.559	69.858	212.696	1526.405	64.044	451.377	1368.085	27.784	193.463	1385.361	31.906	490.850	1404.177	24.595	148.956	1427.880	24.141	615.207	1570.666	761.326	394.483	991.796	889.506	565.566	1537.217	815.030	459.105	1037.122	906.212	570.998	1622.637	773.694	386.498	1037.003	835.655	508.980	1575.135	979.751	390.921	1203.872	994.983	541.044	1677.313	982.707	285.354	1198.727	983.542	524.878	1501.497	442.956
